	FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	HMP_2012__SRS057205__bin.57	BritoIL_2016__WL.28.SA__bin.2	HMP_2012__SRS017120__bin.71	BritoIL_2016__W3.22.SA__bin.20	HMP_2012__SRS024318__bin.50	CM_cf__CF_TNFC017SA_t1M16__bin.25	BritoIL_2016__W3.19.SA__bin.2	FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	HMP_2012__SRS022719__bin.3	BritoIL_2016__W1.44.SA__bin.1	CM_cf__CF_TNFC039SA_t1M16__bin.3	HMP_2012__SRS064329__bin.23	HMP_2012__SRS015762__bin.29	HMP_2012__SRS017076__bin.31	BritoIL_2016__M1.52.SA__bin.4	BritoIL_2016__WL.10.SA__bin.8	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	HMP_2012__SRS022721__bin.1	BritoIL_2016__WL.2.SA__bin.2	HMP_2012__SRS024138__bin.20	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	HMP_2012__SRS020220__bin.43	BritoIL_2016__M1.38.SA__bin.2	HMP_2012__SRS023352__bin.53	CM_cf__CF_TNFC039IS_t1M15__bin.16	CM_cf__CF_TNFC039IS_t2M15__bin.3	HMP_2012__SRS020856__bin.51	BritoIL_2016__W2.61.SA__bin.13	BritoIL_2016__W1.9.SA__bin.2	BritoIL_2016__WL.25.SA__bin.7	BackhedF_2015__SID589_12M__bin.44	HMP_2012__SRS016342__bin.54
FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	1.0	0.8774669016967357	0.6823162249264133	0.5601301575904184	0.8929166724105586	0.8791499119835966	0.863652192258752	0.5987464929793658	0.898346298546126	0.9045365158690248	0.7450131530130859	0.9049027264407029	0.8961250606105468	0.4821303026361767	0.895595823401395	0.6330618020796684	0.8152686433246885	0.6885651797878136	0.793478814628524	0.6930969606920001	0.9206294026931761	0.9034121115605664	0.8994862862831665	0.8559413919238282	0.894365331906051	0.9051922185947463	0.44898195259161405	0.8907715535299762	0.8975305659961197	0.7269255873304328	0.4725644749373516	0.6355473589385048	0.8552515255277537
HMP_2012__SRS057205__bin.57	0.6941309897245855	1.0	0.6399939879911546	0.5483829213432003	0.8760374034190692	0.8742693607546683	0.8604336801459571	0.5742084820531105	0.8817820011455058	0.9008075436487014	0.7153972856823156	0.9023257181221291	0.9038031171412424	0.5208030678313906	0.8530533229150468	0.6037114197823539	0.7937421056823915	0.6821268856276954	0.7583660801323021	0.6504993570753947	0.8925324970888222	0.9009009478870729	0.8888736112638873	0.8453462879164312	0.8625155989819412	0.9027647654557938	0.41967330326696733	0.8823988484253088	0.871097409715558	0.7016194493227481	0.4442267646289054	0.6329161277352744	0.8527195331494961
BritoIL_2016__WL.28.SA__bin.2	0.7447439883866299	0.8830524740887475	1.0	0.6259346074109159	0.8858884339286778	0.8862129174536155	0.8748121626368996	0.6153045009659273	0.9184061316919003	0.9535838093188267	0.7481340561814439	0.9102678755422505	0.9082594795310428	0.5510083521797638	0.8791325037632892	0.6496415307510289	0.8162337275764548	0.6961139826885423	0.8254651530208043	0.7000496538297234	0.9009939270553186	0.9120571143339943	0.9065042591733652	0.8654400840517001	0.8764973835244798	0.9119616010383472	0.47107746193697037	0.8884031812469457	0.9165174544005789	0.7386998285340083	0.47447930534357635	0.6582730541946364	0.8671318469458316
HMP_2012__SRS017120__bin.71	0.7438798894221087	0.9206341751909761	0.7615905004262487	1.0	0.9111667591333024	0.951320893187902	0.8758585666424422	0.6790479093917181	0.9322770114677201	0.9367647608987916	0.7640628221241749	0.9493532244057792	0.9493874516540118	0.7503567991632631	0.8882949974886751	0.6872600610200198	0.8246036604052028	0.6956449408545191	0.7930079303738172	0.7301276994752087	0.915756394326555	0.9212908607675341	0.9287213575641025	0.8828504770721216	0.878479737071055	0.9495370963672154	0.5010264194557231	0.8910642206654573	0.9210329624320132	0.7985821959406484	0.5136594579836649	0.7097099519306158	0.8711893331974857
BritoIL_2016__W3.22.SA__bin.20	0.7108854281984135	0.8816589873185778	0.6461694241061544	0.5462263988883714	1.0	0.8836034784202048	0.8825513059345391	0.5792369387459059	0.8877739943044305	0.900190583986746	0.7310699615968972	0.8941710121469854	0.9028699257132823	0.4610304896204735	0.8654192656838119	0.6145923201429236	0.8254963581948251	0.6828589888455401	0.7678750028630544	0.6721721611861443	0.8912277922415044	0.8992276433626765	0.8990849678192687	0.8756666144954535	0.865223623634323	0.8950299284618145	0.4257934478046099	0.886604913764802	0.8872677108544118	0.7150487864466822	0.4450298330266684	0.6317625344520877	0.8538458455172203
HMP_2012__SRS024318__bin.50	0.7193948641136823	0.9043550420879013	0.6643870586140788	0.5861618766941956	0.9081825079317902	1.0	0.8868165773803831	0.5918957187214773	0.9035183356899419	0.9105499063977631	0.7396896535319456	0.9070652645703885	0.9147962158898686	0.4925802387212615	0.8740379225158869	0.633950759877525	0.8223308403798627	0.6925157936915477	0.7811551747053749	0.6725270445970396	0.9212760312063041	0.9219489275591763	0.9074286874548481	0.8752870967219845	0.8929579827234352	0.9078794103034556	0.43731739961852856	0.9089848828831745	0.9040955944416407	0.7237799707397985	0.45032509427660455	0.6518570615126337	0.8749329923730239
CM_cf__CF_TNFC017SA_t1M16__bin.25	0.6999753227233998	0.8815573304627378	0.6495870442354756	0.534520012396931	0.8984525210169758	0.8783614288337461	1.0	0.5840659602229504	0.9015502964673604	0.9028322518403517	0.7244854933560805	0.9006156689047855	0.9839063351621073	0.45716452262585655	0.8769594874898837	0.6151763307998643	0.812008215395706	0.6805103921452423	0.766927980242634	0.6590163870718274	0.9098992797927109	0.9079994209583916	0.9009202486769968	0.8587274491954139	0.8767758652348665	0.9007201101344912	0.4319096617367168	0.9025815928890581	0.8908618295966042	0.7299470410099418	0.44325246505590765	0.6289844329132691	0.8526766586967484
BritoIL_2016__W3.19.SA__bin.2	0.7533611861057903	0.9133120164100089	0.7092985022850334	0.6433492707500641	0.9154356646204431	0.9101250358214809	0.9067306677124025	1.0	0.9282657878463372	0.9376102924541108	0.7808675585586944	0.9339338773170842	0.9398583731768752	0.5705524803547458	0.9038875733397687	0.6800523370688225	0.8418319482360749	0.7169401668149802	0.8160155955415453	0.7292114749400461	0.9286149530172999	0.9367256904119093	0.9319082668436374	0.8870243284415016	0.9007639402120632	0.9340733925581817	0.4911464382136016	0.9177795206708798	0.9255893576265818	0.7750690034841103	0.5099546009864104	0.6873131626973952	0.8783472345816805
FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	0.6955274870148582	0.8630203859648634	0.6514543405153592	0.5435026030609342	0.8633447534830064	0.854875930584423	0.8612249955103638	0.5711926376462149	1.0	0.9138537413403386	0.7183547930985358	0.8860003628832607	0.9004098910282914	0.4696201280486022	0.8421318602685985	0.6062164408391234	0.7885671354914214	0.6668764150474973	0.7702828308421072	0.6497294849145901	0.8690808148446169	0.891096042020211	0.8716660100428638	0.8368125113981075	0.8442799249917516	0.889315501008602	0.42014688883289414	0.853623008840523	0.9033825638769668	0.709380161051489	0.43548821951931427	0.6169897116563022	0.8310838747579424
HMP_2012__SRS022719__bin.3	0.6810752508625338	0.8574135040424576	0.6578192165101056	0.5311114671311976	0.8513630178870008	0.8378540112056069	0.8387493766514506	0.5610881578442632	0.8887409149064357	1.0	0.6940052485383745	0.8706991206554581	0.8772108283258607	0.4612422744268014	0.826885333200954	0.5909470610667215	0.7709150643882384	0.6613108709730555	0.819239977345088	0.6401064149053074	0.8597719616130117	0.8713589111200868	0.8574049294741759	0.8172971606896661	0.8316938608347568	0.8743676820008529	0.40877268593838495	0.8493985391643406	0.8753817375234391	0.6933793050538054	0.43788334525499184	0.6113983090048762	0.8231820222893647
