	LiJ_2017__H1M414905__bin.7	LeChatelierE_2013__MH0006__bin.33	YuJ_2015__SZAXPI015237-23__bin.22	QinN_2014__HD-19__bin.23	LiJ_2017__H2M514818__bin.18	LiJ_2017__nHM511825__bin.51	QinN_2014__LD-36__bin.31	LiJ_2017__H1M512853__bin.15	YuJ_2015__SZAXPI015233-19__bin.50	WenC_2017__RA058__bin.32	WenC_2017__N253__bin.168	ChengpingW_2017__AS45raw__bin.36	LiJ_2017__nHM511738__bin.28	ZellerG_2014__CCIS63448910ST-4-0__bin.32	LiJ_2017__H1M412949__bin.25	QinJ_2012__CON-016__bin.30	YuJ_2015__SZAXPI017582-94__bin.21	LiJ_2017__H3M516804__bin.42	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	LiJ_2017__nHF512818__bin.22	HeQ_2017__SZAXPI029491-89__bin.1	YuJ_2015__SZAXPI015273-95__bin.73	QinJ_2012__CON-015__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	ZellerG_2014__CCMD26709089ST-21-0__bin.19	NielsenHB_2014__MH0006__bin.62	LeChatelierE_2013__MH0316__bin.8	LiJ_2017__nHF411719__bin.6	HeQ_2017__SZAXPI029561-52__bin.9	ZeeviD_2015__PNP_Validation_2__bin.26
LiJ_2017__H1M414905__bin.7	0.0	33036.0	39228.0	31091.0	15717.0	32725.0	38377.0	22740.0	30071.0	21695.0	19894.0	31939.0	25341.0	44075.0	27451.0	34738.0	33523.0	33938.0	43372.0	25617.0	24245.0	24286.0	22069.0	30634.0	22962.0	31542.0	30086.0	28426.0	30807.0	44483.0
LeChatelierE_2013__MH0006__bin.33	33036.0	0.0	46005.0	42419.0	20943.0	41663.0	46665.0	28043.0	38233.0	29664.0	32584.0	42483.0	32419.0	25481.0	36427.0	44969.0	37018.0	43761.0	21756.0	32749.0	32525.0	33249.0	30789.0	35750.0	37526.0	4219.0	14888.0	36798.0	40105.0	18794.0
YuJ_2015__SZAXPI015237-23__bin.22	39228.0	46005.0	0.0	30229.0	26198.0	36267.0	31949.0	21546.0	28237.0	26330.0	27381.0	33072.0	23139.0	60594.0	25784.0	31823.0	3011.0	34638.0	61277.0	23942.0	23058.0	25714.0	24165.0	29612.0	37070.0	41792.0	41549.0	26992.0	27109.0	63790.0
QinN_2014__HD-19__bin.23	31091.0	42419.0	30229.0	0.0	22543.0	27681.0	30734.0	19077.0	26002.0	21197.0	24010.0	28180.0	19258.0	53078.0	25086.0	28946.0	27036.0	27963.0	53786.0	20352.0	22651.0	20951.0	20004.0	27585.0	29478.0	38295.0	37508.0	25486.0	25204.0	55258.0
LiJ_2017__H2M514818__bin.18	15717.0	20943.0	26198.0	22543.0	0.0	21246.0	25105.0	17281.0	20696.0	16375.0	16949.0	21671.0	20960.0	28055.0	19639.0	23571.0	23198.0	22073.0	26663.0	21641.0	17980.0	16281.0	17282.0	19939.0	18142.0	19440.0	18700.0	21908.0	21551.0	27499.0
LiJ_2017__nHM511825__bin.51	32725.0	41663.0	36267.0	27681.0	21246.0	0.0	35866.0	19893.0	27425.0	11866.0	23626.0	30922.0	21859.0	54279.0	24189.0	31772.0	29231.0	31295.0	54536.0	22547.0	22584.0	20712.0	5006.0	29108.0	31774.0	37942.0	36144.0	26788.0	28109.0	57066.0
QinN_2014__LD-36__bin.31	38377.0	46665.0	31949.0	30734.0	25105.0	35866.0	0.0	21300.0	25893.0	24230.0	26808.0	33581.0	22444.0	61118.0	26582.0	30936.0	26450.0	34345.0	60644.0	23848.0	23772.0	25602.0	22674.0	28399.0	38152.0	42567.0	41516.0	26748.0	25621.0	61986.0
LiJ_2017__H1M512853__bin.15	22740.0	28043.0	21546.0	19077.0	17281.0	19893.0	21300.0	0.0	18274.0	16592.0	18690.0	20516.0	16842.0	35292.0	18204.0	20553.0	19142.0	22045.0	36086.0	17316.0	14597.0	17021.0	16200.0	19240.0	21448.0	24539.0	25488.0	18548.0	18009.0	36726.0
YuJ_2015__SZAXPI015233-19__bin.50	30071.0	38233.0	28237.0	26002.0	20696.0	27425.0	25893.0	18274.0	0.0	20818.0	22288.0	26105.0	20057.0	47372.0	22940.0	24884.0	24299.0	27436.0	47742.0	20723.0	20595.0	21664.0	19744.0	25987.0	28810.0	35764.0	33931.0	23524.0	9722.0	48333.0
WenC_2017__RA058__bin.32	21695.0	29664.0	26330.0	21197.0	16375.0	11866.0	24230.0	16592.0	20818.0	0.0	18496.0	22289.0	17581.0	37327.0	18947.0	23364.0	23336.0	23935.0	37901.0	18262.0	17759.0	18009.0	7968.0	21764.0	22828.0	27183.0	26662.0	20697.0	21254.0	38524.0
