	LiJ_2017__H1M414905__bin.7	LeChatelierE_2013__MH0006__bin.33	YuJ_2015__SZAXPI015237-23__bin.22	QinN_2014__HD-19__bin.23	LiJ_2017__H2M514818__bin.18	LiJ_2017__nHM511825__bin.51	QinN_2014__LD-36__bin.31	LiJ_2017__H1M512853__bin.15	YuJ_2015__SZAXPI015233-19__bin.50	WenC_2017__RA058__bin.32	WenC_2017__N253__bin.168	ChengpingW_2017__AS45raw__bin.36	LiJ_2017__nHM511738__bin.28	ZellerG_2014__CCIS63448910ST-4-0__bin.32	LiJ_2017__H1M412949__bin.25	QinJ_2012__CON-016__bin.30	YuJ_2015__SZAXPI017582-94__bin.21	LiJ_2017__H3M516804__bin.42	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	LiJ_2017__nHF512818__bin.22	HeQ_2017__SZAXPI029491-89__bin.1	YuJ_2015__SZAXPI015273-95__bin.73	QinJ_2012__CON-015__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	ZellerG_2014__CCMD26709089ST-21-0__bin.19	NielsenHB_2014__MH0006__bin.62	LeChatelierE_2013__MH0316__bin.8	LiJ_2017__nHF411719__bin.6	HeQ_2017__SZAXPI029561-52__bin.9	ZeeviD_2015__PNP_Validation_2__bin.26
LiJ_2017__H1M414905__bin.7	2977184.0	1688016.0	2243924.0	2149627.0	1322443.0	2181194.0	2255315.0	1341689.0	1745679.0	1484257.0	1876000.0	2146377.0	1621408.0	2167753.0	1713634.0	2222271.0	1862423.0	2273767.0	2200256.0	1642162.0	1443341.0	1579595.0	1497967.0	1970203.0	2282785.0	1597680.0	1428989.0	1844789.0	1936891.0	2257350.0
LeChatelierE_2013__MH0006__bin.33	1688016.0	2164267.0	1729120.0	1713987.0	1025792.0	1667739.0	1763603.0	1096022.0	1424030.0	1166728.0	1479910.0	1701898.0	1287147.0	1770264.0	1364831.0	1754628.0	1454041.0	1745307.0	1828731.0	1310256.0	1201039.0	1273854.0	1207178.0	1590823.0	1735811.0	1653162.0	1251544.0	1465831.0	1575619.0	1871006.0
YuJ_2015__SZAXPI015237-23__bin.22	2243924.0	1729120.0	2918786.0	2270105.0	1345577.0	2247792.0	2483732.0	1407954.0	1867489.0	1553635.0	1903241.0	2277114.0	1667744.0	2173762.0	1789039.0	2388936.0	2158731.0	2439828.0	2272693.0	1689828.0	1520033.0	1624327.0	1604014.0	2078454.0	2318399.0	1616800.0	1438114.0	1938549.0	2085335.0	2313047.0
QinN_2014__HD-19__bin.23	2149627.0	1713987.0	2270105.0	2647031.0	1332518.0	2175896.0	2307658.0	1397979.0	1822276.0	1514162.0	1896548.0	2245523.0	1657417.0	2114242.0	1790448.0	2295614.0	1897958.0	2377698.0	2194547.0	1693092.0	1513718.0	1633365.0	1615136.0	2028524.0	2263272.0	1587558.0	1427197.0	1887131.0	1995183.0	2216224.0
LiJ_2017__H2M514818__bin.18	1322443.0	1025792.0	1345577.0	1332518.0	1540789.0	1291890.0	1361259.0	1045630.0	1088374.0	951173.0	1189712.0	1332160.0	1269406.0	1304944.0	1136054.0	1334372.0	1168551.0	1375603.0	1319652.0	1285336.0	952961.0	939719.0	984489.0	1194154.0	1344695.0	958401.0	862058.0	1289417.0	1188719.0	1338071.0
LiJ_2017__nHM511825__bin.51	2181194.0	1667739.0	2247792.0	2175896.0	1291890.0	2911364.0	2301375.0	1349138.0	1787799.0	1503789.0	1828016.0	2189895.0	1607369.0	2062382.0	1716516.0	2234961.0	1834559.0	2321451.0	2116767.0	1646123.0	1468890.0	1588242.0	1556325.0	1938470.0	2203010.0	1554454.0	1361445.0	1862494.0	1988877.0	2231650.0
QinN_2014__LD-36__bin.31	2255315.0	1763603.0	2483732.0	2307658.0	1361259.0	2301375.0	2892123.0	1419839.0	1884558.0	1550310.0	1957434.0	2329593.0	1683102.0	2229727.0	1802406.0	2435739.0	1978474.0	2522180.0	2310794.0	1720274.0	1547089.0	1647542.0	1607509.0	2102492.0	2336480.0	1644174.0	1455623.0	1937936.0	2098922.0	2332056.0
LiJ_2017__H1M512853__bin.15	1341689.0	1096022.0	1407954.0	1397979.0	1045630.0	1349138.0	1419839.0	1609655.0	1169676.0	1021171.0	1229618.0	1391169.0	1239192.0	1312182.0	1207160.0	1397290.0	1238297.0	1446442.0	1365264.0	1267673.0	1000024.0	1031831.0	1083478.0	1278636.0	1381996.0	1005375.0	929106.0	1322474.0	1262600.0	1383122.0
YuJ_2015__SZAXPI015233-19__bin.50	1745679.0	1424030.0	1867489.0	1822276.0	1088374.0	1787799.0	1884558.0	1169676.0	2116429.0	1250662.0	1576837.0	1812054.0	1360534.0	1720257.0	1490809.0	1847577.0	1580814.0	1866677.0	1775260.0	1402159.0	1290210.0	1366681.0	1330425.0	1680827.0	1808400.0	1346627.0	1176081.0	1579357.0	1704061.0	1785604.0
WenC_2017__RA058__bin.32	1484257.0	1166728.0	1553635.0	1514162.0	951173.0	1503789.0	1550310.0	1021171.0	1250662.0	1910334.0	1315346.0	1510882.0	1171950.0	1434574.0	1238341.0	1547406.0	1323901.0	1563786.0	1487823.0	1216043.0	1053863.0	1118501.0	1182028.0	1366924.0	1509572.0	1083927.0	1030265.0	1335789.0	1376386.0	1509755.0
