	LiJ_2017__H1M414905__bin.7	LeChatelierE_2013__MH0006__bin.33	YuJ_2015__SZAXPI015237-23__bin.22	QinN_2014__HD-19__bin.23	LiJ_2017__H2M514818__bin.18	LiJ_2017__nHM511825__bin.51	QinN_2014__LD-36__bin.31	LiJ_2017__H1M512853__bin.15	YuJ_2015__SZAXPI015233-19__bin.50	WenC_2017__RA058__bin.32	WenC_2017__N253__bin.168	ChengpingW_2017__AS45raw__bin.36	LiJ_2017__nHM511738__bin.28	ZellerG_2014__CCIS63448910ST-4-0__bin.32	LiJ_2017__H1M412949__bin.25	QinJ_2012__CON-016__bin.30	YuJ_2015__SZAXPI017582-94__bin.21	LiJ_2017__H3M516804__bin.42	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	LiJ_2017__nHF512818__bin.22	HeQ_2017__SZAXPI029491-89__bin.1	YuJ_2015__SZAXPI015273-95__bin.73	QinJ_2012__CON-015__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	ZellerG_2014__CCMD26709089ST-21-0__bin.19	NielsenHB_2014__MH0006__bin.62	LeChatelierE_2013__MH0316__bin.8	LiJ_2017__nHF411719__bin.6	HeQ_2017__SZAXPI029561-52__bin.9	ZeeviD_2015__PNP_Validation_2__bin.26
LiJ_2017__H1M414905__bin.7	1.0	0.5669841030987671	0.7537068585616475	0.7220336398422134	0.44419256586089406	0.7326366123155303	0.7575329573180563	0.4506570638563152	0.5863524054945882	0.4985439260724228	0.6301256489353698	0.7209420042563711	0.5446112836828358	0.7281219434203596	0.5755888786181842	0.746433878456958	0.62556529928953	0.7637307603426594	0.7390393069423993	0.5515823005900878	0.48480073787847844	0.530566804067199	0.503148948805314	0.6617672941947828	0.766759797177467	0.5366413362425702	0.47998007513139934	0.6196422525446865	0.6505781973838365	0.7582164891387297
LeChatelierE_2013__MH0006__bin.33	0.7799481302445586	1.0	0.7989402416614956	0.7919480359863178	0.47396739866199505	0.7705791383410642	0.8148731187048548	0.5064171842013947	0.6579733461721682	0.5390869056359497	0.6837927113429165	0.7863623111196539	0.5947265286584327	0.8179508350864289	0.6306204363879317	0.8107262181606983	0.6718399347215478	0.8064194482473743	0.844965524124334	0.6054040467280608	0.5549403100449252	0.5885844953510819	0.5577768362221482	0.7350400851650929	0.8020318195490668	0.7638438325770341	0.5782761553911786	0.6772875065784397	0.7280150739257217	0.8644986963253609
YuJ_2015__SZAXPI015237-23__bin.22	0.7687867490114041	0.592410680330795	1.0	0.7777565741373297	0.4610057057968621	0.7701119575056204	0.8509469347872711	0.4823765771111688	0.6398170335201004	0.5322880814146703	0.6520659616703657	0.7801579149687575	0.571382759818637	0.7447486729071607	0.6129394207043614	0.8184690484331499	0.739598929143829	0.835905064639888	0.7786432441432842	0.5789489191739305	0.5207757608814075	0.5565077398617096	0.5495483396179096	0.7120953711577348	0.7943024942561736	0.5539289279858133	0.49270964024083985	0.664162771782515	0.7144528581403364	0.7924688552021285
QinN_2014__HD-19__bin.23	0.8120898470777259	0.6475130060811528	0.8576042365956424	1.0	0.5034009801925251	0.8220137958338984	0.871791074603962	0.5281309512431097	0.6884226138643635	0.5720227681504296	0.7164812199026003	0.8483176056494994	0.6261418925581151	0.7987220399005527	0.6763985763672583	0.8672410712228154	0.7170138921682443	0.8982509082817692	0.8290598032285984	0.6396192564424066	0.5718550330540141	0.6170554859387745	0.610168902442019	0.7663393439668822	0.8550228539068866	0.5997504373768195	0.5391689783761505	0.7129236491752458	0.7537437226840185	0.8372489781948153
LiJ_2017__H2M514818__bin.18	0.8582894867499703	0.6657576086018268	0.8733038722368864	0.8648283444391153	1.0	0.8384600357349384	0.8834817745973005	0.6786328303226464	0.706374461396077	0.6173285245416472	0.7721446609496823	0.8645959959475308	0.8238675120344188	0.846932318442045	0.7373196459735889	0.8660316240575445	0.7584107882390126	0.8927912906958707	0.8564780771409972	0.8342063708917964	0.6184889689633039	0.6098946708472088	0.6389512126579304	0.7750275994961023	0.8727314382436531	0.6220196276063757	0.5594912736266938	0.8368550138922332	0.7715001859436951	0.8684323421312068
LiJ_2017__nHM511825__bin.51	0.749200031325523	0.5728376802076278	0.7720752197251872	0.7473802657448536	0.4437404597982252	1.0	0.7904799949439507	0.46340409512517156	0.6140760825509967	0.5165238699111482	0.6278898825430279	0.7521886648320169	0.5521016952878445	0.7083902940339992	0.5895916827988531	0.7676680071609047	0.6301372827307063	0.7973757317875745	0.727070541505631	0.5654129816814387	0.5045367051320274	0.5455319224940612	0.5345690198820896	0.6658288005209929	0.7566934261741232	0.533926365785934	0.4676313233247371	0.6397324415634733	0.6831426781398685	0.7665307395433892
QinN_2014__LD-36__bin.31	0.7798129609287019	0.6097952957049199	0.8587919670083188	0.7979114304612909	0.47067811431256557	0.7957389779065414	1.0	0.49093313112893194	0.6516175141928611	0.5360456661075618	0.6768156126139864	0.8054958243477196	0.5819607257367685	0.7709654810670223	0.623212083303511	0.8421975828828857	0.6840905452499773	0.8720860074070156	0.7989957550214842	0.5948135677493661	0.5349319513727459	0.5696652597417191	0.5558231790280013	0.7269718473246124	0.8078771200256697	0.5685007172931442	0.5033060488782808	0.6700738523223252	0.7257374599904638	0.8063474478782542
LiJ_2017__H1M512853__bin.15	0.8335258176441536	0.6809049144071245	0.8746930242816007	0.8684960441833809	0.6495988270778521	0.8381535173686286	0.8820765940527628	1.0	0.7266625457007868	0.6344036455016758	0.7639015813947709	0.8642653239358744	0.7698494397867867	0.8151945603250386	0.7499495233450646	0.868068002149529	0.7692934200185754	0.8986037380680953	0.848171813214633	0.7875432934386561	0.6212660476934498	0.641026182629197	0.6731119401362404	0.7943540696608901	0.8585665872500629	0.6245903625311013	0.5772081595124421	0.8215884770338986	0.7843916864172757	0.859266116031075
YuJ_2015__SZAXPI015233-19__bin.50	0.8248228501877455	0.6728456281784081	0.8823773441017866	0.8610144729636572	0.5142501827370538	0.8447242973896124	0.8904423441561233	0.5526648897742377	1.0	0.5909302887080077	0.7450460185529494	0.8561846393146191	0.6428441492721939	0.8128111077669036	0.7043983048805322	0.8729690436107236	0.746925127183572	0.8819936789752928	0.8387996951468724	0.662511711944979	0.6096164813466457	0.6457485698787911	0.6286178274820464	0.7941806694200467	0.8544581462453973	0.6362731752399915	0.5556912138323563	0.7462367034282748	0.8051585949729474	0.8436871730636841
WenC_2017__RA058__bin.32	0.7769620390989219	0.6107455554892495	0.8132792485502535	0.7926163697028896	0.4979092661283315	0.7871864291794001	0.8115387152194329	0.5345510261556357	0.6546823749145437	1.0	0.6885424224245603	0.7908993924622605	0.6134791088888121	0.750954545121429	0.6482327174200951	0.810018562199071	0.693020696904311	0.8185929790287981	0.7788287283794352	0.6365604129958427	0.5516642639454671	0.5855002318966213	0.6187546261543793	0.7155418895334533	0.7902136485033507	0.5674018260681116	0.5393114502490141	0.6992436924642497	0.7204949500977316	0.7903094432701298
