	LiJ_2014__O2.UC20-1__bin.46	ZellerG_2014__CCIS22275061ST-4-0__bin.88	FengQ_2015__SID530168__bin.25	HMP_2012__SRS018313__bin.11	HeQ_2017__SZAXPI029499-101__bin.12	FengQ_2015__SID531155__bin.32	ZellerG_2014__CCIS81735969ST-20-0__bin.63	LiJ_2014__O2.UC18-1__bin.41	LiJ_2014__O2.UC8-1__bin.4	KarlssonFH_2013__S312__bin.44	XieH_2016__YSZC12003_37399__bin.8	NielsenHB_2014__V1_CD20_4__bin.46	BackhedF_2015__SID10_4M__bin.10	LiJ_2014__V1.FI29__bin.10	HMP_2012__SRS014923__bin.60	ZeeviD_2015__PNP_Main_454__bin.8	YuJ_2015__SZAXPI015211-166__bin.60	CosteaPI_2017__SID713A068-11-0-0__bin.28	IjazUZ_2017__S58_a_WGS__bin.15	YuJ_2015__SZAXPI017590-136__bin.13	ZellerG_2014__CCMD25963797ST-21-0__bin.46	NielsenHB_2014__V1_UC4_0__bin.35	FengQ_2015__SID530315__bin.10	ZellerG_2014__CCIS78100604ST-4-0__bin.51	SchirmerM_2016__G89021__bin.21	LiJ_2014__V1.FI20__bin.59	FengQ_2015__SID31256__bin.39	FengQ_2015__SID530403__bin.30	ZellerG_2014__CCIS27927933ST-4-0__bin.36	ZeeviD_2015__PNP_Main_433__bin.17	NielsenHB_2014__O2_UC11_2__bin.52	FengQ_2015__SID531281__bin.22	XieH_2016__YSZC12003_37353__bin.57	HMP_2012__SRS011134__bin.53	FengQ_2015__SID31233__bin.14	GeversD_2014__SKBSTL064__bin.11	LiJ_2014__V1.FI37__bin.84	SchirmerM_2016__G88908__bin.27	ZellerG_2014__CCIS82146115ST-4-0__bin.67	XieH_2016__YSZC12003_37097__bin.8	XieH_2016__YSZC12003_35577__bin.17	FengQ_2015__SID31237__bin.67	QinJ_2012__T2D-102__bin.42	IjazUZ_2017__S56_a_WGS__bin.5	YuJ_2015__SZAXPI015257-56__bin.4	QinJ_2012__T2D-107__bin.61	CosteaPI_2017__alien3-11-0-0__bin.38
LiJ_2014__O2.UC20-1__bin.46	1.0	0.7820763911449391	0.5591117092866756	0.8455757181974289	0.7617259943379588	0.7247872093562908	0.734694389010071	0.7013704924119367	0.7462050401447997	0.5765614702742841	0.7815904766324778	0.7432658838817469	0.5241068362184992	0.5988067944493434	0.8165921009885367	0.8222745625841184	0.47548614656332666	0.4844210330904534	0.5642711282313083	0.6291293451524573	0.810023205086555	0.5058151946906762	0.691381166751752	0.774680465958138	0.39327841462848656	0.6748930245509815	0.4398839745672251	0.7706520629321947	0.7847333735554833	0.4491618322736344	0.6479899754026083	0.5440209773982457	0.7288819789297815	0.8161187172228153	0.7778688448507912	0.5374311969183644	0.857559753097879	0.4807021859191535	0.5770710539750313	0.7351598830463638	0.640956513667796	0.7333141504617812	0.7814865178447116	0.41566900264537987	0.756098760848378	0.4576302965610062	0.6555655079593447
ZellerG_2014__CCIS22275061ST-4-0__bin.88	0.7592718084396978	1.0	0.5427378193182351	0.7926562663331255	0.7316104777112538	0.6874520144037891	0.7227225540412433	0.6658954427651238	0.716455139550224	0.5520190897064813	0.7563295930100531	0.7149952960598643	0.4691603556971744	0.583043917859473	0.7799813103987716	0.7800682702116233	0.4606635259005072	0.4717795131692301	0.5483437985488074	0.601314039368915	0.774878166148212	0.4959246035894127	0.6748518529198672	0.753972666683488	0.3817531278498488	0.657349951518778	0.40397473930078903	0.7408007331658418	0.7428963294848735	0.43702893013297195	0.6386409758242708	0.5245154581205146	0.7058289207611372	0.7711046509532238	0.7504753502723239	0.5101981782595061	0.8000820936678839	0.4584629470094836	0.5446329124418315	0.7165128123794728	0.6173092381058801	0.7070481604169745	0.7416793426739287	0.3894087453636452	0.7158982362927906	0.43366182815659615	0.641846323537363
FengQ_2015__SID530168__bin.25	0.4244750780089467	0.4244197600115005	1.0	0.5420335741486665	0.4383454492667018	0.43576347292730155	0.4869851198110309	0.43746353240295743	0.4729568984713911	0.4016928716594272	0.4983623054004459	0.5018304267307838	0.3177825164121804	0.39763351720988704	0.5091556570932472	0.4571313707306486	0.26778244594339384	0.2888342912390386	0.3408339135263426	0.44046409333449843	0.5342999771681132	0.3016740564934168	0.4234811157745788	0.5084270098402613	0.2274422367356603	0.41194608010327904	0.2909758376624658	0.4818641530920294	0.4323866086755533	0.25576646080385157	0.4110194155600718	0.3926143778874585	0.4534969430640392	0.5208196506439436	0.4867698376681033	0.31813309862529493	0.47898479847336417	0.3008227935518241	0.39419428808203694	0.45266224028728713	0.4047395896461621	0.4734966893764076	0.46958496703470165	0.24114876806467345	0.4614211581122258	0.25626079934153967	0.40951067883991465
HMP_2012__SRS018313__bin.11	0.5469074470416252	0.528078069514527	0.46177871699200634	1.0	0.546674211065051	0.5426908887881635	0.6005226046785276	0.5585260206700506	0.6082208927804911	0.4686974506137078	0.6196479547576237	0.5864537025085625	0.3743107231515974	0.4800296572902002	0.6570650689351892	0.5877918826675951	0.3418167791822632	0.36198283599338416	0.4372745310516031	0.5127358249859668	0.6739030854988458	0.3813516279991235	0.5229174608796928	0.6204896454633051	0.2862261698570267	0.5154809253794963	0.3449497056784105	0.5922209648224915	0.5490305848309565	0.32044311833799105	0.4909599296389795	0.4422712441353309	0.5608658848108448	0.6680955997346453	0.6071126466730103	0.42135444964414254	0.6038917689012694	0.3609694451865438	0.4591056585989632	0.5681277184598621	0.49469320613917916	0.5821702052296489	0.6005505209537161	0.3089518189104247	0.576851104193745	0.3283491275413566	0.49970312692299607
HeQ_2017__SZAXPI029499-101__bin.12	0.4358738957030613	0.43121504133030303	0.330388541496814	0.48364793369730275	1.0	0.40096634779066254	0.4150318760924792	0.40325979055205685	0.42779373249576813	0.324788780720209	0.4523529033721257	0.4247474052706693	0.28837360490641656	0.35546689725025876	0.46629759836495266	0.4786770372628679	0.25999955384624374	0.2681057426893192	0.3368389156551635	0.3544619890278044	0.46409577646422084	0.28496743343146946	0.3893254527000004	0.45199943274736704	0.2090503882865518	0.3756635873205227	0.22487583381622395	0.4393573473822194	0.44057470977432583	0.24150196599777243	0.3785837698823907	0.30025988456302694	0.4104680949606402	0.4635508315190633	0.43821620292347563	0.31125040432684165	0.5017044135760339	0.2740494136530485	0.32020694098394964	0.4068436268263755	0.3747630472089099	0.42210739664503	0.45494962446069837	0.22765101640730437	0.4273767911878259	0.2554126683234551	0.36803117127577134
FengQ_2015__SID531155__bin.32	0.7437104589558902	0.7265870587534973	0.5889664861003631	0.8609631525686053	0.7190170843502589	1.0	0.7816198583249003	0.7592232871004228	0.7876273587713554	0.6484000238109412	0.8175186618251087	0.7863272813857968	0.5096255729507709	0.6367674266325376	0.8326381332222157	0.7561450086314662	0.5010412524555033	0.5036266444431217	0.5759452348354069	0.7024441931067326	0.8445074111554258	0.527201857253408	0.7168383832370975	0.8091191142329901	0.39653026965890825	0.6871380439311864	0.4779246383713316	0.8080890529198167	0.726210369664861	0.4600411929281505	0.6788056431930473	0.6126383713316269	0.7491460205964641	0.850343949044586	0.8310047026608727	0.5419360676230729	0.8033787725459849	0.4920083338293946	0.6303379963093041	0.7632873385320554	0.6483762128698136	0.76238204655039	0.7890074409191024	0.4254858027263528	0.7759919042800166	0.4561538186796833	0.6668868385022918
ZellerG_2014__CCIS81735969ST-20-0__bin.63	0.6731653799786957	0.6820850936259513	0.58772901522126	0.8507130115302267	0.6645603396771197	0.6979386769686752	1.0	0.689623646426225	0.7326518245738621	0.6082082967454696	0.7676809212274811	0.742548726529727	0.4776941247509722	0.6032066914861726	0.8056156435176228	0.7153299073627184	0.4345630399146129	0.4650272468846276	0.5274359012521023	0.6688012008615246	0.8312100678461247	0.4879809665149289	0.6676364842482603	0.7691254419778495	0.37245927850504645	0.651473755605119	0.44574840165075935	0.7494456008453657	0.6675059373332284	0.4040150617971675	0.6182986802855023	0.5845750527822013	0.7147754018995215	0.8044254128493034	0.7624450118959282	0.5031499227136749	0.7502943684101979	0.4455387611650568	0.591840179959135	0.7391570581444054	0.6036672201799167	0.6947217798604808	0.7351432720499906	0.3889400823678744	0.7243359435629103	0.41679079963174714	0.6439798524011916
LiJ_2014__O2.UC18-1__bin.41	0.6181428265240845	0.6045041500123528	0.5078431388589388	0.7610679266953859	0.621103790393699	0.652104947128859	0.6633434390865228	1.0	0.7122474038903606	0.5354648946422057	0.7125623565329359	0.6817972097650044	0.39542426984160745	0.6186778369870567	0.7598199779778568	0.6727335271587346	0.410193912660769	0.4339732462046161	0.5092068428983497	0.5759514433011618	0.7414140637398703	0.46691565650037714	0.5969518310610386	0.7217458847551468	0.33874056573675193	0.5791684595788961	0.3510576682378849	0.6763669353717178	0.6114110205610902	0.3810272528112591	0.5843381822405976	0.4711151614111842	0.6658078412573236	0.7414050650929397	0.6912817836299887	0.4829316119194441	0.691287510041672	0.401398962374203	0.5151684464899551	0.6341109255026562	0.5689357709304437	0.6775265337375634	0.6798330505576707	0.3559116201981993	0.6531438818199519	0.3817655508889845	0.5825413160602942
LiJ_2014__O2.UC8-1__bin.4	0.6624752629859281	0.6551675689350487	0.5530691614569406	0.8348558382649419	0.6637183455835546	0.6814577152084171	0.7098949292365858	0.7174654959083753	1.0	0.5358027977392955	0.7498276701039254	0.7252700933774641	0.4225067582573111	0.6279450077069474	0.7699127040404511	0.6978266861857142	0.4412148011294458	0.4570114679210937	0.5362790998549256	0.5947917434923575	0.7912939719352576	0.49687581246387047	0.6465323269459682	0.7586178338884011	0.3580745363367835	0.6297797597146473	0.3765547288023927	0.7288571921825473	0.659486013981692	0.3988684116519319	0.6112888545716968	0.5034344431529717	0.7015237959465701	0.7925860856330224	0.7375509418709527	0.49176215713767146	0.7290240627334386	0.44340801580202316	0.5664797853838702	0.6953145633492114	0.594116020767761	0.6843855723309673	0.7216483843840479	0.3668684083557235	0.6821058321875576	0.39920709706633334	0.5991419145449728
KarlssonFH_2013__S312__bin.44	0.645424861219708	0.6365112310078164	0.5922984406212578	0.8112063299918694	0.6353880003428919	0.70737503279553	0.7430830655572903	0.6801265582747343	0.6756061003582182	1.0	0.7699055228971247	0.7178644070438304	0.6032268203792073	0.5050428484963412	0.8263886471616606	0.6921792077639034	0.38874743155800195	0.4270427393943802	0.47082431726850255	0.7460896038819517	0.7928709661498178	0.41016674416369453	0.6307205145456293	0.785801159078452	0.33582726561911463	0.592196612124345	0.5666527258605416	0.731026259802941	0.6514010510155575	0.3751694327477329	0.5922854522925699	0.7201352864316125	0.6625471151623151	0.7812557635708552	0.7503040567745823	0.4491748514784615	0.7401482228069857	0.43013292255579133	0.7122809843075013	0.6755780455682523	0.5691864890209658	0.6997197118669164	0.7091518361600266	0.38379835879478696	0.7236249905834617	0.39126872592288564	0.6255584331919337
