	LiJ_2014__O2.UC20-1__bin.46	ZellerG_2014__CCIS22275061ST-4-0__bin.88	FengQ_2015__SID530168__bin.25	HMP_2012__SRS018313__bin.11	HeQ_2017__SZAXPI029499-101__bin.12	FengQ_2015__SID531155__bin.32	ZellerG_2014__CCIS81735969ST-20-0__bin.63	LiJ_2014__O2.UC18-1__bin.41	LiJ_2014__O2.UC8-1__bin.4	KarlssonFH_2013__S312__bin.44	XieH_2016__YSZC12003_37399__bin.8	NielsenHB_2014__V1_CD20_4__bin.46	BackhedF_2015__SID10_4M__bin.10	LiJ_2014__V1.FI29__bin.10	HMP_2012__SRS014923__bin.60	ZeeviD_2015__PNP_Main_454__bin.8	YuJ_2015__SZAXPI015211-166__bin.60	CosteaPI_2017__SID713A068-11-0-0__bin.28	IjazUZ_2017__S58_a_WGS__bin.15	YuJ_2015__SZAXPI017590-136__bin.13	ZellerG_2014__CCMD25963797ST-21-0__bin.46	NielsenHB_2014__V1_UC4_0__bin.35	FengQ_2015__SID530315__bin.10	ZellerG_2014__CCIS78100604ST-4-0__bin.51	SchirmerM_2016__G89021__bin.21	LiJ_2014__V1.FI20__bin.59	FengQ_2015__SID31256__bin.39	FengQ_2015__SID530403__bin.30	ZellerG_2014__CCIS27927933ST-4-0__bin.36	ZeeviD_2015__PNP_Main_433__bin.17	NielsenHB_2014__O2_UC11_2__bin.52	FengQ_2015__SID531281__bin.22	XieH_2016__YSZC12003_37353__bin.57	HMP_2012__SRS011134__bin.53	FengQ_2015__SID31233__bin.14	GeversD_2014__SKBSTL064__bin.11	LiJ_2014__V1.FI37__bin.84	SchirmerM_2016__G88908__bin.27	ZellerG_2014__CCIS82146115ST-4-0__bin.67	XieH_2016__YSZC12003_37097__bin.8	XieH_2016__YSZC12003_35577__bin.17	FengQ_2015__SID31237__bin.67	QinJ_2012__T2D-102__bin.42	IjazUZ_2017__S56_a_WGS__bin.5	YuJ_2015__SZAXPI015257-56__bin.4	QinJ_2012__T2D-107__bin.61	CosteaPI_2017__alien3-11-0-0__bin.38
LiJ_2014__O2.UC20-1__bin.46	2154700.0	1695849.0	1225520.0	1852546.0	1658437.0	1587853.0	1608795.0	1537100.0	1635291.0	1262479.0	1712622.0	1627953.0	1137465.0	1312424.0	1789752.0	1786958.0	1047992.0	1061156.0	1236681.0	1380044.0	1774724.0	1105736.0	1515124.0	1696732.0	860421.0	1478677.0	964567.0	1687292.0	1704415.0	983871.0	1419730.0	1191669.0	1595867.0	1787482.0	1703295.0	1179584.0	1861344.0	1052152.0	1263849.0	1611869.0	1404998.0	1607117.0	1723140.0	910590.0	1666240.0	1007837.0	1433345.0
ZellerG_2014__CCIS22275061ST-4-0__bin.88	1695849.0	2219416.0	1226014.0	1789703.0	1644232.0	1552606.0	1632120.0	1503856.0	1618059.0	1245172.0	1707583.0	1613941.0	1050297.0	1317455.0	1761500.0	1749202.0	1045843.0	1064768.0	1238754.0	1359885.0	1750486.0	1118247.0	1525418.0	1702639.0	859787.0	1484803.0	911917.0	1672444.0	1665681.0	986061.0	1443303.0	1183946.0	1593278.0	1741457.0	1693857.0	1154534.0	1792818.0	1034441.0	1228707.0	1620273.0	1395343.0	1598664.0	1685871.0	879193.0	1627061.0	985323.0	1447642.0
FengQ_2015__SID530168__bin.25	1225520.0	1226014.0	2838136.0	1559966.0	1270992.0	1254271.0	1398216.0	1259517.0	1356987.0	1154759.0	1431271.0	1437058.0	919836.0	1140380.0	1464849.0	1324453.0	777423.0	830671.0	983339.0	1267658.0	1537129.0	866074.0	1219196.0	1463287.0	652722.0	1184288.0	837369.0	1389687.0	1250840.0	735309.0	1182344.0	1127522.0	1303750.0	1497806.0	1397572.0	918666.0	1386691.0	866847.0	1132727.0	1302826.0	1169627.0	1364446.0	1364849.0	695281.0	1339595.0	743990.0	1176651.0
HMP_2012__SRS018313__bin.11	1852546.0	1789703.0	1559966.0	3331390.0	1860459.0	1831736.0	2023278.0	1886178.0	2051525.0	1580084.0	2090476.0	1978215.0	1270000.0	1622289.0	2217499.0	1997368.0	1163920.0	1221882.0	1481175.0	1731716.0	2278520.0	1285123.0	1766274.0	2094831.0	964538.0	1737739.0	1163758.0	2002700.0	1862726.0	1082240.0	1657038.0	1490829.0	1892559.0	2252538.0	2048259.0	1429194.0	2050257.0	1221277.0	1548573.0	1914395.0	1676665.0	1968730.0	2047055.0	1046597.0	1964982.0	1118527.0	1686301.0
HeQ_2017__SZAXPI029499-101__bin.12	1658437.0	1644232.0	1270992.0	1860459.0	3765518.0	1541012.0	1595318.0	1550923.0	1645719.0	1248615.0	1739475.0	1632955.0	1097649.0	1367705.0	1793734.0	1822959.0	1003681.0	1030126.0	1296581.0	1363377.0	1784448.0	1092942.0	1497338.0	1737427.0	801091.0	1444316.0	864033.0	1687214.0	1680008.0	925811.0	1454316.0	1153152.0	1576758.0	1781617.0	1683795.0	1198402.0	1910861.0	1051675.0	1229641.0	1564796.0	1441408.0	1623263.0	1756638.0	875491.0	1649680.0	985131.0	1411988.0
FengQ_2015__SID531155__bin.32	1587853.0	1552606.0	1254271.0	1831736.0	1541012.0	2099875.0	1662204.0	1616194.0	1675902.0	1379041.0	1738687.0	1672409.0	1088285.0	1357121.0	1772111.0	1617747.0	1074836.0	1071275.0	1227677.0	1496997.0	1797768.0	1119833.0	1525794.0	1722614.0	842082.0	1462308.0	1017419.0	1723309.0	1552680.0	978093.0	1441626.0	1303215.0	1592820.0	1808857.0	1766996.0	1156914.0	1717646.0	1048413.0	1340168.0	1624003.0	1384072.0	1623195.0	1692227.0	907500.0	1664316.0	978908.0	1417884.0
ZellerG_2014__CCIS81735969ST-20-0__bin.63	1608795.0	1632120.0	1398216.0	2023278.0	1595318.0	1662204.0	2351645.0	1641676.0	1743581.0	1447443.0	1826499.0	1764581.0	1143865.0	1437120.0	1917216.0	1716352.0	1043617.0	1107094.0	1259436.0	1590747.0	1980342.0	1159953.0	1590804.0	1831661.0	885087.0	1549430.0	1060603.0	1787995.0	1599541.0	961927.0	1473354.0	1387335.0	1699688.0	1913682.0	1813185.0	1202078.0	1797739.0	1062714.0	1407710.0	1752892.0	1443557.0	1655863.0	1766603.0	928553.0	1739878.0	1001725.0	1533227.0
LiJ_2014__O2.UC18-1__bin.41	1537100.0	1503856.0	1259517.0	1886178.0	1550923.0	1616194.0	1641676.0	2444812.0	1761934.0	1323024.0	1764179.0	1686351.0	984431.0	1531240.0	1878709.0	1677927.0	1025485.0	1075401.0	1264340.0	1429938.0	1837633.0	1154924.0	1480704.0	1785042.0	836933.0	1435226.0	869175.0	1678982.0	1522283.0	944066.0	1447839.0	1165968.0	1645627.0	1837162.0	1711089.0	1200941.0	1722968.0	996809.0	1272637.0	1572619.0	1414200.0	1680120.0	1699534.0	884227.0	1633063.0	953715.0	1439912.0
LiJ_2014__O2.UC8-1__bin.4	1635291.0	1618059.0	1356987.0	2051525.0	1645719.0	1675902.0	1743581.0	1761934.0	2427031.0	1314244.0	1838465.0	1775095.0	1043972.0	1539607.0	1890591.0	1726965.0	1094382.0	1123699.0	1321955.0	1464506.0	1947600.0	1219533.0	1589303.0	1864701.0	878595.0	1548688.0	925787.0	1795717.0	1629981.0	979873.0	1502234.0	1235197.0	1722431.0	1948137.0	1811323.0	1212867.0	1803164.0	1092342.0	1390180.0	1708972.0	1465871.0	1684063.0	1790051.0	903876.0	1691875.0	989817.0	1471113.0
KarlssonFH_2013__S312__bin.44	1262479.0	1245172.0	1154759.0	1580084.0	1248615.0	1379041.0	1447443.0	1323024.0	1314244.0	1924805.0	1498725.0	1397136.0	1182319.0	985582.0	1603277.0	1358528.0	763572.0	832249.0	919559.0	1454926.0	1546891.0	797916.0	1229779.0	1528124.0	652696.0	1152409.0	1104701.0	1428090.0	1276251.0	730229.0	1153657.0	1403370.0	1287933.0	1521180.0	1460039.0	878677.0	1450470.0	839598.0	1384198.0	1317039.0	1113133.0	1364496.0	1393675.0	749593.0	1422036.0	770013.0	1215808.0
