	LiJ_2014__O2.UC20-1__bin.46	ZellerG_2014__CCIS22275061ST-4-0__bin.88	FengQ_2015__SID530168__bin.25	HMP_2012__SRS018313__bin.11	HeQ_2017__SZAXPI029499-101__bin.12	FengQ_2015__SID531155__bin.32	ZellerG_2014__CCIS81735969ST-20-0__bin.63	LiJ_2014__O2.UC18-1__bin.41	LiJ_2014__O2.UC8-1__bin.4	KarlssonFH_2013__S312__bin.44	XieH_2016__YSZC12003_37399__bin.8	NielsenHB_2014__V1_CD20_4__bin.46	BackhedF_2015__SID10_4M__bin.10	LiJ_2014__V1.FI29__bin.10	HMP_2012__SRS014923__bin.60	ZeeviD_2015__PNP_Main_454__bin.8	YuJ_2015__SZAXPI015211-166__bin.60	CosteaPI_2017__SID713A068-11-0-0__bin.28	IjazUZ_2017__S58_a_WGS__bin.15	YuJ_2015__SZAXPI017590-136__bin.13	ZellerG_2014__CCMD25963797ST-21-0__bin.46	NielsenHB_2014__V1_UC4_0__bin.35	FengQ_2015__SID530315__bin.10	ZellerG_2014__CCIS78100604ST-4-0__bin.51	SchirmerM_2016__G89021__bin.21	LiJ_2014__V1.FI20__bin.59	FengQ_2015__SID31256__bin.39	FengQ_2015__SID530403__bin.30	ZellerG_2014__CCIS27927933ST-4-0__bin.36	ZeeviD_2015__PNP_Main_433__bin.17	NielsenHB_2014__O2_UC11_2__bin.52	FengQ_2015__SID531281__bin.22	XieH_2016__YSZC12003_37353__bin.57	HMP_2012__SRS011134__bin.53	FengQ_2015__SID31233__bin.14	GeversD_2014__SKBSTL064__bin.11	LiJ_2014__V1.FI37__bin.84	SchirmerM_2016__G88908__bin.27	ZellerG_2014__CCIS82146115ST-4-0__bin.67	XieH_2016__YSZC12003_37097__bin.8	XieH_2016__YSZC12003_35577__bin.17	FengQ_2015__SID31237__bin.67	QinJ_2012__T2D-102__bin.42	IjazUZ_2017__S56_a_WGS__bin.5	YuJ_2015__SZAXPI015257-56__bin.4	QinJ_2012__T2D-107__bin.61	CosteaPI_2017__alien3-11-0-0__bin.38
LiJ_2014__O2.UC20-1__bin.46	0.0	10709.0	20802.0	30584.0	17146.0	26154.0	25749.0	25857.0	27443.0	20162.0	28529.0	26438.0	8172.0	22175.0	30241.0	15203.0	23462.0	17374.0	20846.0	24459.0	29367.0	15856.0	25405.0	27528.0	13024.0	24485.0	16749.0	26768.0	13550.0	16062.0	23506.0	19467.0	25345.0	28991.0	27221.0	21581.0	13560.0	16383.0	20434.0	27820.0	23929.0	27045.0	39271.0	14948.0	37074.0	21781.0	20798.0
ZellerG_2014__CCIS22275061ST-4-0__bin.88	10709.0	0.0	21453.0	30469.0	20484.0	26864.0	28098.0	25957.0	27947.0	20012.0	28973.0	27069.0	9035.0	23438.0	30397.0	17906.0	23439.0	17693.0	21751.0	25319.0	30709.0	17584.0	27641.0	29260.0	12518.0	25870.0	15329.0	28299.0	16885.0	16112.0	25893.0	19828.0	26750.0	30055.0	28240.0	22192.0	17103.0	16921.0	19940.0	30033.0	25277.0	29430.0	39776.0	14933.0	38185.0	22847.0	23118.0
FengQ_2015__SID530168__bin.25	20802.0	21453.0	0.0	21601.0	26908.0	17515.0	16086.0	17936.0	14671.0	14700.0	16851.0	12795.0	17926.0	11842.0	19796.0	27052.0	17420.0	10920.0	16006.0	17561.0	20713.0	9882.0	17299.0	20302.0	7210.0	15129.0	11540.0	22091.0	23668.0	9409.0	15815.0	13229.0	16664.0	19649.0	16053.0	15761.0	27267.0	13071.0	13950.0	18109.0	20921.0	20598.0	32103.0	10868.0	30019.0	16687.0	14404.0
HMP_2012__SRS018313__bin.11	30584.0	30469.0	21601.0	0.0	39274.0	23821.0	22703.0	25510.0	25304.0	18670.0	26187.0	24509.0	23025.0	23123.0	28559.0	39204.0	25195.0	15976.0	24443.0	23593.0	33486.0	14692.0	24232.0	27738.0	11007.0	20471.0	14596.0	29781.0	33691.0	14719.0	21459.0	17451.0	24096.0	26851.0	25730.0	25498.0	38458.0	18747.0	19113.0	21740.0	28649.0	29294.0	46387.0	17358.0	43266.0	24668.0	21595.0
HeQ_2017__SZAXPI029499-101__bin.12	17146.0	20484.0	26908.0	39274.0	0.0	31166.0	32508.0	32441.0	34854.0	25617.0	36132.0	33561.0	11773.0	29188.0	37882.0	20492.0	24648.0	20569.0	28208.0	28644.0	36887.0	19892.0	31326.0	35415.0	13908.0	29748.0	17259.0	32806.0	21016.0	16431.0	28752.0	22518.0	31133.0	36108.0	33684.0	26383.0	21684.0	19737.0	23896.0	32819.0	30231.0	33810.0	43517.0	18267.0	40385.0	23370.0	26160.0
FengQ_2015__SID531155__bin.32	26154.0	26864.0	17515.0	23821.0	31166.0	0.0	20900.0	21920.0	21983.0	17482.0	22000.0	21220.0	18135.0	19989.0	23675.0	29937.0	22712.0	13722.0	18264.0	21952.0	24408.0	12775.0	20523.0	23565.0	9418.0	19404.0	13837.0	26423.0	27729.0	12064.0	16219.0	16751.0	19707.0	23241.0	21990.0	18916.0	30651.0	15257.0	16537.0	21195.0	22563.0	22288.0	35410.0	14033.0	34830.0	21042.0	17505.0
ZellerG_2014__CCIS81735969ST-20-0__bin.63	25749.0	28098.0	16086.0	22703.0	32508.0	20900.0	0.0	19926.0	20644.0	17153.0	21186.0	18370.0	20498.0	18592.0	22694.0	34150.0	21679.0	13515.0	19094.0	17964.0	25631.0	12395.0	20760.0	22951.0	9195.0	17395.0	12361.0	25565.0	29804.0	11827.0	19335.0	12622.0	18790.0	21959.0	20185.0	18848.0	33313.0	14965.0	15912.0	14657.0	23946.0	22124.0	37807.0	13904.0	36497.0	21581.0	18815.0
LiJ_2014__O2.UC18-1__bin.41	25857.0	25957.0	17936.0	25510.0	32441.0	21920.0	19926.0	0.0	20623.0	13913.0	22098.0	19485.0	17693.0	18689.0	21092.0	33220.0	22638.0	14418.0	19425.0	21845.0	25015.0	13403.0	21269.0	20509.0	8776.0	19268.0	10905.0	25392.0	27498.0	12526.0	19242.0	14180.0	17852.0	24566.0	21035.0	20264.0	32900.0	15464.0	13147.0	22337.0	23259.0	23695.0	37470.0	14090.0	36249.0	20370.0	15708.0
LiJ_2014__O2.UC8-1__bin.4	27443.0	27947.0	14671.0	25304.0	34854.0	21983.0	20644.0	20623.0	0.0	13834.0	18610.0	14842.0	18535.0	15565.0	21989.0	33318.0	23540.0	14518.0	20389.0	20928.0	27105.0	13600.0	20149.0	23512.0	9537.0	20193.0	11877.0	26758.0	29388.0	11807.0	18617.0	13346.0	19811.0	24506.0	21264.0	19345.0	33800.0	16177.0	15316.0	21422.0	23933.0	23038.0	38588.0	13475.0	36383.0	20929.0	16977.0
KarlssonFH_2013__S312__bin.44	20162.0	20012.0	14700.0	18670.0	25617.0	17482.0	17153.0	13913.0	13834.0	0.0	16807.0	15387.0	21225.0	13473.0	12640.0	26218.0	15309.0	10275.0	13314.0	18849.0	20769.0	8425.0	15765.0	15610.0	6294.0	12546.0	14005.0	21007.0	22431.0	8101.0	13623.0	17250.0	12659.0	17415.0	15850.0	14103.0	25829.0	11676.0	13196.0	16683.0	17560.0	17672.0	28696.0	10856.0	29199.0	16897.0	11730.0
