	LiJ_2014__O2.UC20-1__bin.46	ZellerG_2014__CCIS22275061ST-4-0__bin.88	FengQ_2015__SID530168__bin.25	HMP_2012__SRS018313__bin.11	HeQ_2017__SZAXPI029499-101__bin.12	FengQ_2015__SID531155__bin.32	ZellerG_2014__CCIS81735969ST-20-0__bin.63	LiJ_2014__O2.UC18-1__bin.41	LiJ_2014__O2.UC8-1__bin.4	KarlssonFH_2013__S312__bin.44	XieH_2016__YSZC12003_37399__bin.8	NielsenHB_2014__V1_CD20_4__bin.46	BackhedF_2015__SID10_4M__bin.10	LiJ_2014__V1.FI29__bin.10	HMP_2012__SRS014923__bin.60	ZeeviD_2015__PNP_Main_454__bin.8	YuJ_2015__SZAXPI015211-166__bin.60	CosteaPI_2017__SID713A068-11-0-0__bin.28	IjazUZ_2017__S58_a_WGS__bin.15	YuJ_2015__SZAXPI017590-136__bin.13	ZellerG_2014__CCMD25963797ST-21-0__bin.46	NielsenHB_2014__V1_UC4_0__bin.35	FengQ_2015__SID530315__bin.10	ZellerG_2014__CCIS78100604ST-4-0__bin.51	SchirmerM_2016__G89021__bin.21	LiJ_2014__V1.FI20__bin.59	FengQ_2015__SID31256__bin.39	FengQ_2015__SID530403__bin.30	ZellerG_2014__CCIS27927933ST-4-0__bin.36	ZeeviD_2015__PNP_Main_433__bin.17	NielsenHB_2014__O2_UC11_2__bin.52	FengQ_2015__SID531281__bin.22	XieH_2016__YSZC12003_37353__bin.57	HMP_2012__SRS011134__bin.53	FengQ_2015__SID31233__bin.14	GeversD_2014__SKBSTL064__bin.11	LiJ_2014__V1.FI37__bin.84	SchirmerM_2016__G88908__bin.27	ZellerG_2014__CCIS82146115ST-4-0__bin.67	XieH_2016__YSZC12003_37097__bin.8	XieH_2016__YSZC12003_35577__bin.17	FengQ_2015__SID31237__bin.67	QinJ_2012__T2D-102__bin.42	IjazUZ_2017__S56_a_WGS__bin.5	YuJ_2015__SZAXPI015257-56__bin.4	QinJ_2012__T2D-107__bin.61	CosteaPI_2017__alien3-11-0-0__bin.38
LiJ_2014__O2.UC20-1__bin.46	1.0	0.9936851689035994	0.9830259808081467	0.9834908282979208	0.9896613498131072	0.9835287019642246	0.983994853290817	0.9831780625853881	0.9832182773585864	0.9840298333675254	0.9833419166634552	0.9837599734144659	0.9928156031174585	0.9831037835333704	0.983103245589333	0.9914922454808675	0.9776124245223246	0.9836272894842982	0.9831435915971863	0.9822766520487752	0.9834526382693872	0.9856602299283012	0.9832323955003023	0.9837758703201213	0.9848632239334001	0.9834412789270408	0.982635731887987	0.9841355260381724	0.9920500582311232	0.9836746890598462	0.9834433307741612	0.9836640879304572	0.9841183507146899	0.9837810954180238	0.9840186227283001	0.9817045670338017	0.9927149414616535	0.984429055877858	0.9838319292890211	0.9827405328844961	0.9829686590301197	0.9831717292518217	0.9772096289332266	0.9835842695395293	0.9777499039754177	0.9783883703416326	0.9854898855474432
ZellerG_2014__CCIS22275061ST-4-0__bin.88	0.9936851689035994	1.0	0.9825018311373279	0.9829753875363678	0.9875419040622004	0.9826974776601405	0.9827843540916109	0.9827397038014278	0.9827280711024753	0.983928324761559	0.983032742771508	0.9832280114328839	0.991397671325349	0.9822096390389046	0.9827436843599205	0.9897633320794282	0.9775884143222262	0.9833832346576907	0.9824412272331714	0.9813815138780118	0.982456871977268	0.9842753881745268	0.9818797208371738	0.982814912615064	0.9854405800506405	0.9825768132203396	0.983190356139868	0.983079254073679	0.9898630049811459	0.9836602400865666	0.9820599001041361	0.9832526145618128	0.9832107140122439	0.9827414630392827	0.9833279904974269	0.9807783919745976	0.9904602698098748	0.983642373030458	0.9837715582315394	0.9814642347308139	0.9818847408844994	0.9815908783834502	0.9764062612145294	0.9830151058982499	0.9765313039892174	0.9768126796999562	0.9840305821466909
FengQ_2015__SID530168__bin.25	0.9830259808081467	0.9825018311373279	1.0	0.9861529033325085	0.9788291350378288	0.9860357131752229	0.9884953397758286	0.985759620552958	0.98918854786376	0.9872700710711066	0.9882265482916932	0.9910963927691158	0.9805117433977362	0.9896157421210474	0.9864859791009176	0.9795749641550134	0.977592636183905	0.9868540011629153	0.9837228056651877	0.9861468945094024	0.9865248785235332	0.9885898895475445	0.9858111411126677	0.9861257566014049	0.9889539497672822	0.9872252357534653	0.9862187398864778	0.9841036146988494	0.98107831537207	0.9872040189906557	0.9866240282016063	0.9882671912388405	0.9872184084372004	0.9868814786427614	0.9885136508172745	0.98284360148302	0.980336643131022	0.9849212144703736	0.9876845877250211	0.986100215992005	0.982113101014255	0.9849037631390323	0.976478716693202	0.9843689098364546	0.977590988321097	0.9775709350932136	0.9877584772375156
HMP_2012__SRS018313__bin.11	0.9834908282979208	0.9829753875363678	0.9861529033325085	1.0	0.9788901556013866	0.9869953967165574	0.9887791000544661	0.9864752955447471	0.987665760836451	0.9881841724870324	0.9874731879246641	0.9876105478929237	0.9818700787401575	0.9857466826194347	0.98712107649203	0.9803721697754244	0.9783533232524572	0.9869250876925922	0.9834975610579438	0.986375941551617	0.9853036181380896	0.9885676312695361	0.9862807242817366	0.9867588363930073	0.9885883189672154	0.9882197499164144	0.987457873544156	0.9851295750736506	0.9819130671929205	0.9863995047309284	0.9870497840121952	0.9882944321582153	0.9872680323308283	0.9880796683563163	0.9874381120746937	0.9821591750315213	0.9812423515686082	0.9846496740706654	0.9876576693510736	0.9886439318949328	0.98291310428738	0.9851203567782276	0.9773396415826638	0.9834148196488237	0.9779814776929254	0.9779459950452694	0.9871938639661603
HeQ_2017__SZAXPI029499-101__bin.12	0.9896613498131072	0.9875419040622004	0.9788291350378288	0.9788901556013866	1.0	0.9797756279639613	0.9796228714275148	0.9790827784487044	0.9788214148344887	0.9794836679040376	0.979228215409822	0.9794476883931278	0.9892743490860921	0.9786591406772659	0.9788809266033871	0.9887589353353531	0.9754423965383423	0.9800325397087346	0.9782443210258364	0.978990403974836	0.9793286215120867	0.9817995831434788	0.9790788719714587	0.9796164097829722	0.9826386765049164	0.9794033992561184	0.9800250684869675	0.9805561120284683	0.9874905357593535	0.9822523171576056	0.9802298812637693	0.9804726523476524	0.980255054992586	0.9797330178147156	0.9799951894381442	0.977984849825017	0.9886522358245838	0.9812327953027313	0.9805666857237194	0.9790266590661019	0.9790267571707664	0.9791715821773798	0.9752271099680184	0.979135136740412	0.9755194946898792	0.9762772666782388	0.9814729303648473
FengQ_2015__SID531155__bin.32	0.9835287019642246	0.9826974776601405	0.9860357131752229	0.9869953967165574	0.9797756279639613	1.0	0.9874263327485676	0.9864372717631671	0.9868828845600757	0.9873230745133756	0.9873467737436353	0.9873117162129599	0.9833361665372582	0.9852710259438915	0.9866402273898193	0.9814946342042359	0.9788693344845167	0.9871909640381789	0.985123122775779	0.9853359759571997	0.9864231647242581	0.9885920489930194	0.9865492982670007	0.9863202087060712	0.988815816036918	0.9867305656537474	0.9863999001394705	0.9846672883388876	0.9821412010201716	0.9876657945614579	0.9887495092347114	0.9871464033179483	0.9876276038723772	0.987151554821636	0.987555150096548	0.9836496057615346	0.982155228725826	0.9854475287887502	0.9876605022653876	0.9869489157347616	0.9836981024108572	0.9862690557819609	0.9790749113446364	0.9845366391184573	0.9790724838311955	0.9785046194330825	0.9876541381382398
ZellerG_2014__CCIS81735969ST-20-0__bin.63	0.983994853290817	0.9827843540916109	0.9884953397758286	0.9887791000544661	0.9796228714275148	0.9874263327485676	1.0	0.9878624040310025	0.988159999449409	0.9881494469903133	0.9884007601427649	0.9895895966237878	0.9820800531531256	0.9870630149187264	0.9881630447482183	0.9801031490044	0.979227053602998	0.9877923645146663	0.9848392455035428	0.9887071922813622	0.9870572860647302	0.9893142222141759	0.986949995096819	0.987469842945829	0.9896111907642977	0.9887732908230769	0.9883453092250352	0.9857018615823869	0.9813671547025052	0.9877048882087726	0.9868768809125302	0.9909019811364955	0.988945029911372	0.9885252617728546	0.9888676555343222	0.984320485026762	0.9814695014126077	0.9859181303718593	0.9886965355080237	0.9916383895870368	0.9834118084703272	0.9866389912692053	0.9785990400786142	0.9850261643654159	0.9790232418594867	0.9784561631186204	0.9877284968240189
LiJ_2014__O2.UC18-1__bin.41	0.9831780625853881	0.9827397038014278	0.985759620552958	0.9864752955447471	0.9790827784487044	0.9864372717631671	0.9878624040310025	1.0	0.9882952482896635	0.9894839398227092	0.9874740601718986	0.9884454659795024	0.9820271811838513	0.9877948590684674	0.9887731415562495	0.9802017608632557	0.9779245917785243	0.9865929081338031	0.9846362529066549	0.9847231138692727	0.9863873798522338	0.9883949073705283	0.9856358867133471	0.9885106344836704	0.9895140949156026	0.9865749366301892	0.9874536198118906	0.984876550195297	0.9819363416657744	0.9867318598487818	0.9867098482635155	0.9878384312433961	0.9891518551895417	0.9866282886321402	0.9877066593263121	0.9831265649186762	0.9809050429259278	0.9844864964100445	0.989669481556799	0.9857963053988283	0.9835532456512516	0.9858968407018547	0.9779527799973404	0.984065177833294	0.9778030608739529	0.9786414180336893	0.9890910000055559
LiJ_2014__O2.UC8-1__bin.4	0.9832182773585864	0.9827280711024753	0.98918854786376	0.987665760836451	0.9788214148344887	0.9868828845600757	0.988159999449409	0.9882952482896635	1.0	0.9894737963422318	0.9898774249169824	0.991638757362282	0.9822456924132065	0.9898902771941152	0.9883692453841153	0.9807071944133204	0.9784901432954854	0.987080170045537	0.9845766308232883	0.9857098571122276	0.9860828712261245	0.9888481902498744	0.9873221154178907	0.9873910079953837	0.9891451692759462	0.9869612213693139	0.9871709151241053	0.9850989883149739	0.9819703419855814	0.9879504792968068	0.9876071237903017	0.9891952457786086	0.9884982330206551	0.9874208025410944	0.9882605145520705	0.9840501885202582	0.9812551714652689	0.9851905355648689	0.988982721661943	0.9874649789464075	0.9836731881591217	0.9863199892165554	0.9784430722923537	0.9850919816434998	0.9784954562246029	0.9788556874654608	0.9884597580199481
KarlssonFH_2013__S312__bin.44	0.9840298333675254	0.983928324761559	0.9872700710711066	0.9881841724870324	0.9794836679040376	0.9873230745133756	0.9881494469903133	0.9894839398227092	0.9894737963422318	1.0	0.9887858012644081	0.9889867557632185	0.982047992123953	0.9863299045640038	0.9921161471161877	0.9807011706788524	0.9799508101397117	0.9876539353006132	0.9855213205460444	0.9870447019298576	0.9865737146314769	0.9894412444417708	0.987180623510403	0.9897848603909107	0.9903569196072903	0.9891132401777494	0.9873223614353567	0.9852901427781162	0.9824243036832097	0.9889062198296699	0.9881914641873625	0.9877081596442848	0.9901710725635573	0.9885516506922257	0.9891441256021243	0.9839497335198258	0.9821926685832868	0.9860933446720931	0.990466681789744	0.9873329491381804	0.9842247063019424	0.9870486978342187	0.9794098337130249	0.985517474149305	0.9794667645544839	0.9780562146353373	0.9903520950676422
