	LiJ_2014__MH0385__bin.62	LiJ_2014__MH0402__bin.66	ZeeviD_2015__PNP_Main_215__bin.47	NielsenHB_2014__MH0174__bin.35	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.30	LiJ_2014__O2.UC28-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.39	ZeeviD_2015__PNP_Main_133__bin.23	ZeeviD_2015__PNP_Main_643__bin.33	ZeeviD_2015__PNP_Validation_33__bin.10	BritoIL_2016__M1.3.ST__bin.28	NielsenHB_2014__MH0079__bin.2	ZeeviD_2015__PNP_Main_694__bin.34	KarlssonFH_2013__S643__bin.3	LeChatelierE_2013__MH0079__bin.18	LeChatelierE_2013__MH0124__bin.52	XieH_2016__YSZC12003_35740__bin.87	ZeeviD_2015__PNP_Main_131__bin.53	CosteaPI_2017__SID713B072-11-0-0__bin.99	ZeeviD_2015__PNP_Main_666__bin.31	CosteaPI_2017__SID713B072-11-90-0__bin.36	NielsenHB_2014__MH0124__bin.40	XieH_2016__YSZC12003_37101__bin.85	ZeeviD_2015__PNP_Main_473__bin.19	ZeeviD_2015__PNP_Main_132__bin.25	Obregon-TitoAJ_2015__SM20__bin.28	LeChatelierE_2013__MH0447__bin.108	BritoIL_2016__M1.1.ST__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.82	ZeeviD_2015__PNP_Main_553__bin.1	ZeeviD_2015__PNP_Main_519__bin.3
LiJ_2014__MH0385__bin.62	1261521.0	1031984.0	742117.0	1215899.0	842698.0	1060693.0	1224123.0	1227101.0	1194760.0	838195.0	1087780.0	1167150.0	1217624.0	1187511.0	1200090.0	1224711.0	1132761.0	846086.0	1190570.0	1211913.0	1233545.0	1167097.0	1220191.0	1225285.0	1169011.0	1101245.0	1059072.0	1226540.0	908706.0	1180711.0	1188685.0
LiJ_2014__MH0402__bin.66	1031984.0	1150335.0	691371.0	1123698.0	806887.0	957991.0	1122462.0	1127171.0	1115410.0	775807.0	990640.0	1093193.0	1127545.0	1079080.0	1118785.0	1133288.0	1045813.0	785834.0	1098859.0	1124731.0	1131580.0	1109766.0	1109689.0	1119376.0	1087073.0	1022763.0	1008982.0	1123752.0	782216.0	1063802.0	1080279.0
ZeeviD_2015__PNP_Main_215__bin.47	742117.0	691371.0	847911.0	790808.0	568478.0	724577.0	829541.0	806587.0	811067.0	550927.0	743119.0	802378.0	818466.0	794429.0	810104.0	824373.0	770551.0	549270.0	775264.0	827712.0	802659.0	782760.0	792625.0	828468.0	799464.0	747097.0	699534.0	800377.0	610271.0	800820.0	774259.0
NielsenHB_2014__MH0174__bin.35	1215899.0	1123698.0	790808.0	1569836.0	938184.0	1246958.0	1444067.0	1450982.0	1400292.0	982353.0	1222363.0	1342978.0	1393330.0	1349985.0	1392507.0	1466549.0	1282767.0	1059069.0	1320792.0	1421449.0	1431423.0	1374922.0	1430592.0	1454484.0	1396829.0	1238129.0	1152181.0	1475689.0	1070581.0	1366594.0	1396137.0
VogtmannE_2016__MMRS33294861ST-27-0-0__bin.30	842698.0	806887.0	568478.0	938184.0	1035595.0	827955.0	955485.0	959474.0	925025.0	644918.0	828350.0	907817.0	935550.0	921288.0	934147.0	958195.0	880697.0	711287.0	924141.0	939804.0	942934.0	904513.0	933268.0	965193.0	952216.0	873250.0	824061.0	975713.0	672243.0	886209.0	906588.0
LiJ_2014__O2.UC28-0__bin.25	1060693.0	957991.0	724577.0	1246958.0	827955.0	1445225.0	1280580.0	1269462.0	1265086.0	903029.0	1114561.0	1221092.0	1252609.0	1218799.0	1268001.0	1307372.0	1150381.0	945443.0	1153439.0	1278830.0	1248954.0	1238204.0	1233454.0	1318116.0	1266523.0	1094791.0	1031677.0	1278257.0	941222.0	1238782.0	1217566.0
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.39	1224123.0	1122462.0	829541.0	1444067.0	955485.0	1280580.0	1664602.0	1501044.0	1439034.0	1036164.0	1264568.0	1406107.0	1465271.0	1403511.0	1464992.0	1503749.0	1331596.0	1074660.0	1338451.0	1465922.0	1440618.0	1405507.0	1482778.0	1498840.0	1474469.0	1280970.0	1172767.0	1486565.0	1267231.0	1397286.0	1380342.0
ZeeviD_2015__PNP_Main_133__bin.23	1227101.0	1127171.0	806587.0	1450982.0	959474.0	1269462.0	1501044.0	1602104.0	1410475.0	1032173.0	1252633.0	1351953.0	1461631.0	1366355.0	1404505.0	1475355.0	1298194.0	1068925.0	1334344.0	1456701.0	1460598.0	1382728.0	1477832.0	1488211.0	1432793.0	1264295.0	1168669.0	1486494.0	1114551.0	1380461.0	1409101.0
ZeeviD_2015__PNP_Main_643__bin.33	1194760.0	1115410.0	811067.0	1400292.0	925025.0	1265086.0	1439034.0	1410475.0	1609086.0	977913.0	1251884.0	1377770.0	1427013.0	1352299.0	1426862.0	1475159.0	1303636.0	1022827.0	1316207.0	1465528.0	1418664.0	1412950.0	1374757.0	1477618.0	1426484.0	1230196.0	1191359.0	1434819.0	1064527.0	1408093.0	1384169.0
ZeeviD_2015__PNP_Validation_33__bin.10	838195.0	775807.0	550927.0	982353.0	644918.0	903029.0	1036164.0	1032173.0	977913.0	1137687.0	886216.0	940451.0	1056383.0	933881.0	970963.0	1018313.0	896039.0	801237.0	914318.0	997815.0	990924.0	950082.0	1010082.0	1012195.0	984298.0	877620.0	814957.0	1004402.0	714963.0	952498.0	931516.0
