	LiJ_2014__MH0385__bin.62	LiJ_2014__MH0402__bin.66	ZeeviD_2015__PNP_Main_215__bin.47	NielsenHB_2014__MH0174__bin.35	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.30	LiJ_2014__O2.UC28-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.39	ZeeviD_2015__PNP_Main_133__bin.23	ZeeviD_2015__PNP_Main_643__bin.33	ZeeviD_2015__PNP_Validation_33__bin.10	BritoIL_2016__M1.3.ST__bin.28	NielsenHB_2014__MH0079__bin.2	ZeeviD_2015__PNP_Main_694__bin.34	KarlssonFH_2013__S643__bin.3	LeChatelierE_2013__MH0079__bin.18	LeChatelierE_2013__MH0124__bin.52	XieH_2016__YSZC12003_35740__bin.87	ZeeviD_2015__PNP_Main_131__bin.53	CosteaPI_2017__SID713B072-11-0-0__bin.99	ZeeviD_2015__PNP_Main_666__bin.31	CosteaPI_2017__SID713B072-11-90-0__bin.36	NielsenHB_2014__MH0124__bin.40	XieH_2016__YSZC12003_37101__bin.85	ZeeviD_2015__PNP_Main_473__bin.19	ZeeviD_2015__PNP_Main_132__bin.25	Obregon-TitoAJ_2015__SM20__bin.28	LeChatelierE_2013__MH0447__bin.108	BritoIL_2016__M1.1.ST__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.82	ZeeviD_2015__PNP_Main_553__bin.1	ZeeviD_2015__PNP_Main_519__bin.3
LiJ_2014__MH0385__bin.62	1.0	0.8180474205344184	0.5882716181498366	0.963835718945622	0.6680015631923686	0.8408048696771595	0.9703548335699524	0.9727154760007959	0.9470789626173485	0.664432062565744	0.862276569315929	0.9251926840694685	0.9652031159211777	0.941332724544419	0.9513040210983408	0.9708209375824897	0.8979327335811295	0.6706872101217498	0.9437575751810711	0.9606760410647147	0.9778235954851326	0.9251506712928282	0.9672379611595844	0.9712759438804427	0.926667887415271	0.8729501926642521	0.8395199128670866	0.9722707747235282	0.7203257020691689	0.9359424060320835	0.9422633471816958
LiJ_2014__MH0402__bin.66	0.8971160574962945	1.0	0.6010170950201463	0.9768441367080024	0.7014365380519588	0.8327930559358796	0.9757696670969761	0.9798632572250692	0.9696392789926412	0.6744183216193543	0.8611752228698597	0.9503257746656408	0.9801883799067228	0.938057174649124	0.972573206935371	0.9851808386252701	0.9091377729096307	0.6831349128732065	0.9552512963614946	0.9777421359864735	0.9836960537582531	0.9647328821604142	0.9646659451377207	0.9730869703173424	0.945005585329491	0.8891001317007654	0.8771201432626148	0.9768910795550861	0.6799897421186002	0.9247758261723759	0.9390994797167782
ZeeviD_2015__PNP_Main_215__bin.47	0.8752298295457895	0.8153815671691959	1.0	0.9326544885017414	0.6704453651385581	0.8545436962133998	0.9783349903468642	0.9512637529174642	0.95654732631137	0.6497462587464958	0.8764115573450515	0.9462997885391273	0.9652734779947424	0.9369249838721281	0.9554115939054925	0.9722400110388945	0.908764009430235	0.6477920442121874	0.9143223758153863	0.9761779243340398	0.9466311912453076	0.9231629262976893	0.9347974020858322	0.9770695273442613	0.9428631070949663	0.8811030874702651	0.825008756815279	0.9439398710477869	0.7197347363107685	0.9444623315418718	0.9131371099089409
NielsenHB_2014__MH0174__bin.35	0.7745388690283571	0.7158059822809516	0.5037519842837086	1.0	0.5976318545376714	0.7943237382758453	0.9198839878815367	0.9242889066119009	0.8919989094402218	0.6257679146101885	0.7786564966021928	0.855489363220107	0.8875640512766939	0.8599528867983662	0.8870397926917206	0.9342052290812544	0.8171344013005181	0.674636713643973	0.8413566767483992	0.9054761134284091	0.91182964335128	0.875837985623976	0.9113002886925768	0.926519712887206	0.8897929465243503	0.7886995839055799	0.7339499157873816	0.9400274933177734	0.6819699637414354	0.8705329728710515	0.8893521361467057
VogtmannE_2016__MMRS33294861ST-27-0-0__bin.30	0.8137331678889913	0.7791530472819973	0.5489385329206881	0.9059371665564241	1.0	0.7994969075748725	0.9226435044587894	0.9264953963663402	0.8932304617152458	0.6227511720315374	0.7998783308146524	0.8766139272592085	0.9033937012055872	0.8896219081783902	0.9020389244830267	0.9252603575722169	0.8504260835558303	0.6868389669706787	0.8923768461609026	0.9075014846537498	0.9105239017183359	0.8734234908434282	0.9011901370709592	0.9320178255012819	0.919486865038939	0.8432350484504078	0.7957367503705599	0.9421762368493475	0.6491369695682192	0.8557486276005581	0.8754271698878423
LiJ_2014__O2.UC28-0__bin.25	0.7339293189641751	0.6628663356916743	0.5013593039146154	0.8628123648566832	0.5728900344237057	1.0	0.8860765624729713	0.878383642685395	0.8753557404556384	0.6248362711688491	0.7712024079295612	0.844914805653099	0.8667224826584096	0.8433282014911173	0.877372727429985	0.9046148523586293	0.7959874759985469	0.6541839505959279	0.7981034095037105	0.8848656783545815	0.8641934646854296	0.8567551765296061	0.853468491065405	0.9120489889117611	0.8763500493002819	0.7575228770606653	0.7138521683474891	0.8844692002975315	0.6512632981023716	0.8571551142555658	0.8424750471379889
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.39	0.7353847946836541	0.6743125383725359	0.49834194600270815	0.8675148774301605	0.574002073768985	0.7693010100913011	1.0	0.9017434798228045	0.8644913318619105	0.6224695152354737	0.7596818939302007	0.8447106275253784	0.8802530574876156	0.843151095577201	0.8800854498552807	0.9033684928889909	0.7999485762963159	0.6455957640324834	0.8040666778004593	0.8806441419630638	0.8654429106777476	0.844350181004228	0.8907702862305824	0.9004194396017787	0.8857787026568513	0.7695353003300489	0.7045329754499875	0.8930453045232434	0.7612816757399066	0.8394114629202656	0.8292324531629783
ZeeviD_2015__PNP_Main_133__bin.23	0.7659309258325302	0.703556697942206	0.5034548318960567	0.9056727902807807	0.5988837179109471	0.7923717811078432	0.9369204496087645	1.0	0.8803891632503258	0.6442609218877177	0.7818674692778995	0.8438609478535726	0.9123196746278643	0.8528503767545678	0.8766628134003785	0.9208859100283128	0.8103056980071206	0.6672007560058523	0.8328697762442389	0.9092424711504372	0.9116748975097746	0.8630700628673295	0.9224320019174785	0.9289103578793886	0.8943195947329262	0.789146647158986	0.7294588865641681	0.927838642185526	0.6956795563833559	0.8616550486110764	0.879531541023554
ZeeviD_2015__PNP_Main_643__bin.33	0.742508479969374	0.693194770198734	0.5040544756464229	0.8702406210730812	0.5748760476444391	0.7862140370371752	0.8943176436809468	0.8765690584592744	1.0	0.6077443965083283	0.7780093792376541	0.8562438552072419	0.8868469429228767	0.8404143718856544	0.8867531008286692	0.9167682771461563	0.810171737247108	0.6356571370330735	0.8179842469575895	0.9107828916540197	0.8816582830252703	0.8781071987451261	0.8543713636188495	0.9182964738988469	0.8865181848577391	0.7645309200378352	0.7403948577018258	0.8916981441638296	0.6615724703340903	0.8750887149599214	0.860220647000844
ZeeviD_2015__PNP_Validation_33__bin.10	0.73675360622034	0.681916027870583	0.4842518197008492	0.8634650831028218	0.5668676885646052	0.793741160793786	0.9107636810475992	0.9072556863179416	0.859562427978873	1.0	0.7789629309291571	0.8266342148587441	0.9285357044600141	0.8208593400469549	0.853453542142962	0.8950730737012904	0.7875971159027043	0.7042683971953622	0.8036639251393397	0.8770558158790599	0.8709987896495257	0.8350996363674719	0.8878382191235374	0.8896954962129303	0.8651746921604976	0.7714072499729715	0.7163279531189158	0.8828456332892967	0.6284355890504154	0.8372232432997828	0.8187805609099866
