	LiJ_2014__MH0385__bin.62	LiJ_2014__MH0402__bin.66	ZeeviD_2015__PNP_Main_215__bin.47	NielsenHB_2014__MH0174__bin.35	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.30	LiJ_2014__O2.UC28-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.39	ZeeviD_2015__PNP_Main_133__bin.23	ZeeviD_2015__PNP_Main_643__bin.33	ZeeviD_2015__PNP_Validation_33__bin.10	BritoIL_2016__M1.3.ST__bin.28	NielsenHB_2014__MH0079__bin.2	ZeeviD_2015__PNP_Main_694__bin.34	KarlssonFH_2013__S643__bin.3	LeChatelierE_2013__MH0079__bin.18	LeChatelierE_2013__MH0124__bin.52	XieH_2016__YSZC12003_35740__bin.87	ZeeviD_2015__PNP_Main_131__bin.53	CosteaPI_2017__SID713B072-11-0-0__bin.99	ZeeviD_2015__PNP_Main_666__bin.31	CosteaPI_2017__SID713B072-11-90-0__bin.36	NielsenHB_2014__MH0124__bin.40	XieH_2016__YSZC12003_37101__bin.85	ZeeviD_2015__PNP_Main_473__bin.19	ZeeviD_2015__PNP_Main_132__bin.25	Obregon-TitoAJ_2015__SM20__bin.28	LeChatelierE_2013__MH0447__bin.108	BritoIL_2016__M1.1.ST__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.82	ZeeviD_2015__PNP_Main_553__bin.1	ZeeviD_2015__PNP_Main_519__bin.3
LiJ_2014__MH0385__bin.62	1.0	0.9927188793624707	0.9877755124865756	0.9851163624610267	0.9862038357750939	0.9846487155095772	0.9795641451063333	0.985877283125024	0.9855460510897586	0.9923538078848001	0.987010241041387	0.9817358522897657	0.991627957399	0.9826822656800653	0.9809889258305627	0.9861853122900015	0.9847920258554099	0.9790151355772345	0.9857236449767758	0.9842760990269104	0.9855838254786002	0.9863156190102451	0.9887493023633185	0.9838943592715165	0.9794287649987896	0.9795204518522218	0.987222776166304	0.9839687250313891	0.978457278811849	0.9857382543230307	0.9854561973945999
LiJ_2014__MH0402__bin.66	0.9927188793624707	1.0	0.9880209033934024	0.9870605803338619	0.9854601697635481	0.9849038247749717	0.9786469386046031	0.9855576483071335	0.9871921535578846	0.994889192801818	0.9873203181781475	0.9800776258172161	0.9944135267328577	0.9843783593431441	0.9800578305930093	0.9879377528042298	0.9860041900416231	0.9771592982741902	0.9858780789892061	0.983555178971683	0.9858613619894308	0.9880488319159174	0.9904991398490929	0.9836265919583768	0.9779904385446055	0.9789687346922015	0.9881841301430551	0.9838968028532986	0.9802356382380314	0.987158324575438	0.9869265254624037
ZeeviD_2015__PNP_Main_215__bin.47	0.9877755124865756	0.9880209033934024	1.0	0.9860307432398256	0.9890919261607309	0.9869399663527824	0.9805651559115222	0.9886025933966206	0.9860751331271029	0.986330312364433	0.9922731083446931	0.9830229642388002	0.986480806777557	0.9859710559408078	0.9830614340874752	0.9875578166679404	0.9857725186262817	0.9809692865075463	0.9860666818012961	0.9884271340756206	0.9858408116024364	0.9877599775154581	0.9879249329758714	0.9863362254184833	0.9813875296448621	0.9807213788838665	0.9893929387277817	0.9858966462054757	0.9802776143713203	0.9901913039134886	0.9916539555885047
NielsenHB_2014__MH0174__bin.35	0.9851163624610267	0.9870605803338619	0.9860307432398256	1.0	0.9851191237539758	0.9825503344940246	0.9770100694773858	0.9836138559954569	0.9854501775344	0.9827332944471081	0.9866242679138685	0.9792431447127206	0.9840762776944443	0.9823538780060519	0.9791203922134682	0.986722571151731	0.9851446131682526	0.9752074699571038	0.9846069630948704	0.9821703064971026	0.984235267981582	0.9868108881812931	0.9849356070773498	0.9811259525714962	0.976348572373569	0.9778399504413514	0.9884323730386111	0.9817678386164023	0.9772086371792512	0.985292632632662	0.9853187760226969
VogtmannE_2016__MMRS33294861ST-27-0-0__bin.30	0.9862038357750939	0.9854601697635481	0.9890919261607309	0.9851191237539758	1.0	0.9866007210536805	0.9804633249082927	0.987981956780486	0.9842901543201535	0.9838118954657802	0.9896649966801473	0.9831320629598256	0.9843621399176955	0.9847810890839781	0.9829373749527643	0.9850072271301771	0.984474796666731	0.9796959595774982	0.9830729293473615	0.9868653463913752	0.9830157784107901	0.9847000540622413	0.9873423282486917	0.9852723755766981	0.9801242575214028	0.9801568851989694	0.987102896508875	0.9856392197295721	0.9782950510455297	0.9871001084394313	0.988528416436132
LiJ_2014__O2.UC28-0__bin.25	0.9846487155095772	0.9849038247749717	0.9869399663527824	0.9825503344940246	0.9866007210536805	1.0	0.9793413921816677	0.9854465907604953	0.9843639088567891	0.9811390331871955	0.9876525376358943	0.9807107081202727	0.9824933399009588	0.9850598827206126	0.9804250943019761	0.9847312012189339	0.9841139587667043	0.9777966519398843	0.9822114563492305	0.9850277206509075	0.9810065062444253	0.9847367638935103	0.9835802551209855	0.9833565482855834	0.9787449576517757	0.9804081326938201	0.9872605476326408	0.9836691682502032	0.9777002662496201	0.986364832553266	0.9862011587051543
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.39	0.9795641451063333	0.9786469386046031	0.9805651559115222	0.9770100694773858	0.9804633249082927	0.9793413921816677	1.0	0.9786575210320284	0.9764974281358189	0.9758918472365379	0.9799662809750049	0.986023823222557	0.9764862609032732	0.9813624545871034	0.9859787630239619	0.9780754633918294	0.9786211433497848	0.9788705264920998	0.9772871774909951	0.9780697745173345	0.9760991463385853	0.9779111736903481	0.978124844042736	0.9780570307704625	0.9798890312376862	0.9847334441868272	0.9803498904727026	0.9791331021516045	0.9999850066799186	0.9784074269691387	0.9776091722196383
ZeeviD_2015__PNP_Main_133__bin.23	0.985877283125024	0.9855576483071335	0.9886025933966206	0.9836138559954569	0.987981956780486	0.9854465907604953	0.9786575210320284	1.0	0.9842896896435598	0.9835114849933102	0.9891939618387828	0.9804645575696789	0.983722293793714	0.9840444101276754	0.9800420788818837	0.9844518776836761	0.9846509843675136	0.9786327384989593	0.9830366082509457	0.9867810895990323	0.9823962513983998	0.9845023750151873	0.9859402151259412	0.985217821935196	0.9787666466823889	0.9796012797646119	0.9875294031072955	0.9844049151897014	0.9773271927439839	0.9873629171704235	0.987496283091134
ZeeviD_2015__PNP_Main_643__bin.33	0.9855460510897586	0.9871921535578846	0.9860751331271029	0.9854501775344	0.9842901543201535	0.9843639088567891	0.9764974281358189	0.9842896896435598	1.0	0.9841713935697757	0.9865338961117803	0.9791714146773409	0.9846266291897832	0.9844139498735117	0.9788830314354157	0.9871329124521492	0.9857889779048753	0.9772610617435793	0.9852166110649768	0.9846164658744152	0.9845678751275848	0.9872302629250859	0.9841375603106586	0.984056095689143	0.9785136040782791	0.9773117454454412	0.9898091171510854	0.9824451725269877	0.976542633488864	0.9869355220145261	0.9870413222662839
ZeeviD_2015__PNP_Validation_33__bin.10	0.9923538078848001	0.994889192801818	0.986330312364433	0.9827332944471081	0.9838118954657802	0.9811390331871955	0.9758918472365379	0.9835114849933102	0.9841713935697757	1.0	0.9843864249799146	0.977343848855496	0.9978899698310177	0.9813241729942037	0.9767169294813499	0.984571541363019	0.9837373150052621	0.9746941292027202	0.9846060123501889	0.9808311159884348	0.9838433623567499	0.9848339406493334	0.988375201221287	0.9814136604112844	0.975581582000573	0.9769980173651467	0.9861256483470907	0.9804221815567871	0.9762253431296445	0.983918076468402	0.9832735025485337
