	ZeeviD_2015__PNP_Main_484__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	ZeeviD_2015__PNP_Validation_26__bin.30	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	XieH_2016__YSZC12003_37265R1__bin.8	NielsenHB_2014__MH0132__bin.1	ZeeviD_2015__PNP_Main_612__bin.5	XieH_2016__YSZC12003_35992__bin.77	LeChatelierE_2013__MH0132__bin.16	CosteaPI_2017__SID713B072-11-0-0__bin.7	ZeeviD_2015__PNP_Main_380__bin.12	ZeeviD_2015__PNP_Validation_67__bin.1	NielsenHB_2014__O2_UC29_2__bin.1	XieH_2016__YSZC12003_37652__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	XieH_2016__YSZC12003_36058__bin.26	ZeeviD_2015__PNP_Main_707__bin.38	ZeeviD_2015__PNP_Validation_73__bin.14	NielsenHB_2014__O2_UC29_0__bin.6	LiJ_2014__MH0356__bin.42	LeChatelierE_2013__MH0439__bin.16	ZeeviD_2015__PNP_Validation_38__bin.8	LiJ_2014__O2.UC29-1__bin.19	CosteaPI_2017__SID713B072-11-90-0__bin.68
ZeeviD_2015__PNP_Main_484__bin.5	0.0	15347.0	22390.0	21369.0	20930.0	11389.0	15145.0	14111.0	15305.0	15025.0	15027.0	10810.0	20506.0	17319.0	16551.0	16339.0	20504.0	24772.0	24229.0	24677.0	20639.0	13733.0	16066.0	13300.0	24559.0	10798.0
Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	15347.0	0.0	28961.0	29895.0	29992.0	13177.0	19688.0	16756.0	19774.0	18949.0	19234.0	15322.0	25660.0	21745.0	20290.0	450.0	29704.0	33033.0	31758.0	32917.0	27473.0	17399.0	20759.0	17848.0	32533.0	13076.0
VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	22390.0	28961.0	0.0	20072.0	29629.0	21237.0	30694.0	11911.0	30543.0	30683.0	31209.0	20613.0	18218.0	15858.0	32035.0	31241.0	28905.0	22737.0	22295.0	23271.0	19633.0	26610.0	30554.0	12658.0	24245.0	22155.0
ZeeviD_2015__PNP_Validation_26__bin.30	21369.0	29895.0	20072.0	0.0	31658.0	19325.0	30084.0	8754.0	30903.0	30424.0	30923.0	20501.0	14021.0	14792.0	31744.0	31421.0	31872.0	21558.0	16907.0	18122.0	18007.0	25809.0	30630.0	9676.0	21882.0	20060.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	20930.0	29992.0	29629.0	31658.0	0.0	19049.0	29919.0	18384.0	29336.0	30335.0	29793.0	20720.0	26995.0	21438.0	31340.0	31169.0	41.0	32729.0	34047.0	34942.0	27186.0	26013.0	30659.0	17847.0	33492.0	20181.0
XieH_2016__YSZC12003_37265R1__bin.8	11389.0	13177.0	21237.0	19325.0	19049.0	0.0	12878.0	12565.0	13850.0	12892.0	13223.0	11484.0	18291.0	15653.0	14360.0	13559.0	18961.0	22217.0	21292.0	22606.0	19052.0	12304.0	13775.0	12691.0	22677.0	9975.0
NielsenHB_2014__MH0132__bin.1	15145.0	19688.0	30694.0	30084.0	29919.0	12878.0	0.0	18460.0	20347.0	532.0	19538.0	14562.0	27023.0	22250.0	21417.0	21457.0	29040.0	33932.0	33645.0	34598.0	27896.0	16837.0	19890.0	18416.0	34422.0	13882.0
ZeeviD_2015__PNP_Main_612__bin.5	14111.0	16756.0	11911.0	8754.0	18384.0	12565.0	18460.0	0.0	18070.0	18792.0	18532.0	13296.0	8522.0	8969.0	19142.0	18743.0	17788.0	12911.0	10579.0	10672.0	11386.0	16346.0	19125.0	6008.0	13468.0	12407.0
XieH_2016__YSZC12003_35992__bin.77	15305.0	19774.0	30543.0	30903.0	29336.0	13850.0	20347.0	18070.0	0.0	20532.0	20448.0	14943.0	26532.0	22542.0	17437.0	20744.0	29121.0	33925.0	33399.0	35308.0	28225.0	18191.0	21087.0	17874.0	35773.0	14485.0
LeChatelierE_2013__MH0132__bin.16	15025.0	18949.0	30683.0	30424.0	30335.0	12892.0	532.0	18792.0	20532.0	0.0	19611.0	14518.0	27349.0	22323.0	21138.0	21708.0	29584.0	34009.0	34224.0	35256.0	28074.0	16887.0	20265.0	18711.0	35241.0	13591.0
