	ZeeviD_2015__PNP_Main_484__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	ZeeviD_2015__PNP_Validation_26__bin.30	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	XieH_2016__YSZC12003_37265R1__bin.8	NielsenHB_2014__MH0132__bin.1	ZeeviD_2015__PNP_Main_612__bin.5	XieH_2016__YSZC12003_35992__bin.77	LeChatelierE_2013__MH0132__bin.16	CosteaPI_2017__SID713B072-11-0-0__bin.7	ZeeviD_2015__PNP_Main_380__bin.12	ZeeviD_2015__PNP_Validation_67__bin.1	NielsenHB_2014__O2_UC29_2__bin.1	XieH_2016__YSZC12003_37652__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	XieH_2016__YSZC12003_36058__bin.26	ZeeviD_2015__PNP_Main_707__bin.38	ZeeviD_2015__PNP_Validation_73__bin.14	NielsenHB_2014__O2_UC29_0__bin.6	LiJ_2014__MH0356__bin.42	LeChatelierE_2013__MH0439__bin.16	ZeeviD_2015__PNP_Validation_38__bin.8	LiJ_2014__O2.UC29-1__bin.19	CosteaPI_2017__SID713B072-11-90-0__bin.68
ZeeviD_2015__PNP_Main_484__bin.5	1.0	0.9898230792695057	0.9827965482453478	0.9850628897845516	0.9865379333765989	0.9892735815915108	0.9904229399203103	0.9826295581868563	0.9900904645730062	0.9905333996152874	0.9906235024559722	0.9897513979244922	0.9839769460556143	0.9825565584882552	0.9897294191235969	0.9898993208515752	0.9866449727805995	0.9838429323264625	0.9842640322499986	0.9843101774348091	0.982942115263662	0.9897038227734976	0.9894736980040255	0.9836570185732454	0.984509223253511	0.9898200262088601
Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	0.9898230792695057	1.0	0.9832966421988611	0.9853457606381102	0.9862816076023825	0.9904443517830273	0.9909052273693157	0.9839812777120263	0.9909323650917609	0.99124303276018	0.9912279621590141	0.9891932990272417	0.9849695319643462	0.983194647636315	0.9909285839470362	0.9998019444652281	0.9864203022515947	0.9841856871204766	0.984948964962908	0.9847522689552083	0.9829952036484211	0.9902202811549725	0.9899767174389376	0.9837107656980559	0.9850491727941176	0.9906272758029463
VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	0.9827965482453478	0.9832966421988611	1.0	0.9881090329169836	0.983595420515109	0.9824237759459727	0.9831108890581187	0.9873737882345458	0.9830912793008648	0.9832281368052287	0.9830230401209804	0.9828174741111775	0.987995946375129	0.986725185900135	0.9829038254124882	0.9831914552484131	0.9837590826648926	0.987640617398371	0.9880017716155121	0.9877737007685372	0.986774921052348	0.9823402342026062	0.9826047252020264	0.9868636666953788	0.9873908695229333	0.9824493165096043
ZeeviD_2015__PNP_Validation_26__bin.30	0.9850628897845516	0.9853457606381102	0.9881090329169836	1.0	0.9847432722302784	0.9847132054964431	0.9852855006128596	0.9913856218411978	0.9849798487048929	0.9853122427747618	0.9851226086985807	0.9844568463493946	0.9916966275433187	0.9883215367063923	0.9849538814473547	0.9851194338176862	0.9846461341468878	0.9894679811090034	0.9919901078518926	0.9916465343627429	0.9885007851549205	0.9846040137298625	0.9843745376893497	0.9908408074401874	0.9897949665988259	0.9847232323386172
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	0.9865379333765989	0.9862816076023825	0.983595420515109	0.9847432722302784	1.0	0.9857412861960171	0.9867918597700682	0.9831308961344389	0.9869336764713087	0.9867730173915091	0.9868260470447153	0.9857104039569491	0.9847690418009261	0.9840351854444501	0.9864534665337084	0.9864719056258192	0.9999830758942945	0.9848785371697653	0.9845934274883807	0.9844654790151481	0.9838716853928585	0.9859149896283254	0.9856253235110988	0.9838445704105889	0.985191630698052	0.9861593760094479
XieH_2016__YSZC12003_37265R1__bin.8	0.9892735815915108	0.9904443517830273	0.9824237759459727	0.9847132054964431	0.9857412861960171	1.0	0.9905068353291978	0.983283020524699	0.9901414856959008	0.9905636485273817	0.9905820496986868	0.987937925058425	0.983839431574911	0.9822844893931025	0.9899416320472492	0.9903692896898342	0.9858655795067676	0.9835798535586345	0.9838444723162453	0.9837758853072937	0.9823582628278079	0.9892892087733777	0.9897356989038993	0.9831916857715388	0.9838062260015867	0.9898586102178442
NielsenHB_2014__MH0132__bin.1	0.9904229399203103	0.9909052273693157	0.9831108890581187	0.9852855006128596	0.9867918597700682	0.9905068353291978	1.0	0.9832760769988984	0.9909819430550945	0.9997782159726188	0.9914802285311614	0.9900612215647331	0.9848617598519284	0.9835036718231593	0.9908632222190463	0.9908897222038237	0.9869941245151348	0.9844525778883144	0.9846830769510924	0.9845997232241142	0.9836260234469052	0.9912197492802197	0.990897595894445	0.983486133230032	0.9848888393309859	0.9906065227894337
ZeeviD_2015__PNP_Main_612__bin.5	0.9826295581868563	0.9839812777120263	0.9873737882345458	0.9913856218411978	0.9831308961344389	0.983283020524699	0.9832760769988984	1.0	0.9833631789494036	0.9831482286897999	0.9833438190936707	0.9822200350892207	0.9909942374532777	0.9872996857843991	0.9830501270664908	0.9835386717816843	0.9834227987773057	0.9883808203891359	0.9905798062889744	0.990786664491104	0.9875383884616816	0.9824601501177658	0.9821036891197916	0.9905912273530937	0.9884426793624423	0.9832757075169676
XieH_2016__YSZC12003_35992__bin.77	0.9900904645730062	0.9909323650917609	0.9830912793008648	0.9849798487048929	0.9869336764713087	0.9901414856959008	0.9909819430550945	0.9833631789494036	1.0	0.9909590966494233	0.9909645701388057	0.9895929168039258	0.984938418499882	0.9832244083296	0.9925569836596829	0.9909650466120667	0.9869949379355619	0.9841812951800628	0.9845675575395514	0.9842325726789621	0.9833104301385545	0.9901713357009441	0.9901108873095114	0.9839518753787794	0.9842538574153843	0.9901467813272493
LeChatelierE_2013__MH0132__bin.16	0.9905333996152874	0.99124303276018	0.9832281368052287	0.9853122427747618	0.9867730173915091	0.9905636485273817	0.9997782159726188	0.9831482286897999	0.9909590966494233	1.0	0.9914809231932095	0.9901187210012231	0.9848537041385513	0.9835085072698353	0.9910267948108402	0.9908710517130446	0.9869164326050779	0.9845442931953352	0.9845587717762646	0.9844588363699199	0.9837037914196752	0.9911849178417848	0.9907922692319576	0.9834634416651274	0.9847922807047828	0.9908441182672337
