	ZeeviD_2015__PNP_Main_484__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	ZeeviD_2015__PNP_Validation_26__bin.30	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	XieH_2016__YSZC12003_37265R1__bin.8	NielsenHB_2014__MH0132__bin.1	ZeeviD_2015__PNP_Main_612__bin.5	XieH_2016__YSZC12003_35992__bin.77	LeChatelierE_2013__MH0132__bin.16	CosteaPI_2017__SID713B072-11-0-0__bin.7	ZeeviD_2015__PNP_Main_380__bin.12	ZeeviD_2015__PNP_Validation_67__bin.1	NielsenHB_2014__O2_UC29_2__bin.1	XieH_2016__YSZC12003_37652__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	XieH_2016__YSZC12003_36058__bin.26	ZeeviD_2015__PNP_Main_707__bin.38	ZeeviD_2015__PNP_Validation_73__bin.14	NielsenHB_2014__O2_UC29_0__bin.6	LiJ_2014__MH0356__bin.42	LeChatelierE_2013__MH0439__bin.16	ZeeviD_2015__PNP_Validation_38__bin.8	LiJ_2014__O2.UC29-1__bin.19	CosteaPI_2017__SID713B072-11-90-0__bin.68
ZeeviD_2015__PNP_Main_484__bin.5	1699882.0	1508020.0	1301483.0	1430598.0	1554739.0	1061771.0	1581383.0	812357.0	1544472.0	1587159.0	1602624.0	1054778.0	1279781.0	992866.0	1611496.0	1617614.0	1535302.0	1533199.0	1539721.0	1572803.0	1209939.0	1333796.0	1526272.0	813805.0	1585395.0	1060710.0
Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	1508020.0	2370853.0	1733843.0	2040024.0	2186262.0	1378975.0	2164760.0	1046026.0	2180723.0	2163877.0	2192649.0	1417824.0	1707199.0	1293933.0	2236696.0	2272090.0	2187383.0	2088804.0	2110021.0	2158813.0	1615603.0	1779090.0	2071078.0	1095693.0	2176000.0	1395112.0
VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	1301483.0	1733843.0	2025245.0	1688004.0	1806142.0	1208280.0	1817384.0	943355.0	1806346.0	1829433.0	1838315.0	1199649.0	1517654.0	1194593.0	1873811.0	1858638.0	1779764.0	1839655.0	1858191.0	1903356.0	1484528.0	1506815.0	1756454.0	963587.0	1922813.0	1262344.0
ZeeviD_2015__PNP_Validation_26__bin.30	1430598.0	2040024.0	1688004.0	2203455.0	2075019.0	1264163.0	2044514.0	1016208.0	2057436.0	2071385.0	2078523.0	1318973.0	1688591.0	1266605.0	2109780.0	2111546.0	2075829.0	2046901.0	2110765.0	2169399.0	1565933.0	1676346.0	1960262.0	1056425.0	2144236.0	1313105.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	1554739.0	2186262.0	1806142.0	2075019.0	2486308.0	1335955.0	2265194.0	1089803.0	2245161.0	2293418.0	2261508.0	1450006.0	1772377.0	1342828.0	2313507.0	2304020.0	2422580.0	2164407.0	2209901.0	2249313.0	1685607.0	1846857.0	2132848.0	1104706.0	2261694.0	1458099.0
XieH_2016__YSZC12003_37265R1__bin.8	1061771.0	1378975.0	1208280.0	1264163.0	1335955.0	1473005.0	1356555.0	751631.0	1404877.0	1366206.0	1404021.0	952075.0	1131829.0	883576.0	1427667.0	1407892.0	1341477.0	1353033.0	1317939.0	1393358.0	1079939.0	1148748.0	1342030.0	755043.0	1400353.0	983593.0
NielsenHB_2014__MH0132__bin.1	1581383.0	2164760.0	1817384.0	2044514.0	2265194.0	1356555.0	2426469.0	1103808.0	2256251.0	2398730.0	2293254.0	1465170.0	1785082.0	1348785.0	2344043.0	2355252.0	2232837.0	2182484.0	2196590.0	2246583.0	1703679.0	1917599.0	2185137.0	1115184.0	2277919.0	1477834.0
ZeeviD_2015__PNP_Main_612__bin.5	812357.0	1046026.0	943355.0	1016208.0	1089803.0	751631.0	1103808.0	1216913.0	1086145.0	1115135.0	1112620.0	747808.0	946283.0	706203.0	1129330.0	1138608.0	1073040.0	1111180.0	1123013.0	1158321.0	913686.0	931935.0	1068656.0	638553.0	1165322.0	741855.0
XieH_2016__YSZC12003_35992__bin.77	1544472.0	2180723.0	1806346.0	2057436.0	2245161.0	1404877.0	2256251.0	1086145.0	2450085.0	2271012.0	2263091.0	1435849.0	1761568.0	1343738.0	2342733.0	2295972.0	2239205.0	2144613.0	2164207.0	2239300.0	1691176.0	1850811.0	2132345.0	1113775.0	2271858.0	1470078.0
LeChatelierE_2013__MH0132__bin.16	1587159.0	2163877.0	1829433.0	2071385.0	2293418.0	1366206.0	2398730.0	1115135.0	2271012.0	2473067.0	2302010.0	1469243.0	1805656.0	1353607.0	2355680.0	2377930.0	2261157.0	2200417.0	2216404.0	2268556.0	1722732.0	1915694.0	2200868.0	1131493.0	2317310.0	1484401.0
