	BackhedF_2015__SID39_M__bin.6	LeChatelierE_2013__MH0193__bin.54	SchirmerM_2016__G88846__bin.13	ZeeviD_2015__PNP_Main_47__bin.42	BackhedF_2015__SID640_M__bin.38	BritoIL_2016__WL.37.ST__bin.73	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.45	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.26	CosteaPI_2017__mickey3-11-7-0__bin.38	ZeeviD_2015__PNP_Main_38__bin.52	BritoIL_2016__WL.43.ST__bin.5	ZeeviD_2015__PNP_Validation_23__bin.3	LiSS_2016__FAT_DON_11-22-0-6__bin.56	ZeeviD_2015__PNP_Main_410__bin.16	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.3	SchirmerM_2016__G89150__bin.3	FengQ_2015__SID31160__bin.56	ZeeviD_2015__PNP_Main_313__bin.32	SchirmerM_2016__G89113__bin.3	LeChatelierE_2013__MH0415__bin.73	ZellerG_2014__CCIS63468405ST-4-0__bin.18	LiSS_2016__FAT_008-22-0-0__bin.12	LeChatelierE_2013__MH0098__bin.1	NielsenHB_2014__V1_UC37_0__bin.20	XieH_2016__YSZC12003_36533__bin.98	XieH_2016__YSZC12003_36055__bin.38	XieH_2016__YSZC12003_37546__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.129	XieH_2016__YSZC12003_37194__bin.23	ZeeviD_2015__PNP_Main_287__bin.47	RaymondF_2016__P7C7__bin.65	ZellerG_2014__CCIS35100175ST-4-0__bin.18	LeChatelierE_2013__MH0322__bin.16	LiJ_2014__MH0339__bin.62	HMP_2012__SRS014613__bin.25	LeChatelierE_2013__MH0408__bin.18	ZeeviD_2015__PNP_Main_463__bin.42	LiJ_2014__V1.UC64-0__bin.18	LeChatelierE_2013__MH0275__bin.19	NielsenHB_2014__V1_CD6_4__bin.23	NielsenHB_2014__MH0098__bin.13	XieH_2016__YSZC12003_35387__bin.3	LoombaR_2017__SID5443_cul__bin.35
BackhedF_2015__SID39_M__bin.6	1979049.0	1620464.0	1657225.0	1141234.0	1836756.0	1678612.0	1666404.0	1813013.0	1739459.0	1705268.0	1608152.0	1805896.0	1228685.0	1829938.0	1729365.0	1238533.0	1132542.0	1720854.0	1737503.0	1776975.0	1811863.0	1296857.0	1738262.0	1720263.0	1744252.0	1818819.0	1688894.0	1253774.0	1766172.0	1774533.0	1188299.0	1793233.0	1596075.0	1466810.0	1441842.0	1063096.0	1736744.0	1647010.0	1724012.0	1455913.0	1633362.0	1819523.0	1841123.0
LeChatelierE_2013__MH0193__bin.54	1620464.0	1685915.0	1528563.0	1011088.0	1625418.0	1526359.0	1542657.0	1618612.0	1587345.0	1558884.0	1480179.0	1579286.0	1141529.0	1607025.0	1572838.0	1177829.0	1018946.0	1558135.0	1595211.0	1589226.0	1578902.0	1201998.0	1499732.0	1568018.0	1554703.0	1626597.0	1531337.0	1156219.0	1580235.0	1593144.0	1124178.0	1622423.0	1497016.0	1369551.0	1292895.0	1008445.0	1579108.0	1504860.0	1565814.0	1246753.0	1413391.0	1620424.0	1621815.0
SchirmerM_2016__G88846__bin.13	1657225.0	1528563.0	1704245.0	1025848.0	1651538.0	1526305.0	1542059.0	1633725.0	1588613.0	1558610.0	1472409.0	1613486.0	1145827.0	1630664.0	1588013.0	1181917.0	1032368.0	1587802.0	1608958.0	1595975.0	1598361.0	1198929.0	1529751.0	1578668.0	1576830.0	1657297.0	1533089.0	1165979.0	1601703.0	1589964.0	1110593.0	1631389.0	1499643.0	1363454.0	1312679.0	1020254.0	1586097.0	1519273.0	1580778.0	1286279.0	1438764.0	1649582.0	1641101.0
ZeeviD_2015__PNP_Main_47__bin.42	1141234.0	1011088.0	1025848.0	1240624.0	1147311.0	1050932.0	1044654.0	1142411.0	1089618.0	1079614.0	1019703.0	1122862.0	722369.0	1129232.0	1087394.0	745846.0	506842.0	1082107.0	1116536.0	1135989.0	1136560.0	740643.0	1042768.0	1093177.0	1092454.0	1134838.0	1073768.0	717491.0	1103756.0	1113116.0	695340.0	1153403.0	975575.0	891598.0	867639.0	632901.0	1104253.0	991901.0	1067938.0	1158981.0	968975.0	1128156.0	1163642.0
BackhedF_2015__SID640_M__bin.38	1836756.0	1625418.0	1651538.0	1147311.0	2018143.0	1674166.0	1675495.0	1813070.0	1734638.0	1712272.0	1611794.0	1761058.0	1228116.0	1794274.0	1722038.0	1236847.0	1117348.0	1722985.0	1766707.0	1757747.0	1755810.0	1291811.0	1674500.0	1718470.0	1727894.0	1833194.0	1688112.0	1246040.0	1744129.0	1755715.0	1194769.0	1816675.0	1589867.0	1462550.0	1419932.0	1064396.0	1746432.0	1627548.0	1727348.0	1448605.0	1566353.0	1830399.0	1826668.0
BritoIL_2016__WL.37.ST__bin.73	1678612.0	1526359.0	1526305.0	1050932.0	1674166.0	1821563.0	1573884.0	1663472.0	1636319.0	1666436.0	1635977.0	1622916.0	1136700.0	1657082.0	1602233.0	1158043.0	1000301.0	1605651.0	1651624.0	1651088.0	1661104.0	1206596.0	1534170.0	1632814.0	1616161.0	1694116.0	1634292.0	1187526.0	1688297.0	1696526.0	1136855.0	1674218.0	1490740.0	1361868.0	1331563.0	1009472.0	1664301.0	1529234.0	1664199.0	1292998.0	1436036.0	1672529.0	1667651.0
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.45	1666404.0	1542657.0	1542059.0	1044654.0	1675495.0	1573884.0	1752495.0	1650940.0	1618807.0	1590562.0	1518858.0	1627852.0	1166368.0	1656235.0	1598969.0	1180541.0	1042608.0	1593048.0	1614410.0	1627530.0	1627150.0	1220647.0	1542556.0	1602017.0	1607157.0	1682143.0	1581817.0	1183387.0	1618278.0	1632677.0	1130685.0	1651311.0	1504817.0	1381169.0	1329401.0	1005980.0	1613692.0	1519135.0	1596032.0	1299241.0	1448151.0	1655688.0	1662318.0
VogtmannE_2016__MMRS38954404ST-27-0-0__bin.26	1813013.0	1618612.0	1633725.0	1142411.0	1813070.0	1663472.0	1650940.0	1969518.0	1732376.0	1689669.0	1603499.0	1808049.0	1219510.0	1797569.0	1745663.0	1235894.0	1078240.0	1738139.0	1753356.0	1781053.0	1765182.0	1280044.0	1649748.0	1706931.0	1725030.0	1903865.0	1685786.0	1249068.0	1752704.0	1779017.0	1185525.0	1877217.0	1581582.0	1450430.0	1415007.0	1063848.0	1722042.0	1629588.0	1705507.0	1477163.0	1552641.0	1790203.0	1880250.0
CosteaPI_2017__mickey3-11-7-0__bin.38	1739459.0	1587345.0	1588613.0	1089618.0	1734638.0	1636319.0	1618807.0	1732376.0	1897077.0	1630891.0	1581465.0	1715347.0	1180919.0	1699752.0	1661393.0	1203730.0	1052440.0	1645713.0	1680314.0	1693591.0	1667984.0	1231280.0	1612284.0	1647788.0	1674046.0	1726556.0	1637153.0	1222863.0	1650798.0	1682634.0	1146769.0	1739134.0	1543983.0	1413566.0	1353673.0	1034211.0	1660920.0	1584343.0	1657554.0	1367933.0	1504803.0	1716242.0	1722107.0
ZeeviD_2015__PNP_Main_38__bin.52	1705268.0	1558884.0	1558610.0	1079614.0	1712272.0	1666436.0	1590562.0	1689669.0	1630891.0	1798963.0	1608141.0	1646866.0	1165232.0	1668335.0	1624921.0	1189724.0	1011423.0	1647274.0	1663432.0	1674868.0	1675407.0	1228107.0	1560626.0	1731348.0	1638253.0	1714608.0	1610753.0	1189520.0	1698629.0	1697610.0	1146641.0	1694085.0	1561561.0	1386840.0	1330076.0	1027641.0	1804633.0	1534414.0	1685239.0	1312470.0	1463038.0	1712654.0	1711715.0
