	VincentC_2016__MM081__bin.1	LiJ_2014__O2.UC36-0__bin.56	XieH_2016__YSZC12003_37127__bin.43	BackhedF_2015__SID521_12M__bin.15	LiJ_2014__MH0301__bin.14	BackhedF_2015__SID521_4M__bin.14	XieH_2016__YSZC12003_37176__bin.70	XieH_2016__YSZC12003_36389__bin.16	LiJ_2014__V1.FI04__bin.68	VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	CosteaPI_2017__SID713B041-11-0-0__bin.68	LiuW_2016__SRR3993027__bin.4	LeChatelierE_2013__MH0199__bin.45	NielsenHB_2014__V1_CD41_0__bin.62	LeChatelierE_2013__MH0251__bin.15	XieH_2016__YSZC12003_36212__bin.11	LiJ_2014__O2.UC36-1__bin.41	KarlssonFH_2013__S356__bin.18	VogtmannE_2016__MMRS48639115ST-27-0-0__bin.33	LiJ_2014__V1.FI21__bin.37	CosteaPI_2017__SID713B003-11-90-0__bin.6	XieH_2016__YSZC12003_35506__bin.40	LeChatelierE_2013__MH0191__bin.37	RaymondF_2016__P12E90__bin.8	VatanenT_2016__G80376__bin.4	RaymondF_2016__P12E0__bin.13	NielsenHB_2014__O2_UC51_2__bin.35	QinN_2014__LD-62__bin.3	ZeeviD_2015__PNP_Main_240__bin.26	VatanenT_2016__G80540__bin.10	BackhedF_2015__SID507_M__bin.62
VincentC_2016__MM081__bin.1	2351069.0	1381989.0	2291280.0	979887.0	1444426.0	1248039.0	1260135.0	782018.0	1219979.0	2268376.0	1519858.0	2004587.0	2350249.0	1218229.0	2234762.0	2379737.0	1856737.0	1076380.0	2129581.0	2323690.0	2302754.0	2187669.0	2060262.0	1971204.0	938733.0	2316525.0	1588305.0	2294798.0	1633522.0	2228540.0	2196556.0
LiJ_2014__O2.UC36-0__bin.56	1381989.0	1411746.0	1384343.0	610127.0	911791.0	768596.0	762162.0	497802.0	781152.0	1391370.0	1112843.0	1280168.0	1393340.0	520149.0	1376666.0	1393945.0	1146942.0	648770.0	1350696.0	1406421.0	1405707.0	1344859.0	1280194.0	1105213.0	577734.0	1379633.0	949302.0	1408746.0	1064308.0	1320051.0	1377395.0
XieH_2016__YSZC12003_37127__bin.43	2291280.0	1384343.0	2388510.0	997341.0	1447622.0	1252985.0	1241234.0	784289.0	1211988.0	2297256.0	1501240.0	1997804.0	2339943.0	1182966.0	2241733.0	2353685.0	1879970.0	1086365.0	2121344.0	2388948.0	2347528.0	2190151.0	2091142.0	1978925.0	945547.0	2293872.0	1605545.0	2339873.0	1629797.0	2247256.0	2200443.0
BackhedF_2015__SID521_12M__bin.15	979887.0	610127.0	997341.0	1024407.0	735928.0	644747.0	597450.0	362644.0	597523.0	1004965.0	552750.0	947057.0	989586.0	616396.0	994005.0	992658.0	886667.0	572388.0	956272.0	1011308.0	995343.0	955012.0	939678.0	839589.0	461792.0	991335.0	798168.0	999178.0	749177.0	959224.0	942970.0
LiJ_2014__MH0301__bin.14	1444426.0	911791.0	1447622.0	735928.0	1504590.0	881932.0	856555.0	535432.0	856714.0	1470899.0	850585.0	1354965.0	1454539.0	832457.0	1427672.0	1463073.0	1254472.0	785691.0	1411036.0	1467068.0	1462424.0	1419099.0	1387542.0	1227175.0	648905.0	1455443.0	1145481.0	1467663.0	1105825.0	1390339.0	1415923.0
BackhedF_2015__SID521_4M__bin.14	1248039.0	768596.0	1252985.0	644747.0	881932.0	1300881.0	719186.0	453371.0	723526.0	1262094.0	757435.0	1139013.0	1260304.0	681614.0	1237528.0	1260601.0	1079333.0	681545.0	1182771.0	1274093.0	1252505.0	1219814.0	1178685.0	1093968.0	558275.0	1255075.0	995926.0	1258307.0	950743.0	1224751.0	1219921.0
XieH_2016__YSZC12003_37176__bin.70	1260135.0	762162.0	1241234.0	597450.0	856555.0	719186.0	1279809.0	478970.0	742015.0	1257539.0	713168.0	1171450.0	1261363.0	734494.0	1243823.0	1265318.0	1082158.0	660146.0	1212082.0	1258965.0	1253543.0	1228892.0	1178459.0	1049881.0	572173.0	1254044.0	927027.0	1259746.0	978220.0	1196238.0	1216339.0
XieH_2016__YSZC12003_36389__bin.16	782018.0	497802.0	784289.0	362644.0	535432.0	453371.0	478970.0	797820.0	490866.0	785650.0	429465.0	760503.0	783415.0	488161.0	780852.0	787574.0	661755.0	448286.0	761101.0	787805.0	788754.0	769345.0	742007.0	618529.0	394737.0	784352.0	585914.0	789158.0	633712.0	732642.0	776746.0
LiJ_2014__V1.FI04__bin.68	1219979.0	781152.0	1211988.0	597523.0	856714.0	723526.0	742015.0	490866.0	1229510.0	1219476.0	707448.0	1156015.0	1222181.0	700406.0	1200000.0	1222875.0	1037783.0	653637.0	1176560.0	1227166.0	1224693.0	1182606.0	1162413.0	990709.0	564508.0	1217963.0	923388.0	1227146.0	967283.0	1155728.0	1198775.0
VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	2268376.0	1391370.0	2297256.0	1004965.0	1470899.0	1262094.0	1257539.0	785650.0	1219476.0	2430760.0	1486880.0	2025771.0	2302379.0	1172398.0	2260352.0	2331601.0	1880469.0	1092857.0	2162244.0	2346832.0	2331046.0	2191054.0	2085558.0	1975659.0	947108.0	2291973.0	1623554.0	2347156.0	1641633.0	2218754.0	2215349.0
CosteaPI_2017__SID713B041-11-0-0__bin.68	1519858.0	1112843.0	1501240.0	552750.0	850585.0	757435.0	713168.0	429465.0	707448.0	1486880.0	1524784.0	1247715.0	1521146.0	458112.0	1428749.0	1562799.0	1141837.0	604113.0	1383366.0	1516485.0	1546668.0	1430635.0	1319397.0	1216221.0	494559.0	1529665.0	911530.0	1551086.0	1027485.0	1441545.0	1470334.0
LiuW_2016__SRR3993027__bin.4	2004587.0	1280168.0	1997804.0	947057.0	1354965.0	1139013.0	1171450.0	760503.0	1156015.0	2025771.0	1247715.0	2114918.0	2017652.0	1092978.0	1989221.0	2029298.0	1688013.0	1021144.0	1968639.0	2041777.0	2023719.0	1939208.0	1870494.0	1678675.0	895690.0	2022876.0	1442422.0	2034552.0	1540838.0	1924165.0	1962040.0
