	VincentC_2016__MM081__bin.1	LiJ_2014__O2.UC36-0__bin.56	XieH_2016__YSZC12003_37127__bin.43	BackhedF_2015__SID521_12M__bin.15	LiJ_2014__MH0301__bin.14	BackhedF_2015__SID521_4M__bin.14	XieH_2016__YSZC12003_37176__bin.70	XieH_2016__YSZC12003_36389__bin.16	LiJ_2014__V1.FI04__bin.68	VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	CosteaPI_2017__SID713B041-11-0-0__bin.68	LiuW_2016__SRR3993027__bin.4	LeChatelierE_2013__MH0199__bin.45	NielsenHB_2014__V1_CD41_0__bin.62	LeChatelierE_2013__MH0251__bin.15	XieH_2016__YSZC12003_36212__bin.11	LiJ_2014__O2.UC36-1__bin.41	KarlssonFH_2013__S356__bin.18	VogtmannE_2016__MMRS48639115ST-27-0-0__bin.33	LiJ_2014__V1.FI21__bin.37	CosteaPI_2017__SID713B003-11-90-0__bin.6	XieH_2016__YSZC12003_35506__bin.40	LeChatelierE_2013__MH0191__bin.37	RaymondF_2016__P12E90__bin.8	VatanenT_2016__G80376__bin.4	RaymondF_2016__P12E0__bin.13	NielsenHB_2014__O2_UC51_2__bin.35	QinN_2014__LD-62__bin.3	ZeeviD_2015__PNP_Main_240__bin.26	VatanenT_2016__G80540__bin.10	BackhedF_2015__SID507_M__bin.62
VincentC_2016__MM081__bin.1	0.0	1880.0	929.0	2731.0	3802.0	3295.0	3150.0	1909.0	2381.0	3723.0	783.0	969.0	1331.0	606.0	2303.0	1447.0	2100.0	1546.0	3323.0	521.0	734.0	1091.0	3178.0	835.0	818.0	876.0	3911.0	781.0	1050.0	310.0	3314.0
LiJ_2014__O2.UC36-0__bin.56	1880.0	0.0	1695.0	2160.0	3151.0	2823.0	2591.0	1594.0	2262.0	3332.0	1549.0	1859.0	2072.0	713.0	2802.0	1742.0	2350.0	1866.0	3423.0	2147.0	1695.0	2111.0	3212.0	1441.0	948.0	1990.0	2935.0	1685.0	1864.0	1768.0	3188.0
XieH_2016__YSZC12003_37127__bin.43	929.0	1695.0	0.0	3126.0	3663.0	3787.0	2835.0	1879.0	2181.0	3914.0	519.0	809.0	1201.0	1121.0	2142.0	795.0	2016.0	1561.0	3159.0	1380.0	663.0	1327.0	3131.0	1123.0	615.0	1397.0	3839.0	648.0	1043.0	928.0	3122.0
BackhedF_2015__SID521_12M__bin.15	2731.0	2160.0	3126.0	0.0	2928.0	2841.0	2957.0	1913.0	2228.0	3645.0	1707.0	3026.0	2814.0	1777.0	3239.0	2840.0	2932.0	1954.0	3562.0	2960.0	2707.0	2943.0	3661.0	2724.0	1440.0	3126.0	3341.0	2808.0	2595.0	2818.0	3596.0
LiJ_2014__MH0301__bin.14	3802.0	3151.0	3663.0	2928.0	0.0	3941.0	3856.0	2092.0	3153.0	5379.0	2379.0	3800.0	3885.0	2106.0	3984.0	3717.0	4020.0	2748.0	4767.0	3900.0	3348.0	3932.0	4316.0	3168.0	1549.0	3749.0	4011.0	3436.0	2987.0	3583.0	4491.0
BackhedF_2015__SID521_4M__bin.14	3295.0	2823.0	3787.0	2841.0	3941.0	0.0	3298.0	2027.0	3023.0	4454.0	2207.0	3776.0	3446.0	2244.0	3801.0	3479.0	3338.0	2437.0	4124.0	3538.0	3304.0	3433.0	4176.0	3323.0	1718.0	3838.0	4231.0	3350.0	2713.0	3438.0	4312.0
XieH_2016__YSZC12003_37176__bin.70	3150.0	2591.0	2835.0	2957.0	3856.0	3298.0	0.0	2091.0	2878.0	4369.0	1803.0	3047.0	3232.0	2018.0	3730.0	3020.0	3412.0	2172.0	4068.0	3286.0	2808.0	3210.0	4235.0	2542.0	1526.0	2963.0	4071.0	2891.0	2550.0	2929.0	4413.0
XieH_2016__YSZC12003_36389__bin.16	1909.0	1594.0	1879.0	1913.0	2092.0	2027.0	2091.0	0.0	1808.0	2652.0	1165.0	2210.0	2174.0	1200.0	2087.0	1926.0	2098.0	1401.0	2627.0	2189.0	1850.0	2152.0	2291.0	1467.0	930.0	2072.0	1980.0	1858.0	1821.0	1887.0	2361.0
LiJ_2014__V1.FI04__bin.68	2381.0	2262.0	2181.0	2228.0	3153.0	3023.0	2878.0	1808.0	0.0	3417.0	1491.0	2183.0	2477.0	1328.0	2694.0	2289.0	2754.0	1657.0	3280.0	2453.0	2211.0	2474.0	3101.0	1844.0	1148.0	2298.0	3296.0	2253.0	2184.0	2257.0	3287.0
VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	3723.0	3332.0	3914.0	3645.0	5379.0	4454.0	4369.0	2652.0	3417.0	0.0	2984.0	3485.0	4459.0	2430.0	5031.0	3982.0	4051.0	2366.0	1364.0	4498.0	3644.0	4121.0	3768.0	3474.0	1043.0	4071.0	4663.0	3668.0	3191.0	3508.0	4246.0
CosteaPI_2017__SID713B041-11-0-0__bin.68	783.0	1549.0	519.0	1707.0	2379.0	2207.0	1803.0	1165.0	1491.0	2984.0	0.0	498.0	1039.0	524.0	1678.0	609.0	1517.0	1371.0	2314.0	933.0	462.0	1037.0	2370.0	442.0	347.0	727.0	2626.0	477.0	884.0	566.0	2293.0
LiuW_2016__SRR3993027__bin.4	969.0	1859.0	809.0	3026.0	3800.0	3776.0	3047.0	2210.0	2183.0	3485.0	498.0	0.0	1225.0	929.0	2087.0	923.0	2107.0	1633.0	3368.0	1810.0	714.0	1314.0	3029.0	944.0	744.0	1143.0	3661.0	694.0	1275.0	965.0	3011.0
LeChatelierE_2013__MH0199__bin.45	1331.0	2072.0	1201.0	2814.0	3885.0	3446.0	3232.0	2174.0	2477.0	4459.0	1039.0	1225.0	0.0	574.0	2759.0	2233.0	2205.0	1683.0	3740.0	856.0	967.0	1120.0	4002.0	1040.0	1023.0	1068.0	4084.0	1460.0	927.0	741.0	3518.0
NielsenHB_2014__V1_CD41_0__bin.62	606.0	713.0	1121.0	1777.0	2106.0	2244.0	2018.0	1200.0	1328.0	2430.0	524.0	929.0	574.0	0.0	1257.0	804.0	1206.0	534.0	1645.0	1384.0	674.0	766.0	1419.0	950.0	608.0	1077.0	1811.0	677.0	535.0	666.0	1411.0
