	ZeeviD_2015__PNP_DietIntervention_8__bin.59	ZeeviD_2015__PNP_Main_740__bin.7	LiuW_2016__SRR3992977__bin.5	BritoIL_2016__W3.23.ST__bin.37	CM_madagascar__V31_01_2FE__bin.4	BritoIL_2016__M2.11.ST__bin.54	CM_madagascar__A09_02_1FE__bin.52	BritoIL_2016__WL.33.ST__bin.20	BackhedF_2015__SID377_M__bin.20	CM_madagascar__A93_01_1FE__bin.13	CosteaPI_2017__SID713B033-11-90-0__bin.37	CM_madagascar__A83_02_1FE__bin.23	SchirmerM_2016__G89002__bin.6	CM_madagascar__A92_01_1FE__bin.11	FengQ_2015__SID530026__bin.77	LiSS_2016__FAT_012-22-84-0__bin.14	LiuW_2016__SRR3993030__bin.34	CM_madagascar__V30_01_1FE__bin.15	CM_madagascar__A95_01_1FE__bin.37	FengQ_2015__SID31449__bin.44	LiuW_2016__SRR3993011__bin.58	CM_madagascar__V18_02_1FE__bin.4	CM_madagascar__A39_04_1FE__bin.29	CM_madagascar__A36_01_1FE__bin.6	LiSS_2016__FAT_023-22-42-0__bin.7	CosteaPI_2017__SID713A078-11-0-0__bin.40	CM_madagascar__V40_01_1FE__bin.60	BritoIL_2016__M1.15.ST__bin.56	XieH_2016__YSZC12003_37210__bin.7	LiSS_2016__FAT_006-22-0-0__bin.79	ZellerG_2014__CCIS11362406ST-4-0__bin.21	LiuW_2016__SRR3993002__bin.18	CosteaPI_2017__SID713B074-11-0-0__bin.52	FengQ_2015__SID530450__bin.62	XieH_2016__YSZC12003_35515__bin.28	CM_madagascar__A13_01_1FE__bin.33	ZeeviD_2015__PNP_DietIntervention_28__bin.20	CM_madagascar__A90_03_1FE__bin.26	CM_madagascar__A28_02_1FE__bin.38	LiuW_2016__SRR3993015__bin.93	BackhedF_2015__SID503_M__bin.48	YuJ_2015__SZAXPI003411-6__bin.52	FengQ_2015__SID31477__bin.4	CosteaPI_2017__SID713B058-11-90-0__bin.16
ZeeviD_2015__PNP_DietIntervention_8__bin.59	1680052.0	1433367.0	989603.0	1060447.0	809150.0	1046232.0	1331637.0	1338880.0	1173700.0	1286333.0	1424564.0	1330935.0	1251280.0	1278624.0	720001.0	1337116.0	1317040.0	1030103.0	1340029.0	977950.0	980970.0	1038121.0	1172937.0	1352594.0	1445509.0	1334307.0	736660.0	986575.0	1209346.0	1368954.0	1373526.0	1030824.0	1280486.0	749335.0	1394785.0	964499.0	1241138.0	1360856.0	1178293.0	1003834.0	1154437.0	1183421.0	1176658.0	1385393.0
ZeeviD_2015__PNP_Main_740__bin.7	1433367.0	1860487.0	1132349.0	1211579.0	931902.0	1157201.0	1543149.0	1500110.0	1367225.0	1461822.0	1676222.0	1544797.0	1403736.0	1469281.0	797314.0	1550653.0	1556162.0	1157497.0	1540108.0	1113378.0	1113220.0	1202605.0	1336029.0	1544811.0	1681606.0	1525089.0	830694.0	1119160.0	1340615.0	1589787.0	1557455.0	1171764.0	1450389.0	867344.0	1626144.0	1115943.0	1294004.0	1568332.0	1345361.0	1157323.0	1333251.0	1359181.0	1341003.0	1623060.0
LiuW_2016__SRR3992977__bin.5	989603.0	1132349.0	1226069.0	869582.0	680016.0	835144.0	1093542.0	1060614.0	978508.0	1043824.0	1113548.0	1088079.0	950967.0	1053673.0	551496.0	1069065.0	1160420.0	856631.0	1086635.0	749393.0	857353.0	867260.0	962876.0	1081644.0	1127866.0	1075810.0	625797.0	804404.0	969911.0	1109868.0	1082817.0	874555.0	1011985.0	575735.0	1117209.0	817877.0	913370.0	1085955.0	982967.0	873558.0	930754.0	985021.0	952969.0	1124880.0
BritoIL_2016__W3.23.ST__bin.37	1060447.0	1211579.0	869582.0	1480270.0	792703.0	1020218.0	1297066.0	1270595.0	1136112.0	1230371.0	1214764.0	1288729.0	1049306.0	1250841.0	628423.0	1149965.0	1151481.0	1023976.0	1300434.0	859013.0	849390.0	1036598.0	1120962.0	1288460.0	1235197.0	1133005.0	743722.0	976921.0	1022060.0	1309583.0	1293299.0	901727.0	1083747.0	724987.0	1205759.0	978507.0	984746.0	1294959.0	1165082.0	896457.0	1126374.0	1157087.0	1020509.0	1214503.0
CM_madagascar__V31_01_2FE__bin.4	809150.0	931902.0	680016.0	792703.0	1180498.0	770025.0	1033931.0	980563.0	918891.0	998546.0	953298.0	1057930.0	830130.0	1034299.0	513424.0	887008.0	912287.0	831900.0	1030093.0	686450.0	679348.0	860141.0	957584.0	1044203.0	957638.0	888672.0	620526.0	768607.0	809774.0	1035278.0	1000981.0	718346.0	858167.0	604282.0	940110.0	809116.0	762942.0	1042388.0	961260.0	700341.0	890923.0	931279.0	791027.0	936239.0
BritoIL_2016__M2.11.ST__bin.54	1046232.0	1157201.0	835144.0	1020218.0	770025.0	1387836.0	1248053.0	1219358.0	1103038.0	1165798.0	1179557.0	1228405.0	1041733.0	1204631.0	624212.0	1136838.0	1111642.0	988110.0	1221383.0	854389.0	811407.0	986160.0	1094628.0	1227422.0	1187637.0	1105005.0	703189.0	953955.0	1012853.0	1249119.0	1205961.0	878027.0	1076140.0	711798.0	1155689.0	947521.0	969803.0	1243618.0	1118218.0	863265.0	1070400.0	1110244.0	1007952.0	1170419.0
CM_madagascar__A09_02_1FE__bin.52	1331637.0	1543149.0	1093542.0	1297066.0	1033931.0	1248053.0	1939718.0	1627477.0	1465037.0	1622377.0	1578172.0	1697484.0	1332151.0	1638584.0	788981.0	1474238.0	1488185.0	1285516.0	1731638.0	1066213.0	1065085.0	1316539.0	1482351.0	1691627.0	1584553.0	1483951.0	918730.0	1212055.0	1295787.0	1679226.0	1661319.0	1131835.0	1403348.0	918258.0	1570450.0	1252735.0	1240859.0	1735505.0	1504661.0	1112862.0	1425154.0	1466386.0	1290324.0	1552993.0
BritoIL_2016__WL.33.ST__bin.20	1338880.0	1500110.0	1060614.0	1270595.0	980563.0	1219358.0	1627477.0	1991667.0	1422738.0	1539253.0	1516861.0	1610882.0	1307641.0	1546202.0	762593.0	1410351.0	1446574.0	1223138.0	1635499.0	1023489.0	1033302.0	1258231.0	1431009.0	1622174.0	1532979.0	1410917.0	873839.0	1182556.0	1249838.0	1671714.0	1645689.0	1091096.0	1357433.0	910466.0	1489866.0	1178088.0	1209108.0	1617474.0	1428111.0	1086549.0	1409581.0	1440076.0	1235612.0	1496449.0
BackhedF_2015__SID377_M__bin.20	1173700.0	1367225.0	978508.0	1136112.0	918891.0	1103038.0	1465037.0	1422738.0	1668639.0	1390561.0	1366184.0	1507810.0	1183656.0	1430139.0	721689.0	1298016.0	1332896.0	1131330.0	1470690.0	970284.0	929932.0	1169006.0	1293082.0	1461333.0	1388434.0	1297366.0	813419.0	1067034.0	1148191.0	1486856.0	1455898.0	1018220.0	1231971.0	840791.0	1371697.0	1100684.0	1085622.0	1476221.0	1321825.0	1010910.0	1344393.0	1391612.0	1142209.0	1364608.0
CM_madagascar__A93_01_1FE__bin.13	1286333.0	1461822.0	1043824.0	1230371.0	998546.0	1165798.0	1622377.0	1539253.0	1390561.0	1758740.0	1478943.0	1615930.0	1279020.0	1553284.0	755581.0	1398991.0	1419285.0	1243283.0	1619377.0	1026859.0	1017304.0	1266896.0	1412296.0	1602121.0	1510142.0	1398466.0	880758.0	1158478.0	1248501.0	1622482.0	1565352.0	1070574.0	1335100.0	877007.0	1474490.0	1183913.0	1181710.0	1601959.0	1456472.0	1073847.0	1360258.0	1413842.0	1238111.0	1467616.0
