	ZeeviD_2015__PNP_DietIntervention_8__bin.59	ZeeviD_2015__PNP_Main_740__bin.7	LiuW_2016__SRR3992977__bin.5	BritoIL_2016__W3.23.ST__bin.37	CM_madagascar__V31_01_2FE__bin.4	BritoIL_2016__M2.11.ST__bin.54	CM_madagascar__A09_02_1FE__bin.52	BritoIL_2016__WL.33.ST__bin.20	BackhedF_2015__SID377_M__bin.20	CM_madagascar__A93_01_1FE__bin.13	CosteaPI_2017__SID713B033-11-90-0__bin.37	CM_madagascar__A83_02_1FE__bin.23	SchirmerM_2016__G89002__bin.6	CM_madagascar__A92_01_1FE__bin.11	FengQ_2015__SID530026__bin.77	LiSS_2016__FAT_012-22-84-0__bin.14	LiuW_2016__SRR3993030__bin.34	CM_madagascar__V30_01_1FE__bin.15	CM_madagascar__A95_01_1FE__bin.37	FengQ_2015__SID31449__bin.44	LiuW_2016__SRR3993011__bin.58	CM_madagascar__V18_02_1FE__bin.4	CM_madagascar__A39_04_1FE__bin.29	CM_madagascar__A36_01_1FE__bin.6	LiSS_2016__FAT_023-22-42-0__bin.7	CosteaPI_2017__SID713A078-11-0-0__bin.40	CM_madagascar__V40_01_1FE__bin.60	BritoIL_2016__M1.15.ST__bin.56	XieH_2016__YSZC12003_37210__bin.7	LiSS_2016__FAT_006-22-0-0__bin.79	ZellerG_2014__CCIS11362406ST-4-0__bin.21	LiuW_2016__SRR3993002__bin.18	CosteaPI_2017__SID713B074-11-0-0__bin.52	FengQ_2015__SID530450__bin.62	XieH_2016__YSZC12003_35515__bin.28	CM_madagascar__A13_01_1FE__bin.33	ZeeviD_2015__PNP_DietIntervention_28__bin.20	CM_madagascar__A90_03_1FE__bin.26	CM_madagascar__A28_02_1FE__bin.38	LiuW_2016__SRR3993015__bin.93	BackhedF_2015__SID503_M__bin.48	YuJ_2015__SZAXPI003411-6__bin.52	FengQ_2015__SID31477__bin.4	CosteaPI_2017__SID713B058-11-90-0__bin.16
ZeeviD_2015__PNP_DietIntervention_8__bin.59	1.0	0.8379282307928564	0.5772755843271518	0.605688990578863	0.46231902345879766	0.5985856390159352	0.7607728808394025	0.7656096358922224	0.6657996300114519	0.7353814048612781	0.8308838059774339	0.7598830274301033	0.7307940468509309	0.7295774178418287	0.420095330382631	0.7808389264141824	0.7685732346379754	0.5887145159792673	0.7648822774533169	0.5716055217338512	0.5707549528228888	0.5929233142783675	0.6699048600876639	0.7736451014611453	0.8437072185860914	0.7775521233866571	0.420695907031449	0.564967631954249	0.7055620897448412	0.7838918081107014	0.7876262163313992	0.6009927073685815	0.7471798491951439	0.4298753848095178	0.8143866975545995	0.550997231038087	0.7342600109996595	0.7777943777930683	0.6736505774821255	0.5848533259684819	0.6563088523450464	0.6741059205310312	0.6860394797303893	0.8091261460954781
ZeeviD_2015__PNP_Main_740__bin.7	0.7566637122430847	1.0	0.5962304493393396	0.6246219403844263	0.4804188365734348	0.5970802268438318	0.7956191040302888	0.7745047398879971	0.6996259581496672	0.7545191124689395	0.8823281216154695	0.7960722112006158	0.740525464569223	0.7567835733332188	0.4196933383571076	0.8181798636593537	0.8193258001802755	0.5972570622638051	0.7936384398278515	0.5875596013301893	0.5845808113682063	0.6200188445283413	0.6883337534742248	0.7967838528299311	0.8855557711502418	0.8020410784918143	0.4283932110248553	0.5781443245773821	0.7058646472670865	0.8220627179872797	0.8063146907234504	0.6171212161116955	0.7640924123629995	0.44912487966860287	0.8575926625663065	0.5752929206170212	0.6831103899140386	0.8086920252600529	0.6941150354718952	0.6089572246406453	0.683897818151914	0.6989594659892814	0.7056899618218241	0.8551212666361011
LiuW_2016__SRR3992977__bin.5	0.7910264430468431	0.9047443496246947	1.0	0.6817838147771454	0.5335270690311883	0.6545789837276695	0.8577469946634325	0.8329841142708934	0.7622026166553432	0.8191521031850573	0.8903267271254718	0.8527692976496428	0.7610175283772772	0.8256631559887739	0.4411081268672481	0.8546419491888303	0.9451735587475094	0.6721913693275011	0.8521208838980514	0.6000061986723423	0.6851376227602198	0.6804168444027213	0.7550496750182901	0.8480672784321274	0.9013823854938018	0.8597175199764451	0.4902032430474957	0.6314408079806275	0.7765802740302544	0.8718669177672709	0.8509227457834754	0.6997689363322945	0.8098345199169051	0.4529288319009779	0.8938632328196863	0.6410968713832582	0.730570628569844	0.8515271163368456	0.7716205205416661	0.7019784367763967	0.725765841889812	0.771430482297489	0.7608128090670264	0.9003204550477991
BritoIL_2016__W3.23.ST__bin.37	0.6874347247461612	0.7850601579441588	0.5647037364805069	1.0	0.5208752457321976	0.6745951752045235	0.8535713079370655	0.8404412708492369	0.739460368716518	0.8097840258871692	0.787398920467212	0.8465266471657198	0.6790666567585643	0.8218858721719686	0.4068365906219811	0.7452444486478818	0.7461686043762287	0.6733839096921508	0.8548372931965114	0.5565187432022537	0.5484972336127868	0.6819309990744932	0.7364487559701947	0.846921845339026	0.7998520540171725	0.7334547075871294	0.4890148418869531	0.646616495639309	0.6617448168239578	0.8640977659481041	0.8517013788025157	0.5825572361798861	0.7020036885162843	0.477653401068724	0.780284002242834	0.6429826991021909	0.6395792659447264	0.8514196734379539	0.766033223668655	0.5810291365764354	0.7352685658697399	0.7581846555020368	0.6605821910867612	0.7869476514419667
CM_madagascar__V31_01_2FE__bin.4	0.6579596068777753	0.7571491014809004	0.5541229210045252	0.6531446897834642	1.0	0.6341840477493396	0.8595914605530887	0.8079115763008493	0.7517725570056027	0.8305613393669452	0.7739504853036601	0.8784309672697455	0.6730117289482913	0.8592178893992196	0.41631752023298646	0.7200732233345588	0.7409652536471896	0.6911930388700361	0.8543699354001447	0.557747662427213	0.550707413312009	0.7145314943354414	0.7968204944015154	0.8670950734351096	0.7778590052672685	0.7213320141160765	0.5157425086700698	0.6341281391412777	0.6575013257116912	0.8533813695575935	0.8243868265765804	0.5822330914580117	0.6963349366114979	0.4983337540597273	0.761442204899966	0.6721807237284604	0.62047288517219	0.8655355621102281	0.7982148212025773	0.5696409481422248	0.7297835320347853	0.7644417864325056	0.6423009611197986	0.7595362296251243
BritoIL_2016__M2.11.ST__bin.54	0.7246209206275093	0.8004259869321736	0.5782808631567419	0.7195252176770165	0.5394390979914053	1.0	0.8752784911185472	0.8586237855193265	0.7649340411979514	0.818166555702547	0.8169135258056427	0.8601621517239789	0.7199993370974669	0.842650716655282	0.43151063958565705	0.7862456370925671	0.7686491775685311	0.6928160099608311	0.8558446387037085	0.5907391075026155	0.5592036811265885	0.6910708469876844	0.7663801774849478	0.8600821710922616	0.8218154018198116	0.7631665412916223	0.4925783738136206	0.673224357921253	0.699966710764096	0.8778004029294527	0.84740704233065	0.6065269959851164	0.7437932147602454	0.4993716836859687	0.7986923526987338	0.6636900901835664	0.6720671606731632	0.8713234128528156	0.7834074054859508	0.5967599918145948	0.7444445885536908	0.7743364489752391	0.6964864724650462	0.8098593781974239
CM_madagascar__A09_02_1FE__bin.52	0.6589298031981968	0.763120721671913	0.5421700473986425	0.6513915940358341	0.5231409926597578	0.6262472173790211	1.0	0.817116714903919	0.7277496007151555	0.8217199613552073	0.780658322498425	0.8573297768026074	0.6582116575708428	0.8269985637087452	0.3897236608620428	0.7282079147587432	0.7361827853327134	0.6490912596573316	0.8733166367482285	0.5275988571534624	0.5250123987095031	0.6646110413988012	0.7492656148986605	0.8540488875187012	0.7829107117632562	0.7328652927899828	0.46401435672608077	0.6093653819782051	0.6406065211541059	0.8429137637532877	0.8335747773645448	0.5588544314173503	0.6932353053381987	0.4607643997735753	0.7746538414346829	0.6322083931788023	0.6147682291962028	0.877027485438605	0.7600512033192454	0.5507522227457806	0.7098531848443949	0.7330065504367129	0.6369250581785599	0.767861101459078
BritoIL_2016__WL.33.ST__bin.20	0.6458228207827914	0.7234924312146559	0.5127845166887839	0.6246425732815777	0.4788641876377928	0.5983073475636238	0.7958037161834784	1.0	0.687377960271471	0.7528241417867545	0.7312793755180961	0.78641158386417	0.6296474260004308	0.7552577815468148	0.3670221979879167	0.6791988821424465	0.6974770380791568	0.597584837224295	0.7987233809667982	0.49367891319181373	0.49666585829860116	0.6144460896324536	0.6982030630622488	0.791917524365268	0.7378080773542967	0.6794423967460425	0.42691222980548454	0.5813742960043019	0.602421991226445	0.8191017875980272	0.8055297396602946	0.5252253514267193	0.6537563759403555	0.4450221849335255	0.7169120139059392	0.5751829999693724	0.5837281031417401	0.7899006209371345	0.6979771216774692	0.5239480294647649	0.6834576261995604	0.7012025604681907	0.5944728712179295	0.7211637286755266
BackhedF_2015__SID377_M__bin.20	0.6703535036637643	0.780063872413386	0.560045042696473	0.655984308169712	0.5318502084633046	0.6362089103754617	0.8459762716800937	0.8204458843404715	1.0	0.8041152100604145	0.7801339894369004	0.8708222689269518	0.6758232307886846	0.8260462568596323	0.41220659471581333	0.7406527115811149	0.7614337193365371	0.6536135137678072	0.8483992043815348	0.5545351630880017	0.5299564495376171	0.6752682875085623	0.7466150557430338	0.8431883708818984	0.792675947283984	0.7399509420551719	0.4703503873516081	0.6167025941500828	0.655503676948699	0.8575947224055053	0.8388800693259596	0.5805317986694545	0.7033876111010231	0.4848160686643426	0.7824196845453091	0.6357276798636494	0.6207849630746974	0.8517426477506518	0.7634377477692899	0.5777271177288796	0.7817227093457602	0.8031401639300052	0.6512277370959206	0.7792038901164362
CM_madagascar__A93_01_1FE__bin.13	0.7024796160887908	0.7981697124077465	0.5710548460829912	0.6815669172248314	0.5574877469097195	0.6456218656538203	0.9062766526035685	0.8525279461432617	0.762920045032239	1.0	0.8076617351058144	0.9012639730716308	0.6980360940218566	0.865418424553942	0.4121427840385731	0.7633009995792442	0.7746039778477773	0.6932366353184666	0.9014828797889398	0.5607992085242844	0.5533700262688062	0.7060514914086221	0.788188703276209	0.8933952716149062	0.823784641277278	0.7626687287489907	0.4911880095977802	0.6425770722221591	0.681055755825193	0.8986899712294029	0.8664771370412909	0.5835529981691437	0.7280820360030477	0.4856618943106997	0.8036963962837032	0.6603710611005607	0.6464753175568873	0.8932138917634216	0.8118982908218384	0.5864340380044806	0.7482419231950146	0.7792817585316761	0.6749007812411159	0.8013395953921557
