	ZeeviD_2015__PNP_DietIntervention_8__bin.59	ZeeviD_2015__PNP_Main_740__bin.7	LiuW_2016__SRR3992977__bin.5	BritoIL_2016__W3.23.ST__bin.37	CM_madagascar__V31_01_2FE__bin.4	BritoIL_2016__M2.11.ST__bin.54	CM_madagascar__A09_02_1FE__bin.52	BritoIL_2016__WL.33.ST__bin.20	BackhedF_2015__SID377_M__bin.20	CM_madagascar__A93_01_1FE__bin.13	CosteaPI_2017__SID713B033-11-90-0__bin.37	CM_madagascar__A83_02_1FE__bin.23	SchirmerM_2016__G89002__bin.6	CM_madagascar__A92_01_1FE__bin.11	FengQ_2015__SID530026__bin.77	LiSS_2016__FAT_012-22-84-0__bin.14	LiuW_2016__SRR3993030__bin.34	CM_madagascar__V30_01_1FE__bin.15	CM_madagascar__A95_01_1FE__bin.37	FengQ_2015__SID31449__bin.44	LiuW_2016__SRR3993011__bin.58	CM_madagascar__V18_02_1FE__bin.4	CM_madagascar__A39_04_1FE__bin.29	CM_madagascar__A36_01_1FE__bin.6	LiSS_2016__FAT_023-22-42-0__bin.7	CosteaPI_2017__SID713A078-11-0-0__bin.40	CM_madagascar__V40_01_1FE__bin.60	BritoIL_2016__M1.15.ST__bin.56	XieH_2016__YSZC12003_37210__bin.7	LiSS_2016__FAT_006-22-0-0__bin.79	ZellerG_2014__CCIS11362406ST-4-0__bin.21	LiuW_2016__SRR3993002__bin.18	CosteaPI_2017__SID713B074-11-0-0__bin.52	FengQ_2015__SID530450__bin.62	XieH_2016__YSZC12003_35515__bin.28	CM_madagascar__A13_01_1FE__bin.33	ZeeviD_2015__PNP_DietIntervention_28__bin.20	CM_madagascar__A90_03_1FE__bin.26	CM_madagascar__A28_02_1FE__bin.38	LiuW_2016__SRR3993015__bin.93	BackhedF_2015__SID503_M__bin.48	YuJ_2015__SZAXPI003411-6__bin.52	FengQ_2015__SID31477__bin.4	CosteaPI_2017__SID713B058-11-90-0__bin.16
ZeeviD_2015__PNP_DietIntervention_8__bin.59	1.0	0.8531682352689084	0.58903117284465	0.6311989152716702	0.48162199741436573	0.6227378676374302	0.7926165380595362	0.7969277141421813	0.6986093287588717	0.7656507060495746	0.8479285164982988	0.7921986938499522	0.7447864708949485	0.7610621575998838	0.428558758895558	0.7958777466411754	0.7839281165106794	0.6131375695514186	0.7976116215450474	0.5820950780094902	0.5838926414182418	0.617910040879687	0.6981551761493097	0.8050905567208634	0.8603953925235648	0.7942057745831677	0.4384745234076088	0.5872288476785242	0.7198265291788587	0.8148283505510544	0.8175496948903962	0.6135667229347663	0.7621704566287234	0.44601893274731974	0.8302034698925985	0.5740887782044841	0.7387497529838362	0.8100082616490442	0.7013431727113209	0.5975017439936383	0.6871436122215264	0.704395459188168	0.7003699885479735	0.8246131667353154
ZeeviD_2015__PNP_Main_740__bin.7	0.7704257003676994	1.0	0.6086304284845849	0.6512160525711816	0.5008914332645162	0.6219882213635463	0.8294328312963218	0.8062996409004739	0.734874793535241	0.785720082967524	0.9009587274729681	0.830318620877222	0.7544992252028635	0.7897292483097168	0.42855123416610813	0.8334661838540124	0.8364272365246304	0.6221473194921545	0.8277983130223431	0.5984336359243574	0.598348711923276	0.6463925843072271	0.7181071407647568	0.8303261457887101	0.9038525934338697	0.819725695476507	0.44649277312875607	0.6015414243689958	0.7205720867708294	0.8545004614383224	0.8371222158499361	0.6298157417923371	0.77957491775003	0.4661919164175831	0.8740421190795743	0.5998123072077365	0.6955189689581276	0.842968534582612	0.7231230317653389	0.6220537955922294	0.7166139833280211	0.730551194391576	0.7207806343177888	0.8723844885774531
LiuW_2016__SRR3992977__bin.5	0.8071348349888954	0.9235605826425756	1.0	0.7092439332533487	0.5546311015122314	0.681155791395101	0.8919090198023113	0.8650524562646964	0.7980855889839805	0.8513582840769973	0.9082262091285238	0.8874533162489223	0.7756227422763319	0.8593912740636946	0.44980828974552	0.871945216786331	0.9464557051846185	0.6986809062132718	0.8862755685038933	0.6112160082344469	0.6992697800857863	0.7073500757298326	0.7853358987136939	0.8822048351275499	0.9199041815754252	0.877446538490085	0.5104092836536932	0.6560837930002308	0.791073748704192	0.9052247467312199	0.8831615512666905	0.7132999855636184	0.8253899250368454	0.46957797644341387	0.911212174844972	0.667072570956447	0.7449580733221377	0.8857209504522177	0.8017224152963659	0.7124868176260879	0.759136720690271	0.8033976880583393	0.7772556030696478	0.9174687558367433
BritoIL_2016__W3.23.ST__bin.37	0.7163875509197647	0.8184851412242361	0.5874482357948212	1.0	0.5355124402980538	0.6892107520925237	0.8762360920642855	0.8583535436102873	0.7675032257628676	0.8311801225452113	0.8206367757233478	0.8706040114303472	0.7088612212636883	0.8450086808487641	0.4245326866044708	0.7768616536172455	0.7778857911056767	0.6917494781357455	0.8785113526586366	0.5803083221304222	0.573807481067643	0.7002763009450979	0.757268606402886	0.8704222878258696	0.8344403385868794	0.7654042843535301	0.5024232065771785	0.6599613584008323	0.6904551196741135	0.8846919818681727	0.8736912860491667	0.6091638687536733	0.7321279226087133	0.4897667317448844	0.8145534260641639	0.6610327845595736	0.6652475561890736	0.8748127030879501	0.787073979746938	0.6056037074317523	0.7609246961702932	0.7816729380450864	0.6894073378505272	0.8204604565383342
CM_madagascar__V31_01_2FE__bin.4	0.6854310638391594	0.7894142980335418	0.576041636665204	0.6714988081301281	1.0	0.6522882715599687	0.8758430763965717	0.8306350370775724	0.7783926783442242	0.8458684385742289	0.8075388522471025	0.8961726322280935	0.703203224401905	0.8761548092415234	0.4349215331156851	0.7513845851496572	0.7727984291375335	0.7047025916181137	0.8725919061277528	0.581491878851129	0.5754757737836066	0.7286255461678037	0.8111695233706453	0.8845444888513153	0.8112152667772414	0.7527941597529179	0.5256476503983912	0.6510870835867575	0.6859596543153822	0.8769841202611102	0.8479311273716685	0.6085109843472839	0.7269533705266761	0.5118873560141567	0.7963672958361641	0.6854022624350062	0.6462882613947672	0.8830070021296097	0.8142834634196754	0.5932589466479401	0.7547009821278816	0.7888865546574412	0.6700790683254016	0.7930881712633143
BritoIL_2016__M2.11.ST__bin.54	0.7538585250706856	0.8338168198547955	0.6017598621162731	0.7351142353995717	0.5548386120550267	1.0	0.8992798860960517	0.8786038119777841	0.7947898743079154	0.8400113558086114	0.8499253514103972	0.8851225937358593	0.7506167875743244	0.867992327623725	0.4497736043740038	0.8191443369389467	0.800989454085353	0.7119789369925553	0.8800629180969509	0.6156267743450955	0.5846562562147113	0.710573871840765	0.7887300804994251	0.8844142967901106	0.8557473649624308	0.7962071887456443	0.5066801841139731	0.687368680449275	0.7298074124031946	0.9000479883790303	0.8689506541118691	0.6326590461697204	0.7754086217679899	0.5128833666225693	0.8327273539524843	0.6827326859945988	0.6987878971290556	0.8960842635585184	0.8057277661049288	0.6220223426975522	0.7712726863981046	0.7999821304534541	0.7262760153216951	0.8433409999452385
CM_madagascar__A09_02_1FE__bin.52	0.6865106164916756	0.7955532711455995	0.5637633924106494	0.6686879226774202	0.5330316056251476	0.6434198166950041	1.0	0.8390276318516403	0.7552834999726764	0.8363983836825766	0.813608988523074	0.8751189605911787	0.6867756034640087	0.8447537219327758	0.40675036268158565	0.7600269729929815	0.7672171934270858	0.6627334488827757	0.892726674702199	0.5496742309964644	0.5490927031661303	0.6787270108335335	0.7642095397372195	0.8720994495076089	0.8168986419675437	0.7650344019079062	0.47364101379685086	0.6248614489322675	0.6680285484797275	0.8657062521459304	0.8564744978393767	0.5835049218494647	0.7234804234429953	0.4733976794564983	0.8096279974717975	0.645833569621976	0.6397110301600542	0.8947202634609773	0.7757112116297318	0.5737236031216909	0.7347222637517412	0.7559789618903366	0.6652121597056891	0.8006282356507493
BritoIL_2016__WL.33.ST__bin.20	0.6722408916751645	0.7531931793818947	0.5325257686149342	0.6379555417647629	0.49233280463049295	0.612229855693748	0.8171431268379704	1.0	0.7143453197748418	0.772846565213964	0.7616037219073268	0.8088109106592618	0.6565560407437588	0.7763356022869284	0.38289181876287554	0.7081259065898065	0.7263131838806387	0.6141277633258974	0.8211709085906429	0.5138856043706101	0.5188126328347058	0.6317476766949495	0.7184981224270924	0.8144805331413334	0.769696440218169	0.7084100906426627	0.4387475416322106	0.5937518671544992	0.6275336188228253	0.8393541691457458	0.8262872257259873	0.5478305359279437	0.6815562039236479	0.4571376640773784	0.7480497492803767	0.5915085202496201	0.607083413040433	0.8121207009003011	0.7170430599091113	0.5455475237577366	0.70773929577585	0.72305059028442	0.6203908585119902	0.7513550206937204
BackhedF_2015__SID377_M__bin.20	0.7033876111010231	0.819365363029391	0.5864108414102751	0.680861468538132	0.550682921830306	0.6610405246431373	0.8779831946874069	0.8526337931691637	1.0	0.8333504131211125	0.8187415013073529	0.9036166600445034	0.7093541502985367	0.8570691443745472	0.4325015776330291	0.7778890461028419	0.7987923091813148	0.6779956599360317	0.8813709855756697	0.5814822738770938	0.5572996915450256	0.7005745400892583	0.7749321452992529	0.8757634215669177	0.8320757215910691	0.7774995070833176	0.4874745226498961	0.639463658706287	0.688100302102492	0.8910591206366386	0.8725062760728953	0.6102098776308117	0.7383088852651772	0.5038783104074638	0.8220453914837181	0.6596297941016601	0.6506032760830833	0.8846856629864218	0.7921575607426172	0.6058290618881615	0.8056823555005007	0.8339802677511433	0.6845153445412698	0.8177970190077063
CM_madagascar__A93_01_1FE__bin.13	0.7313946347953648	0.8311757280780558	0.593506715034627	0.699575264109533	0.5677621479013385	0.6628597746113695	0.9224655150846629	0.8752021333454633	0.7906575161763535	1.0	0.8409105382262302	0.9187998226002706	0.7272365443442464	0.8831800038664044	0.42961495161308666	0.7954507204021061	0.806989663054232	0.7069168836780877	0.9207597484562812	0.5838606047511287	0.578427738039733	0.72034297281008	0.8030157953989788	0.9109481788098298	0.8586499425725235	0.7951522112421393	0.5007892013600646	0.6586977040381182	0.7098837804337196	0.9225252169166562	0.8900417344235078	0.6087164674710304	0.7591230085174614	0.49865642448571135	0.8383786119608356	0.6731597621024142	0.6719071608083059	0.9108560674118972	0.8281337775907752	0.6105774588625948	0.7734275674630702	0.8038948338014715	0.7039761420107578	0.834470132026337
