	LiJ_2014__V1.FI09__bin.34	HMP_2012__SRS011134__bin.88	RampelliS_2015__H10__bin.7	LiJ_2014__MH0303__bin.72	QinN_2014__HD-40__bin.75	CosteaPI_2017__SID713A005-11-0-0__bin.72	ZeeviD_2015__PNP_Main_25__bin.24	ZeeviD_2015__PNP_Main_531__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	CosteaPI_2017__SID713B014-11-0-0__bin.12	LiuW_2016__SRR3993055__bin.4	ZellerG_2014__CCIS74726977ST-3-0__bin.72	LiuW_2016__SRR3993034__bin.118	BritoIL_2016__M1.16.ST__bin.117	NielsenHB_2014__MH0126__bin.28	BritoIL_2016__M1.20.ST__bin.55	LiJ_2014__V1.FI14__bin.47	LeChatelierE_2013__MH0126__bin.27	CosteaPI_2017__SID713B066-11-0-0__bin.77	BritoIL_2016__WL.37.ST__bin.22	CosteaPI_2017__SID713A051-11-90-0__bin.31	CosteaPI_2017__SID713B066-11-90-0__bin.4	ZeeviD_2015__PNP_Main_683__bin.4	XieH_2016__YSZC12003_35980__bin.54	LiuW_2016__SRR3993041__bin.58	CosteaPI_2017__SID713B072-11-0-0__bin.26	CosteaPI_2017__SID713A051-11-0-0__bin.2	NielsenHB_2014__MH0117__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.8	BackhedF_2015__SID566_M__bin.39	CosteaPI_2017__SID713B063-11-0-0__bin.36	LeChatelierE_2013__MH0437__bin.18	LeChatelierE_2013__MH0117__bin.21	LeChatelierE_2013__MH0409__bin.6	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.35
LiJ_2014__V1.FI09__bin.34	0.0	30800.0	29750.0	29935.0	27404.0	32372.0	32255.0	30195.0	30511.0	28122.0	30490.0	33965.0	27492.0	31719.0	34581.0	26854.0	20234.0	29494.0	28728.0	33496.0	24351.0	23482.0	33415.0	30291.0	19284.0	28655.0	29333.0	10679.0	20014.0	34508.0	20747.0	33228.0	25130.0	31088.0	23258.0	27400.0	33004.0
HMP_2012__SRS011134__bin.88	30800.0	0.0	31224.0	34024.0	29498.0	35927.0	35638.0	33817.0	33717.0	29294.0	32946.0	37068.0	30502.0	33365.0	37882.0	28637.0	23091.0	34966.0	30207.0	37853.0	25039.0	26401.0	38235.0	34588.0	20895.0	30148.0	32076.0	13454.0	24022.0	37920.0	22952.0	35073.0	26129.0	34940.0	27955.0	29781.0	36963.0
RampelliS_2015__H10__bin.7	29750.0	31224.0	0.0	29601.0	26090.0	32132.0	31621.0	31930.0	31597.0	29039.0	30042.0	32151.0	28588.0	31442.0	32481.0	25451.0	20145.0	30758.0	27616.0	32312.0	22965.0	24361.0	32241.0	31261.0	20791.0	28895.0	29700.0	10864.0	21710.0	30007.0	22190.0	31883.0	27183.0	29249.0	25560.0	28586.0	33130.0
LiJ_2014__MH0303__bin.72	29935.0	34024.0	29601.0	0.0	28854.0	36757.0	36140.0	35970.0	35093.0	29933.0	33201.0	36612.0	31660.0	33862.0	40091.0	29443.0	25908.0	36872.0	30952.0	37186.0	24605.0	25558.0	38001.0	35955.0	21667.0	30656.0	32512.0	13795.0	26768.0	37728.0	23786.0	37572.0	25959.0	35506.0	29375.0	29880.0	36569.0
QinN_2014__HD-40__bin.75	27404.0	29498.0	26090.0	28854.0	0.0	31978.0	30429.0	30603.0	28727.0	26047.0	26778.0	28263.0	27501.0	25550.0	31952.0	24218.0	20290.0	30851.0	25554.0	29693.0	18817.0	21886.0	31032.0	28908.0	18507.0	24007.0	28541.0	9966.0	23007.0	33139.0	19401.0	30186.0	22909.0	27988.0	25077.0	27066.0	30467.0
CosteaPI_2017__SID713A005-11-0-0__bin.72	32372.0	35927.0	32132.0	36757.0	31978.0	0.0	40653.0	39714.0	36362.0	31124.0	35576.0	38755.0	35092.0	35109.0	41371.0	30467.0	26465.0	38442.0	33349.0	39746.0	26536.0	28029.0	41147.0	38017.0	22570.0	32229.0	34119.0	14638.0	26869.0	43415.0	24793.0	39770.0	26643.0	39075.0	29526.0	31154.0	39473.0
ZeeviD_2015__PNP_Main_25__bin.24	32255.0	35638.0	31621.0	36140.0	30429.0	40653.0	0.0	40023.0	36775.0	32090.0	34415.0	39622.0	34460.0	35562.0	40557.0	30338.0	25055.0	38078.0	33339.0	40212.0	25475.0	28445.0	41109.0	37298.0	22339.0	33286.0	34038.0	14989.0	25781.0	42638.0	24908.0	40054.0	27189.0	38777.0	29244.0	31633.0	38935.0
ZeeviD_2015__PNP_Main_531__bin.11	30195.0	33817.0	31930.0	35970.0	30603.0	39714.0	40023.0	0.0	35085.0	31139.0	35252.0	39958.0	33402.0	35260.0	39672.0	30447.0	25142.0	35215.0	32840.0	39960.0	26142.0	27230.0	40723.0	36389.0	22040.0	32300.0	33128.0	14440.0	25615.0	41695.0	23384.0	39271.0	27280.0	37190.0	29310.0	30295.0	37399.0
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	30511.0	33717.0	31597.0	35093.0	28727.0	36362.0	36775.0	35085.0	0.0	29702.0	34467.0	38645.0	31984.0	33573.0	38474.0	28828.0	24943.0	35759.0	30995.0	38068.0	25002.0	26665.0	38387.0	35411.0	21971.0	30865.0	32157.0	14224.0	24435.0	38166.0	450.0	36307.0	26114.0	35904.0	28497.0	29618.0	37362.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	28122.0	29294.0	29039.0	29933.0	26047.0	31124.0	32090.0	31139.0	29702.0	0.0	29979.0	32776.0	29165.0	30188.0	32844.0	27278.0	20072.0	30969.0	28787.0	32346.0	22552.0	22370.0	32552.0	31721.0	18185.0	27557.0	29148.0	10484.0	22860.0	32842.0	19933.0	32265.0	24488.0	33295.0	25720.0	28459.0	33288.0
