	LiJ_2014__V1.FI09__bin.34	HMP_2012__SRS011134__bin.88	RampelliS_2015__H10__bin.7	LiJ_2014__MH0303__bin.72	QinN_2014__HD-40__bin.75	CosteaPI_2017__SID713A005-11-0-0__bin.72	ZeeviD_2015__PNP_Main_25__bin.24	ZeeviD_2015__PNP_Main_531__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	CosteaPI_2017__SID713B014-11-0-0__bin.12	LiuW_2016__SRR3993055__bin.4	ZellerG_2014__CCIS74726977ST-3-0__bin.72	LiuW_2016__SRR3993034__bin.118	BritoIL_2016__M1.16.ST__bin.117	NielsenHB_2014__MH0126__bin.28	BritoIL_2016__M1.20.ST__bin.55	LiJ_2014__V1.FI14__bin.47	LeChatelierE_2013__MH0126__bin.27	CosteaPI_2017__SID713B066-11-0-0__bin.77	BritoIL_2016__WL.37.ST__bin.22	CosteaPI_2017__SID713A051-11-90-0__bin.31	CosteaPI_2017__SID713B066-11-90-0__bin.4	ZeeviD_2015__PNP_Main_683__bin.4	XieH_2016__YSZC12003_35980__bin.54	LiuW_2016__SRR3993041__bin.58	CosteaPI_2017__SID713B072-11-0-0__bin.26	CosteaPI_2017__SID713A051-11-0-0__bin.2	NielsenHB_2014__MH0117__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.8	BackhedF_2015__SID566_M__bin.39	CosteaPI_2017__SID713B063-11-0-0__bin.36	LeChatelierE_2013__MH0437__bin.18	LeChatelierE_2013__MH0117__bin.21	LeChatelierE_2013__MH0409__bin.6	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.35
LiJ_2014__V1.FI09__bin.34	1.0	0.8606476056693891	0.7389004982562769	0.8569121323491062	0.7235176035484099	0.9123432880278254	0.8926291913969372	0.8969082380920922	0.849480012378174	0.7283494956589466	0.8295034011003594	0.8978499297063429	0.8193800713715318	0.8557444347474354	0.9342177700974376	0.7436831326516066	0.5493568101399035	0.8574203560695357	0.7955972874645489	0.9379063037126409	0.6428311480292858	0.6477603965651726	0.9364865225096168	0.8870352534570224	0.5109682444202599	0.78915785533067	0.831691602660612	0.2970425667789743	0.6180666868333548	0.8568240479642656	0.5785249110753364	0.8951071442231131	0.7415354962685832	0.8423179405870824	0.7303122707343108	0.7514681696644333	0.896255718241233
HMP_2012__SRS011134__bin.88	0.7497492252106533	1.0	0.6772130906711779	0.8236615290017826	0.681073533175725	0.8627914830975015	0.8549221777802682	0.8460921791079737	0.8180043930391885	0.7060621618578992	0.7925341556020337	0.8706804768229572	0.7622503547699713	0.8220374877389176	0.8962870186247294	0.6881840775299226	0.5625074147050196	0.8519638682370949	0.7396606829050599	0.9049231622006794	0.5914932950873383	0.6485275847219971	0.9061120391587295	0.830700387356811	0.48463067322745007	0.7355866968959458	0.7857012682868713	0.3211527714463559	0.5735874450554582	0.8219521713032868	0.5745526818893401	0.8367982407650006	0.6996018398060238	0.809284952351528	0.6790537044244902	0.7130126747914165	0.8969094752231479
RampelliS_2015__H10__bin.7	0.8178504949847277	0.8604440687141686	1.0	0.847030027491312	0.7037647574978929	0.8842529816463742	0.8807687817744019	0.876151190670144	0.842750465351069	0.7411576882667389	0.830851460965031	0.8926530334732059	0.8114587328852793	0.8816622814838381	0.9232327884246567	0.7226097118864325	0.5686012784807041	0.8555250096533888	0.7788488798861862	0.9179365737076325	0.6448887070103487	0.663809990519795	0.9165844578515726	0.8751140126154718	0.5088528951827986	0.8058539945787081	0.8337975084635525	0.2944213033935029	0.593310746755371	0.8502326434634692	0.5836599236195654	0.8661123077179645	0.7791939644832262	0.8276597491530033	0.7032509791294375	0.7817865889093146	0.901372513049714
LiJ_2014__MH0303__bin.72	0.7529838969625586	0.8308211006161043	0.6724503778660764	1.0	0.6931603210321261	0.8797809950244196	0.8713147172993461	0.8571385651528091	0.8439477520774868	0.6885248990345714	0.8061484139605487	0.8693333455545932	0.80282983270623	0.8305924612140497	0.9342440208759486	0.714748667246158	0.6112539470850004	0.8350679883959138	0.7665622258173095	0.9066097155960079	0.6108374058135514	0.6373366615897517	0.9220986347325149	0.8558660264763409	0.498012263015769	0.7568066051835455	0.8042347683638432	0.34325088565942097	0.6267224974551773	0.86764019185341	0.5746512739899511	0.8495837897210039	0.6875293755801916	0.8585709986449678	0.7109432724765518	0.7202579093192707	0.864808933333537
QinN_2014__HD-40__bin.75	0.7731633488438916	0.8354596876172735	0.6794565813771741	0.8429590033279375	1.0	0.9114795883612602	0.8894132698874297	0.8739669088823853	0.8309650523218154	0.689672618642147	0.8585323139383235	0.8885444391737995	0.8014879732278763	0.8360195044135114	0.919839065056409	0.7357608987784352	0.5950567681479105	0.8227888784714524	0.7834456476101892	0.9141758741254411	0.6395448639905277	0.6478300287215741	0.9401949698231499	0.8495851534603985	0.5060595214061805	0.7758800703982006	0.796904782841863	0.3071604531543571	0.6355567885837007	0.8488222172956142	0.5820373120371758	0.8644425921499318	0.6948509240073469	0.8810042518828793	0.7068070997650503	0.7254080036462404	0.8594426354985776
CosteaPI_2017__SID713A005-11-0-0__bin.72	0.7437314404436058	0.8073708188738465	0.6512480430680914	0.8161745323440572	0.6953166852006345	1.0	0.9007631207737593	0.9002434768149038	0.82094533628995	0.692179452899944	0.8050555688353456	0.8615356707233538	0.7878619674476128	0.803308620326393	0.8951552176505101	0.6995239116529686	0.5777675528643248	0.825117604875961	0.7560422782324925	0.8982230066221536	0.6001495629794306	0.6328573709605949	0.9153254341152872	0.8478321871247344	0.4853134445119457	0.7450820423330313	0.8008166913418813	0.33146245761358706	0.586003437208586	0.8334427735004256	0.5502930319524346	0.87796492308797	0.6832779518847486	0.83485289824332	0.6694308575920455	0.711590989184792	0.8662148283710485
ZeeviD_2015__PNP_Main_25__bin.24	0.7228323761810327	0.794698574454686	0.6443776413977833	0.802956770002825	0.67398147513766	0.8947861400467579	1.0	0.8832529162720897	0.8173431491890563	0.6878967082657977	0.7893118358084144	0.856573566829065	0.7604536704811978	0.8018863674545067	0.8768225234094832	0.6844625978543145	0.5589462846566875	0.8198466992089064	0.7399461466916067	0.8856579198056851	0.5827025576098066	0.6332874075422787	0.8928382045017912	0.8443833664793657	0.4837919186250043	0.7406735136139624	0.7790691017346997	0.3267998577176446	0.5640256521196411	0.8171488718304399	0.54809819359598	0.8801965673912493	0.6729167038171278	0.8178279040476327	0.6545011811500281	0.7038635853839605	0.8473974811518113
ZeeviD_2015__PNP_Main_531__bin.11	0.7550285772268089	0.8176028497222282	0.6663562425971421	0.8211396352183831	0.6884750551738538	0.9296457750780044	0.9181929318927315	1.0	0.8383376815468583	0.7068424359622301	0.8050070150310944	0.8794595206362896	0.7798831543638567	0.8189643901801272	0.8915065437849166	0.7163683408427013	0.5756964784348773	0.833825718918729	0.7705006722331605	0.9125974933215734	0.6034068269228893	0.6485430395085771	0.915999149220151	0.8661997459368432	0.4985291850660818	0.7573409031925709	0.8059163347779679	0.33583949140536734	0.5853711722224282	0.835881444998839	0.563332364172802	0.8924714764347641	0.695134944221234	0.8302660052959094	0.6788296313352365	0.726647459075733	0.8686881794286896
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	0.7271721611757953	0.8038019486462609	0.6517711290609819	0.8221484517037633	0.6656480779180708	0.8620658864872132	0.8640164177986478	0.8524868530121869	1.0	0.6861241920945939	0.8168737824681365	0.857744159939599	0.7517214728594879	0.8144385947245371	0.8770312040363895	0.6941411138962458	0.5842183563251633	0.805723708132654	0.7510999022254015	0.8955929997157542	0.5876833769788691	0.6333130111649563	0.8954020143253925	0.8269563228813891	0.5049881911500843	0.7500060768078751	0.7803028085765834	0.3264426465912084	0.5554425627560631	0.7947120361969402	0.6706320525075886	0.8435318705009919	0.6657085979638477	0.8078052008546224	0.6577492198122787	0.704143291625762	0.8644425384488316
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	0.7610791754192935	0.8469198121119601	0.6997012853872057	0.8187668833099493	0.6743895667275641	0.8872599095681324	0.8876601738273195	0.8773992390740271	0.8375459985987723	1.0	0.8116796020852496	0.8684438561252845	0.8194305589953791	0.8238710095439712	0.8801714172564156	0.7310896331556871	0.5631893734380762	0.8520021387796723	0.7741510431395251	0.9015398365880287	0.5901851085951452	0.641229398652908	0.901914062476346	0.8625573676781464	0.5065274562509954	0.7601078836314928	0.830777838803107	0.30244415526377777	0.6041011039663705	0.8035029480885716	0.5633922305134585	0.8720335180442882	0.7364026719001774	0.8539901381184188	0.7045535055216485	0.78571207980579	0.8902755162409797
