	ZeeviD_2015__PNP_Main_25__bin.48	BritoIL_2016__W1.31.ST__bin.11	BritoIL_2016__W2.4.ST__bin.23	BritoIL_2016__W1.15.ST__bin.6	BritoIL_2016__M1.63.ST__bin.48	BritoIL_2016__W1.2.ST__bin.4	LiSS_2016__FAT_DON_19-22-0-0__bin.12	Obregon-TitoAJ_2015__SM40__bin.4	Obregon-TitoAJ_2015__SM24__bin.27	BritoIL_2016__M1.15.ST__bin.93	BritoIL_2016__M2.3.ST__bin.58	BritoIL_2016__W2.65.ST__bin.32	BritoIL_2016__W2.46.ST__bin.68	SchirmerM_2016__G89062__bin.1	BritoIL_2016__W2.40.ST__bin.21	ZeeviD_2015__PNP_Main_37__bin.8	CosteaPI_2017__SID713A049-11-0-0__bin.49	BritoIL_2016__W3.19.ST__bin.44	BritoIL_2016__M1.20.ST__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.89	Obregon-TitoAJ_2015__SM29__bin.35	BritoIL_2016__W1.1.ST__bin.12	CM_madagascar__A56_01_1FE__bin.9	ZeeviD_2015__PNP_Main_455__bin.55	CM_madagascar__A32_01_1FE__bin.54	SmitsSA_2017__TZ_12739__bin.2	Obregon-TitoAJ_2015__SM42__bin.6	Obregon-TitoAJ_2015__HCO64__bin.33	BritoIL_2016__M1.59.ST__bin.3	ZeeviD_2015__PNP_Validation_30__bin.18	BritoIL_2016__M1.52.ST__bin.60	BritoIL_2016__W1.26.ST__bin.71	RampelliS_2015__H10__bin.28	Obregon-TitoAJ_2015__SM01__bin.19
ZeeviD_2015__PNP_Main_25__bin.48	1807097.0	947000.0	1236780.0	906343.0	1096179.0	1496105.0	1171123.0	1367798.0	1009840.0	1448075.0	1527129.0	1528272.0	1536423.0	983620.0	1455632.0	1556764.0	1355445.0	1281997.0	853781.0	890601.0	1474208.0	1374203.0	1518183.0	1503117.0	1105252.0	1310263.0	1308018.0	1502273.0	799416.0	1503432.0	1284737.0	1541415.0	806110.0	1648296.0
BritoIL_2016__W1.31.ST__bin.11	947000.0	1093269.0	907363.0	634572.0	752721.0	1012748.0	799386.0	960886.0	588694.0	973267.0	1017114.0	1004993.0	1009712.0	690861.0	1005382.0	1016452.0	917916.0	973691.0	607078.0	662416.0	946789.0	951156.0	1002893.0	986269.0	796144.0	857419.0	875727.0	981924.0	608712.0	972605.0	914184.0	1010251.0	630600.0	1030938.0
BritoIL_2016__W2.4.ST__bin.23	1236780.0	907363.0	1537444.0	864994.0	1009682.0	1286668.0	1024801.0	1262232.0	774058.0	1286277.0	1314310.0	1473827.0	1493179.0	917429.0	1341969.0	1343735.0	1185452.0	1346296.0	765489.0	928607.0	1245198.0	1216100.0	1323637.0	1294467.0	992029.0	1095569.0	1130397.0	1277588.0	799769.0	1286567.0	1171069.0	1506491.0	793782.0	1344011.0
BritoIL_2016__W1.15.ST__bin.6	906343.0	634572.0	864994.0	1066497.0	720180.0	941523.0	757281.0	870614.0	588955.0	915820.0	958794.0	1002583.0	1016907.0	635885.0	922158.0	976163.0	861934.0	837162.0	573629.0	607314.0	922165.0	867052.0	948043.0	945554.0	709539.0	824648.0	828115.0	937265.0	555749.0	945685.0	828590.0	1036271.0	545108.0	978574.0
BritoIL_2016__M1.63.ST__bin.48	1096179.0	752721.0	1009682.0	720180.0	1215675.0	1146392.0	892773.0	1047190.0	721667.0	1110421.0	1148384.0	1192246.0	1205463.0	782844.0	1113176.0	1166859.0	1025142.0	988226.0	667952.0	713106.0	1096850.0	1056435.0	1142500.0	1136422.0	865924.0	984996.0	986115.0	1127385.0	657049.0	1124903.0	1001468.0	1203043.0	650709.0	1177094.0
BritoIL_2016__W1.2.ST__bin.4	1496105.0	1012748.0	1286668.0	941523.0	1146392.0	1743084.0	1198481.0	1415119.0	1036677.0	1501072.0	1574444.0	1579646.0	1591090.0	1019215.0	1506750.0	1600153.0	1384336.0	1371700.0	901470.0	904675.0	1498896.0	1471405.0	1559579.0	1559972.0	1145448.0	1347269.0	1352064.0	1530793.0	847493.0	1551945.0	1336769.0	1593483.0	833596.0	1624540.0
LiSS_2016__FAT_DON_19-22-0-0__bin.12	1171123.0	799386.0	1024801.0	757281.0	892773.0	1198481.0	1335773.0	1103711.0	769913.0	1206325.0	1220945.0	1230420.0	1236908.0	836236.0	1181784.0	1257837.0	1106191.0	1055066.0	713805.0	734622.0	1152985.0	1112779.0	1237180.0	1235242.0	904371.0	1039050.0	1059541.0	1187208.0	671912.0	1189130.0	1065272.0	1239400.0	671924.0	1257547.0
Obregon-TitoAJ_2015__SM40__bin.4	1367798.0	960886.0	1262232.0	870614.0	1047190.0	1415119.0	1103711.0	1812932.0	952402.0	1402863.0	1439571.0	1445171.0	1466306.0	970533.0	1488121.0	1487909.0	1282228.0	1296026.0	845344.0	889648.0	1409409.0	1311979.0	1483374.0	1415273.0	1081673.0	1221048.0	1537395.0	1436035.0	791745.0	1417488.0	1269407.0	1468701.0	824717.0	1522335.0
Obregon-TitoAJ_2015__SM24__bin.27	1009840.0	588694.0	774058.0	588955.0	721667.0	1036677.0	769913.0	952402.0	1227691.0	1020456.0	1061159.0	1092707.0	1110662.0	651211.0	1004561.0	1120761.0	926051.0	802424.0	567571.0	443038.0	1103919.0	959257.0	1097033.0	1072342.0	746919.0	925838.0	897486.0	1067728.0	466473.0	1083974.0	883353.0	1115714.0	432307.0	1136817.0
BritoIL_2016__M1.15.ST__bin.93	1448075.0	973267.0	1286277.0	915820.0	1110421.0	1501072.0	1206325.0	1402863.0	1020456.0	1885615.0	1531116.0	1558909.0	1572490.0	1047619.0	1482409.0	1596664.0	1363251.0	1295352.0	881912.0	917475.0	1464560.0	1390227.0	1550279.0	1557139.0	1117853.0	1305281.0	1325495.0	1504498.0	820140.0	1515721.0	1332539.0	1571148.0	818426.0	1598228.0
