	ZeeviD_2015__PNP_Main_25__bin.48	BritoIL_2016__W1.31.ST__bin.11	BritoIL_2016__W2.4.ST__bin.23	BritoIL_2016__W1.15.ST__bin.6	BritoIL_2016__M1.63.ST__bin.48	BritoIL_2016__W1.2.ST__bin.4	LiSS_2016__FAT_DON_19-22-0-0__bin.12	Obregon-TitoAJ_2015__SM40__bin.4	Obregon-TitoAJ_2015__SM24__bin.27	BritoIL_2016__M1.15.ST__bin.93	BritoIL_2016__M2.3.ST__bin.58	BritoIL_2016__W2.65.ST__bin.32	BritoIL_2016__W2.46.ST__bin.68	SchirmerM_2016__G89062__bin.1	BritoIL_2016__W2.40.ST__bin.21	ZeeviD_2015__PNP_Main_37__bin.8	CosteaPI_2017__SID713A049-11-0-0__bin.49	BritoIL_2016__W3.19.ST__bin.44	BritoIL_2016__M1.20.ST__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.89	Obregon-TitoAJ_2015__SM29__bin.35	BritoIL_2016__W1.1.ST__bin.12	CM_madagascar__A56_01_1FE__bin.9	ZeeviD_2015__PNP_Main_455__bin.55	CM_madagascar__A32_01_1FE__bin.54	SmitsSA_2017__TZ_12739__bin.2	Obregon-TitoAJ_2015__SM42__bin.6	Obregon-TitoAJ_2015__HCO64__bin.33	BritoIL_2016__M1.59.ST__bin.3	ZeeviD_2015__PNP_Validation_30__bin.18	BritoIL_2016__M1.52.ST__bin.60	BritoIL_2016__W1.26.ST__bin.71	RampelliS_2015__H10__bin.28	Obregon-TitoAJ_2015__SM01__bin.19
ZeeviD_2015__PNP_Main_25__bin.48	1.0	0.5240449184520809	0.6844015567509658	0.5015464028771007	0.6065966575120206	0.8279051982267692	0.6480686980278314	0.7569034755743604	0.5588189233892813	0.8013266581705354	0.8450730646999026	0.8457055708686363	0.8502161201086604	0.5443094642954971	0.8055085034173595	0.8614722950677246	0.7500676499379945	0.7094234565161693	0.47245997309496945	0.4928351936835709	0.815787973750164	0.7604478342889175	0.8401225833477671	0.8317854547929635	0.6116174173273488	0.7250651182531984	0.7238227942384942	0.8313184073682819	0.44237581048499336	0.8319597675166303	0.710939700525207	0.8529785617484839	0.4460800942063431	0.9121236989491986
BritoIL_2016__W1.31.ST__bin.11	0.8662095056203002	1.0	0.8299540186358526	0.5804353731789705	0.6885048419007582	0.9263484101351086	0.731188755923748	0.8789108627428383	0.5384713185867339	0.8902356144736565	0.9303419378030475	0.9192550049438885	0.9235714174645032	0.631922244205223	0.9196108185634094	0.9297364143682845	0.839606720761313	0.8906234421720547	0.5552869421889763	0.6059039449577368	0.8660165064590691	0.870010948814976	0.9173341602112564	0.9021283874325532	0.7282233375317511	0.784270842766053	0.8010169500827335	0.8981540682119405	0.5567815423285577	0.8896300910388935	0.8361931052650354	0.9240644342792121	0.5768022325703921	0.9429865842715746
BritoIL_2016__W2.4.ST__bin.23	0.8044390559916329	0.5901762925999255	1.0	0.562618215687856	0.6567276596741085	0.8368877175363786	0.6665615137852176	0.8209938053028273	0.5034706955180156	0.8366333993303171	0.8548669089735952	0.9586215823145429	0.9712087074391003	0.5967235229380713	0.8728571577241188	0.8740058174476599	0.771053774966763	0.8756715691758529	0.49789715918108235	0.603994031652535	0.809914377369192	0.7909881595687388	0.8609334713979826	0.8419604226235232	0.6452456154500587	0.7125911577917635	0.7352443406068774	0.8309818113700401	0.5201939062495935	0.836822024086731	0.7616986374788285	0.9798672341886924	0.5162997806749384	0.8741853361813503
BritoIL_2016__W1.15.ST__bin.6	0.8498317388609625	0.5950058931248752	0.8110608843719204	1.0	0.6752761611143773	0.882818235775628	0.7100638820362364	0.8163304725657925	0.5522331520857536	0.8587178398063942	0.8990123741557642	0.94007109255816	0.9535019789085202	0.59623702645202	0.864660660086245	0.9152984021520923	0.8081916779887801	0.784964233373371	0.5378627412922868	0.5694474527354507	0.8646672236302587	0.812990566311954	0.8889317081998356	0.8865978994783857	0.6652986365643785	0.7732304919751298	0.7764813215602107	0.8788257257169969	0.5210975745829571	0.8867207315163568	0.7769267049039988	0.9716586169487584	0.5111200500329584	0.9175590742402463
BritoIL_2016__M1.63.ST__bin.48	0.9017039916095996	0.6191794681966809	0.8305525736730623	0.5924116231723117	1.0	0.9430086166121702	0.7343846011475107	0.8614062146544101	0.5936348119357558	0.9134192938079667	0.9446472124539864	0.9807275793283566	0.9915997285458695	0.6439582947745079	0.9156855245028482	0.9598445308162132	0.8432697883891666	0.8129031196660291	0.5494494827976227	0.5865926337220063	0.9022559483414564	0.8690110432475785	0.939807103049746	0.9348074115203487	0.7122989285787731	0.8102461595409958	0.8111666358196064	0.9273736812881732	0.5404808028461554	0.9253320171920949	0.8237958335903922	0.9896090649227796	0.535265593188969	0.9682637218006457
BritoIL_2016__W1.2.ST__bin.4	0.8583091807394251	0.581009291577457	0.7381560498518718	0.5401478069903688	0.6576802953845025	1.0	0.6875635368117659	0.8118478512796858	0.5947372587895936	0.8611587278639469	0.903251937370775	0.906236303012362	0.9128016779455265	0.5847193824279266	0.8644161727145679	0.918001083137703	0.7941877729357851	0.7869385525884008	0.5171695684201105	0.5190082635145523	0.8599103657655053	0.8441388940521513	0.8947239490466323	0.8949494115028306	0.6571387265329726	0.7729225900759803	0.7756734615199268	0.8782095412498766	0.4862031892897875	0.8903443551773753	0.7668987839943456	0.9141745320363218	0.47823053851678976	0.9319918030341624
LiSS_2016__FAT_DON_19-22-0-0__bin.12	0.8767380385739194	0.5984444961831089	0.7671969713416875	0.5669234218688355	0.668356824101101	0.8972190634187096	1.0	0.8262713799425501	0.5763801184782145	0.9030913186596824	0.9140362920945401	0.9211295631817682	0.9259866758798089	0.6260315188284237	0.8847191850711161	0.9416547572079986	0.8281279828234288	0.7898542641601529	0.5343759755587214	0.549960210305194	0.8631593841169121	0.8330599585408599	0.9261903032925505	0.924739457976767	0.6770394370899846	0.7778642029746072	0.7932043842778675	0.8887797552428444	0.5030136108455553	0.8902186224755254	0.797494783919124	0.9278522623230144	0.5030225944078822	0.9414376544517669
Obregon-TitoAJ_2015__SM40__bin.4	0.7544673490235707	0.5300176730291042	0.6962379173625928	0.48022429964278857	0.5776223267061312	0.7805692656977757	0.6087988959321143	1.0	0.525337960828095	0.7738089459505376	0.7940568096321318	0.7971457285766923	0.808803639629065	0.5353388875037784	0.8208366336961342	0.8207196960503759	0.7072675643653485	0.7148784400076782	0.4662855529054592	0.4907233144982823	0.7774196715596614	0.723677997850995	0.8182182232979505	0.7806542109687512	0.5966428966999314	0.6735211248960248	0.8480158108522547	0.7921063779557093	0.4367207374573343	0.7818759887298586	0.7001955947603109	0.8101247040705333	0.45490785092877173	0.8397088252620617
Obregon-TitoAJ_2015__SM24__bin.27	0.8225522545982662	0.47951316740124345	0.6304990425115115	0.47972576161265335	0.5878246236227194	0.8444119896618938	0.627122785782416	0.7757668664183415	1.0	0.8311993816033514	0.8643534895995817	0.890050509452297	0.9046755250303211	0.5304355900629719	0.8182523126747692	0.9129015362986289	0.7543029964380288	0.653604204966885	0.46230769794679605	0.3608709357647812	0.8991831006336285	0.7813505189823824	0.8935741974161251	0.8734624592018676	0.6083933172109268	0.7541295000126254	0.7310357410781704	0.869704184522001	0.3799596152452042	0.8829371560107552	0.719523886710907	0.9087905670074962	0.3521301369807224	0.9259797457177743
BritoIL_2016__M1.15.ST__bin.93	0.7679589948107116	0.516153615663855	0.6821525072721631	0.48568769340506945	0.5888906271959016	0.7960649443285082	0.6397514869154095	0.7439816717622633	0.5411794030064462	1.0	0.8119982074813787	0.826737695658976	0.8339401203320932	0.5555847826836338	0.7861673777520862	0.8467603407906704	0.7229742020507898	0.6869652606709217	0.4677052314496862	0.48656539113233616	0.7767015005714316	0.7372804098397605	0.8221609395343163	0.8257990098721107	0.5928320468388297	0.6922309167035688	0.7029510265881423	0.7978818581735933	0.43494562781904045	0.8038337624594628	0.7066866778212944	0.8332284161931253	0.4340366405655449	0.8475897784012113
