	ZeeviD_2015__PNP_Main_25__bin.48	BritoIL_2016__W1.31.ST__bin.11	BritoIL_2016__W2.4.ST__bin.23	BritoIL_2016__W1.15.ST__bin.6	BritoIL_2016__M1.63.ST__bin.48	BritoIL_2016__W1.2.ST__bin.4	LiSS_2016__FAT_DON_19-22-0-0__bin.12	Obregon-TitoAJ_2015__SM40__bin.4	Obregon-TitoAJ_2015__SM24__bin.27	BritoIL_2016__M1.15.ST__bin.93	BritoIL_2016__M2.3.ST__bin.58	BritoIL_2016__W2.65.ST__bin.32	BritoIL_2016__W2.46.ST__bin.68	SchirmerM_2016__G89062__bin.1	BritoIL_2016__W2.40.ST__bin.21	ZeeviD_2015__PNP_Main_37__bin.8	CosteaPI_2017__SID713A049-11-0-0__bin.49	BritoIL_2016__W3.19.ST__bin.44	BritoIL_2016__M1.20.ST__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.89	Obregon-TitoAJ_2015__SM29__bin.35	BritoIL_2016__W1.1.ST__bin.12	CM_madagascar__A56_01_1FE__bin.9	ZeeviD_2015__PNP_Main_455__bin.55	CM_madagascar__A32_01_1FE__bin.54	SmitsSA_2017__TZ_12739__bin.2	Obregon-TitoAJ_2015__SM42__bin.6	Obregon-TitoAJ_2015__HCO64__bin.33	BritoIL_2016__M1.59.ST__bin.3	ZeeviD_2015__PNP_Validation_30__bin.18	BritoIL_2016__M1.52.ST__bin.60	BritoIL_2016__W1.26.ST__bin.71	RampelliS_2015__H10__bin.28	Obregon-TitoAJ_2015__SM01__bin.19
ZeeviD_2015__PNP_Main_25__bin.48	1.0	0.9765364308342133	0.9764137518394541	0.9762595397106835	0.9766881138938075	0.9770824908679537	0.9760247215706633	0.95601982164033	0.9774736591935356	0.9766331163786406	0.9767518002735853	0.9761109278976517	0.9763515646407271	0.977536040340782	0.9767482440616859	0.9779536268824305	0.9770879674202937	0.976276075529038	0.9766075843805379	0.9785975987002036	0.975748334020708	0.9772922923323556	0.9741157686523957	0.9763790842629017	0.9768903381310325	0.9753919632928656	0.95518410297106	0.9770234837476277	0.9767017422718585	0.9775546882067163	0.9769143412231452	0.9762380669709325	0.9757985882819963	0.9803621436926377
BritoIL_2016__W1.31.ST__bin.11	0.9765364308342133	1.0	0.9774445288159204	0.9774777330232031	0.9778058536961238	0.9943273153834913	0.9755074519693865	0.9575090073120016	0.9763663295362277	0.9766939596225908	0.981288233177402	0.9773441208048215	0.9774054383824299	0.9765799487885407	0.981587098237287	0.9774588470483604	0.9766667102436388	0.9977785560306093	0.9995321853205025	0.9787112630129707	0.9750430138077227	0.9942333329127925	0.9766435701515516	0.9762032467815576	0.9787437950923451	0.9783734673479361	0.957555265510827	0.976626500625303	0.9774967472302173	0.977483150919438	0.9775953199793477	0.977292771796316	0.9784348239771646	0.9771014357798432
BritoIL_2016__W2.4.ST__bin.23	0.9764137518394541	0.9774445288159204	1.0	0.9998150276186887	0.9998326205676639	0.977776706967143	0.9762470957776193	0.9544449831726656	0.9765133878856623	0.9778546922630196	0.9772245512854654	0.9996994219810059	0.9999772297895966	0.9773519258711029	0.9772341984054773	0.9779778006824262	0.9766359160893904	0.9770875052737288	0.9774235815276249	0.9782394489811083	0.9742185580124607	0.977523229997533	0.975018075197354	0.9767719068929529	0.9771599418968598	0.9760225052004939	0.954729179217567	0.975931990594777	0.9998724631737415	0.9772790690263313	0.977535909498074	0.9998672411584271	0.9765250408802417	0.9771289074270969
BritoIL_2016__W1.15.ST__bin.6	0.9762595397106835	0.9774777330232031	0.9998150276186887	1.0	0.9997181260240495	0.9772220115706148	0.9760194696552534	0.9565490561833373	0.9751390174121962	0.9776309755192069	0.9772307711562651	0.9998184688948446	0.9998269261594226	0.9770493092304426	0.9767903114216869	0.9773080930131546	0.9761014184380706	0.9769841440485831	0.9764569085593651	0.9777742650424657	0.9743429863419236	0.9773162393950997	0.9748365844165297	0.9763207601046582	0.9764988252936061	0.9758866813476781	0.9557839189001528	0.9760814710887529	0.9997228964874431	0.9767988283625098	0.9771262023437406	0.999719185425434	0.9762982748372799	0.976463711482218
BritoIL_2016__M1.63.ST__bin.48	0.9766881138938075	0.9778058536961238	0.9998326205676639	0.9997181260240495	1.0	0.9778557421894082	0.9761820753987855	0.9553691307212636	0.9759071704816764	0.977839035825151	0.9776590408783125	0.9998255393601656	0.9998307704176735	0.9776098430849569	0.9776028229138968	0.9778216562583826	0.9769183196084055	0.9776285991261108	0.9773606486693655	0.9786693703320404	0.975133336372339	0.9778386744096892	0.9752691466083151	0.9769055861290964	0.9771585035176297	0.9765217320679475	0.9549362903920943	0.9764667793167374	0.9997427893505659	0.977456722935222	0.9779523659268194	0.9997672568644679	0.9765548040675632	0.9773229665600198
BritoIL_2016__W1.2.ST__bin.4	0.9770824908679537	0.9943273153834913	0.977776706967143	0.9772220115706148	0.9778557421894082	1.0	0.9756633605372134	0.9549288787727392	0.9759249988183397	0.9766080507797095	0.9811863743645376	0.9773189689335459	0.9773765154705265	0.977032323896332	0.9812709474033516	0.9770959402007183	0.9767166352677384	0.9943580957935408	0.9938356240362962	0.9785856799403101	0.9745232491113459	0.9992429004930662	0.9760057041034792	0.9759271320254466	0.9787497992052018	0.9784645827967541	0.9544134005490864	0.9761483100589041	0.9775337377417866	0.9771699383676612	0.9775129435227777	0.9773238873586979	0.9785867494565713	0.9769534760609158
LiSS_2016__FAT_DON_19-22-0-0__bin.12	0.9760247215706633	0.9755074519693865	0.9762470957776193	0.9760194696552534	0.9761820753987855	0.9756633605372134	1.0	0.9533954087618951	0.974310084386158	0.9828752616417632	0.9748416185823277	0.975631898051072	0.975779928660822	0.9826974681788395	0.9747720395605288	0.9763943976842786	0.9756642388159007	0.9753181317566864	0.9758071181905422	0.9768942394864297	0.9732936681743475	0.9759179495659066	0.9732464152346465	0.9829450423479772	0.9758461958643079	0.9744891968625187	0.9535223271208948	0.9752865546728122	0.9760668063675005	0.9763987116631487	0.9814197688477685	0.9756753267710182	0.9738378149909811	0.9753551954718194
Obregon-TitoAJ_2015__SM40__bin.4	0.95601982164033	0.9575090073120016	0.9544449831726656	0.9565490561833373	0.9553691307212636	0.9549288787727392	0.9533954087618951	1.0	0.9551061421542584	0.9550725908374517	0.9549608876533356	0.9547119337434808	0.9546793097757221	0.9558016059216946	0.9547483033973716	0.955688822367497	0.9560842533465187	0.9552717306597244	0.9552726464019381	0.9564468194162186	0.9609325610947568	0.9555259649735247	0.9541538411755902	0.9547211032783074	0.9559016449518477	0.9546545262757893	0.9992363706139281	0.9552573579334765	0.956978572646496	0.9545308320070435	0.9547379209347356	0.954731425933529	0.9621809663193556	0.9559623867282825
Obregon-TitoAJ_2015__SM24__bin.27	0.9774736591935356	0.9763663295362277	0.9765133878856623	0.9751390174121962	0.9759071704816764	0.9759249988183397	0.974310084386158	0.9551061421542584	1.0	0.975763776194172	0.9758933392639557	0.9757629446869106	0.9760080024345841	0.9767417933665126	0.9762254357873738	0.9772547403059172	0.976263726295852	0.9764825080007578	0.9760717161377167	0.9773292584383281	0.9954090834563043	0.9765057747819406	0.9729807580993461	0.9750723183461992	0.9760268516398699	0.9744037293781418	0.9535001103081273	0.9766279426970165	0.9761143731791551	0.9764117958548821	0.9756258256891639	0.9759311077928573	0.9756330570636145	0.9784046156945225
BritoIL_2016__M1.15.ST__bin.93	0.9766331163786406	0.9766939596225908	0.9778546922630196	0.9776309755192069	0.977839035825151	0.9766080507797095	0.9828752616417632	0.9550725908374517	0.975763776194172	1.0	0.9759090754717474	0.977458594440086	0.9778281578897163	0.9849525447705703	0.9763445850639061	0.9774467264245953	0.9767834389998613	0.9766017267893206	0.9766972214914866	0.9776713261941742	0.9743745561806959	0.9769231931188216	0.9749012919609954	0.9835910602714337	0.976320679015935	0.9749149799928138	0.9545022802801972	0.9763615504972423	0.9776196746896871	0.9770637208298889	0.9815720215318275	0.9777156575955925	0.9758817535122296	0.9768875279371905
BritoIL_2016__M2.3.ST__bin.58	0.9767518002735853	0.981288233177402	0.9772245512854654	0.9772307711562651	0.9776590408783125	0.9811863743645376	0.9748416185823277	0.9549608876533356	0.9758933392639557	0.9759090754717474	1.0	0.976799709508395	0.9768940787846192	0.9768275603072881	0.9986747827006281	0.9771809763239266	0.9769342858158296	0.9807875540722523	0.980492528139272	0.9782015607765157	0.9744041454141681	0.9814547422893066	0.9755460949456322	0.9761279550691353	0.9775527708082162	0.9760699044909571	0.9544462611657222	0.9756897010442729	0.9777168176934268	0.9775717884774424	0.9773462973427994	0.9767114717565051	0.9771785482607417	0.976613298332416
BritoIL_2016__W2.65.ST__bin.32	0.9761109278976517	0.9773441208048215	0.9996994219810059	0.9998184688948446	0.9998255393601656	0.9773189689335459	0.975631898051072	0.9547119337434808	0.9757629446869106	0.977458594440086	0.976799709508395	1.0	0.9999842033647922	0.9772338739149213	0.9765108415489854	0.9773817941027727	0.9764065106049057	0.9767367859399778	0.9770275724726716	0.9777867550142257	0.9740646053414371	0.9775230378083541	0.9747227461006204	0.9764473170443859	0.9768371248599717	0.9759082638817995	0.9537916387845656	0.9756653241002599	0.9998726759011363	0.976888933824126	0.9771357053039941	0.9998725200917636	0.9763760674034774	0.976738269050358
