	VatanenT_2016__G78518__bin.7	XieH_2016__YSZC12003_37222__bin.70	XieH_2016__YSZC12003_37198R1__bin.35	FengQ_2015__SID31875__bin.81	BackhedF_2015__SID244_12M__bin.30	ZeeviD_2015__PNP_Main_120__bin.33	KarlssonFH_2013__S195__bin.50	KarlssonFH_2013__S347__bin.23	NielsenHB_2014__V1_UC12_0__bin.18	LiSS_2016__FAT_024-22-42-0__bin.42	XieH_2016__YSZC12003_35551__bin.38	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	KarlssonFH_2013__S131__bin.18	HMP_2012__SRS062427__bin.9	CosteaPI_2017__daisy-11-7-0__bin.15	BackhedF_2015__SID637_12M__bin.11	LeChatelierE_2013__MH0067__bin.22	XieH_2016__YSZC12003_36697__bin.29	NielsenHB_2014__O2_UC56_2__bin.28	CosteaPI_2017__daisy-11-60-0__bin.48	CosteaPI_2017__daisy-11-2-0__bin.19	ZeeviD_2015__PNP_Main_318__bin.41	HMP_2012__SRS019397__bin.17	HMP_2012__SRS015960__bin.17	HMP_2012__SRS056259__bin.14	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	CosteaPI_2017__daisy-11-0-0__bin.59	HMP_2012__SRS043001__bin.11	Obregon-TitoAJ_2015__NO16__bin.20	NielsenHB_2014__MH0067__bin.16	LoombaR_2017__SID1015_aao__bin.28	NielsenHB_2014__O2_UC59_2__bin.8	HMP_2012__SRS053335__bin.28
VatanenT_2016__G78518__bin.7	1.0	0.7552885227673966	0.6949781244780875	0.7783125381782575	0.7473748992399047	0.7444129146797449	0.7491106038894731	0.7855489623521391	0.7401583029750253	0.721853329906664	0.7879298366561605	0.7929302827841129	0.7876278423498208	0.7634675352307625	0.685829069697388	0.7568671293687175	0.7933428558137335	0.7903007970056807	0.8127505656673655	0.7927358167535155	0.7913188838717501	0.5486397673118617	0.7645641711209555	0.7596369357339339	0.7607945805749026	0.6107072233835107	0.7624723267212341	0.6631108616522902	0.6843938341303899	0.5580084543153537	0.7377377728529997	0.677780463866305	0.7884301100525211	0.7643864825518214
XieH_2016__YSZC12003_37222__bin.70	0.6248466900185738	1.0	0.8528653193894856	0.856148550432044	0.8825557215537431	0.8264114612775579	0.7675397975046435	0.8749388021884842	0.8806907655656949	0.8495789338205605	0.8723375797464266	0.8364668295243479	0.8626538147056448	0.9300748758378422	0.7076769815472825	0.9128234020431236	0.8607800260437697	0.8686871618347735	0.8647137204231607	0.8634910260033918	0.8600771975692482	0.650066497415812	0.9195747193733345	0.9180794738754744	0.919338129895825	0.6098128482597109	0.9159722502624565	0.6304724723411128	0.8435052087539369	0.6882299574012759	0.7843218777759832	0.7826581805701365	0.82903791993055	0.9127205644835662
XieH_2016__YSZC12003_37198R1__bin.35	0.6393052416248911	0.948324557305149	1.0	0.8757016964181739	0.8814611841394512	0.8395375853926483	0.7872714619838734	0.881585353363162	0.8798680298623476	0.8506889638113357	0.8939293175463039	0.8559629989743762	0.872593958220213	0.9598000384433529	0.7265183370584101	0.899116364100643	0.8707573761429531	0.8904995811919404	0.8807358113862477	0.8763330653522968	0.8765687764210361	0.6508256201095215	0.9089131053951177	0.9799350952735721	0.9929090253487611	0.6350554271772056	0.9212507558889184	0.6444719440691307	0.8334617116832717	0.689137087032103	0.7979570304333856	0.7788953007911754	0.855251656641931	0.9040578782917121
FengQ_2015__SID31875__bin.81	0.6454140032327995	0.8581691427010318	0.7894114433007945	1.0	0.8409844608079975	0.8763036807876091	0.8038161199829	0.9062051790561136	0.8366715318865838	0.8122168454656066	0.9128541724109146	0.9064056480397042	0.891161151767036	0.8679472229038027	0.743323813691589	0.8572224484788388	0.9144269369604096	0.9142081285429889	0.9175528618370294	0.9083230674663503	0.9065688057613648	0.6108131831439102	0.8843957978665546	0.8696932634832782	0.87024787325807	0.5788652570176792	0.8726490743012676	0.6681384589310513	0.7886430842627421	0.6429065599522416	0.8366253671048738	0.7319988971043931	0.9156740184608535	0.8701745155227497
BackhedF_2015__SID244_12M__bin.30	0.6108083447182361	0.8718625036149144	0.7831275740683493	0.8288387897765235	1.0	0.805553131762383	0.7522911078092123	0.8475042132450463	0.8936785119516549	0.8407056811495927	0.8513341527139281	0.815693589884223	0.8398256364742369	0.8709650076287159	0.6957039858793965	0.8903920561633044	0.8354316457084734	0.8411843456755652	0.8424046909123545	0.8395925368222659	0.8396193370496315	0.6270573848961398	0.868543014988183	0.8618255068359277	0.8671494031651692	0.584399525324345	0.890592746237996	0.6181354022277845	0.8117620588557923	0.6501953300292185	0.7588066793645728	0.7291431904985092	0.8102263435016305	0.8972847006850886
ZeeviD_2015__PNP_Main_120__bin.33	0.6064651610698643	0.8138187692212109	0.7435239663259917	0.8609188903730857	0.8030076729520673	1.0	0.7579236432543257	0.8468373147774223	0.7931042838060327	0.767305768693113	0.8593078810847753	0.8409878537479419	0.8465508993196856	0.8182914479202261	0.6991314342518095	0.810064303687366	0.8552943369264702	0.8577962784629244	0.8557540927588456	0.8565741977571371	0.8557770805504644	0.5769892205896058	0.8202068901245689	0.8196968096672983	0.8210158118728837	0.5425976204529216	0.8208300456649374	0.6280656083998634	0.7467770494858812	0.6266279394861918	0.7793718741263086	0.6894945792302196	0.8472349414432605	0.8168568854648814
KarlssonFH_2013__S195__bin.50	0.6473239703928639	0.8017077086101094	0.7395424759072985	0.8376220450855106	0.7954176419729656	0.8039133506252504	1.0	0.8455556346344446	0.7883717129541764	0.7881825826110794	0.8884710887581452	0.8390191054596065	0.8402830497037178	0.8291546730351532	0.704245613757618	0.8093210286581894	0.8405585078340819	0.8618702684464689	0.8429335104700449	0.8449131186605091	0.8439378123616119	0.5870539950654773	0.8110067269774994	0.8108110067269775	0.8102350488180342	0.5921954408384471	0.8108162786529175	0.6577979692541279	0.7421758029143206	0.6068408510997237	0.7747694850382741	0.6979061228147867	0.834654609772042	0.8138094146053436
KarlssonFH_2013__S347__bin.23	0.6312682395306167	0.8498803131346683	0.7701368707859867	0.8781786269777749	0.8333282263669	0.8353119764082664	0.7863341255259665	1.0	0.8230534184603354	0.7967308877909592	0.8812507737054146	0.8756390347098038	0.8726134635160361	0.8588154616064392	0.7252349919534636	0.8647526165031825	0.881480587194915	0.8977483180716749	0.8847745805444189	0.8925091833470404	0.892139030419952	0.6092680409717618	0.8379183677971856	0.845585558642887	0.847275147417693	0.5760259793425251	0.8410922452961775	0.6553692398014902	0.7829825255950944	0.6439318820560401	0.7992091964617303	0.7056389489127677	0.8653464545600512	0.8576394293761698
NielsenHB_2014__V1_UC12_0__bin.18	0.6070294953351225	0.8730679238934168	0.7844505751899944	0.8274767756837202	0.8968091700164429	0.7984054919026834	0.7482392174939316	0.8399869157019707	1.0	0.8414685936193408	0.8489376513184682	0.8136588313069976	0.837792856548685	0.8773065609748928	0.6910323148387323	0.889009877644301	0.8364737941899962	0.839943134590018	0.8519372829316834	0.8359033888456985	0.8342465864805177	0.6447744428384421	0.8818435350621036	0.860996845883606	0.8616029015619224	0.5855886339229815	0.8912839936880146	0.614392852921107	0.8264885734425026	0.652931489439683	0.7623142195422622	0.7373677419516244	0.8080398383100991	0.9050393936190906
LiSS_2016__FAT_024-22-42-0__bin.42	0.6280081633086346	0.8934278200038216	0.8045443568077111	0.8521262818199189	0.8949398632725419	0.8193940946052101	0.7935374248954374	0.8625559966879685	0.8926250238848432	1.0	0.8674358028491964	0.8371829950531836	0.8570120591919492	0.9057862359610199	0.7142417358442495	0.907669157767351	0.8576967580306151	0.8631710314006072	0.8596559786416424	0.8602451381074712	0.858555285450415	0.6601830375151271	0.8900852688902571	0.8813679645867392	0.8826338612768306	0.6197685558693021	0.9098751884248742	0.6392234241311224	0.8388031835842127	0.6538429385787987	0.7858717171609945	0.7598087089446084	0.8340381573639626	0.9174300970255409
