	VatanenT_2016__G78518__bin.7	XieH_2016__YSZC12003_37222__bin.70	XieH_2016__YSZC12003_37198R1__bin.35	FengQ_2015__SID31875__bin.81	BackhedF_2015__SID244_12M__bin.30	ZeeviD_2015__PNP_Main_120__bin.33	KarlssonFH_2013__S195__bin.50	KarlssonFH_2013__S347__bin.23	NielsenHB_2014__V1_UC12_0__bin.18	LiSS_2016__FAT_024-22-42-0__bin.42	XieH_2016__YSZC12003_35551__bin.38	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	KarlssonFH_2013__S131__bin.18	HMP_2012__SRS062427__bin.9	CosteaPI_2017__daisy-11-7-0__bin.15	BackhedF_2015__SID637_12M__bin.11	LeChatelierE_2013__MH0067__bin.22	XieH_2016__YSZC12003_36697__bin.29	NielsenHB_2014__O2_UC56_2__bin.28	CosteaPI_2017__daisy-11-60-0__bin.48	CosteaPI_2017__daisy-11-2-0__bin.19	ZeeviD_2015__PNP_Main_318__bin.41	HMP_2012__SRS019397__bin.17	HMP_2012__SRS015960__bin.17	HMP_2012__SRS056259__bin.14	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	CosteaPI_2017__daisy-11-0-0__bin.59	HMP_2012__SRS043001__bin.11	Obregon-TitoAJ_2015__NO16__bin.20	NielsenHB_2014__MH0067__bin.16	LoombaR_2017__SID1015_aao__bin.28	NielsenHB_2014__O2_UC59_2__bin.8	HMP_2012__SRS053335__bin.28
VatanenT_2016__G78518__bin.7	1.0	0.9802735670645206	0.9789885582670279	0.9930873182910244	0.983773800534683	0.9938399977052378	0.9948518572813083	0.9944780827064384	0.9819598436773935	0.9824584756918253	0.994152143004397	0.9939793566952246	0.9945768941414771	0.9779906944408374	0.9937786050731889	0.9808346272470521	0.9946169218982656	0.9942024957831069	0.9948055165114389	0.9941587357780319	0.9944797970014735	0.9835590237718613	0.9827162464091924	0.9766157781505653	0.9765781858168014	0.9783531674179893	0.9790791714883824	0.9943854467836499	0.9837001941089818	0.9823563256877411	0.9945688522539676	0.9797583605059622	0.9932437334055549	0.9814072652936616
XieH_2016__YSZC12003_37222__bin.70	0.9802735670645206	1.0	0.9922903480661512	0.9796737842442536	0.9846419114829663	0.9795256366604015	0.9809751851312996	0.9801081483329596	0.9849052521784979	0.9846168469845975	0.9803648866401095	0.9802665520206363	0.979551343606906	0.9904747756566143	0.9806585627872353	0.9863675979561073	0.9795258865531529	0.9791769858158604	0.9805485512829493	0.9798363940046206	0.9801003929600225	0.9881042847673314	0.985955865604426	0.9877781274868092	0.9877715274713434	0.9898599995033975	0.9851167967776019	0.9799102184098292	0.9872353729610703	0.988108475781974	0.9805215541893338	0.9910119206920902	0.9794809157981652	0.986023900174468
XieH_2016__YSZC12003_37198R1__bin.35	0.9789885582670279	0.9922903480661512	1.0	0.9781300819521105	0.9836927974532431	0.9782508968120869	0.9795087481677189	0.9795810697577818	0.9833786334074559	0.9850062054946459	0.9792603311849187	0.9785125308055629	0.9785345617674015	0.9908249705811413	0.9786970867092879	0.9872104064472285	0.9789186959513133	0.9774181807869013	0.9795494262688117	0.9784180148736381	0.9781813263589553	0.9877702145548029	0.9836242081084753	0.9938620002405374	0.9939132351632016	0.9907738703459247	0.9851395692569176	0.9784211660668918	0.9860177530431503	0.9888929268374617	0.980471521371609	0.9893640879225791	0.9785930890571133	0.9864802892192276
FengQ_2015__SID31875__bin.81	0.9930873182910244	0.9796737842442536	0.9781300819521105	1.0	0.9832528977126606	0.9933744295269079	0.99398851989036	0.9934597602889095	0.9818619796193865	0.9814926126171019	0.9928582760242718	0.9927697915009642	0.9936268171838211	0.976981780400123	0.9923669317652023	0.9800002803354287	0.9922536750264181	0.9932762878468211	0.992510264184286	0.9927982822817136	0.9928813086393917	0.9825639783242949	0.9824503320729244	0.9750312491137904	0.9749555996732834	0.976758743875327	0.9777732364286734	0.9926210717808053	0.983328187959826	0.98161265287132	0.9924093823722607	0.9777262108813447	0.992028719263399	0.9800116279069767
BackhedF_2015__SID244_12M__bin.30	0.983773800534683	0.9846419114829663	0.9836927974532431	0.9832528977126606	1.0	0.9818457679455249	0.9843739643950742	0.9840960736584325	0.9923870630285067	0.9906922918387228	0.9833776863467149	0.9835553134247844	0.9826994293008379	0.982949438684673	0.9828485476137577	0.9891852314360473	0.9825114516345623	0.9826229022339125	0.983555883066688	0.9826582515277308	0.9824940113826413	0.9915186598428969	0.9877722012764559	0.9810452657278733	0.9803451423478592	0.9818098049587906	0.9865500194551985	0.9830838818442874	0.9918545379721032	0.9874886768307588	0.9832029819019317	0.9832325256179245	0.9827466443688706	0.9891411936560065
ZeeviD_2015__PNP_Main_120__bin.33	0.9938399977052378	0.9795256366604015	0.9782508968120869	0.9933744295269079	0.9818457679455249	1.0	0.9940028657710859	0.9940257969944836	0.9799356229059623	0.9798520992018733	0.9933461017613345	0.9933090132179679	0.9926682450611567	0.9766931570647516	0.993542091928548	0.9781038916614705	0.9928841184943911	0.9923225457858743	0.993174718069609	0.9940821020396765	0.9940156060333262	0.9808946551766838	0.9809713035653146	0.9752846682022794	0.9750890299107203	0.9772825641389703	0.9768030839401832	0.9939717262684946	0.9823166039227106	0.9804122392768512	0.9932981940916968	0.9783019275961996	0.9931618202977707	0.978276841916317
KarlssonFH_2013__S195__bin.50	0.9948518572813083	0.9809751851312996	0.9795087481677189	0.99398851989036	0.9843739643950742	0.9940028657710859	1.0	0.9946520438279894	0.9808773818638973	0.9805818342955324	0.9955764224205069	0.9937762529964153	0.9936428814545615	0.9781206610295982	0.9938437669895281	0.9805157793769674	0.9935838133974743	0.9940360771456359	0.9934001913803778	0.9943133780297192	0.994259174233125	0.9831102849227357	0.982425163324341	0.9763691468428937	0.9764540153833766	0.9789659930561738	0.9790334942306957	0.9937066089622216	0.9830052626858966	0.9822232164575877	0.9936786111316664	0.9787149462774762	0.992463868810523	0.9807058358631602
KarlssonFH_2013__S347__bin.23	0.9944780827064384	0.9801081483329596	0.9795810697577818	0.9934597602889095	0.9840960736584325	0.9940257969944836	0.9946520438279894	1.0	0.9817642871609145	0.9817256275037075	0.9945298569946341	0.9947929461216897	0.9934763402331915	0.9770725835052473	0.9926069453645742	0.9801384342486926	0.9935982780424691	0.9928132005559394	0.9938396024763496	0.992904908748461	0.9927089379737661	0.9822174701109861	0.9827175121408929	0.9758456171985468	0.9756536481915998	0.9772569379797539	0.978818310783783	0.9926529169518723	0.9830577988444301	0.9814035999356645	0.993420830662303	0.9789340577645923	0.9934810443926358	0.9808426107212782
NielsenHB_2014__V1_UC12_0__bin.18	0.9819598436773935	0.9849052521784979	0.9833786334074559	0.9818619796193865	0.9923870630285067	0.9799356229059623	0.9808773818638973	0.9817642871609145	1.0	0.9916864440353116	0.9806871553448485	0.9816239010737712	0.9811431890324565	0.9829192845476523	0.9808374952256653	0.990050689282787	0.9803530264160424	0.9813560255973026	0.9815069182039026	0.9804279103176593	0.9806274487459572	0.9897478528595236	0.9896840093989349	0.981215531419074	0.9811909972887336	0.9820800704065895	0.9901658969812097	0.9812506998666436	0.9920011623665662	0.9880808239490856	0.9810335434791884	0.9834208405784809	0.9809008897437584	0.9894411603321001
LiSS_2016__FAT_024-22-42-0__bin.42	0.9824584756918253	0.9846168469845975	0.9850062054946459	0.9814926126171019	0.9906922918387228	0.9798520992018733	0.9805818342955324	0.9817256275037075	0.9916864440353116	1.0	0.9810911048953402	0.9817090905344543	0.9801574030204782	0.9833295488672238	0.980946152817205	0.9897205402070657	0.9809251300330768	0.9808516378567547	0.9817859212889394	0.9805628460522186	0.9806320042162464	0.9914124832043447	0.9884291853171483	0.9822135369226438	0.9821308032418926	0.9827476756571588	0.9888070013482642	0.9819483568562407	0.9929532513203261	0.9876721600254897	0.9815684542980909	0.983633540806561	0.9807451978340436	0.9899065650356528
