	NielsenHB_2014__O2_UC40_2__bin.23	XieH_2016__YSZC12003_36525__bin.8	HMP_2012__SRS011134__bin.15	BritoIL_2016__W1.27.ST__bin.1	ZeeviD_2015__PNP_Main_396__bin.77	LiJ_2014__MH0378__bin.31	ZeeviD_2015__PNP_Main_100__bin.9	ZellerG_2014__CCIS25399172ST-4-0__bin.32	LiJ_2014__O2.UC40-1__bin.93	ZellerG_2014__CCIS38765456ST-20-0__bin.8	NielsenHB_2014__V1_UC37_0__bin.17	ZeeviD_2015__PNP_Validation_3__bin.20	NielsenHB_2014__O2_UC40_0__bin.26	XieH_2016__YSZC12003_35391__bin.11	HMP_2012__SRS022609__bin.67	ZeeviD_2015__PNP_Main_473__bin.12	NielsenHB_2014__V1_CD29_0__bin.45	ZeeviD_2015__PNP_Validation_29__bin.13	XieH_2016__YSZC12003_35740__bin.120	ZeeviD_2015__PNP_Main_619__bin.16	HMP_2012__SRS011061__bin.29	XieH_2016__YSZC12003_35520__bin.90	LeChatelierE_2013__MH0198__bin.6	QinJ_2012__T2D-033__bin.32	XieH_2016__YSZC12003_37331__bin.7	ZellerG_2014__CCIS09568613ST-4-0__bin.28	ZeeviD_2015__PNP_Main_575__bin.29	ZellerG_2014__CCIS90443472ST-4-0__bin.80	ZeeviD_2015__PNP_Main_215__bin.8
NielsenHB_2014__O2_UC40_2__bin.23	1.0	0.7120145734148691	0.835357440477472	0.7453672299356229	0.8380762560039204	0.8075903724338879	0.5377739609807307	0.8901831031838636	0.8789336418780572	0.8594827204908115	0.8429291029513591	0.85926117577616	0.9224002451865888	0.8352216171276767	0.8233779775942357	0.8570559055953348	0.7586469958967258	0.8505528245189721	0.7926552838610156	0.7137434833170176	0.8127868876842667	0.7665721122174866	0.8474159705556897	0.7941086328460002	0.8284840744186702	0.8683777799262484	0.7738447284687698	0.8618433851092987	0.7976337771925588
XieH_2016__YSZC12003_36525__bin.8	0.9575730808367677	1.0	0.9572330169405515	0.9071451846478523	0.9478633616948028	0.906240804193209	0.6278869240167757	0.957432001697161	0.9167706774378134	0.9534538858090705	0.9467094606723474	0.9434320027499904	0.9183825592492906	0.9579889484497877	0.9518320021182928	0.9520373038513026	0.9222222280712744	0.9397276225059129	0.8602368971433053	0.8106333663746295	0.9256307632539378	0.9230139557801124	0.9541019023048014	0.9188157985474112	0.9470416283480634	0.9663505195449883	0.9370618584649852	0.9624461017149012	0.8606285496801241
HMP_2012__SRS011134__bin.15	0.892507437694411	0.7604560559184141	1.0	0.7871773897435511	0.8748142144648833	0.8320841686886656	0.5618631330404258	0.8847381103530532	0.7928674246131018	0.8817429589686843	0.8749258739761409	0.8753114547603335	0.8617153410131657	0.8646356345229462	0.9742731467657634	0.8876671860715842	0.7941713735123566	0.8713117859750636	0.8130506131236309	0.7468758337870808	0.8573915669049573	0.8147464158133286	0.8744980549498619	0.8335587433579319	0.8729653504226751	0.8925354571223294	0.8113033717826796	0.8910098620022264	0.8092679903546257
BritoIL_2016__W1.27.ST__bin.1	0.9420452892689544	0.8525016745770023	0.9311820584286383	1.0	0.9242779530683098	0.8886552231466613	0.6023149233751162	0.9354874775280176	0.8841098720395606	0.9281663357089076	0.9226439418899519	0.9159466232909174	0.9196059574375459	0.9060386681349516	0.923443385445576	0.9284883887749419	0.8763880190322973	0.9261697056405295	0.842196965874248	0.7815980560065618	0.9143996802225777	0.8864275657636319	0.9286709349828782	0.8903208954559351	0.9063790252922966	0.9466767190757325	0.8994244600045711	0.9427448023801255	0.8465538343113654
ZeeviD_2015__PNP_Main_396__bin.77	0.9080590950826902	0.7636480844142763	0.8871701241997629	0.7923766749579604	1.0	0.8435829415644038	0.5702391327858111	0.899024765733843	0.7936523891012958	0.8953350340027865	0.8933633601156964	0.8901002801227366	0.8681798807834954	0.8746992550558866	0.8714319339919716	0.9009468190907568	0.8146283019388056	0.9068363943262953	0.8248819391872836	0.762320629205287	0.8669402157432794	0.8127363601856741	0.9008649664213207	0.8498817801471227	0.8756810629820243	0.9321729763199803	0.8198452433208434	0.9004459486109432	0.8428432987898105
LiJ_2014__MH0378__bin.31	0.9027944660261297	0.7532832700468283	0.8706137376201882	0.786012705141478	0.8703520736649669	1.0	0.5667269339722951	0.8928171056466031	0.7801025127615874	0.8936637941973611	0.89506487778368	0.8787371344908973	0.887539632462783	0.8726536663145726	0.8610284356083512	0.879862989602577	0.7854390572396465	0.876616693810291	0.8234411523015489	0.7541575252015643	0.8553094591957378	0.7892139317240855	0.8759323419274044	0.8498915276011716	0.87337302340886	0.8953247914783313	0.8031661338581781	0.9009203745207568	0.8213377766615005
ZeeviD_2015__PNP_Main_100__bin.9	0.9426207744466499	0.8183434863478032	0.9217821096086465	0.8353324903552652	0.9224942728490853	0.8886143759549541	1.0	0.9324899436101187	0.8326148809184848	0.9291809230815674	0.9257600695971474	0.9097562933481346	0.9084486024654022	0.92593227862735	0.9120155934933802	0.9160113918674799	0.8402401046701579	0.9210473053403323	0.8421446953786919	0.807248010505437	0.9185375817049518	0.8342759090544215	0.9225663124832335	0.8999328316173034	0.919926231414632	0.9417000393130575	0.8561286175045333	0.9341331333604568	0.8506837933464194
ZellerG_2014__CCIS25399172ST-4-0__bin.32	0.9082834340504744	0.7263851219528755	0.8449232929572819	0.7552287911906216	0.8466094780214842	0.8149046458751769	0.5428114080683676	1.0	0.800115980138002	0.8670417915896029	0.8497502073783976	0.8683749241676009	0.857787343387874	0.8382192895258034	0.8370027760948321	0.8609835866538172	0.763033088286685	0.8467392767296475	0.790093922345227	0.7200417592397709	0.8258245113478018	0.7722935271980212	0.8523485778255082	0.8074645839232517	0.834249845339847	0.8704513041175744	0.7795794282227122	0.8623670411925186	0.7984689343765689
LiJ_2014__O2.UC40-1__bin.93	0.9822472938321332	0.7618025488238789	0.8293270471559538	0.7817529091359248	0.8185863624712061	0.779863643959032	0.5308498325076091	0.8763460850348677	1.0	0.836858299425128	0.8172176403738463	0.8406188951013833	0.9228738877219197	0.8215359607781726	0.8234379114586842	0.839845954242951	0.816619234547963	0.8276337511384145	0.7617452453420143	0.6897716346889908	0.7987366113257925	0.8265204888380691	0.8320898623579114	0.781793590233737	0.8138227371467415	0.8478102633598038	0.8268752455082381	0.8397287226922663	0.7651191518734739
ZellerG_2014__CCIS38765456ST-20-0__bin.8	0.9150130180552593	0.7547563406763388	0.8786028843076594	0.7818338122733091	0.8797213369426072	0.8510724477277576	0.5643560313100063	0.9046656643375294	0.7972183699594623	1.0	0.8904420638201408	0.9076430652602944	0.8829470976904202	0.8736361045178153	0.8722167864572221	0.9112692853904417	0.7897475730744613	0.8819374066567102	0.807495716209729	0.7470034303659057	0.8582911343876681	0.8039520048805205	0.8800892928579048	0.8395633034190314	0.8781228331021975	0.9020166317740559	0.8084541517761894	0.8994863618786004	0.814241435753147
