	NielsenHB_2014__O2_UC40_2__bin.23	XieH_2016__YSZC12003_36525__bin.8	HMP_2012__SRS011134__bin.15	BritoIL_2016__W1.27.ST__bin.1	ZeeviD_2015__PNP_Main_396__bin.77	LiJ_2014__MH0378__bin.31	ZeeviD_2015__PNP_Main_100__bin.9	ZellerG_2014__CCIS25399172ST-4-0__bin.32	LiJ_2014__O2.UC40-1__bin.93	ZellerG_2014__CCIS38765456ST-20-0__bin.8	NielsenHB_2014__V1_UC37_0__bin.17	ZeeviD_2015__PNP_Validation_3__bin.20	NielsenHB_2014__O2_UC40_0__bin.26	XieH_2016__YSZC12003_35391__bin.11	HMP_2012__SRS022609__bin.67	ZeeviD_2015__PNP_Main_473__bin.12	NielsenHB_2014__V1_CD29_0__bin.45	ZeeviD_2015__PNP_Validation_29__bin.13	XieH_2016__YSZC12003_35740__bin.120	ZeeviD_2015__PNP_Main_619__bin.16	HMP_2012__SRS011061__bin.29	XieH_2016__YSZC12003_35520__bin.90	LeChatelierE_2013__MH0198__bin.6	QinJ_2012__T2D-033__bin.32	XieH_2016__YSZC12003_37331__bin.7	ZellerG_2014__CCIS09568613ST-4-0__bin.28	ZeeviD_2015__PNP_Main_575__bin.29	ZellerG_2014__CCIS90443472ST-4-0__bin.80	ZeeviD_2015__PNP_Main_215__bin.8
NielsenHB_2014__O2_UC40_2__bin.23	1.0	0.718861322794172	0.8424969733312614	0.7521505689902376	0.8451191076836483	0.8168157918325153	0.542928985524832	0.8955581067555872	0.8789990093115322	0.866841840950466	0.8499950485147697	0.8674516760483938	0.922520803087848	0.8436223108835994	0.8306059717651829	0.8641457278859428	0.7651997875362702	0.8582015970790543	0.801636456083066	0.7197251906126103	0.8191341829012102	0.7727252622427919	0.8559904555718691	0.802210280379319	0.8366867087653814	0.8760418179348667	0.7821843604305483	0.8699219387589346	0.8055741589618556
XieH_2016__YSZC12003_36525__bin.8	0.9667811267696088	1.0	0.9662868233662851	0.9142080906780906	0.9564244439613128	0.9171860186361332	0.632860490102614	0.9664052666737908	0.9258186933018467	0.963402597224847	0.9551494675578517	0.9529295767678453	0.9273989902313224	0.9644391077691966	0.9607063011313178	0.9615843608509599	0.930251105076059	0.9478149315424004	0.8682352420954884	0.8176146781263638	0.9336091044475199	0.9310323044908965	0.960773155798221	0.9258939706039503	0.9544372284687176	0.9754785504434255	0.9453155145466806	0.9709913915404105	0.8690480263923274
HMP_2012__SRS011134__bin.15	0.9001354132949259	0.7676486848851496	1.0	0.7936762242189898	0.8821168301412096	0.841012329384685	0.5659970441594548	0.8922226432106417	0.800005687525667	0.8894340828321201	0.8814978935245011	0.8830686542896071	0.8692567491274248	0.871402953665903	0.9744078072999391	0.8952357772129285	0.8004502345686137	0.87797413681343	0.8199111909595107	0.7518013982949132	0.862869155962827	0.8209324363770796	0.8822632002870527	0.8417726177422363	0.8817596869853521	0.8991764797394444	0.8185261111794172	0.8978440932118544	0.8167366315963798
BritoIL_2016__W1.27.ST__bin.1	0.9506185298747506	0.8591391338503992	0.938869776779133	1.0	0.9303366072921521	0.8986893281211197	0.6066604135933108	0.9434784501480653	0.892448127689341	0.9369498260121916	0.930127841710176	0.9245693344137694	0.9278596185031607	0.9132480065855152	0.9312013519302901	0.9370641029065908	0.883235728003182	0.9334131787478617	0.8494770471642016	0.7871555738926272	0.9209960789668181	0.8932619176949114	0.9363482645247911	0.8975010463014357	0.9137847616955723	0.9539874720862608	0.9070706231207387	0.9496429712784072	0.8542885496530632
ZeeviD_2015__PNP_Main_396__bin.77	0.9156900540524493	0.7705453381087792	0.8945758823017989	0.7975707145568399	1.0	0.8525252396735223	0.5745052260596846	0.9065738720341661	0.800732857061065	0.9031750777706387	0.900006149552885	0.8977295426641135	0.8752459291020168	0.8820439417361672	0.8785734733734962	0.9084043182584466	0.820337207551651	0.9132175096855458	0.8324145053108811	0.7671893786618997	0.8720099919631705	0.8177378551631858	0.9087037378678864	0.8582553506411439	0.8837407942253578	0.9385451854302248	0.8257352426634774	0.9066782023796649	0.8505535657864324
LiJ_2014__MH0378__bin.31	0.9131074388699618	0.7623811244899085	0.8799553158476469	0.7948878389270203	0.8795781346948027	1.0	0.5728388438828831	0.9021678727420545	0.7892515623263413	0.9027104535187676	0.9046917484840555	0.8883465025855725	0.8976679528164756	0.8836947475555423	0.8701402921359918	0.8894636063944019	0.7940945333236485	0.8864829126436198	0.8315724253448232	0.7627705574667428	0.8646895431557373	0.7977503900893246	0.8873020345903997	0.8614156807594731	0.8849243056059971	0.9053699744549469	0.8112523376917739	0.9106920792833033	0.8285707284672006
ZeeviD_2015__PNP_Main_100__bin.9	0.9516566028441248	0.8248256812376547	0.9285641265949061	0.841359120320597	0.9293956698005051	0.898197705571957	1.0	0.9416067308345414	0.8406051054831767	0.9378606698588229	0.9324899436101187	0.9180525148350189	0.9169794673320842	0.9337441193360553	0.9187852608280715	0.9238328378607384	0.846305841865456	0.9260228427388508	0.8492910270862164	0.8118057180258945	0.924075028249828	0.8393632794088085	0.9300968555728831	0.9073035153283189	0.9275596882673507	0.9492113718336008	0.8606911276672674	0.940432141752045	0.8583378329517519
ZellerG_2014__CCIS25399172ST-4-0__bin.32	0.9137677290058577	0.7331929643508847	0.8520710082803589	0.7616799866766618	0.8537184534224325	0.8234394101627197	0.5481183780193676	1.0	0.8050263651129828	0.8744139588326424	0.856813254005688	0.876937645099979	0.8625547500935549	0.8458590417979797	0.8444895655816959	0.8683553545162163	0.7695877233586155	0.8547963817711492	0.799006101338045	0.7258335772883412	0.832117552100203	0.7781728096068616	0.861086626859067	0.8157205805237238	0.8422194860210785	0.8780866632027052	0.7873409915902418	0.8694232983489205	0.8068695067689028
LiJ_2014__O2.UC40-1__bin.93	0.9823203448357315	0.7693211155894342	0.8367935596135558	0.7891258113254427	0.8258892756752406	0.7890098920682358	0.5359441557884828	0.8817243011381084	1.0	0.8441432779516324	0.8242747172663702	0.8487953583304827	0.9229954935841972	0.8303900048729831	0.8310627739959424	0.8469423999398095	0.8238683437194072	0.8356662995161136	0.7708722464802101	0.695896983212267	0.8053212625663037	0.833333916574879	0.8408367358187006	0.7900540402454164	0.8222415372380771	0.8558047552266462	0.8358850150957493	0.8481632703053357	0.7733319218887927
ZellerG_2014__CCIS38765456ST-20-0__bin.8	0.9228476037443994	0.7626317640548325	0.8862666184393002	0.7892325181352677	0.8874246586302539	0.8596879500480051	0.5696278436366545	0.912357734825048	0.8041582768828675	1.0	0.89774325928099	0.9122360551792191	0.8905012367985918	0.8824853817740559	0.8797042517868573	0.9157405956635375	0.7969350064006827	0.8899182579475144	0.8150819420738212	0.7533957788830808	0.8652531270002134	0.8105943800672072	0.8888931486025176	0.8487813700128014	0.8874250753413697	0.9099224750640068	0.8166471090249626	0.9066925472050352	0.8216113885481118
