	ZellerG_2014__CCIS32452666ST-4-0__bin.6	XieH_2016__YSZC12003_35697__bin.54	XieH_2016__YSZC12003_36703__bin.13	QinJ_2012__T2D-012__bin.17	RaymondF_2016__P25C7__bin.100	XieH_2016__YSZC12003_35698__bin.37	BritoIL_2016__W2.44.ST__bin.2	YuJ_2015__SZAXPI017454-20__bin.20	BritoIL_2016__WL.35.ST__bin.27	HMP_2012__SRS011586__bin.30	HMP_2012__SRS055982__bin.27	LeChatelierE_2013__MH0117__bin.29	ZeeviD_2015__PNP_Main_517__bin.12	FengQ_2015__SID31009__bin.69	BritoIL_2016__W2.4.ST__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.52	BritoIL_2016__W1.11.ST__bin.39	ZeeviD_2015__PNP_Main_536__bin.21	NielsenHB_2014__V1_UC10_0__bin.17	LoombaR_2017__SID1009_aai__bin.30	LeChatelierE_2013__MH0137__bin.2	XieH_2016__YSZC12003_35666__bin.97	LiJ_2014__MH0346__bin.54	QinJ_2012__T2D-042__bin.53	YuJ_2015__SZAXPI015255-46__bin.60	LiJ_2014__V1.CD4-0-PN__bin.30	XieH_2016__YSZC12003_35658__bin.68	BritoIL_2016__WL.5.ST__bin.18	QinJ_2012__NLM004__bin.41	XieH_2016__YSZC12003_37316__bin.112	HMP_2012__SRS022609__bin.55	HMP_2012__SRS011134__bin.62
ZellerG_2014__CCIS32452666ST-4-0__bin.6	1.0	0.7399631520130479	0.7714989881905222	0.7253278564740704	0.7578616086260533	0.7133009151590203	0.7387948896070555	0.7408559606149385	0.7309118366607267	0.7198803950587453	0.6678304992600199	0.6497085384638618	0.7345700564801112	0.7531172792896191	0.4748920233169229	0.7547458394998339	0.7362638557491921	0.7288217705155697	0.6430034129692832	0.6178936240901265	0.42606542027847416	0.73476456552599	0.6775728653840345	0.5576260231357033	0.7100413784771512	0.7465474644356519	0.748754719260624	0.5804464043009454	0.5785037301035972	0.7160155848862847	0.7400320154640733	0.40361110272131445
XieH_2016__YSZC12003_35697__bin.54	0.4497224506578947	1.0	0.856770588580827	0.8358750881109023	0.8543849859022556	0.846589373825188	0.865310737781955	0.8174672521146616	0.8511329593515038	0.8110990366541353	0.7225248179041353	0.7150632929981203	0.8320657601033834	0.8413350270206766	0.4634493949718045	0.8441413592575188	0.832273554981203	0.8327008928571429	0.6884677514097745	0.5759053395206767	0.4205885808270676	0.9435341282894737	0.7288298872180451	0.5007181038533834	0.7425619713345865	0.8610417645676691	0.8611093162593986	0.5940385632048872	0.5711576304041354	0.8162351679981202	0.7204916588345864	0.4268260984492481
XieH_2016__YSZC12003_36703__bin.13	0.4587123078669151	0.8381757790557518	1.0	0.7902522314662238	0.8364941880594828	0.774903134324713	0.8132902436116063	0.8151392035536809	0.802961496522605	0.8964524966705791	0.7034049883129067	0.7030537290232118	0.8293145631095857	0.9204595247296596	0.4557743722946211	0.9223192594965713	0.8384796291161627	0.8113234789179777	0.6536770167239647	0.5701548845154274	0.4216971929426334	0.8286472422913311	0.7317880318992281	0.4887625760163892	0.7258676248119794	0.8266811959193583	0.8900026865229927	0.575678059727009	0.5692081365730599	0.8047393426207534	0.7510749683579311	0.4034453579899636
QinJ_2012__T2D-012__bin.17	0.43350162029147915	0.8219838317438495	0.794359450545007	1.0	0.810311090187561	0.7700088668357238	0.8071253834112191	0.7751369016329996	0.8088604816395848	0.7529445403975346	0.7285852920279348	0.6726996770969922	0.7831387154352258	0.7906343686639671	0.452943673931503	0.7811805022037119	0.8059650409838433	0.7934417186064916	0.674724319390932	0.5649560701721956	0.4033839830865831	0.8244720333647186	0.6975614757649452	0.49124652691532317	0.732552984397835	0.8056509470473726	0.7960375064262897	0.5774245163675433	0.5526739141736514	0.7581917142741614	0.6860757464604863	0.4038814789997516
RaymondF_2016__P25C7__bin.100	0.4083302359823441	0.7574269703220615	0.7580180164933127	0.7304946626838312	1.0	0.7155212760348353	0.7482273496851768	0.7176693513268271	0.7385479922330804	0.6943998375273961	0.6363419189082049	0.64197833828801	0.7485853622338422	0.7148104583927579	0.4135409458951909	0.7222506100859295	0.7399943629296882	0.7355556582581453	0.6079137697484603	0.5122834105447063	0.3627337577843319	0.7366895816395542	0.6527441010923288	0.44311408427875765	0.6667436936089552	0.8628746845421247	0.7272146168061505	0.5212369789208722	0.5037086845382192	0.7447142701849102	0.6238961008527859	0.3755440977074829
XieH_2016__YSZC12003_35698__bin.37	0.4549143824006213	0.8883727416740121	0.831188013536087	0.8216677556354133	0.8469500656463235	1.0	0.8456656475562926	0.8217864121356321	0.8368534761731583	0.7819686808479163	0.719946003587433	0.699740496693028	0.8043069227592413	0.8292494437013431	0.4870726054501858	0.8148118755123804	0.8244846917704782	0.8230007150209884	0.6902872720100103	0.5803427785962165	0.4225419612532592	0.8744082584924152	0.7306890398377642	0.5065785012913526	0.753053478638748	0.848588141746747	0.8402821867314295	0.5872348720667188	0.5754955835126022	0.8017234471408405	0.7300919048528968	0.434930008074806
BritoIL_2016__W2.44.ST__bin.2	0.41329295375993663	0.7964742441671071	0.7651994490499625	0.7554726667414604	0.7768659107098685	0.7417813690756989	1.0	0.7524793427528307	0.9154664759878509	0.7251602769889148	0.6627167946494587	0.6397819448968861	0.7450903133629715	0.7595007116663265	0.43591691413911354	0.7474537484472428	0.7915838191542998	0.7718159859315801	0.63046134631319	0.5315120172259746	0.3825135541008336	0.8060036793081494	0.6663474418535494	0.46562780053878483	0.6971504961388891	0.784036641691887	0.7686368041653769	0.5457507505274981	0.5255537548001996	0.7399619903948701	0.6537739942390848	0.3872985470652719
YuJ_2015__SZAXPI017454-20__bin.20	0.4365470055534318	0.7925617757882903	0.8078374505327408	0.7642215478277831	0.7848741063146527	0.7592753558190012	0.7926066246795617	1.0	0.7828039384445408	0.7708855235609735	0.698574873088316	0.6602041550006158	0.7686516216433631	0.8083912987455837	0.4458143526418488	0.7941692170024283	0.8013728032052008	0.8313133535082156	0.6588117037097152	0.5520115439622357	0.40110214370581404	0.7815239653254	0.7143865988665332	0.49158513778931984	0.7322699162891885	0.7858522392766657	0.7935634010266837	0.5608681321575805	0.5656619803134725	0.7633466385044105	0.6863282782225887	0.402060343827262
BritoIL_2016__WL.35.ST__bin.27	0.43197349584266015	0.8276658562620712	0.7981449945913527	0.7998514853252507	0.8101197042558737	0.775505074846398	0.9671646906360784	0.785141392396477	1.0	0.7562581442091773	0.7005472908567083	0.6725779791294041	0.7825231072411614	0.7956173890691771	0.46360497952568125	0.779692046253753	0.8379961943114596	0.8052979754165374	0.6636842349530715	0.5573063150867347	0.4018899920387566	0.8378655299581945	0.6998968251418208	0.48817630405523604	0.7361851006936635	0.8156033230158475	0.80460181287865	0.5743555141428097	0.5516013523403557	0.7716208448914166	0.6853495271449839	0.4132892073386242
HMP_2012__SRS011586__bin.30	0.4655845327886721	0.8631327760140708	0.975125349952376	0.8147883642739548	0.8335394825979028	0.7929954048117818	0.8383745488612826	0.8461178434104251	0.8275917572590457	1.0	0.7216039480644498	0.7366310964770746	0.8519061709603795	0.9529620250395174	0.4700414199842634	0.9525416524393723	0.8629186829054466	0.8395192437668823	0.6748035070639006	0.5890099912721897	0.4323118070786683	0.8526125219464971	0.7518809329771367	0.4993862403765538	0.7486843822202706	0.8458748399185195	0.9409431192115748	0.5973705615724748	0.578993715507764	0.8208212580392353	0.7824157672542247	0.3961707025301273
