	ZellerG_2014__CCIS32452666ST-4-0__bin.6	XieH_2016__YSZC12003_35697__bin.54	XieH_2016__YSZC12003_36703__bin.13	QinJ_2012__T2D-012__bin.17	RaymondF_2016__P25C7__bin.100	XieH_2016__YSZC12003_35698__bin.37	BritoIL_2016__W2.44.ST__bin.2	YuJ_2015__SZAXPI017454-20__bin.20	BritoIL_2016__WL.35.ST__bin.27	HMP_2012__SRS011586__bin.30	HMP_2012__SRS055982__bin.27	LeChatelierE_2013__MH0117__bin.29	ZeeviD_2015__PNP_Main_517__bin.12	FengQ_2015__SID31009__bin.69	BritoIL_2016__W2.4.ST__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.52	BritoIL_2016__W1.11.ST__bin.39	ZeeviD_2015__PNP_Main_536__bin.21	NielsenHB_2014__V1_UC10_0__bin.17	LoombaR_2017__SID1009_aai__bin.30	LeChatelierE_2013__MH0137__bin.2	XieH_2016__YSZC12003_35666__bin.97	LiJ_2014__MH0346__bin.54	QinJ_2012__T2D-042__bin.53	YuJ_2015__SZAXPI015255-46__bin.60	LiJ_2014__V1.CD4-0-PN__bin.30	XieH_2016__YSZC12003_35658__bin.68	BritoIL_2016__WL.5.ST__bin.18	QinJ_2012__NLM004__bin.41	XieH_2016__YSZC12003_37316__bin.112	HMP_2012__SRS022609__bin.55	HMP_2012__SRS011134__bin.62
ZellerG_2014__CCIS32452666ST-4-0__bin.6	827725.0	619460.0	645838.0	608655.0	633707.0	596624.0	619508.0	622174.0	612623.0	602881.0	559713.0	543834.0	614351.0	630625.0	398204.0	631924.0	618743.0	612750.0	538613.0	517289.0	356998.0	615219.0	564968.0	469486.0	596968.0	624442.0	626985.0	486901.0	486742.0	599360.0	619238.0	338556.0
XieH_2016__YSZC12003_35697__bin.54	619460.0	1361920.0	1177294.0	1152172.0	1176693.0	1159511.0	1193327.0	1131841.0	1173513.0	1114067.0	997027.0	984425.0	1145275.0	1155805.0	639653.0	1159389.0	1149786.0	1153706.0	949285.0	792594.0	578536.0	1289205.0	1004214.0	694032.0	1028830.0	1185976.0	1182044.0	819535.0	791572.0	1124258.0	989420.0	588872.0
XieH_2016__YSZC12003_36703__bin.13	645838.0	1177294.0	1392134.0	1116225.0	1178335.0	1088689.0	1148177.0	1153440.0	1133513.0	1250793.0	992799.0	989872.0	1166173.0	1283718.0	643949.0	1287170.0	1186043.0	1149412.0	921540.0	802738.0	591797.0	1165726.0	1029804.0	692402.0	1028536.0	1164628.0	1242009.0	811793.0	806082.0	1133210.0	1048930.0	570019.0
QinJ_2012__T2D-012__bin.17	608655.0	1152172.0	1116225.0	1384936.0	1137479.0	1079439.0	1133389.0	1092052.0	1135387.0	1057587.0	1023701.0	943305.0	1098822.0	1110130.0	636054.0	1097030.0	1132416.0	1118305.0	947646.0	791954.0	565510.0	1155728.0	979826.0	692114.0	1031978.0	1130818.0	1117461.0	809929.0	778117.0	1063655.0	962429.0	567202.0
RaymondF_2016__P25C7__bin.100	633707.0	1176693.0	1178335.0	1137479.0	1536259.0	1110333.0	1164259.0	1120980.0	1148742.0	1080181.0	990578.0	995379.0	1159850.0	1111604.0	643994.0	1123478.0	1157455.0	1149931.0	946339.0	795834.0	563823.0	1145500.0	1015269.0	692731.0	1042410.0	1330711.0	1131003.0	810552.0	787351.0	1152247.0	969535.0	585153.0
XieH_2016__YSZC12003_35698__bin.37	596624.0	1159511.0	1088689.0	1079439.0	1110333.0	1297864.0	1110941.0	1084080.0	1098997.0	1023916.0	946212.0	917575.0	1055390.0	1085537.0	640735.0	1067030.0	1084177.0	1085685.0	907107.0	760838.0	553763.0	1141952.0	959049.0	668625.0	994193.0	1113034.0	1099958.0	771174.0	759666.0	1051217.0	955135.0	572440.0
BritoIL_2016__W2.44.ST__bin.2	619508.0	1193327.0	1148177.0	1133389.0	1164259.0	1110941.0	1479626.0	1132331.0	1358108.0	1088211.0	994987.0	958415.0	1117826.0	1139282.0	653446.0	1121792.0	1186852.0	1162632.0	945981.0	795842.0	573381.0	1207711.0	999900.0	701392.0	1049606.0	1175552.0	1152924.0	817225.0	791760.0	1109347.0	980420.0	581262.0
YuJ_2015__SZAXPI017454-20__bin.20	622174.0	1131841.0	1153440.0	1092052.0	1120980.0	1084080.0	1132331.0	1404717.0	1117861.0	1101212.0	998193.0	942202.0	1097067.0	1154150.0	637177.0	1133581.0	1145168.0	1188721.0	939759.0	787581.0	572319.0	1115640.0	1020343.0	702269.0	1046475.0	1122150.0	1132889.0	800053.0	808633.0	1089737.0	978989.0	574409.0
BritoIL_2016__WL.35.ST__bin.27	612623.0	1173513.0	1133513.0	1135387.0	1148742.0	1098997.0	1358108.0	1117861.0	1400535.0	1074150.0	995897.0	953631.0	1110770.0	1129731.0	656980.0	1107506.0	1189027.0	1147880.0	942490.0	789611.0	570149.0	1188742.0	994091.0	695656.0	1049246.0	1156811.0	1142408.0	814160.0	786417.0	1094533.0	972439.0	587216.0
HMP_2012__SRS011586__bin.30	602881.0	1114067.0	1250793.0	1057587.0	1080181.0	1023916.0	1088211.0	1101212.0	1074150.0	1279817.0	936462.0	954117.0	1102223.0	1221494.0	610841.0	1221036.0	1120589.0	1093884.0	874845.0	762703.0	557456.0	1101910.0	973021.0	650901.0	975346.0	1095976.0	1206598.0	774559.0	754597.0	1063239.0	1003913.0	514807.0
HMP_2012__SRS055982__bin.27	559713.0	997027.0	992799.0	1023701.0	990578.0	946212.0	994987.0	998193.0	995897.0	936462.0	1150130.0	841852.0	970916.0	994897.0	577984.0	979503.0	985563.0	985472.0	884844.0	709044.0	527467.0	1010523.0	885714.0	634828.0	920484.0	996192.0	988066.0	725229.0	705245.0	972415.0	873945.0	466284.0
LeChatelierE_2013__MH0117__bin.29	543834.0	984425.0	989872.0	943305.0	995379.0	917575.0	958415.0	942202.0	953631.0	954117.0	841852.0	1084202.0	938844.0	955074.0	573103.0	966340.0	956506.0	964896.0	799591.0	694232.0	492547.0	956292.0	864502.0	603680.0	872279.0	985574.0	941237.0	720265.0	676332.0	969487.0	818566.0	463989.0
ZeeviD_2015__PNP_Main_517__bin.12	614351.0	1145275.0	1166173.0	1098822.0	1159850.0	1055390.0	1117826.0	1097067.0	1110770.0	1102223.0	970916.0	938844.0	1331943.0	1130369.0	602838.0	1146038.0	1100478.0	1086321.0	927391.0	777418.0	570812.0	1131509.0	986366.0	676438.0	1010756.0	1188179.0	1141430.0	781371.0	783161.0	1095308.0	967771.0	591095.0
FengQ_2015__SID31009__bin.69	630625.0	1155805.0	1283718.0	1110130.0	1111604.0	1085537.0	1139282.0	1154150.0	1129731.0	1221494.0	994897.0	955074.0	1130369.0	1303405.0	642541.0	1265901.0	1175155.0	1157575.0	929460.0	799684.0	593732.0	1161551.0	1035514.0	695457.0	1028712.0	1130167.0	1250225.0	808798.0	803687.0	1095988.0	1056967.0	570935.0
BritoIL_2016__W2.4.ST__bin.34	398204.0	639653.0	643949.0	636054.0	643994.0	640735.0	653446.0	637177.0	656980.0	610841.0	577984.0	573103.0	602838.0	642541.0	707402.0	642818.0	693738.0	655696.0	538670.0	494125.0	354334.0	643370.0	574676.0	440848.0	609516.0	641576.0	642712.0	506929.0	497267.0	617459.0	585895.0	430968.0
Bengtsson-PalmeJ_2015__TRAVELRES35__bin.52	631924.0	1159389.0	1287170.0	1097030.0	1123478.0	1067030.0	1121792.0	1133581.0	1107506.0	1221036.0	979503.0	966340.0	1146038.0	1265901.0	642818.0	1341123.0	1146477.0	1128889.0	916472.0	786746.0	584625.0	1142006.0	1025155.0	681662.0	1018032.0	1140383.0	1227030.0	797551.0	794633.0	1098618.0	1034878.0	569437.0
BritoIL_2016__W1.11.ST__bin.39	618743.0	1149786.0	1186043.0	1132416.0	1157455.0	1084177.0	1186852.0	1145168.0	1189027.0	1120589.0	985563.0	956506.0	1100478.0	1175155.0	693738.0	1146477.0	1567476.0	1177020.0	933375.0	804267.0	572972.0	1143911.0	1017360.0	698610.0	1041724.0	1148211.0	1163613.0	842681.0	789275.0	1088867.0	981711.0	565446.0
