	ZellerG_2014__CCIS32452666ST-4-0__bin.6	XieH_2016__YSZC12003_35697__bin.54	XieH_2016__YSZC12003_36703__bin.13	QinJ_2012__T2D-012__bin.17	RaymondF_2016__P25C7__bin.100	XieH_2016__YSZC12003_35698__bin.37	BritoIL_2016__W2.44.ST__bin.2	YuJ_2015__SZAXPI017454-20__bin.20	BritoIL_2016__WL.35.ST__bin.27	HMP_2012__SRS011586__bin.30	HMP_2012__SRS055982__bin.27	LeChatelierE_2013__MH0117__bin.29	ZeeviD_2015__PNP_Main_517__bin.12	FengQ_2015__SID31009__bin.69	BritoIL_2016__W2.4.ST__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.52	BritoIL_2016__W1.11.ST__bin.39	ZeeviD_2015__PNP_Main_536__bin.21	NielsenHB_2014__V1_UC10_0__bin.17	LoombaR_2017__SID1009_aai__bin.30	LeChatelierE_2013__MH0137__bin.2	XieH_2016__YSZC12003_35666__bin.97	LiJ_2014__MH0346__bin.54	QinJ_2012__T2D-042__bin.53	YuJ_2015__SZAXPI015255-46__bin.60	LiJ_2014__V1.CD4-0-PN__bin.30	XieH_2016__YSZC12003_35658__bin.68	BritoIL_2016__WL.5.ST__bin.18	QinJ_2012__NLM004__bin.41	XieH_2016__YSZC12003_37316__bin.112	HMP_2012__SRS022609__bin.55	HMP_2012__SRS011134__bin.62
ZellerG_2014__CCIS32452666ST-4-0__bin.6	0.0	6974.0	7249.0	8283.0	6406.0	6207.0	7989.0	8949.0	7629.0	7018.0	6933.0	6054.0	6329.0	7251.0	5124.0	7202.0	9319.0	9486.0	6383.0	5843.0	4333.0	7036.0	4124.0	7925.0	9249.0	6506.0	7222.0	6451.0	7900.0	6696.0	6695.0	4477.0
XieH_2016__YSZC12003_35697__bin.54	6974.0	0.0	10441.0	13777.0	13089.0	6524.0	14843.0	18516.0	14338.0	9415.0	13006.0	10566.0	12068.0	9974.0	8472.0	9736.0	16296.0	19634.0	11647.0	8257.0	5728.0	4187.0	11606.0	12094.0	17520.0	13306.0	9282.0	10502.0	13701.0	12611.0	8168.0	7569.0
XieH_2016__YSZC12003_36703__bin.13	7249.0	10441.0	0.0	16088.0	13823.0	9920.0	15968.0	18657.0	15683.0	2811.0	13565.0	11127.0	11656.0	2315.0	9450.0	3178.0	18767.0	19941.0	11534.0	9006.0	4738.0	12138.0	11057.0	11979.0	18031.0	13777.0	3006.0	10372.0	13668.0	12905.0	3333.0	8369.0
QinJ_2012__T2D-012__bin.17	8283.0	13777.0	16088.0	0.0	15250.0	13026.0	15572.0	18537.0	15167.0	14807.0	14657.0	11659.0	14225.0	15152.0	8756.0	15145.0	16206.0	19439.0	13196.0	9526.0	6849.0	13887.0	13748.0	11769.0	17439.0	15043.0	15000.0	10233.0	12699.0	13608.0	12258.0	7852.0
RaymondF_2016__P25C7__bin.100	6406.0	13089.0	13823.0	15250.0	0.0	11107.0	14788.0	18454.0	14141.0	13403.0	12992.0	9134.0	9829.0	13470.0	8688.0	13914.0	20632.0	19927.0	12426.0	8834.0	6570.0	13754.0	12485.0	11993.0	18119.0	5112.0	13813.0	9797.0	13524.0	8173.0	11069.0	8220.0
XieH_2016__YSZC12003_35698__bin.37	6207.0	6524.0	9920.0	13026.0	11107.0	0.0	13382.0	17513.0	12875.0	9027.0	11820.0	9407.0	11509.0	9284.0	8581.0	9515.0	14108.0	17542.0	11208.0	7632.0	5361.0	7089.0	10714.0	11155.0	16832.0	11682.0	9386.0	9023.0	12751.0	10689.0	7575.0	7960.0
BritoIL_2016__W2.44.ST__bin.2	7989.0	14843.0	15968.0	15572.0	14788.0	13382.0	0.0	18943.0	3560.0	15245.0	14414.0	11777.0	15371.0	15505.0	8452.0	15840.0	15604.0	20633.0	13134.0	9403.0	7404.0	15127.0	13955.0	12437.0	18084.0	15471.0	15629.0	9718.0	14137.0	14480.0	13079.0	8205.0
YuJ_2015__SZAXPI017454-20__bin.20	8949.0	18516.0	18657.0	18537.0	18454.0	17513.0	18943.0	0.0	18243.0	18336.0	16893.0	14802.0	17329.0	18589.0	10934.0	17998.0	19466.0	20961.0	14315.0	12161.0	8884.0	17820.0	16832.0	11731.0	17843.0	18250.0	18157.0	12192.0	14038.0	17451.0	14892.0	9628.0
BritoIL_2016__WL.35.ST__bin.27	7629.0	14338.0	15683.0	15167.0	14141.0	12875.0	3560.0	18243.0	0.0	14984.0	14756.0	11662.0	14819.0	15441.0	7685.0	15520.0	15384.0	20032.0	12977.0	9084.0	7288.0	15282.0	13861.0	11948.0	18193.0	14530.0	15535.0	9755.0	13880.0	13851.0	12583.0	8390.0
HMP_2012__SRS011586__bin.30	7018.0	9415.0	2811.0	14807.0	13403.0	9027.0	15245.0	18336.0	14984.0	0.0	12941.0	11364.0	11939.0	1877.0	9274.0	1957.0	16211.0	19453.0	11220.0	8878.0	4176.0	10722.0	10751.0	11778.0	17167.0	13411.0	2363.0	10034.0	13591.0	12738.0	2564.0	7781.0
HMP_2012__SRS055982__bin.27	6933.0	13006.0	13565.0	14657.0	12992.0	11820.0	14414.0	16893.0	14756.0	12941.0	0.0	10252.0	12831.0	13741.0	9048.0	13412.0	15392.0	17413.0	7904.0	8849.0	6774.0	13176.0	11438.0	11827.0	17146.0	12894.0	13387.0	10343.0	13009.0	12666.0	11733.0	7339.0
LeChatelierE_2013__MH0117__bin.29	6054.0	10566.0	11127.0	11659.0	9134.0	9407.0	11777.0	14802.0	11662.0	11364.0	10252.0	0.0	10108.0	11195.0	7268.0	11506.0	13142.0	15971.0	10544.0	7438.0	5502.0	10396.0	9567.0	10401.0	15071.0	9447.0	11102.0	8918.0	11792.0	9782.0	9153.0	6705.0
ZeeviD_2015__PNP_Main_517__bin.12	6329.0	12068.0	11656.0	14225.0	9829.0	11509.0	15371.0	17329.0	14819.0	11939.0	12831.0	10108.0	0.0	11793.0	8369.0	12485.0	15976.0	19476.0	12212.0	9277.0	5975.0	12660.0	11097.0	11719.0	18101.0	9887.0	11968.0	9953.0	13432.0	10356.0	9810.0	8908.0
FengQ_2015__SID31009__bin.69	7251.0	9974.0	2315.0	15152.0	13470.0	9284.0	15505.0	18589.0	15441.0	1877.0	13741.0	11195.0	11793.0	0.0	9451.0	1822.0	17112.0	20566.0	11841.0	8637.0	4343.0	11748.0	10962.0	12256.0	17809.0	13572.0	2178.0	10163.0	13792.0	13075.0	2382.0	8706.0
BritoIL_2016__W2.4.ST__bin.34	5124.0	8472.0	9450.0	8756.0	8688.0	8581.0	8452.0	10934.0	7685.0	9274.0	9048.0	7268.0	8369.0	9451.0	0.0	9416.0	3756.0	11708.0	7517.0	6190.0	4803.0	8469.0	8417.0	7392.0	10278.0	9239.0	9031.0	2780.0	8877.0	8415.0	8048.0	6708.0
Bengtsson-PalmeJ_2015__TRAVELRES35__bin.52	7202.0	9736.0	3178.0	15145.0	13914.0	9515.0	15840.0	17998.0	15520.0	1957.0	13412.0	11506.0	12485.0	1822.0	9416.0	0.0	16690.0	19402.0	11541.0	8697.0	4545.0	10916.0	10849.0	11846.0	18095.0	14092.0	2662.0	10155.0	13613.0	12990.0	2462.0	8176.0
BritoIL_2016__W1.11.ST__bin.39	9319.0	16296.0	18767.0	16206.0	20632.0	14108.0	15604.0	19466.0	15384.0	16211.0	15392.0	13142.0	15976.0	17112.0	3756.0	16690.0	0.0	19055.0	13506.0	10807.0	7964.0	16793.0	14649.0	11534.0	17338.0	16602.0	17301.0	1455.0	12976.0	14758.0	13466.0	8437.0
ZeeviD_2015__PNP_Main_536__bin.21	9486.0	19634.0	19941.0	19439.0	19927.0	17542.0	20633.0	20961.0	20032.0	19453.0	17413.0	15971.0	19476.0	20566.0	11708.0	19402.0	19055.0	0.0	15681.0	13486.0	9416.0	20139.0	17233.0	11407.0	16357.0	20071.0	19508.0	11944.0	12424.0	18421.0	16517.0	8963.0
NielsenHB_2014__V1_UC10_0__bin.17	6383.0	11647.0	11534.0	13196.0	12426.0	11208.0	13134.0	14315.0	12977.0	11220.0	7904.0	10544.0	12212.0	11841.0	7517.0	11541.0	13506.0	15681.0	0.0	8148.0	6271.0	11539.0	10717.0	10847.0	15190.0	12368.0	11579.0	9222.0	12679.0	11465.0	10326.0	7118.0
LoombaR_2017__SID1009_aai__bin.30	5843.0	8257.0	9006.0	9526.0	8834.0	7632.0	9403.0	12161.0	9084.0	8878.0	8849.0	7438.0	9277.0	8637.0	6190.0	8697.0	10807.0	13486.0	8148.0	0.0	4694.0	8211.0	8597.0	10114.0	12742.0	8814.0	8950.0	7326.0	10033.0	8264.0	7760.0	5612.0
LeChatelierE_2013__MH0137__bin.2	4333.0	5728.0	4738.0	6849.0	6570.0	5361.0	7404.0	8884.0	7288.0	4176.0	6774.0	5502.0	5975.0	4343.0	4803.0	4545.0	7964.0	9416.0	6271.0	4694.0	0.0	5885.0	5823.0	6766.0	9072.0	6585.0	4339.0	5638.0	7255.0	6356.0	4349.0	4591.0
XieH_2016__YSZC12003_35666__bin.97	7036.0	4187.0	12138.0	13887.0	13754.0	7089.0	15127.0	17820.0	15282.0	10722.0	13176.0	10396.0	12660.0	11748.0	8469.0	10916.0	16793.0	20139.0	11539.0	8211.0	5885.0	0.0	11662.0	11964.0	18342.0	14316.0	11334.0	9792.0	13708.0	12921.0	9273.0	7570.0
LiJ_2014__MH0346__bin.54	4124.0	11606.0	11057.0	13748.0	12485.0	10714.0	13955.0	16832.0	13861.0	10751.0	11438.0	9567.0	11097.0	10962.0	8417.0	10849.0	14649.0	17233.0	10717.0	8597.0	5823.0	11662.0	0.0	10964.0	15681.0	12521.0	10893.0	9386.0	12273.0	11641.0	8843.0	6742.0
QinJ_2012__T2D-042__bin.53	7925.0	12094.0	11979.0	11769.0	11993.0	11155.0	12437.0	11731.0	11948.0	11778.0	11827.0	10401.0	11719.0	12256.0	7392.0	11846.0	11534.0	11407.0	10847.0	10114.0	6766.0	11964.0	10964.0	0.0	9022.0	11967.0	12199.0	8445.0	8618.0	11477.0	11321.0	6493.0
YuJ_2015__SZAXPI015255-46__bin.60	9249.0	17520.0	18031.0	17439.0	18119.0	16832.0	18084.0	17843.0	18193.0	17167.0	17146.0	15071.0	18101.0	17809.0	10278.0	18095.0	17338.0	16357.0	15190.0	12742.0	9072.0	18342.0	15681.0	9022.0	0.0	18711.0	17779.0	11621.0	12555.0	17012.0	14655.0	9289.0
LiJ_2014__V1.CD4-0-PN__bin.30	6506.0	13306.0	13777.0	15043.0	5112.0	11682.0	15471.0	18250.0	14530.0	13411.0	12894.0	9447.0	9887.0	13572.0	9239.0	14092.0	16602.0	20071.0	12368.0	8814.0	6585.0	14316.0	12521.0	11967.0	18711.0	0.0	14271.0	9915.0	13280.0	7511.0	11252.0	7763.0
