	HMP_2012__SRS015947__bin.2	HMP_2012__SRS019906__bin.36	HMP_2012__SRS058808__bin.31	HMP_2012__SRS043803__bin.1	HMP_2012__SRS052876__bin.53	HMP_2012__SRS015921__bin.6	ChngKR_2016__WBU008__bin.3	HMP_2012__SRS018337__bin.16	HMP_2012__SRS019591__bin.34	OhJ_2014__MET0313__bin.5	HMP_2012__SRS015060__bin.5	OhJ_2014__MET0223__bin.33	HMP_2012__SRS015803__bin.15	HMP_2012__SRS018569__bin.1	HMP_2012__SRS021960__bin.24	BritoIL_2016__W3.22.SA__bin.45	HMP_2012__SRS044366__bin.1	HMP_2012__SRS018975__bin.26	HMP_2012__SRS043239__bin.8	HMP_2012__SRS055401__bin.42	HMP_2012__SRS018573__bin.10	HMP_2012__SRS019333__bin.8	HMP_2012__SRS013945__bin.12	HMP_2012__SRS058186__bin.5	HMP_2012__SRS015899__bin.22	HMP_2012__SRS019980__bin.58	HMP_2012__SRS056157__bin.2	HMP_2012__SRS056892__bin.11	OhJ_2014__MET0103__bin.1	HMP_2012__SRS053630__bin.6	HMP_2012__SRS051930__bin.3	HMP_2012__SRS043755__bin.13	CM_periimplantitis__SP_384SPT_T016__bin.8	HMP_2012__SRS024381__bin.12	HMP_2012__SRS016092__bin.14	HMP_2012__SRS043676__bin.3	HMP_2012__SRS015985__bin.6	HMP_2012__SRS015989__bin.15	HMP_2012__SRS012285__bin.52	HMP_2012__SRS018778__bin.2	HMP_2012__SRS022083__bin.22
HMP_2012__SRS015947__bin.2	0.0	48162.0	46497.0	29642.0	50989.0	71701.0	64687.0	47610.0	51894.0	43803.0	75267.0	36346.0	53228.0	88520.0	43717.0	44598.0	45255.0	77682.0	76524.0	49657.0	93940.0	57324.0	48674.0	43781.0	78338.0	63630.0	26824.0	52147.0	41074.0	49497.0	63899.0	59954.0	69547.0	43524.0	49375.0	56292.0	48297.0	48926.0	83050.0	53785.0	80757.0
HMP_2012__SRS019906__bin.36	48162.0	0.0	40839.0	25837.0	57836.0	84413.0	76001.0	50601.0	57268.0	50362.0	87069.0	39256.0	47911.0	100200.0	52665.0	47224.0	38456.0	90864.0	87810.0	56356.0	105235.0	54146.0	58400.0	36178.0	92679.0	80361.0	22586.0	61701.0	44874.0	40528.0	76807.0	69893.0	80320.0	44229.0	42187.0	61002.0	45471.0	46236.0	98735.0	38402.0	96256.0
HMP_2012__SRS058808__bin.31	46497.0	40839.0	0.0	29031.0	56334.0	79481.0	72690.0	47939.0	52990.0	44768.0	80290.0	37554.0	50518.0	94065.0	49603.0	47035.0	38608.0	82837.0	80926.0	57073.0	95578.0	52829.0	53402.0	38788.0	83268.0	71393.0	23346.0	58500.0	41301.0	42098.0	69228.0	67865.0	71297.0	44125.0	40780.0	57218.0	43431.0	43628.0	87997.0	42572.0	86428.0
HMP_2012__SRS043803__bin.1	29642.0	25837.0	29031.0	0.0	35886.0	50195.0	45755.0	31695.0	32972.0	29276.0	51572.0	26720.0	29754.0	57543.0	32179.0	30600.0	24556.0	51084.0	51005.0	36734.0	54915.0	32439.0	36994.0	25185.0	52042.0	48841.0	16733.0	37132.0	27870.0	27193.0	43766.0	42285.0	44273.0	27621.0	25858.0	36609.0	28675.0	27978.0	56466.0	29498.0	55225.0
HMP_2012__SRS052876__bin.53	50989.0	57836.0	56334.0	35886.0	0.0	53154.0	45126.0	45896.0	45554.0	25496.0	42507.0	37382.0	59238.0	66454.0	34979.0	47013.0	48024.0	51089.0	42062.0	34867.0	65182.0	58331.0	35915.0	56494.0	51593.0	45394.0	36238.0	37158.0	35058.0	59101.0	39029.0	47263.0	48148.0	41020.0	55785.0	36366.0	55089.0	51681.0	52200.0	64612.0	50986.0
HMP_2012__SRS015921__bin.6	71701.0	84413.0	79481.0	50195.0	53154.0	0.0	49766.0	62519.0	70500.0	37273.0	75954.0	51577.0	86203.0	95377.0	50200.0	70301.0	71073.0	11574.0	78954.0	54277.0	92947.0	85688.0	43225.0	80904.0	14697.0	61490.0	50219.0	43456.0	48526.0	87542.0	54427.0	64818.0	71282.0	55261.0	81568.0	56835.0	79510.0	71596.0	77010.0	94567.0	74589.0
ChngKR_2016__WBU008__bin.3	64687.0	76001.0	72690.0	45755.0	45126.0	49766.0	0.0	56893.0	58317.0	35371.0	68555.0	45164.0	80464.0	84454.0	44205.0	62790.0	62827.0	54940.0	68220.0	46233.0	84200.0	76648.0	40367.0	72304.0	55353.0	55962.0	42816.0	36801.0	42185.0	75154.0	48148.0	54500.0	64730.0	49817.0	73060.0	51854.0	69775.0	65234.0	69034.0	86192.0	67129.0
HMP_2012__SRS018337__bin.16	47610.0	50601.0	47939.0	31695.0	45896.0	62519.0	56893.0	0.0	49237.0	34338.0	66644.0	34669.0	53010.0	78415.0	38654.0	48881.0	41722.0	62459.0	65734.0	44186.0	81935.0	51661.0	34598.0	41915.0	66603.0	51041.0	25929.0	42499.0	36264.0	49759.0	51858.0	52904.0	60983.0	39070.0	44649.0	47273.0	46738.0	43955.0	71539.0	57110.0	69033.0
HMP_2012__SRS019591__bin.34	51894.0	57268.0	52990.0	32972.0	45554.0	70500.0	58317.0	49237.0	0.0	39002.0	71003.0	38065.0	55612.0	50041.0	42858.0	49745.0	48987.0	68870.0	77003.0	41648.0	53418.0	54901.0	49115.0	50254.0	69376.0	63434.0	31708.0	50471.0	42796.0	55858.0	59357.0	36319.0	59434.0	34775.0	51933.0	42069.0	53908.0	53523.0	74134.0	61466.0	73225.0
OhJ_2014__MET0313__bin.5	43803.0	50362.0	44768.0	29276.0	25496.0	37273.0	35371.0	34338.0	39002.0	0.0	38094.0	29982.0	51055.0	56356.0	28586.0	41685.0	42354.0	40779.0	39633.0	26997.0	58923.0	51557.0	27437.0	45712.0	42526.0	36051.0	26965.0	26386.0	28422.0	48253.0	31607.0	38824.0	38384.0	33721.0	46412.0	33541.0	45224.0	41967.0	43523.0	54882.0	42337.0
HMP_2012__SRS015060__bin.5	75267.0	87069.0	80290.0	51572.0	42507.0	75954.0	68555.0	66644.0	71003.0	38094.0	0.0	52511.0	91092.0	101068.0	48543.0	68461.0	72053.0	80365.0	57717.0	46997.0	101040.0	91972.0	50229.0	80177.0	79693.0	68072.0	48723.0	50875.0	46523.0	86154.0	58364.0	68483.0	67262.0	58392.0	82775.0	54163.0	79215.0	75136.0	75215.0	96547.0	72490.0
OhJ_2014__MET0223__bin.33	36346.0	39256.0	37554.0	26720.0	37382.0	51577.0	45164.0	34669.0	38065.0	29982.0	52511.0	0.0	39616.0	63304.0	33375.0	33865.0	34362.0	54191.0	52240.0	36756.0	66558.0	42720.0	36974.0	32901.0	54839.0	47798.0	22179.0	38040.0	31760.0	37186.0	45907.0	44580.0	48358.0	34012.0	38052.0	39219.0	38035.0	37092.0	57332.0	40952.0	55599.0
HMP_2012__SRS015803__bin.15	53228.0	47911.0	50518.0	29754.0	59238.0	86203.0	80464.0	53010.0	55612.0	51055.0	91092.0	39616.0	0.0	98320.0	52177.0	51585.0	42163.0	93183.0	90530.0	56545.0	100712.0	56497.0	58091.0	40412.0	94125.0	82522.0	25433.0	62932.0	48433.0	45934.0	79152.0	69481.0	80791.0	44011.0	45380.0	61270.0	48929.0	50928.0	101385.0	54448.0	98487.0
HMP_2012__SRS018569__bin.1	88520.0	100200.0	94065.0	57543.0	66454.0	95377.0	84454.0	78415.0	50041.0	56356.0	101068.0	63304.0	98320.0	0.0	60419.0	85861.0	82178.0	99458.0	99739.0	54212.0	12711.0	97513.0	67932.0	95350.0	96900.0	86920.0	58491.0	70608.0	64170.0	98699.0	83207.0	39633.0	78490.0	56147.0	95523.0	55992.0	94650.0	89427.0	101931.0	111825.0	100266.0
HMP_2012__SRS021960__bin.24	43717.0	52665.0	49603.0	32179.0	34979.0	50200.0	44205.0	38654.0	42858.0	28586.0	48543.0	33375.0	52177.0	60419.0	0.0	44044.0	40802.0	50892.0	49285.0	33584.0	59279.0	52608.0	36068.0	48967.0	51181.0	44174.0	31726.0	36118.0	32287.0	50780.0	39791.0	44133.0	41902.0	37553.0	48557.0	37815.0	47835.0	44354.0	47670.0	57123.0	46098.0
BritoIL_2016__W3.22.SA__bin.45	44598.0	47224.0	47035.0	30600.0	47013.0	70301.0	62790.0	48881.0	49745.0	41685.0	68461.0	33865.0	51585.0	85861.0	44044.0	0.0	44263.0	74848.0	68654.0	46987.0	87776.0	56502.0	48798.0	44535.0	75211.0	66602.0	26551.0	51287.0	41785.0	48192.0	61037.0	58704.0	63057.0	44594.0	47397.0	51083.0	50125.0	48175.0	78619.0	54398.0	76751.0
