	HMP_2012__SRS015947__bin.2	HMP_2012__SRS019906__bin.36	HMP_2012__SRS058808__bin.31	HMP_2012__SRS043803__bin.1	HMP_2012__SRS052876__bin.53	HMP_2012__SRS015921__bin.6	ChngKR_2016__WBU008__bin.3	HMP_2012__SRS018337__bin.16	HMP_2012__SRS019591__bin.34	OhJ_2014__MET0313__bin.5	HMP_2012__SRS015060__bin.5	OhJ_2014__MET0223__bin.33	HMP_2012__SRS015803__bin.15	HMP_2012__SRS018569__bin.1	HMP_2012__SRS021960__bin.24	BritoIL_2016__W3.22.SA__bin.45	HMP_2012__SRS044366__bin.1	HMP_2012__SRS018975__bin.26	HMP_2012__SRS043239__bin.8	HMP_2012__SRS055401__bin.42	HMP_2012__SRS018573__bin.10	HMP_2012__SRS019333__bin.8	HMP_2012__SRS013945__bin.12	HMP_2012__SRS058186__bin.5	HMP_2012__SRS015899__bin.22	HMP_2012__SRS019980__bin.58	HMP_2012__SRS056157__bin.2	HMP_2012__SRS056892__bin.11	OhJ_2014__MET0103__bin.1	HMP_2012__SRS053630__bin.6	HMP_2012__SRS051930__bin.3	HMP_2012__SRS043755__bin.13	CM_periimplantitis__SP_384SPT_T016__bin.8	HMP_2012__SRS024381__bin.12	HMP_2012__SRS016092__bin.14	HMP_2012__SRS043676__bin.3	HMP_2012__SRS015985__bin.6	HMP_2012__SRS015989__bin.15	HMP_2012__SRS012285__bin.52	HMP_2012__SRS018778__bin.2	HMP_2012__SRS022083__bin.22
HMP_2012__SRS015947__bin.2	1.0	0.8071103783461823	0.7635109930090541	0.5065016256942589	0.5246617358546178	0.7406683767926387	0.6382588492111008	0.7242034251643348	0.5349370753468609	0.4800418781297301	0.8300347398121625	0.5398855412993887	0.7723724850862892	0.687424970909437	0.6074827222012422	0.6915072442409896	0.6545979208306852	0.7739145151931031	0.8202648392573694	0.581850021645221	0.7557781994246362	0.7248566195998244	0.6060531397851443	0.720175264885311	0.8067177708799627	0.7302990110743706	0.45561655107197574	0.6271626031985803	0.5889415179900954	0.8151805150027479	0.7397768546577138	0.5157173471862748	0.7741397943550492	0.5423306069565591	0.8037457745765366	0.6412868774696276	0.7716198914975729	0.7796435907118975	0.8449070023057533	0.8471333130697222	0.8400199412355276
HMP_2012__SRS019906__bin.36	0.806616933550676	1.0	0.8001284878703615	0.5425567168472528	0.5474120241633905	0.7798711285837568	0.670127912551539	0.7482888100489021	0.5609101543772174	0.49939629878224184	0.8634971713491226	0.5707024642822898	0.8203279317288331	0.7322868923194937	0.6371560072873718	0.7171686643014671	0.6905003356026465	0.8117752421133378	0.8588363217949947	0.5950154377217375	0.7970865854827883	0.7724410777639276	0.6282631124748298	0.7733278358423626	0.8521146802186211	0.7539955892223608	0.4859445776200978	0.6572200594496117	0.6067212580304919	0.8580412311822802	0.7643869977946112	0.5399094831719244	0.809707546265222	0.5612503595742641	0.8452031834308179	0.6601050915715793	0.8212944673506568	0.7957111899510979	0.888785118419791	0.90352632083613	0.8810700930098763
HMP_2012__SRS058808__bin.31	0.7777861181711238	0.815586865913451	1.0	0.542718777965567	0.5557743605622415	0.7664828000889816	0.662089745499413	0.7416770367729246	0.5401298677435157	0.4802217345698488	0.841882171353642	0.550158669467475	0.8027036948854753	0.7071243509642733	0.62779978208116	0.6909160996828174	0.6611709990448946	0.7758274289212783	0.8358892077786158	0.612082571457949	0.7528040337269869	0.7351429901795777	0.6382512071741978	0.7644318452377462	0.8095684902024487	0.7528900440333673	0.4919367292548028	0.6647337805087353	0.5993143414757727	0.8304263804556435	0.7498789013981757	0.5408676015986971	0.7678726484489019	0.5600064585920973	0.8117883380189402	0.6523467325661996	0.8014800027992445	0.7770765331434851	0.8567639091371485	0.8710830613257394	0.8534814430809204
HMP_2012__SRS043803__bin.1	0.787666916138181	0.8442527850689509	0.8284984798948639	1.0	0.5723831452747827	0.7896179266171782	0.6815961641068979	0.756706785028367	0.5562480677894078	0.5063818155558022	0.8672250531469817	0.5931728360136601	0.8272254589858088	0.7642237556563787	0.6554780482972077	0.7288334162915642	0.7088333208000754	0.7893553250231865	0.8599545699242395	0.656565457625055	0.768044012027153	0.7685626501752866	0.6761597142894658	0.8218958402713868	0.8278789788617653	0.7621569617473033	0.5556369222615727	0.688075261616838	0.6391376641110758	0.8555082474805168	0.7592826679367035	0.5704948010852607	0.7901520821322294	0.5777933349328158	0.8370294507687661	0.6921664750868675	0.8311967112731283	0.7917241107653523	0.8761588787389394	0.8965743622063785	0.8759320864532193
HMP_2012__SRS052876__bin.53	0.7670720047401661	0.8008232447694331	0.7976463010095297	0.5381233251188409	1.0	0.8307096334002163	0.6887807089600811	0.7329504392284661	0.5508142671819802	0.4908826988423401	0.8918268043828582	0.5467272204940367	0.778200285487281	0.7395197888471431	0.6503768342333365	0.7022212795755397	0.6755297898795657	0.805285666832752	0.8757496285523191	0.656827791917478	0.7614980451303321	0.7410476620117876	0.6473867365122971	0.7686604766201178	0.8329568357595264	0.7510705773037611	0.510803965400378	0.7277630769783237	0.6250735039972708	0.829301274368539	0.7801888211081036	0.5840206798726978	0.8005511116497663	0.5736857934167351	0.8075743905340318	0.6741461192133837	0.791268847322659	0.763144310229512	0.8850672421300224	0.8499727305781117	0.8875916275019414
HMP_2012__SRS015921__bin.6	0.7352357738877805	0.7746245679374028	0.746896368597921	0.5040319492980518	0.5640210765401772	1.0	0.7015827977274641	0.698567836065936	0.5388118216669606	0.47774722857059043	0.8412874503458977	0.518359684088096	0.750560495620991	0.7268191011574116	0.6165230870860666	0.6738904091532316	0.6373870484652991	0.8794525829276367	0.8487513281412803	0.6070355200885059	0.7471138999485315	0.7146320120049876	0.6328326048636352	0.7296858672053013	0.9021867043771803	0.7213320537969126	0.4762306045657202	0.6779865511528209	0.5877933292163652	0.8023931496291872	0.7445888600328621	0.5458078737205747	0.770098315789233	0.5288187133344432	0.780492961851249	0.6367828370431128	0.7624755753437548	0.7292393755364471	0.840936962005159	0.8193026882074769	0.8352118111523105
ChngKR_2016__WBU008__bin.3	0.7407315193814332	0.7781929369006632	0.7542858288162695	0.5086620731430302	0.5467492728900449	0.8202383762621426	1.0	0.7038112587353409	0.5290376315590217	0.48167014818344994	0.8496082736873048	0.5143511239583287	0.7776027864011509	0.7262641469096157	0.6124390363399089	0.6848052948748213	0.6418601543744628	0.8370347275731675	0.8463074394594667	0.5966764505453881	0.7561547129641589	0.7155942258784335	0.6303096842583479	0.7269954881324076	0.8662821409323932	0.7235908764959759	0.45911036482435785	0.6650323580632375	0.5854912056440658	0.7949674637781212	0.7449191382466517	0.5349092949817165	0.7801085876919103	0.5323959219486992	0.7861486110306923	0.6381099149737884	0.7586088482489233	0.7340006859107693	0.8564771801050245	0.8408205987021143	0.8474850680788708
HMP_2012__SRS018337__bin.16	0.7236829489977105	0.748208457812566	0.7275413897443174	0.48624330304924585	0.5009629802916937	0.7032237404747022	0.6060102855959472	1.0	0.49942934501232966	0.4414162061414442	0.7794288081057552	0.49857451304491224	0.7394327198536547	0.6423270297944799	0.5738695240323217	0.6438108094633619	0.6147860235548585	0.714980843940434	0.7654749897412494	0.5512343098641243	0.7057863188534743	0.692356751408421	0.576457797225727	0.6871805885263065	0.7631981223610083	0.691897696287291	0.42828078679823434	0.5941481018435071	0.5567529424397801	0.781648149781594	0.6955858609488673	0.48632307202601693	0.7377383961066604	0.5134337859967095	0.7588008575165003	0.5978351159909953	0.7361944062005039	0.7323045180688238	0.8077859123384966	0.7970987869746465	0.7984851564507407
HMP_2012__SRS019591__bin.34	0.686178243830061	0.719934762307264	0.6801231304837543	0.4588185833890026	0.4832620421682032	0.6962553308381015	0.584731957854442	0.6410922636819717	1.0	0.4320544901126891	0.7398870992118015	0.4792095467969189	0.6831004740218407	0.6526279930351427	0.5658217896453623	0.6016498460868953	0.5842957927792527	0.6954730889594608	0.7570191316967462	0.5613065457744416	0.6987595878781554	0.6528111232924457	0.5547463473636381	0.6527180813068806	0.7305489329462656	0.6562477693307032	0.42778538906072394	0.5862865958989653	0.5361093976835991	0.7252150180594986	0.6589400794844391	0.5186519643919952	0.6918749732319684	0.5133904154940012	0.7242393079251588	0.5894332856964931	0.6954410903929965	0.681520729409784	0.752866210055328	0.7539137938928029	0.7470656083838213
OhJ_2014__MET0313__bin.5	0.8178687956478812	0.8513642872555366	0.8031588170292343	0.5547800728404506	0.5720388133675958	0.8199735838940218	0.7071153481498917	0.752601397961252	0.5738637478177289	1.0	0.8927918031607787	0.5809235175268248	0.8309905385877845	0.7633966927558407	0.6751028201154724	0.7441273203999033	0.7258393979220201	0.84934777065066	0.9042265769565245	0.622175144013548	0.8250874543112523	0.7842935326310834	0.6796602522607348	0.7702786114543897	0.9011710704407697	0.7787566121997946	0.48799767224412666	0.6915658081432223	0.6597605549997712	0.8539038950679038	0.8348071428104383	0.5660794967862584	0.8316797112536535	0.5839012142254654	0.8573079111006493	0.6956956132263612	0.8300228198539268	0.8062169390010265	0.921098883854136	0.9004701282227322	0.9114648515401766
HMP_2012__SRS015060__bin.5	0.7566439452671292	0.7876291985144095	0.7533585316499626	0.5083529480910945	0.5560566920142513	0.7725682831466083	0.6673444370121383	0.7110235405080899	0.5258071671065411	0.47768430642123266	1.0	0.5259583010307893	0.7663347084654589	0.71028221461577	0.6141309519478084	0.6848339905793187	0.6519805541017467	0.7946936599318778	0.8665865283697968	0.5946826047651966	0.7481783464269421	0.7286180481893316	0.6114861082734628	0.7245584230574393	0.828129941589537	0.7272532948594874	0.4568879985670265	0.652875462847643	0.5885266961284527	0.8088026414851427	0.7523240339323648	0.51746611381504	0.7762007450342711	0.532375895258593	0.7892703310112819	0.6435369956255125	0.7633861975544292	0.7465158732602106	0.8843552598803803	0.8355292066308609	0.8783693769084157
OhJ_2014__MET0223__bin.33	0.7806546094634857	0.8257195670860662	0.7809087685437628	0.5515396324460148	0.5407184488970994	0.7550672272964633	0.6408449180114993	0.7214388733538621	0.5401923728968753	0.49302810566580524	0.8342827303344411	1.0	0.782249485438849	0.7020756139911799	0.6370913546512499	0.7101143660367998	0.6745121172283786	0.7769126996855198	0.8223749889707168	0.597561848613307	0.760844074514115	0.7465495685122426	0.634307813282975	0.7432038805319139	0.8132591129626126	0.7370729863858412	0.4916923831631263	0.6481433901158754	0.6261025814904487	0.8277905751375816	0.7622680312826543	0.5357279410173356	0.781365477982776	0.5585933793224386	0.8249210192334051	0.6472932335416735	0.8012653570629865	0.7819337288522165	0.8502342647505218	0.8480722477706975	0.844871952102667
HMP_2012__SRS015803__bin.15	0.7622804435955037	0.8101045659096272	0.7776753847220218	0.5249888926891737	0.5253184190461689	0.7462268285209228	0.6612745549216277	0.7302959336068781	0.525579388770272	0.48137058723490644	0.8296810828766363	0.5339198144955993	1.0	0.7012828423201232	0.5961980233721303	0.6802405012133766	0.6468803133757779	0.7849950362725191	0.8255415500541067	0.578208914407612	0.7507125534012612	0.7445466228661748	0.6019670072151122	0.752508661429849	0.8187476256110915	0.7323969482071683	0.47451492394569555	0.6301593127367997	0.5817643901698121	0.8254514037633425	0.7444114034300285	0.5249650304357361	0.7741312719376491	0.5424594710988341	0.7985991720934354	0.6291006619692117	0.7770951153209681	0.7546960346616276	0.8602327213612242	0.8565704336074462	0.8509499260080761
HMP_2012__SRS018569__bin.1	0.7314699941766397	0.7796830066507184	0.7386217829609949	0.5229136566373648	0.5382255004373646	0.7791027124771006	0.6658889935224306	0.6839740799213315	0.5413805692518412	0.47677884053875474	0.8290998947221407	0.5166517067019281	0.7560951306744071	1.0	0.6168947686949874	0.6737313364570937	0.628796312252987	0.7875625112812291	0.8289708497123848	0.599042861728272	0.8359960437086882	0.7129679617177361	0.6159363236383505	0.7301489163077772	0.8197126870029623	0.7166040907268093	0.4699757999769679	0.6582079568499624	0.5856438243387055	0.7851155565392742	0.7295232930326312	0.5577247731298887	0.7716813993052805	0.517341035741384	0.7768550424337562	0.6571670209959498	0.7626841852073581	0.7368347545980453	0.8516051810754677	0.8438931082614125	0.8461101505334541
HMP_2012__SRS021960__bin.24	0.7972936489147899	0.8367500617025885	0.8088363143658737	0.5531982088620028	0.5838384550679232	0.8151375338105	0.692601230022213	0.7537195327728892	0.5789349881379922	0.5200556078838279	0.8841991004014446	0.5782675927931377	0.7928424997355603	0.7608941586537251	1.0	0.7403343524754071	0.6812157172862949	0.8135267184800512	0.8843401348894139	0.6661164642653866	0.8048974225947324	0.7512604957362252	0.680651579334418	0.7800018133005596	0.853839412087663	0.7844937617423804	0.5164103700644226	0.7216397274004825	0.6775558723234928	0.8461626026907365	0.7986002327069052	0.5960847818750535	0.813954355195358	0.5953433434240152	0.8327189938196673	0.7066769756161444	0.8176167186311596	0.786683322168103	0.8977454629708915	0.8686168042592415	0.891454317418263
BritoIL_2016__W3.22.SA__bin.45	0.8059812853349008	0.8364021215142605	0.7905123205549539	0.5462541370825287	0.559816208193604	0.7912517283041082	0.687751193989192	0.750928732812572	0.5466857937539951	0.5090623298814219	0.8756251752906302	0.5723995593076138	0.8033461667321979	0.7379785853559692	0.6574636569684819	1.0	0.6841275145119394	0.8222777784487467	0.8704045897852586	0.6103491140750045	0.7966427399150017	0.7605450593650934	0.6426634245448483	0.7697910110741184	0.8533794244249685	0.7584552148375383	0.4855055057472961	0.6760307089055021	0.6261003331137028	0.849052569520208	0.779828706108009	0.5452785482737535	0.8177903383159485	0.5654653191821515	0.8328518013055266	0.6822139111538742	0.8215003491274944	0.7847401985978539	0.8970009031241655	0.8833064274796663	0.8883959503894527
HMP_2012__SRS044366__bin.1	0.7965945041673166	0.8407989777627912	0.7898262925313354	0.5546832456405002	0.5622771678873297	0.7813814400056791	0.6730372793395809	0.748684607502571	0.5543208296710328	0.5184402476010959	0.8703662362821353	0.5676690394949341	0.7976247743073231	0.719120151168558	0.6316303207661549	0.7142849803800324	1.0	0.8109472974323576	0.85244812921437	0.6047377481451868	0.7834550571505698	0.7578897863146873	0.6500467497919378	0.7833364313048936	0.8454062374777344	0.7754795706678448	0.49318368418250447	0.6710528650943917	0.6218399522507619	0.8525555463187224	0.7710843429762758	0.5470141314206239	0.7902685707827344	0.5605669007736833	0.8367040509325205	0.6507113347462574	0.828418455939839	0.7890276697120194	0.8903659000198955	0.8866688835066173	0.8801239126353338
HMP_2012__SRS018975__bin.26	0.7388827108359791	0.7755037657624317	0.7271144055298358	0.4846110299923604	0.5258667848944469	0.8458475850937731	0.6885920573649006	0.683107656286927	0.5176409160943062	0.475952432860239	0.8323135576607754	0.512976537037478	0.7593839941814344	0.7066369387310177	0.5917931844371692	0.6735546562264697	0.6362275322943213	1.0	0.8230881267186845	0.5628971180146527	0.7629249650537979	0.7242186798671403	0.6037978231676373	0.707079926498473	0.9228109387566663	0.7146587180468966	0.4393229505403608	0.63419176716944	0.565610005880855	0.7982698194888969	0.7454740317199761	0.5185056399414479	0.7727395807188566	0.5193146697102992	0.7858918105888366	0.6183900380881542	0.7613347525552406	0.7421778216653628	0.8502126084797899	0.8276751936010436	0.8459626373344521
