	HMP_2012__SRS015947__bin.2	HMP_2012__SRS019906__bin.36	HMP_2012__SRS058808__bin.31	HMP_2012__SRS043803__bin.1	HMP_2012__SRS052876__bin.53	HMP_2012__SRS015921__bin.6	ChngKR_2016__WBU008__bin.3	HMP_2012__SRS018337__bin.16	HMP_2012__SRS019591__bin.34	OhJ_2014__MET0313__bin.5	HMP_2012__SRS015060__bin.5	OhJ_2014__MET0223__bin.33	HMP_2012__SRS015803__bin.15	HMP_2012__SRS018569__bin.1	HMP_2012__SRS021960__bin.24	BritoIL_2016__W3.22.SA__bin.45	HMP_2012__SRS044366__bin.1	HMP_2012__SRS018975__bin.26	HMP_2012__SRS043239__bin.8	HMP_2012__SRS055401__bin.42	HMP_2012__SRS018573__bin.10	HMP_2012__SRS019333__bin.8	HMP_2012__SRS013945__bin.12	HMP_2012__SRS058186__bin.5	HMP_2012__SRS015899__bin.22	HMP_2012__SRS019980__bin.58	HMP_2012__SRS056157__bin.2	HMP_2012__SRS056892__bin.11	OhJ_2014__MET0103__bin.1	HMP_2012__SRS053630__bin.6	HMP_2012__SRS051930__bin.3	HMP_2012__SRS043755__bin.13	CM_periimplantitis__SP_384SPT_T016__bin.8	HMP_2012__SRS024381__bin.12	HMP_2012__SRS016092__bin.14	HMP_2012__SRS043676__bin.3	HMP_2012__SRS015985__bin.6	HMP_2012__SRS015989__bin.15	HMP_2012__SRS012285__bin.52	HMP_2012__SRS018778__bin.2	HMP_2012__SRS022083__bin.22
HMP_2012__SRS015947__bin.2	2605656.0	2103052.0	1989447.0	1319769.0	1367088.0	1929927.0	1663083.0	1887025.0	1393862.0	1250824.0	2162785.0	1406756.0	2012537.0	1791193.0	1582891.0	1801830.0	1705657.0	2016555.0	2137328.0	1516101.0	1969298.0	1888727.0	1579166.0	1876529.0	2102029.0	1902908.0	1187180.0	1634170.0	1534579.0	2124080.0	1927604.0	1343782.0	2017142.0	1413127.0	2094285.0	1670973.0	2010576.0	2031483.0	2201537.0	2207338.0	2188803.0
HMP_2012__SRS019906__bin.36	2103052.0	2607250.0	2086135.0	1414581.0	1427240.0	2033319.0	1747191.0	1950976.0	1462433.0	1302051.0	2251353.0	1487964.0	2138800.0	1909255.0	1661225.0	1869838.0	1800307.0	2116501.0	2239201.0	1551354.0	2078204.0	2013947.0	1638039.0	2016259.0	2221676.0	1965855.0	1266979.0	1713537.0	1581874.0	2237128.0	1992948.0	1407679.0	2111110.0	1463320.0	2203656.0	1721059.0	2141320.0	2074618.0	2317285.0	2355719.0	2297170.0
HMP_2012__SRS058808__bin.31	1989447.0	2086135.0	2557833.0	1388184.0	1421578.0	1960535.0	1693515.0	1897086.0	1381562.0	1228327.0	2153394.0	1407214.0	2053182.0	1808706.0	1605807.0	1767248.0	1691165.0	1984437.0	2138065.0	1565605.0	1925547.0	1880373.0	1632540.0	1955289.0	2070741.0	1925767.0	1258292.0	1700278.0	1532946.0	2124092.0	1918065.0	1383449.0	1964090.0	1432403.0	2076419.0	1668594.0	2050052.0	1987632.0	2191459.0	2228085.0	2183063.0
HMP_2012__SRS043803__bin.1	1319769.0	1414581.0	1388184.0	1675542.0	959052.0	1323038.0	1142043.0	1267894.0	932017.0	848464.0	1453072.0	993886.0	1386051.0	1280489.0	1098281.0	1221191.0	1187680.0	1322598.0	1440890.0	1100103.0	1286890.0	1287759.0	1132934.0	1377121.0	1387146.0	1277026.0	930993.0	1152899.0	1070902.0	1433440.0	1272210.0	955888.0	1323933.0	968117.0	1402478.0	1159754.0	1392705.0	1326567.0	1468041.0	1502248.0	1467661.0
HMP_2012__SRS052876__bin.53	1367088.0	1427240.0	1421578.0	959052.0	1782216.0	1480504.0	1227556.0	1306276.0	981670.0	874859.0	1589428.0	974386.0	1386921.0	1317984.0	1159112.0	1251510.0	1203940.0	1435193.0	1560775.0	1170609.0	1357154.0	1320707.0	1153783.0	1369919.0	1484509.0	1338570.0	910363.0	1297031.0	1114016.0	1477994.0	1390465.0	1040851.0	1426755.0	1022432.0	1439272.0	1201474.0	1410212.0	1360088.0	1577381.0	1514835.0	1581880.0
HMP_2012__SRS015921__bin.6	1929927.0	2033319.0	1960535.0	1323038.0	1480504.0	2624909.0	1841591.0	1833677.0	1414332.0	1254043.0	2208303.0	1360647.0	1970153.0	1907834.0	1618317.0	1768901.0	1673083.0	2308483.0	2227895.0	1593413.0	1961106.0	1875844.0	1661128.0	1915359.0	2368158.0	1893431.0	1250062.0	1779653.0	1542904.0	2106209.0	1954478.0	1432696.0	2021438.0	1388101.0	2048723.0	1671497.0	2001429.0	1914187.0	2207383.0	2150595.0	2192355.0
ChngKR_2016__WBU008__bin.3	1663083.0	1747191.0	1693515.0	1142043.0	1227556.0	1841591.0	2245190.0	1580190.0	1187790.0	1081441.0	1907532.0	1154816.0	1745866.0	1630601.0	1375042.0	1537518.0	1441098.0	1879302.0	1900121.0	1339652.0	1697711.0	1606645.0	1415165.0	1632243.0	1944968.0	1624599.0	1030790.0	1493124.0	1314539.0	1784853.0	1672485.0	1200973.0	1751492.0	1195330.0	1765053.0	1432678.0	1703221.0	1647971.0	1922954.0	1887802.0	1902765.0
HMP_2012__SRS018337__bin.16	1887025.0	1950976.0	1897086.0	1267894.0	1306276.0	1833677.0	1580190.0	2607530.0	1302277.0	1151006.0	2032384.0	1300048.0	1928093.0	1674887.0	1496382.0	1678756.0	1603073.0	1864334.0	1995999.0	1437360.0	1840359.0	1805341.0	1503131.0	1791844.0	1990062.0	1804144.0	1116755.0	1549259.0	1451750.0	2038171.0	1813761.0	1268102.0	1923675.0	1338794.0	1978596.0	1558873.0	1919649.0	1909506.0	2106326.0	2078459.0	2082074.0
HMP_2012__SRS019591__bin.34	1393862.0	1462433.0	1381562.0	932017.0	981670.0	1414332.0	1187790.0	1302277.0	2031341.0	877650.0	1502963.0	973438.0	1387610.0	1325710.0	1149377.0	1222156.0	1186904.0	1412743.0	1537764.0	1140205.0	1419419.0	1326082.0	1126879.0	1325893.0	1483994.0	1333063.0	868978.0	1190948.0	1089021.0	1473159.0	1338532.0	1053559.0	1405434.0	1042871.0	1471177.0	1197340.0	1412678.0	1384401.0	1529328.0	1531456.0	1517545.0
OhJ_2014__MET0313__bin.5	1250824.0	1302051.0	1228327.0	848464.0	874859.0	1254043.0	1081441.0	1151006.0	877650.0	1529370.0	1365409.0	888447.0	1270892.0	1167516.0	1032482.0	1138046.0	1110077.0	1298967.0	1382897.0	951536.0	1261864.0	1199475.0	1039452.0	1178041.0	1378224.0	1191007.0	746329.0	1057660.0	1009018.0	1305935.0	1276729.0	865745.0	1271946.0	893001.0	1311141.0	1063976.0	1269412.0	1233004.0	1408701.0	1377152.0	1393967.0
