	HMP_2012__SRS012279__bin.39	HMP_2012__SRS019071__bin.34	HMP_2012__SRS023958__bin.21	Castro-NallarE_2015__ES_104__bin.5	HMP_2012__SRS011115__bin.80	HMP_2012__SRS044662__bin.37	HMP_2012__SRS016037__bin.33	HMP_2012__SRS015644__bin.37	HMP_2012__SRS019126__bin.9	HMP_2012__SRS018145__bin.56	HMP_2012__SRS016225__bin.34	HMP_2012__SRS023617__bin.29	HMP_2012__SRS013164__bin.11	HMP_2012__SRS015434__bin.74	HMP_2012__SRS014888__bin.46	HMP_2012__SRS022077__bin.60	HMP_2012__SRS015797__bin.22	HMP_2012__SRS064329__bin.49	HMP_2012__SRS042131__bin.18	HMP_2012__SRS024441__bin.39	HMP_2012__SRS024081__bin.14	HMP_2012__SRS050669__bin.28	HMP_2012__SRS019122__bin.55	HMP_2012__SRS018739__bin.39	HMP_2012__SRS014573__bin.16	HMP_2012__SRS016002__bin.5
HMP_2012__SRS012279__bin.39	753591.0	724657.0	552054.0	331428.0	681515.0	712332.0	485505.0	712764.0	367494.0	485147.0	680078.0	701207.0	406642.0	716531.0	389288.0	734447.0	662628.0	726745.0	711387.0	646649.0	727362.0	492949.0	720357.0	718348.0	675367.0	486184.0
HMP_2012__SRS019071__bin.34	724657.0	1771018.0	1074675.0	736033.0	728860.0	1296901.0	489398.0	1322331.0	969232.0	1022509.0	888916.0	1275447.0	752907.0	1342438.0	969626.0	771475.0	1203745.0	1299584.0	800943.0	1222081.0	1326190.0	998046.0	1322508.0	1267547.0	1268942.0	571518.0
HMP_2012__SRS023958__bin.21	552054.0	1074675.0	1678982.0	685836.0	564915.0	1085220.0	377399.0	1110987.0	830444.0	914480.0	712879.0	1060463.0	750293.0	1051418.0	823451.0	595950.0	1004929.0	1087877.0	624613.0	1121435.0	1111405.0	951779.0	1097518.0	1095972.0	1078365.0	468779.0
Castro-NallarE_2015__ES_104__bin.5	331428.0	736033.0	685836.0	1435027.0	340921.0	723177.0	200329.0	766983.0	610778.0	626376.0	450996.0	725969.0	475742.0	719955.0	615662.0	353476.0	691520.0	747982.0	375126.0	742620.0	762073.0	647000.0	747350.0	727223.0	738822.0	292332.0
HMP_2012__SRS011115__bin.80	681515.0	728860.0	564915.0	340921.0	866299.0	728110.0	498197.0	725207.0	378686.0	504007.0	745222.0	707420.0	424573.0	728657.0	448681.0	703743.0	680292.0	746052.0	727456.0	659699.0	747881.0	539337.0	735491.0	742173.0	793733.0	533807.0
HMP_2012__SRS044662__bin.37	712332.0	1296901.0	1085220.0	723177.0	728110.0	1430938.0	479927.0	1317328.0	972701.0	975482.0	888882.0	1272084.0	763341.0	1271494.0	971114.0	757616.0	1195697.0	1300793.0	787791.0	1209360.0	1327542.0	984972.0	1318623.0	1256571.0	1278511.0	573418.0
HMP_2012__SRS016037__bin.33	485505.0	489398.0	377399.0	200329.0	498197.0	479927.0	511956.0	480671.0	129225.0	317105.0	490116.0	472254.0	260240.0	481812.0	164844.0	478574.0	445001.0	483640.0	488670.0	416009.0	483663.0	320012.0	484647.0	478925.0	483546.0	257928.0
HMP_2012__SRS015644__bin.37	712764.0	1322331.0	1110987.0	766983.0	725207.0	1317328.0	480671.0	1696329.0	1001665.0	995349.0	884876.0	1297477.0	780145.0	1291643.0	989692.0	761921.0	1219057.0	1355702.0	835686.0	1237744.0	1380865.0	1029639.0	1346518.0	1309370.0	1317926.0	582731.0
HMP_2012__SRS019126__bin.9	367494.0	969232.0	830444.0	610778.0	378686.0	972701.0	129225.0	1001665.0	1129673.0	783159.0	544676.0	952154.0	602609.0	944606.0	944313.0	427092.0	885891.0	980491.0	452719.0	954690.0	1008728.0	791117.0	1125361.0	943829.0	940185.0	453005.0
HMP_2012__SRS018145__bin.56	485147.0	1022509.0	914480.0	626376.0	504007.0	975482.0	317105.0	995349.0	783159.0	1819981.0	635395.0	970475.0	629212.0	962831.0	780874.0	529042.0	927022.0	974339.0	549715.0	1040312.0	1013386.0	903067.0	996511.0	999007.0	958465.0	418618.0
