	HMP_2012__SRS012279__bin.39	HMP_2012__SRS019071__bin.34	HMP_2012__SRS023958__bin.21	Castro-NallarE_2015__ES_104__bin.5	HMP_2012__SRS011115__bin.80	HMP_2012__SRS044662__bin.37	HMP_2012__SRS016037__bin.33	HMP_2012__SRS015644__bin.37	HMP_2012__SRS019126__bin.9	HMP_2012__SRS018145__bin.56	HMP_2012__SRS016225__bin.34	HMP_2012__SRS023617__bin.29	HMP_2012__SRS013164__bin.11	HMP_2012__SRS015434__bin.74	HMP_2012__SRS014888__bin.46	HMP_2012__SRS022077__bin.60	HMP_2012__SRS015797__bin.22	HMP_2012__SRS064329__bin.49	HMP_2012__SRS042131__bin.18	HMP_2012__SRS024441__bin.39	HMP_2012__SRS024081__bin.14	HMP_2012__SRS050669__bin.28	HMP_2012__SRS019122__bin.55	HMP_2012__SRS018739__bin.39	HMP_2012__SRS014573__bin.16	HMP_2012__SRS016002__bin.5
HMP_2012__SRS012279__bin.39	1.0	0.9891079503820428	0.9833893061186043	0.986660752863367	0.9871316111897758	0.9855713347147117	0.9927415783565565	0.9897567778395093	0.9836078956391124	0.9958507421461948	0.9913715779660568	0.9922177046150423	0.9871803699568662	0.9889062720245181	0.9875516327243583	0.9999850227450041	0.9928028999680062	0.9921774487612574	0.9899407776639157	0.9875821349758525	0.9920850965543979	0.9873090319688244	0.9866455104899376	0.9964766380640024	0.987294315535109	0.9893702795649384
HMP_2012__SRS019071__bin.34	0.9891079503820428	1.0	0.98144648382069	0.9862370301331598	0.988280328183739	0.9817796423936754	0.9900040457868646	0.9876120275483219	0.9834208940687059	0.9875296941151618	0.98852197507976	0.9871064811003515	0.9843553055025388	0.9989392433766029	0.9858883734553323	0.9889367769532389	0.9882076353380491	0.9866518824485374	0.9895747887177989	0.9859469216852238	0.9867967636613155	0.9871739378746069	0.9852711666016387	0.9876754076969138	0.9863311325497934	0.9873477300802425
HMP_2012__SRS023958__bin.21	0.9833893061186043	0.98144648382069	1.0	0.9815582734064704	0.9849818114229575	0.9796207220655719	0.9817991038662	0.9807027444965603	0.980703093766708	0.9811969643950661	0.9829424067759045	0.9803425484906121	0.9905716833290461	0.9818083768777023	0.9807104490734725	0.9836546690158571	0.9829112305446455	0.9809509714793124	0.9832152068560853	0.9810439303214186	0.981033916529078	0.9808695085728935	0.9819246700281908	0.9803854478034111	0.9813504703880411	0.9786701196086002
Castro-NallarE_2015__ES_104__bin.5	0.986660752863367	0.9862370301331598	0.9815582734064704	1.0	0.9913968338706034	0.9816310529787313	0.9872260132082724	0.9848314760561838	0.9849912734250416	0.9853777922525767	0.9867338069517246	0.9855999360854252	0.9826334441777266	0.9867866741671354	0.9864146236084085	0.9866072944131992	0.9871471540953263	0.9855103465056646	0.9874175610328263	0.9863483342759419	0.9855617506459355	0.9864064914992272	0.9862393791396267	0.98490834310796	0.9879497362016832	0.9825814484900729
HMP_2012__SRS011115__bin.80	0.9871316111897758	0.988280328183739	0.9849818114229575	0.9913968338706034	1.0	0.9883012182225214	0.9876876014909765	0.9882640404739612	0.987543769772318	0.9878672320027301	0.989527952744283	0.9876183879449266	0.9864404943319524	0.9881906027115639	0.9860881115982179	0.986931308730602	0.9898131978620945	0.9881295137604349	0.988287951436238	0.9904865703904356	0.9878897846047701	0.9884988420968708	0.9895430399556214	0.9881793059030711	0.98938559943961	0.9862946720443906
HMP_2012__SRS044662__bin.37	0.9855713347147117	0.9817796423936754	0.9796207220655719	0.9816310529787313	0.9883012182225214	1.0	0.9861791480787703	0.9814108559143964	0.9784466141188299	0.9817403088934495	0.9854581373005641	0.9815240188541008	0.9809626366198069	0.9823931532512147	0.9792815261647964	0.9857526768178074	0.9837651177514036	0.9806702526843241	0.985865540479645	0.982397301051796	0.9808676486318324	0.9823365537294462	0.9815504507353504	0.9824084751279474	0.9821761408388352	0.9837553059025005
HMP_2012__SRS016037__bin.33	0.9927415783565565	0.9900040457868646	0.9817991038662	0.9872260132082724	0.9876876014909765	0.9861791480787703	1.0	0.9908274058555644	0.9802514993228865	0.9931000772614749	0.9918529490977646	0.9930207049596191	0.9882300952966493	0.9898674171668618	0.9870301618499915	0.9925403385892255	0.9928134992955072	0.992500620296088	0.9911903738719381	0.9876877663704391	0.9925030444751821	0.986541129707636	0.9872608310791153	0.9934185937255311	0.9866527693332175	0.9885394373623647
HMP_2012__SRS015644__bin.37	0.9897567778395093	0.9876120275483219	0.9807027444965603	0.9848314760561838	0.9882640404739612	0.9814108559143964	0.9908274058555644	1.0	0.9816385717779896	0.9887335999734767	0.988731754505716	0.987503439367326	0.9831249319036846	0.9880353936807617	0.9846386552584037	0.9896616578359174	0.9890850058692908	0.9868923996571518	0.999771445255754	0.9848248103000298	0.9870298689589496	0.9846752114090472	0.984031405447235	0.9874328875718857	0.9853497085572331	0.9860072657881596
HMP_2012__SRS019126__bin.9	0.9836078956391124	0.9834208940687059	0.980703093766708	0.9849912734250416	0.987543769772318	0.9784466141188299	0.9802514993228865	0.9816385717779896	1.0	0.9841845653309226	0.9864433167607899	0.9825185841786097	0.9798277158157279	0.9838980484985275	0.984205448828937	0.9841532971818718	0.9853379253203837	0.9832451292260714	0.984878036927984	0.9845164398914831	0.98330967317255	0.9848707586867682	0.9998729296643477	0.9829566584624969	0.9838340326637842	0.9853003829979802
HMP_2012__SRS018145__bin.56	0.9958507421461948	0.9875296941151618	0.9811969643950661	0.9853777922525767	0.9878672320027301	0.9817403088934495	0.9931000772614749	0.9887335999734767	0.9841845653309226	1.0	0.9916209601901179	0.9894196141064943	0.9843947667876646	0.9878576821892938	0.9868250191452143	0.995215880780732	0.9902451074516031	0.9890715654407758	0.9909680470789409	0.9832982797468451	0.9886963111785637	0.9851904675954276	0.9854502358729608	0.9902943623017657	0.9867517332401288	0.9918159276476406
HMP_2012__SRS016225__bin.34	0.9913715779660568	0.98852197507976	0.9829424067759045	0.9867338069517246	0.989527952744283	0.9854581373005641	0.9918529490977646	0.988731754505716	0.9864433167607899	0.9916209601901179	1.0	0.9896638448564282	0.9835159711757948	0.9883406713988463	0.9873225860527493	0.991361762847356	0.9904238245547684	0.9905758645203004	0.9898028435544298	0.9879564623754369	0.990565701638366	0.9882041440040623	0.9878690003087729	0.99078024870613	0.9876613408273401	0.9937185521830871
HMP_2012__SRS023617__bin.29	0.9922177046150423	0.9871064811003515	0.9803425484906121	0.9855999360854252	0.9876183879449266	0.9815240188541008	0.9930207049596191	0.987503439367326	0.9825185841786097	0.9894196141064943	0.9896638448564282	1.0	0.9841965295128202	0.9871721733110695	0.9901332621992674	0.9918186292113909	0.9895328657786082	0.9879844863981532	0.9897253981938183	0.9851016820059254	0.9881688278745859	0.986260117852417	0.9843861626448501	0.9890766781406547	0.9851166127296689	0.9879766098476446
HMP_2012__SRS013164__bin.11	0.9871803699568662	0.9843553055025388	0.9905716833290461	0.9826334441777266	0.9864404943319524	0.9809626366198069	0.9882300952966493	0.9831249319036846	0.9798277158157279	0.9843947667876646	0.9835159711757948	0.9841965295128202	1.0	0.9845461311213876	0.9817439055227889	0.9868201022448826	0.9849605058841038	0.9839615168987208	0.9869743921048821	0.981005013806415	0.9839622726067934	0.9810629759052691	0.9816212367778682	0.9830817401862971	0.9834782631791429	0.9817448079729234
HMP_2012__SRS015434__bin.74	0.9889062720245181	0.9989392433766029	0.9818083768777023	0.9867866741671354	0.9881906027115639	0.9823931532512147	0.9898674171668618	0.9880353936807617	0.9838980484985275	0.9878576821892938	0.9883406713988463	0.9871721733110695	0.9845461311213876	1.0	0.98703885305741	0.988893099193763	0.988119095693455	0.9873322195432195	0.9896765192254128	0.9868678371891657	0.9874441923187544	0.9876478338926241	0.9857006459294078	0.9881777169096915	0.9870130180056559	0.9877623462536148
HMP_2012__SRS014888__bin.46	0.9875516327243583	0.9858883734553323	0.9807104490734725	0.9864146236084085	0.9860881115982179	0.9792815261647964	0.9870301618499915	0.9846386552584037	0.984205448828937	0.9868250191452143	0.9873225860527493	0.9901332621992674	0.9817439055227889	0.98703885305741	1.0	0.9879614533922849	0.9869254700451365	0.9845497085625154	0.9873315905891816	0.9859202319294478	0.984569508023417	0.9879238243789858	0.9840379685457051	0.9861776101323082	0.9851724965851749	0.9861122206313409
HMP_2012__SRS022077__bin.60	0.9999850227450041	0.9889367769532389	0.9836546690158571	0.9866072944131992	0.986931308730602	0.9857526768178074	0.9925403385892255	0.9896616578359174	0.9841532971818718	0.995215880780732	0.991361762847356	0.9918186292113909	0.9868201022448826	0.988893099193763	0.9879614533922849	1.0	0.9919585012418147	0.9918445462486913	0.9898912109256928	0.9875865848906601	0.991736900223038	0.9873896900159234	0.9866038043436071	0.9955944516979718	0.9873733086541421	0.9894190882708189
