	HMP_2012__SRS012279__bin.39	HMP_2012__SRS019071__bin.34	HMP_2012__SRS023958__bin.21	Castro-NallarE_2015__ES_104__bin.5	HMP_2012__SRS011115__bin.80	HMP_2012__SRS044662__bin.37	HMP_2012__SRS016037__bin.33	HMP_2012__SRS015644__bin.37	HMP_2012__SRS019126__bin.9	HMP_2012__SRS018145__bin.56	HMP_2012__SRS016225__bin.34	HMP_2012__SRS023617__bin.29	HMP_2012__SRS013164__bin.11	HMP_2012__SRS015434__bin.74	HMP_2012__SRS014888__bin.46	HMP_2012__SRS022077__bin.60	HMP_2012__SRS015797__bin.22	HMP_2012__SRS064329__bin.49	HMP_2012__SRS042131__bin.18	HMP_2012__SRS024441__bin.39	HMP_2012__SRS024081__bin.14	HMP_2012__SRS050669__bin.28	HMP_2012__SRS019122__bin.55	HMP_2012__SRS018739__bin.39	HMP_2012__SRS014573__bin.16	HMP_2012__SRS016002__bin.5
HMP_2012__SRS012279__bin.39	0.0	7893.0	9170.0	4421.0	8770.0	10278.0	3524.0	7301.0	6024.0	2013.0	5868.0	5457.0	5213.0	7949.0	4846.0	11.0	4769.0	5685.0	7156.0	8030.0	5757.0	6256.0	9620.0	2531.0	8581.0	5168.0
HMP_2012__SRS019071__bin.34	7893.0	0.0	19939.0	10130.0	8542.0	23630.0	4892.0	16381.0	16069.0	12751.0	10203.0	16445.0	11779.0	1424.0	13683.0	8535.0	14195.0	17347.0	8350.0	17174.0	17510.0	12801.0	19479.0	15622.0	17345.0	7231.0
HMP_2012__SRS023958__bin.21	9170.0	19939.0	0.0	12648.0	8484.0	22116.0	6869.0	21439.0	16025.0	17195.0	12160.0	20846.0	7074.0	19127.0	15884.0	9741.0	17173.0	20723.0	10484.0	21258.0	21079.0	18208.0	19838.0	21497.0	20111.0	9999.0
Castro-NallarE_2015__ES_104__bin.5	4421.0	10130.0	12648.0	0.0	2933.0	13284.0	2559.0	11634.0	9167.0	9159.0	5983.0	10454.0	8262.0	9513.0	8364.0	4734.0	8888.0	10838.0	4720.0	10138.0	11003.0	8795.0	10284.0	10975.0	8903.0	5092.0
HMP_2012__SRS011115__bin.80	8770.0	8542.0	8484.0	2933.0	0.0	8518.0	6134.0	8511.0	4717.0	6115.0	7804.0	8759.0	5757.0	8605.0	6242.0	9197.0	6930.0	8856.0	8520.0	6276.0	9057.0	6203.0	7691.0	8773.0	8425.0	7316.0
HMP_2012__SRS044662__bin.37	10278.0	23630.0	22116.0	13284.0	8518.0	0.0	6633.0	24488.0	20965.0	17812.0	12926.0	23503.0	14532.0	22387.0	20120.0	10794.0	19412.0	25144.0	11135.0	21288.0	25399.0	17398.0	24328.0	22105.0	22788.0	9315.0
HMP_2012__SRS016037__bin.33	3524.0	4892.0	6869.0	2559.0	6134.0	6633.0	0.0	4409.0	2552.0	2188.0	3993.0	3296.0	3063.0	4882.0	2138.0	3570.0	3198.0	3627.0	4305.0	5122.0	3626.0	4307.0	6174.0	3152.0	6454.0	2956.0
HMP_2012__SRS015644__bin.37	7301.0	16381.0	21439.0	11634.0	8511.0	24488.0	4409.0	0.0	18392.0	11214.0	9971.0	16214.0	13165.0	15454.0	15203.0	7877.0	13306.0	17770.0	191.0	18783.0	17910.0	15779.0	21502.0	16455.0	19308.0	8154.0
HMP_2012__SRS019126__bin.9	6024.0	16069.0	16025.0	9167.0	4717.0	20965.0	2552.0	18392.0	0.0	12386.0	7384.0	16645.0	12156.0	15210.0	14915.0	6768.0	12989.0	16428.0	6846.0	14782.0	16836.0	11969.0	143.0	16086.0	15199.0	6659.0
HMP_2012__SRS018145__bin.56	2013.0	12751.0	17195.0	9159.0	6115.0	17812.0	2188.0	11214.0	12386.0	0.0	5324.0	10268.0	9819.0	11691.0	10288.0	2531.0	9043.0	10648.0	4965.0	17375.0	11455.0	13374.0	14499.0	9696.0	12698.0	3426.0
