	XieH_2016__YSZC12003_37171__bin.41	XieH_2016__YSZC12003_37101__bin.13	XieH_2016__YSZC12003_35999__bin.100	ZeeviD_2015__PNP_Main_393__bin.2	XieH_2016__YSZC12003_37232__bin.77	XieH_2016__YSZC12003_36694__bin.107	XieH_2016__YSZC12003_36699__bin.8	FengQ_2015__SID31276__bin.38	XieH_2016__YSZC12003_35697__bin.38	ZellerG_2014__CCIS74726977ST-3-0__bin.97	ZeeviD_2015__PNP_Main_127__bin.16	XieH_2016__YSZC12003_37393__bin.13	XieH_2016__YSZC12003_35550__bin.7	ZellerG_2014__CCIS11362406ST-4-0__bin.32	CosteaPI_2017__SID713B072-11-90-0__bin.89	BritoIL_2016__W3.22.ST__bin.92	XieH_2016__YSZC12003_35992__bin.87	CosteaPI_2017__SID713A004-11-0-0__bin.11	FengQ_2015__SID530041__bin.48	FengQ_2015__SID31223__bin.13	XieH_2016__YSZC12003_37182R1__bin.100	CM_madagascar__A28_02_1FE__bin.95	BritoIL_2016__M1.16.ST__bin.54	XieH_2016__YSZC12003_37405__bin.101	LiJ_2014__V1.FI14__bin.82	XieH_2016__YSZC12003_37349__bin.112
XieH_2016__YSZC12003_37171__bin.41	1271705.0	1054873.0	1164386.0	1078030.0	1168016.0	904123.0	1080120.0	1019113.0	747220.0	1085187.0	916297.0	815328.0	757472.0	893524.0	941969.0	615385.0	1013878.0	1059090.0	995924.0	1155948.0	1142095.0	755205.0	978144.0	1164690.0	1159936.0	1160644.0
XieH_2016__YSZC12003_37101__bin.13	1054873.0	2281773.0	1881835.0	1706343.0	1928403.0	1404318.0	1682710.0	1596621.0	1177680.0	1740079.0	1470958.0	1266405.0	1141827.0	1416854.0	1454269.0	971502.0	1593451.0	1667394.0	1592100.0	1899230.0	1840676.0	1283240.0	1544761.0	1912854.0	1897278.0	1868908.0
XieH_2016__YSZC12003_35999__bin.100	1164386.0	1881835.0	2337298.0	1940214.0	2106934.0	1555190.0	1850706.0	1785822.0	1301003.0	1948275.0	1640786.0	1381106.0	1244949.0	1571315.0	1584160.0	1069503.0	1755738.0	1827320.0	1736319.0	2089964.0	2014876.0	1315677.0	1713763.0	2088629.0	2087161.0	2049832.0
ZeeviD_2015__PNP_Main_393__bin.2	1078030.0	1706343.0	1940214.0	2160724.0	1953041.0	1455697.0	1729297.0	1661689.0	1236890.0	1842049.0	1544965.0	1296919.0	1165966.0	1436847.0	1496924.0	980725.0	1647088.0	1720679.0	1625008.0	1908713.0	1881177.0	1217135.0	1591792.0	1924812.0	1920895.0	1897134.0
XieH_2016__YSZC12003_37232__bin.77	1168016.0	1928403.0	2106934.0	1953041.0	2580202.0	1570474.0	1865136.0	1786008.0	1291296.0	1992956.0	1666075.0	1410426.0	1253713.0	1583118.0	1585899.0	1072143.0	1771356.0	1846515.0	1741145.0	2077286.0	2094024.0	1312293.0	1731523.0	2170122.0	2098763.0	2062448.0
XieH_2016__YSZC12003_36694__bin.107	904123.0	1404318.0	1555190.0	1455697.0	1570474.0	1770416.0	1410502.0	1368877.0	985847.0	1460595.0	1249166.0	1070406.0	956667.0	1217395.0	1223895.0	798346.0	1340218.0	1417780.0	1326919.0	1578774.0	1524309.0	1000439.0	1272956.0	1543844.0	1543611.0	1546419.0
XieH_2016__YSZC12003_36699__bin.8	1080120.0	1682710.0	1850706.0	1729297.0	1865136.0	1410502.0	2014490.0	1599776.0	1166452.0	1744470.0	1464823.0	1287193.0	1141985.0	1397629.0	1459801.0	951380.0	1582581.0	1667029.0	1590457.0	1842906.0	1794589.0	1205066.0	1534958.0	1883734.0	1842357.0	1831554.0
FengQ_2015__SID31276__bin.38	1019113.0	1596621.0	1785822.0	1661689.0	1786008.0	1368877.0	1599776.0	1922801.0	1143687.0	1677906.0	1401673.0	1237215.0	1109417.0	1367627.0	1401621.0	919209.0	1517356.0	1587085.0	1518117.0	1765375.0	1745150.0	1158803.0	1480157.0	1753215.0	1753674.0	1747125.0
XieH_2016__YSZC12003_35697__bin.38	747220.0	1177680.0	1301003.0	1236890.0	1291296.0	985847.0	1166452.0	1143687.0	1440468.0	1229402.0	1059308.0	900678.0	820648.0	1014602.0	1024912.0	683197.0	1137723.0	1153613.0	1093405.0	1273978.0	1258639.0	855541.0	1067857.0	1281012.0	1307748.0	1285294.0
ZellerG_2014__CCIS74726977ST-3-0__bin.97	1085187.0	1740079.0	1948275.0	1842049.0	1992956.0	1460595.0	1744470.0	1677906.0	1229402.0	2279170.0	1598745.0	1323450.0	1174750.0	1468347.0	1505120.0	1014113.0	1658894.0	1722358.0	1655012.0	1928200.0	1884991.0	1245154.0	1616028.0	1953202.0	1949135.0	1916865.0
