	XieH_2016__YSZC12003_37171__bin.41	XieH_2016__YSZC12003_37101__bin.13	XieH_2016__YSZC12003_35999__bin.100	ZeeviD_2015__PNP_Main_393__bin.2	XieH_2016__YSZC12003_37232__bin.77	XieH_2016__YSZC12003_36694__bin.107	XieH_2016__YSZC12003_36699__bin.8	FengQ_2015__SID31276__bin.38	XieH_2016__YSZC12003_35697__bin.38	ZellerG_2014__CCIS74726977ST-3-0__bin.97	ZeeviD_2015__PNP_Main_127__bin.16	XieH_2016__YSZC12003_37393__bin.13	XieH_2016__YSZC12003_35550__bin.7	ZellerG_2014__CCIS11362406ST-4-0__bin.32	CosteaPI_2017__SID713B072-11-90-0__bin.89	BritoIL_2016__W3.22.ST__bin.92	XieH_2016__YSZC12003_35992__bin.87	CosteaPI_2017__SID713A004-11-0-0__bin.11	FengQ_2015__SID530041__bin.48	FengQ_2015__SID31223__bin.13	XieH_2016__YSZC12003_37182R1__bin.100	CM_madagascar__A28_02_1FE__bin.95	BritoIL_2016__M1.16.ST__bin.54	XieH_2016__YSZC12003_37405__bin.101	LiJ_2014__V1.FI14__bin.82	XieH_2016__YSZC12003_37349__bin.112
XieH_2016__YSZC12003_37171__bin.41	1.0	0.9568099666974128	0.985518547972923	0.9855968757826776	0.9863323790085068	0.9847708774138032	0.9867172166055623	0.9846317336742835	0.9850418886004122	0.9845952817348531	0.9842812974395856	0.9868948447741277	0.9862608782898906	0.9833188588107314	0.9846927022014524	0.9827473857828839	0.9847456991866872	0.9846547507766101	0.987075319000245	0.9844655641949291	0.9850782990907061	0.9700955369734046	0.9855522295285766	0.9856253595377311	0.9848146794305893	0.98411140711536
XieH_2016__YSZC12003_37101__bin.13	0.9568099666974128	1.0	0.9567140583526186	0.9560932356507454	0.9574139845250189	0.9564977448127846	0.9569908064966631	0.9561298517306236	0.9559320019020447	0.9563945085251877	0.9566445812864813	0.9559532692937883	0.955368895638306	0.9551068776317109	0.9574060919953599	0.9593083699261555	0.9569174075638347	0.9563276586097826	0.9571251805791093	0.9568093385214008	0.9572222379169392	0.9694250490944796	0.9549244187288519	0.9573616177711419	0.95695517472927	0.957123090061148
XieH_2016__YSZC12003_35999__bin.100	0.985518547972923	0.9567140583526186	1.0	0.985672714453148	0.9861391007027273	0.9849098823937911	0.9872394642909247	0.9861369162212136	0.9862675182147927	0.9852567014410183	0.984680512876146	0.9867345446330694	0.985133527558157	0.9848890897114837	0.9858726391273609	0.9841290767767832	0.9857364823225333	0.9857184291749667	0.9872938094900764	0.984675812597729	0.9860646511249328	0.96924625116955	0.9856613779151493	0.9866998878211497	0.9866833464212871	0.9855783303217044
ZeeviD_2015__PNP_Main_393__bin.2	0.9855968757826776	0.9560932356507454	0.985672714453148	1.0	0.9855630270946693	0.9851933472419054	0.9870883948795377	0.9858619753756569	0.9862348309065478	0.9841926029112147	0.9845782914176049	0.9865959246491107	0.984283418212881	0.9844103095179932	0.9860888061117331	0.9837548752198628	0.9863698843049066	0.986228692277874	0.988043751169225	0.9849547836683671	0.985316639529401	0.9694117743717829	0.9856859438921668	0.9856879529013742	0.9863006567251204	0.9858286235974897
XieH_2016__YSZC12003_37232__bin.77	0.9863323790085068	0.9574139845250189	0.9861391007027273	0.9855630270946693	1.0	0.985419688578098	0.9876057295553783	0.9856501202682183	0.9855850246573985	0.9849715698690789	0.9846399471812494	0.9881383355099806	0.9857583035351791	0.9849556381773185	0.9864152761304471	0.9831524339570374	0.9855449723262856	0.9852229740890271	0.9875880526894658	0.9850068791682994	0.9853134443540285	0.969181425184772	0.9840337090526664	0.9862869460795292	0.9857906776515499	0.9854653305198483
XieH_2016__YSZC12003_36694__bin.107	0.9847708774138032	0.9564977448127846	0.9849098823937911	0.9851933472419054	0.985419688578098	1.0	0.9864282361882507	0.9848941869868513	0.9848008869530465	0.9849314834023121	0.9851076638333096	0.986250077073559	0.9845756151304477	0.9848783673335277	0.9858476421588453	0.983066239450063	0.986099276386379	0.9848657760724513	0.9863149144748097	0.9846482143739382	0.9851349037498303	0.9692455012249622	0.9851738787515044	0.984986825093727	0.9856544168187451	0.9852271602974355
XieH_2016__YSZC12003_36699__bin.8	0.9867172166055623	0.9569908064966631	0.9872394642909247	0.9870883948795377	0.9876057295553783	0.9864282361882507	1.0	0.9869094173184246	0.9866664037611492	0.9859739634387522	0.9860932003388805	0.99124684487874	0.9863886128101508	0.9851906335658461	0.9865762525166102	0.9851752191553322	0.9870521635227517	0.9868604565367489	0.9877305705215544	0.9860768807524638	0.9874322198564686	0.9699087020959848	0.986945571149178	0.9936514391097682	0.9871501560229641	0.9867369457848363
FengQ_2015__SID31276__bin.38	0.9846317336742835	0.9561298517306236	0.9861369162212136	0.9858619753756569	0.9856501202682183	0.9848941869868513	0.9869094173184246	1.0	0.9866842938671158	0.9850468381423035	0.9850685573596695	0.9867379558120456	0.9845657674255938	0.9863661656284938	0.9858335455875733	0.9829875469017384	0.9854964820384933	0.9856019053799892	0.9866755987845469	0.9844956454011188	0.9858562301234851	0.9684208618721215	0.9855143744886522	0.9859863165669926	0.9854807678051907	0.9855866065679331
XieH_2016__YSZC12003_35697__bin.38	0.9850418886004122	0.9559320019020447	0.9862675182147927	0.9862348309065478	0.9855850246573985	0.9848008869530465	0.9866664037611492	0.9866842938671158	1.0	0.9850561492497979	0.9848108387739921	0.9860782654844462	0.9849886918630155	0.9848009367219855	0.9848962642646393	0.9827282613945905	0.9859728598261616	0.985482133089693	0.9859996981905149	0.9845287752221781	0.9850068208596746	0.9689144062061316	0.9851010013513045	0.9862874040211957	0.9867030957034536	0.9854072297855588
ZellerG_2014__CCIS74726977ST-3-0__bin.97	0.9845952817348531	0.9563945085251877	0.9852567014410183	0.9841926029112147	0.9849715698690789	0.9849314834023121	0.9859739634387522	0.9850468381423035	0.9850561492497979	1.0	0.9846560896202959	0.9860833427783445	0.9836169397744201	0.9836503224374075	0.9853041617944084	0.9838440094940111	0.9853474664445107	0.9851343332803053	0.9868164097903822	0.984746395602116	0.9845861333024932	0.9694286811109308	0.9846271227973773	0.9856282145932679	0.9853242592226809	0.9848533934314623
ZeeviD_2015__PNP_Main_127__bin.16	0.9842812974395856	0.9566445812864813	0.984680512876146	0.9845782914176049	0.9846399471812494	0.9851076638333096	0.9860932003388805	0.9850685573596695	0.9848108387739921	0.9846560896202959	1.0	0.9864970409143934	0.983594252843414	0.9845469446965146	0.9844514250581812	0.9853034134007586	0.9851893369477347	0.9861892187148599	0.9857126506943384	0.9854136547751958	0.9856155006395179	0.9706654376761459	0.9846600627268925	0.985642266489576	0.9855776858653328	0.9861360623594306
