	XieH_2016__YSZC12003_37171__bin.41	XieH_2016__YSZC12003_37101__bin.13	XieH_2016__YSZC12003_35999__bin.100	ZeeviD_2015__PNP_Main_393__bin.2	XieH_2016__YSZC12003_37232__bin.77	XieH_2016__YSZC12003_36694__bin.107	XieH_2016__YSZC12003_36699__bin.8	FengQ_2015__SID31276__bin.38	XieH_2016__YSZC12003_35697__bin.38	ZellerG_2014__CCIS74726977ST-3-0__bin.97	ZeeviD_2015__PNP_Main_127__bin.16	XieH_2016__YSZC12003_37393__bin.13	XieH_2016__YSZC12003_35550__bin.7	ZellerG_2014__CCIS11362406ST-4-0__bin.32	CosteaPI_2017__SID713B072-11-90-0__bin.89	BritoIL_2016__W3.22.ST__bin.92	XieH_2016__YSZC12003_35992__bin.87	CosteaPI_2017__SID713A004-11-0-0__bin.11	FengQ_2015__SID530041__bin.48	FengQ_2015__SID31223__bin.13	XieH_2016__YSZC12003_37182R1__bin.100	CM_madagascar__A28_02_1FE__bin.95	BritoIL_2016__M1.16.ST__bin.54	XieH_2016__YSZC12003_37405__bin.101	LiJ_2014__V1.FI14__bin.82	XieH_2016__YSZC12003_37349__bin.112
XieH_2016__YSZC12003_37171__bin.41	1.0	0.8294950479867579	0.9156101454346723	0.847704459760715	0.9184645810152512	0.7109534050742901	0.8493479226707452	0.8013753189615516	0.5875733759008576	0.8533323372952061	0.7205263799387437	0.641129821774704	0.5956349939647952	0.7026189249865338	0.7407134516259667	0.4839054654971082	0.7972587982275764	0.8328110686047472	0.7831407441191157	0.908974958815134	0.8980817092014264	0.593852347832241	0.7691595141955092	0.9158491945852222	0.9121109062243209	0.9126676391144173
XieH_2016__YSZC12003_37101__bin.13	0.46230409422847935	1.0	0.8247248959471428	0.747814528439069	0.8451335869080754	0.61545035373808	0.7374572317228751	0.6997282376467773	0.5161249607213338	0.7625995223889493	0.6446557129039567	0.5550091967956498	0.5004121794762231	0.6209443270649622	0.6373416636974844	0.4257662791171602	0.6983389671102253	0.7307449075784489	0.697746883673354	0.8323483536705886	0.8066867300121441	0.5623872313328276	0.6770002975756133	0.8383191491879342	0.8314928785641692	0.819059564645563
XieH_2016__YSZC12003_35999__bin.100	0.49817609906824034	0.8051326788454019	1.0	0.8301098105590301	0.9014400388825045	0.665379425302208	0.7918143086589728	0.7640540487349067	0.5566269256209521	0.8335586647487826	0.702001199675865	0.5908985503774016	0.5326445322761582	0.672278417215092	0.6777740793001149	0.45758093319722176	0.7511827760088786	0.7818087381241074	0.7428744644456976	0.8941795184011624	0.8620535336101772	0.5629051152227914	0.7332240048123945	0.8936083460474445	0.8929802703805848	0.8770092645439307
ZeeviD_2015__PNP_Main_393__bin.2	0.4989207321249729	0.7897089123830716	0.8979462439441595	1.0	0.903882680064645	0.673707979362473	0.8003322034651348	0.7690426912460824	0.5724423850524176	0.8525147126611266	0.7150219093229861	0.6002242766776321	0.5396182020470917	0.6649840516419496	0.6927881580433225	0.453887215581444	0.7622852340234106	0.7963437255290357	0.7520664369905643	0.8833673342823979	0.8706234576928844	0.5632996162397419	0.736693811888978	0.8908180776443452	0.8890052593482555	0.8780084823420298
XieH_2016__YSZC12003_37232__bin.77	0.45268393714910693	0.7473845071044826	0.8165771517113777	0.7569333718832867	1.0	0.6086631976876229	0.7228643338777352	0.6921969675242481	0.5004631420330656	0.7724030909207884	0.6457149478994281	0.5466339457143278	0.48589722820151293	0.6135635892073567	0.6146414117964407	0.41552676883437806	0.6865183423623422	0.7156474570595636	0.6748095691732663	0.8050865784926916	0.8115736674880494	0.5086008769856003	0.6710804037823396	0.8410667071802905	0.8134103453915623	0.7993358659515806
XieH_2016__YSZC12003_36694__bin.107	0.5106839296526918	0.7932135724033221	0.8784319617536217	0.822234435296563	0.8870649610035155	1.0	0.7967065367687595	0.773195113464858	0.5568448319491013	0.8250010167101969	0.7055776721403331	0.6046070528056683	0.5403628299789428	0.6876321723256004	0.6913036258144979	0.4509369549303667	0.7570073926128097	0.800817434998328	0.7494955987745253	0.8917531246893385	0.8609891686473687	0.5650869626121771	0.7190151919096981	0.8720232984790015	0.8718916909923995	0.8734777588996032
XieH_2016__YSZC12003_36699__bin.8	0.5361754091606312	0.8353032281123262	0.9186970399455942	0.8584291805866497	0.9258601432620663	0.7001782088766884	1.0	0.7941344955795263	0.5790309209775178	0.8659611117454046	0.7271433464549341	0.6389671827608973	0.5668854151671142	0.6937880058972743	0.7246504077955215	0.47226841533092745	0.7855988364300642	0.827519123947004	0.7895085108389717	0.9148250922069606	0.8908403615803504	0.5981990478979792	0.7619586098714811	0.9350922566009263	0.9145525666545875	0.90918991903658
FengQ_2015__SID31276__bin.38	0.5300148065244401	0.8303620603484188	0.928760698585033	0.8642022757425235	0.92885743246441	0.7119181860213304	0.8320028957754859	1.0	0.5948025822745048	0.8726363258600344	0.728974553268903	0.6434441213625332	0.5769796250366003	0.7112680927459472	0.728947509388647	0.4780572716573374	0.7891383455698223	0.8254026287691758	0.7895341223558756	0.9181267328236256	0.9076082236279261	0.6026640302350581	0.76979208976904	0.9118026254406982	0.9120413396914189	0.9086353710030315
XieH_2016__YSZC12003_35697__bin.38	0.5187341891662988	0.8175676238555802	0.903180771804719	0.8586723203847638	0.8964419896866852	0.6843935443203181	0.8097729349072662	0.7939690433942302	1.0	0.8534740098356923	0.7353915533007328	0.6252676213563925	0.5697092889255436	0.7043558065850821	0.711513202653582	0.47428821744044297	0.7898287223319088	0.8008598594345726	0.7590623325197089	0.8844195081043106	0.8737708855732997	0.5939326663278879	0.7413264300213541	0.8893026433075917	0.9078632777680588	0.8922752883090773
ZellerG_2014__CCIS74726977ST-3-0__bin.97	0.47613253947709033	0.7634704739005866	0.854817762606563	0.8082104450304277	0.8744218289991532	0.640845132219185	0.7653970524357552	0.736191683814722	0.5394077668624981	1.0	0.7014593031673811	0.5806719112659433	0.5154288622612617	0.6442463703892206	0.6603807526424093	0.44494838033143647	0.7278500506763427	0.7556952750343326	0.7261467990540416	0.846009731612824	0.8270515143670722	0.5463190547436128	0.7090423268119534	0.8569795144723737	0.8551950929505039	0.8410364299284389
ZeeviD_2015__PNP_Main_127__bin.16	0.45716331306035496	0.7338974509931099	0.8186288548178675	0.7708213799262589	0.8312461645154692	0.62323991797676	0.7308365472406964	0.699329445045926	0.5285150500671054	0.7976535565855581	1.0	0.5487339782768135	0.4945532377726001	0.624582025734542	0.6386502088000359	0.4325358851674641	0.7023374627677356	0.7476223737844944	0.6800464997929462	0.8182501708817498	0.8312581387110777	0.526128193742485	0.6787877124796065	0.8346842554295493	0.8238895180885193	0.8201131561485
