	FengQ_2015__SID532915__bin.39	LiJ_2014__O2.UC4-1__bin.77	XieH_2016__YSZC12003_37405__bin.120	BritoIL_2016__W3.19.ST__bin.19	XieH_2016__YSZC12003_36034__bin.36	LeChatelierE_2013__MH0035__bin.33	CosteaPI_2017__mickey1-11-7-0__bin.18	QinN_2014__LD-14__bin.48	VogtmannE_2016__MMRS32573774ST-27-0-0__bin.48	KarlssonFH_2013__S54__bin.2	BritoIL_2016__W2.39.ST__bin.88	LiJ_2014__V1.UC40-1__bin.3	BritoIL_2016__W1.33.ST__bin.18	RampelliS_2015__H3__bin.17	ZeeviD_2015__PNP_Main_85__bin.49	LiJ_2014__MH0374__bin.29	QinN_2014__HD-62__bin.20	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.54	BritoIL_2016__W1.27.ST__bin.61	BritoIL_2016__W2.54.ST__bin.69	BritoIL_2016__W1.1.ST__bin.26	ZeeviD_2015__PNP_Main_357__bin.31	CosteaPI_2017__mickey1-11-0-0__bin.22	LiJ_2014__MH0355__bin.90	NielsenHB_2014__MH0035__bin.16	NielsenHB_2014__V1_CD30_0__bin.6	QinJ_2012__CON-110__bin.2	Obregon-TitoAJ_2015__SM25__bin.30	XieH_2016__YSZC12003_36702__bin.37	NielsenHB_2014__V1_UC40_0__bin.55	ZeeviD_2015__PNP_Main_772__bin.19	BritoIL_2016__W1.3.ST__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.133	KarlssonFH_2013__S297__bin.5	RaymondF_2016__P13E0__bin.45	CM_madagascar__A10_01_1FE__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.48	ZeeviD_2015__PNP_Main_378__bin.15	BritoIL_2016__W2.35.ST__bin.39	LeChatelierE_2013__MH0257__bin.30	CosteaPI_2017__SID713A063-11-90-0__bin.82	LeChatelierE_2013__MH0421__bin.62	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.52	LiJ_2014__O2.UC48-1__bin.1	ZeeviD_2015__PNP_Main_499__bin.37	QinJ_2012__CON-041__bin.36	KarlssonFH_2013__S77__bin.33
FengQ_2015__SID532915__bin.39	2312601.0	2173174.0	2116179.0	2118670.0	2161111.0	1420686.0	1505536.0	2086476.0	1405716.0	2206848.0	1472633.0	2090034.0	2148982.0	2164198.0	2147695.0	2123692.0	2105843.0	2113895.0	1707139.0	1356919.0	2148373.0	2184098.0	2039995.0	2138085.0	2174187.0	2174789.0	2129414.0	2170298.0	2148123.0	2062197.0	2172838.0	2138122.0	2032991.0	1796850.0	1978991.0	1426231.0	2082129.0	2100637.0	2118409.0	2171407.0	2178259.0	2099055.0	1889964.0	2139042.0	2192780.0	2075763.0	1281328.0
LiJ_2014__O2.UC4-1__bin.77	2173174.0	3047709.0	2274731.0	2255696.0	2374769.0	1590830.0	1573465.0	2265634.0	1478105.0	2425384.0	1552449.0	2318474.0	2290509.0	2304059.0	2360220.0	2294040.0	2252556.0	2217171.0	1825613.0	1405724.0	2296846.0	2389450.0	2161513.0	2361012.0	2403363.0	2397567.0	2298005.0	2317015.0	2400089.0	2200932.0	2363397.0	2271634.0	2179908.0	1888463.0	2155865.0	1473844.0	2231651.0	2258489.0	2286222.0	2460155.0	2391993.0	2273332.0	1995780.0	2326897.0	2368691.0	2233225.0	1359018.0
XieH_2016__YSZC12003_37405__bin.120	2116179.0	2274731.0	2600533.0	2219651.0	2274229.0	1468573.0	1577049.0	2239163.0	1454489.0	2286072.0	1572368.0	2205355.0	2305718.0	2315666.0	2253736.0	2222591.0	2265192.0	2190882.0	1822048.0	1409851.0	2324101.0	2282795.0	2169150.0	2257103.0	2284680.0	2271504.0	2299197.0	2296166.0	2276560.0	2122387.0	2256439.0	2278745.0	2171104.0	1857328.0	2095709.0	1489110.0	2173269.0	2195981.0	2247957.0	2280914.0	2297461.0	2203949.0	1975197.0	2229786.0	2300877.0	2231269.0	1314228.0
BritoIL_2016__W3.19.ST__bin.19	2118670.0	2255696.0	2219651.0	2513073.0	2208613.0	1478615.0	1572234.0	2231685.0	1446839.0	2251217.0	1706415.0	2136509.0	2376049.0	2289171.0	2193938.0	2178370.0	2248604.0	2156262.0	1904290.0	1449837.0	2386811.0	2225978.0	2134742.0	2206539.0	2265984.0	2264663.0	2245106.0	2320834.0	2219391.0	2062966.0	2203154.0	2405920.0	2202033.0	1839283.0	2056314.0	1503688.0	2170687.0	2174811.0	2331620.0	2248073.0	2267252.0	2169725.0	1932039.0	2231550.0	2239060.0	2194246.0	1309355.0
XieH_2016__YSZC12003_36034__bin.36	2161111.0	2374769.0	2274229.0	2208613.0	2899359.0	1540695.0	1559241.0	2241643.0	1445392.0	2361281.0	1589568.0	2288048.0	2267041.0	2268614.0	2312777.0	2264519.0	2268108.0	2219242.0	1786954.0	1408915.0	2283121.0	2406326.0	2149475.0	2333822.0	2358896.0	2377007.0	2301604.0	2312423.0	2461315.0	2191000.0	2369816.0	2264477.0	2170518.0	1903902.0	2126005.0	1467979.0	2228183.0	2275134.0	2245860.0	2373553.0	2402637.0	2258198.0	2000919.0	2306165.0	2357026.0	2263693.0	1366353.0
LeChatelierE_2013__MH0035__bin.33	1420686.0	1590830.0	1468573.0	1478615.0	1540695.0	1645080.0	994589.0	1476863.0	905444.0	1557732.0	887904.0	1503647.0	1478934.0	1494940.0	1478980.0	1516963.0	1458418.0	1424958.0	1008199.0	835309.0	1483389.0	1537146.0	1360026.0	1493247.0	1646963.0	1562601.0	1480701.0	1519140.0	1575210.0	1425618.0	1511715.0	1483153.0	1400591.0	1165408.0	1364830.0	898996.0	1469507.0	1473176.0	1468807.0	1571776.0	1623081.0	1461963.0	1296090.0	1514852.0	1588507.0	1467085.0	795949.0
CosteaPI_2017__mickey1-11-7-0__bin.18	1505536.0	1573465.0	1577049.0	1572234.0	1559241.0	994589.0	1707596.0	1565877.0	1149682.0	1577982.0	1051491.0	1506207.0	1574807.0	1567240.0	1538006.0	1559314.0	1584080.0	1558396.0	1262901.0	1084287.0	1576470.0	1579964.0	1629189.0	1568186.0	1571170.0	1574147.0	1605302.0	1593396.0	1543836.0	1504700.0	1572784.0	1564013.0	1490067.0	1377227.0	1504318.0	1216367.0	1513040.0	1514849.0	1569850.0	1575524.0	1572641.0	1556047.0	1480233.0	1570200.0	1561301.0	1554854.0	981511.0
QinN_2014__LD-14__bin.48	2086476.0	2265634.0	2239163.0	2231685.0	2241643.0	1476863.0	1565877.0	2655639.0	1447608.0	2271453.0	1564003.0	2179566.0	2258712.0	2262327.0	2228883.0	2200474.0	2508388.0	2189679.0	1788815.0	1392831.0	2267242.0	2280541.0	2197377.0	2218426.0	2272082.0	2270262.0	2349593.0	2264101.0	2248392.0	2091103.0	2250859.0	2271007.0	2158899.0	1840779.0	2070712.0	1477433.0	2158352.0	2175684.0	2257583.0	2264983.0	2293826.0	2174712.0	1934243.0	2230365.0	2265793.0	2229574.0	1300684.0
VogtmannE_2016__MMRS32573774ST-27-0-0__bin.48	1405716.0	1478105.0	1454489.0	1446839.0	1445392.0	905444.0	1149682.0	1447608.0	1678942.0	1466508.0	1034675.0	1395480.0	1458003.0	1465932.0	1433527.0	1442135.0	1443535.0	1454707.0	1215380.0	1013243.0	1458229.0	1467242.0	1418300.0	1457094.0	1464822.0	1465135.0	1448575.0	1469990.0	1428611.0	1400536.0	1453377.0	1453559.0	1358562.0	1268069.0	1439153.0	1091699.0	1428380.0	1406479.0	1445947.0	1482183.0	1475236.0	1461403.0	1369147.0	1467507.0	1464073.0	1398311.0	910609.0
KarlssonFH_2013__S54__bin.2	2206848.0	2425384.0	2286072.0	2251217.0	2361281.0	1557732.0	1577982.0	2271453.0	1466508.0	2598254.0	1586939.0	2292477.0	2337413.0	2326547.0	2375359.0	2290827.0	2292478.0	2244863.0	1849730.0	1428496.0	2341171.0	2416747.0	2165703.0	2346310.0	2406785.0	2422123.0	2313248.0	2330855.0	2374283.0	2211192.0	2395360.0	2316686.0	2200895.0	1894294.0	2146622.0	1487566.0	2268596.0	2323269.0	2291360.0	2400156.0	2434032.0	2283045.0	2023469.0	2350922.0	2404327.0	2250423.0	1386443.0
BritoIL_2016__W2.39.ST__bin.88	1472633.0	1552449.0	1572368.0	1706415.0	1589568.0	887904.0	1051491.0	1564003.0	1034675.0	1586939.0	1957387.0	1478382.0	1699123.0	1621032.0	1536679.0	1512395.0	1585618.0	1533980.0	1711677.0	1074012.0	1735827.0	1584016.0	1506021.0	1564776.0	1593623.0	1609100.0	1589086.0	1678880.0	1563871.0	1431988.0	1548290.0	1828235.0	1536550.0	1341701.0	1436569.0	1070361.0	1496823.0	1516814.0	1727112.0	1577058.0	1619998.0	1535746.0	1352448.0	1574192.0	1581562.0	1502957.0	1012717.0
