	FengQ_2015__SID532915__bin.39	LiJ_2014__O2.UC4-1__bin.77	XieH_2016__YSZC12003_37405__bin.120	BritoIL_2016__W3.19.ST__bin.19	XieH_2016__YSZC12003_36034__bin.36	LeChatelierE_2013__MH0035__bin.33	CosteaPI_2017__mickey1-11-7-0__bin.18	QinN_2014__LD-14__bin.48	VogtmannE_2016__MMRS32573774ST-27-0-0__bin.48	KarlssonFH_2013__S54__bin.2	BritoIL_2016__W2.39.ST__bin.88	LiJ_2014__V1.UC40-1__bin.3	BritoIL_2016__W1.33.ST__bin.18	RampelliS_2015__H3__bin.17	ZeeviD_2015__PNP_Main_85__bin.49	LiJ_2014__MH0374__bin.29	QinN_2014__HD-62__bin.20	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.54	BritoIL_2016__W1.27.ST__bin.61	BritoIL_2016__W2.54.ST__bin.69	BritoIL_2016__W1.1.ST__bin.26	ZeeviD_2015__PNP_Main_357__bin.31	CosteaPI_2017__mickey1-11-0-0__bin.22	LiJ_2014__MH0355__bin.90	NielsenHB_2014__MH0035__bin.16	NielsenHB_2014__V1_CD30_0__bin.6	QinJ_2012__CON-110__bin.2	Obregon-TitoAJ_2015__SM25__bin.30	XieH_2016__YSZC12003_36702__bin.37	NielsenHB_2014__V1_UC40_0__bin.55	ZeeviD_2015__PNP_Main_772__bin.19	BritoIL_2016__W1.3.ST__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.133	KarlssonFH_2013__S297__bin.5	RaymondF_2016__P13E0__bin.45	CM_madagascar__A10_01_1FE__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.48	ZeeviD_2015__PNP_Main_378__bin.15	BritoIL_2016__W2.35.ST__bin.39	LeChatelierE_2013__MH0257__bin.30	CosteaPI_2017__SID713A063-11-90-0__bin.82	LeChatelierE_2013__MH0421__bin.62	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.52	LiJ_2014__O2.UC48-1__bin.1	ZeeviD_2015__PNP_Main_499__bin.37	QinJ_2012__CON-041__bin.36	KarlssonFH_2013__S77__bin.33
FengQ_2015__SID532915__bin.39	0.0	17462.0	30663.0	28787.0	16332.0	10835.0	21262.0	32227.0	11651.0	17173.0	21662.0	15408.0	28609.0	29313.0	16139.0	15587.0	33201.0	15455.0	24253.0	16835.0	28465.0	16335.0	30042.0	15731.0	16646.0	16273.0	34713.0	35335.0	16145.0	15537.0	16529.0	28566.0	27105.0	12654.0	13984.0	17724.0	17365.0	15309.0	28480.0	16311.0	15938.0	16232.0	12988.0	15932.0	16226.0	32901.0	10071.0
LiJ_2014__O2.UC4-1__bin.77	17462.0	0.0	34745.0	29642.0	15039.0	8552.0	22603.0	38882.0	12304.0	13165.0	22506.0	14067.0	29692.0	31807.0	17527.0	17491.0	38991.0	16585.0	25208.0	17589.0	29857.0	13748.0	34432.0	10863.0	13970.0	15131.0	40078.0	36005.0	11377.0	14054.0	13551.0	30045.0	29531.0	13202.0	12394.0	19065.0	16803.0	14136.0	31986.0	10932.0	13418.0	12622.0	11337.0	14567.0	15355.0	37806.0	8928.0
XieH_2016__YSZC12003_37405__bin.120	30663.0	34745.0	0.0	34372.0	33722.0	21371.0	17472.0	30356.0	22367.0	34095.0	25843.0	32586.0	36012.0	34532.0	33685.0	32653.0	30863.0	31632.0	29249.0	20242.0	36063.0	33693.0	26429.0	32855.0	34247.0	33641.0	32272.0	43424.0	33405.0	31824.0	32805.0	34864.0	30510.0	25768.0	30388.0	20865.0	32170.0	32111.0	34690.0	33892.0	34475.0	31983.0	27760.0	32643.0	34159.0	29517.0	18649.0
BritoIL_2016__W3.19.ST__bin.19	28787.0	29642.0	34372.0	0.0	30454.0	18904.0	22285.0	35544.0	19512.0	30250.0	5152.0	28274.0	12117.0	28351.0	28735.0	28483.0	35516.0	29159.0	10947.0	9450.0	12138.0	29011.0	32554.0	29872.0	29676.0	30772.0	36214.0	35073.0	29489.0	27951.0	28633.0	6382.0	24460.0	23794.0	26348.0	17341.0	28206.0	29305.0	15556.0	29669.0	29680.0	28489.0	23775.0	29473.0	30104.0	34953.0	17607.0
XieH_2016__YSZC12003_36034__bin.36	16332.0	15039.0	33722.0	30454.0	0.0	8438.0	22746.0	37638.0	11347.0	13956.0	23769.0	13513.0	29559.0	30558.0	15266.0	16794.0	37954.0	17133.0	24731.0	17915.0	29705.0	13838.0	32725.0	12778.0	15031.0	15709.0	39701.0	37913.0	5529.0	13438.0	13791.0	30769.0	29631.0	13966.0	12881.0	19218.0	16856.0	14495.0	30855.0	12451.0	15520.0	13626.0	11049.0	14549.0	14378.0	36716.0	8061.0
LeChatelierE_2013__MH0035__bin.33	10835.0	8552.0	21371.0	18904.0	8438.0	0.0	13787.0	24736.0	6186.0	8060.0	12434.0	8365.0	18771.0	19529.0	8924.0	11145.0	24699.0	10433.0	14160.0	10663.0	18670.0	6916.0	20529.0	8379.0	419.0	6125.0	24866.0	22782.0	8692.0	8466.0	6802.0	18707.0	17998.0	7676.0	5688.0	11088.0	6848.0	5233.0	19569.0	8953.0	5231.0	5416.0	6270.0	6220.0	6094.0	23903.0	4984.0
CosteaPI_2017__mickey1-11-7-0__bin.18	21262.0	22603.0	17472.0	22285.0	22746.0	13787.0	0.0	15468.0	17069.0	21774.0	16322.0	20830.0	21857.0	22898.0	21730.0	21801.0	15382.0	22087.0	18881.0	14925.0	21788.0	22293.0	539.0	21655.0	22001.0	22370.0	16743.0	28125.0	21856.0	22020.0	22075.0	22037.0	18897.0	18674.0	20743.0	16704.0	20452.0	20792.0	22796.0	22002.0	21707.0	22072.0	20331.0	22046.0	22205.0	15687.0	14104.0
QinN_2014__LD-14__bin.48	32227.0	38882.0	30356.0	35544.0	37638.0	24736.0	15468.0	0.0	23627.0	38432.0	27181.0	36318.0	36030.0	37338.0	37054.0	35603.0	6012.0	34417.0	29982.0	20292.0	36652.0	37888.0	22948.0	37194.0	38326.0	38198.0	25527.0	45798.0	37369.0	35618.0	36940.0	36004.0	34363.0	27888.0	34064.0	21369.0	35720.0	36178.0	35939.0	38154.0	38527.0	35605.0	30811.0	37236.0	38008.0	25752.0	21306.0
VogtmannE_2016__MMRS32573774ST-27-0-0__bin.48	11651.0	12304.0	22367.0	19512.0	11347.0	6186.0	17069.0	23627.0	0.0	11056.0	14364.0	10988.0	18775.0	20458.0	11603.0	12067.0	24412.0	12169.0	16264.0	13251.0	18810.0	11379.0	22642.0	11117.0	11334.0	11144.0	25126.0	24698.0	11310.0	11766.0	11380.0	19403.0	18449.0	9877.0	10887.0	15200.0	12613.0	10613.0	20343.0	12272.0	11250.0	11281.0	9578.0	11325.0	11338.0	24073.0	7277.0
KarlssonFH_2013__S54__bin.2	17173.0	13165.0	34095.0	30250.0	13956.0	8060.0	21774.0	38432.0	11056.0	0.0	22780.0	13607.0	30111.0	31948.0	15384.0	16503.0	38468.0	16326.0	25442.0	17674.0	30116.0	11877.0	31777.0	12027.0	12994.0	13423.0	39289.0	37055.0	13256.0	13984.0	11663.0	30224.0	29032.0	12590.0	10698.0	18611.0	14724.0	12573.0	31172.0	13370.0	12546.0	11712.0	11487.0	14187.0	13094.0	36098.0	8350.0
