	NielsenHB_2014__O2_UC26_0__bin.16	LiJ_2017__H3M518116__bin.17	QinN_2014__LD-51__bin.51	QinJ_2012__DLF008__bin.8	NielsenHB_2014__O2_UC26_2__bin.20	HeQ_2017__SZAXPI029473-40__bin.22	ZellerG_2014__CCIS29210128ST-4-0__bin.40	QinN_2014__LD-69__bin.31	CosteaPI_2017__donald4-11-30-0__bin.24	QinJ_2012__DOF006__bin.1	QinN_2014__LD-94__bin.44	HeQ_2017__SZAXPI029574-89__bin.17	HeQ_2017__SZAXPI029471-33__bin.12	HeQ_2017__SZAXPI029541-107__bin.12	CosteaPI_2017__donald4-11-7-0__bin.5	CosteaPI_2017__donald5-11-0-0__bin.9	LiJ_2014__O2.UC26-1__bin.16	FengQ_2015__SID531403__bin.8	LiJ_2014__V1.FI18__bin.6	HeQ_2017__SZAXPI029495-96__bin.3	HeQ_2017__SZAXPI029483-78__bin.27	QinN_2014__LD-89__bin.13	YuJ_2015__SZAXPI015232-18__bin.37	HeQ_2017__SZAXPI029546-133__bin.22	LoombaR_2017__SID1052_baz__bin.25	HeQ_2017__SZAXPI029496-97__bin.11	YuJ_2015__SZAXPI003428-6__bin.14	QinJ_2012__T2D-020__bin.28	QinN_2014__HD-10__bin.29
NielsenHB_2014__O2_UC26_0__bin.16	1.0	0.9869144763576928	0.9899837728194726	0.9884183113561194	0.9997916112732127	0.98983271976566	0.9887002068617439	0.9886368309695949	0.9871339244846821	0.9893067513093293	0.9899972171089944	0.9921394479421755	0.9892431768145196	0.9894337483120159	0.9874357012855739	0.9878909344271134	0.9997801615005655	0.988793439530211	0.9893710929886359	0.9955856772026864	0.9963983022864923	0.9893149991464714	0.9864038608229176	0.9879166198738148	0.9971267991194626	0.9895167895167896	0.9911026637885164	0.9885450767976919	0.9879229292565644
LiJ_2017__H3M518116__bin.17	0.9869144763576928	1.0	0.9874236656974877	0.9877792006025472	0.9860478879773782	0.9874754643063156	0.9982949116574198	0.9863117952637603	0.9870569222455171	0.9875215098303854	0.9877104932635485	0.9884529447749074	0.9872345182588835	0.9871865520024491	0.9875517808447303	0.9888492568046539	0.987050736024257	0.9871194422783621	0.9876964461854875	0.9861888290910412	0.9863364980633564	0.9874598688567404	0.9844514452527805	0.9865231238634147	0.9889227293063563	0.9866417275169638	0.9876456097779488	0.9860818001634797	0.9860838428047619
QinN_2014__LD-51__bin.51	0.9899837728194726	0.9874236656974877	1.0	0.9892031741549876	0.9893693626177363	0.9908925384539271	0.988663282062098	0.995461875041205	0.98841790709971	0.989712471111217	0.9906630767469086	0.9907694277067123	0.9905756773184341	0.9894191515913774	0.9883967773253539	0.9882802668506048	0.9897937074874597	0.9907301277606708	0.9906494729763347	0.9888551526543595	0.9896324821978404	0.9901182478655184	0.9891885686640687	0.9869362519346448	0.9908799409662696	0.9906239487929231	0.9893432191586004	0.9897623731131331	0.9890633223210047
QinJ_2012__DLF008__bin.8	0.9884183113561194	0.9877792006025472	0.9892031741549876	1.0	0.987749376202116	0.9880682800701576	0.9882325444609551	0.9897461011945325	0.9898123281169929	0.9889408792942959	0.9879835959462111	0.990698673797852	0.9871916550466151	0.9904293009201521	0.9904323518025097	0.994169788853625	0.9883102603879362	0.9882091495569097	0.9878247836176144	0.9872761976414738	0.9881094888392209	0.9886871267646733	0.99590517718409	0.988251362060266	0.9908545172706492	0.9869593944925895	0.9924916434292158	0.9864042625140483	0.9955442931355184
NielsenHB_2014__O2_UC26_2__bin.20	0.9997916112732127	0.9860478879773782	0.9893693626177363	0.987749376202116	1.0	0.9890852351195245	0.9874319308251371	0.98885401065562	0.9868885944573258	0.9888307726068946	0.9893740528046451	0.9916014650767941	0.9886727983336844	0.9890785455814849	0.9868266146691949	0.9830093042632968	0.9997757168015633	0.9871816782109794	0.9892293061559445	0.995093741897848	0.9948478333557284	0.9883574691060172	0.9870830490424719	0.9873671549954038	0.9963414488657829	0.9891558952628586	0.9909258065901964	0.988802587000674	0.9870522833022553
HeQ_2017__SZAXPI029473-40__bin.22	0.98983271976566	0.9874754643063156	0.9908925384539271	0.9880682800701576	0.9890852351195245	1.0	0.9889952118239526	0.9904349176662748	0.9878457489934477	0.9911401643911861	0.9972157716722934	0.9898832174708043	0.9927724237765387	0.9905508567264637	0.9879710028433839	0.9886539920956408	0.989559216977096	0.9961635309409392	0.9940419576528936	0.9881708366018821	0.989304353899167	0.9914824875111331	0.9858621443405852	0.9869306985523164	0.9911593834376013	0.9996142882648821	0.9888924687217789	0.9968520300510982	0.9874120580450628
ZellerG_2014__CCIS29210128ST-4-0__bin.40	0.9887002068617439	0.9982949116574198	0.988663282062098	0.9882325444609551	0.9874319308251371	0.9889952118239526	1.0	0.9885329647214376	0.9879434555811861	0.9885951859662018	0.9887268074296159	0.9889052243981585	0.9880416376104305	0.9892213900702005	0.9885637319294811	0.9890095594992302	0.9884729833894544	0.9885318383179078	0.9888260989996503	0.9874258483510923	0.9869481288725607	0.9886206117288663	0.9860789913457232	0.9879498072902888	0.989176599717569	0.9883006340218592	0.9886202285604003	0.987582392551571	0.9884011894642194
QinN_2014__LD-69__bin.31	0.9886368309695949	0.9863117952637603	0.995461875041205	0.9897461011945325	0.98885401065562	0.9904349176662748	0.9885329647214376	1.0	0.9883375278536306	0.9899113562960438	0.9907003374051888	0.990146959538645	0.9910802491494837	0.9894776012851146	0.9879790191276723	0.9844047573193644	0.9885916301756061	0.9903933648855241	0.9916709529429589	0.987916016313378	0.9884880433836524	0.9904166684405693	0.9885129822145092	0.9869886370933001	0.9895150560116744	0.9901618848126055	0.9892856000546127	0.9905528270111063	0.9884100340556462
CosteaPI_2017__donald4-11-30-0__bin.24	0.9871339244846821	0.9870569222455171	0.98841790709971	0.9898123281169929	0.9868885944573258	0.9878457489934477	0.9879434555811861	0.9883375278536306	1.0	0.987882871210158	0.98754314047229	0.9881358670679309	0.987649584058324	0.9902583170496044	0.999760085098464	0.9990777520109598	0.987089230051746	0.987028325812943	0.9875654289156325	0.9865905441705793	0.9868043241308627	0.988139639492381	0.987926782892653	0.9861520062052707	0.9886468228131974	0.9879176072151558	0.989104099554169	0.9876653027576431	0.9892370386176307
QinJ_2012__DOF006__bin.1	0.9893067513093293	0.9875215098303854	0.989712471111217	0.9889408792942959	0.9888307726068946	0.9911401643911861	0.9885951859662018	0.9899113562960438	0.987882871210158	1.0	0.991398068896129	0.9892461026051907	0.9913164270954659	0.9907752215558142	0.9879910133491479	0.9894845964266745	0.98907575602579	0.9914352168844267	0.9918020589773977	0.9877779808026063	0.9884004036468207	0.9979972399827578	0.9870566442998503	0.9875744096227498	0.9908005634327489	0.9907827692064372	0.9892312968397168	0.9904034838802029	0.988151504743898
