	NielsenHB_2014__O2_UC26_0__bin.16	LiJ_2017__H3M518116__bin.17	QinN_2014__LD-51__bin.51	QinJ_2012__DLF008__bin.8	NielsenHB_2014__O2_UC26_2__bin.20	HeQ_2017__SZAXPI029473-40__bin.22	ZellerG_2014__CCIS29210128ST-4-0__bin.40	QinN_2014__LD-69__bin.31	CosteaPI_2017__donald4-11-30-0__bin.24	QinJ_2012__DOF006__bin.1	QinN_2014__LD-94__bin.44	HeQ_2017__SZAXPI029574-89__bin.17	HeQ_2017__SZAXPI029471-33__bin.12	HeQ_2017__SZAXPI029541-107__bin.12	CosteaPI_2017__donald4-11-7-0__bin.5	CosteaPI_2017__donald5-11-0-0__bin.9	LiJ_2014__O2.UC26-1__bin.16	FengQ_2015__SID531403__bin.8	LiJ_2014__V1.FI18__bin.6	HeQ_2017__SZAXPI029495-96__bin.3	HeQ_2017__SZAXPI029483-78__bin.27	QinN_2014__LD-89__bin.13	YuJ_2015__SZAXPI015232-18__bin.37	HeQ_2017__SZAXPI029546-133__bin.22	LoombaR_2017__SID1052_baz__bin.25	HeQ_2017__SZAXPI029496-97__bin.11	YuJ_2015__SZAXPI003428-6__bin.14	QinJ_2012__T2D-020__bin.28	QinN_2014__HD-10__bin.29
NielsenHB_2014__O2_UC26_0__bin.16	3241754.0	2778261.0	2711500.0	2892238.0	2591311.0	2885039.0	1688084.0	2066853.0	2578020.0	2863489.0	2368041.0	2836442.0	2790229.0	2744398.0	2871947.0	964484.0	3220546.0	1834015.0	2832088.0	3050298.0	1741401.0	2548245.0	2005790.0	1478146.0	1038911.0	2692305.0	2845346.0	2406127.0	2491581.0
LiJ_2017__H3M518116__bin.17	2778261.0	3551367.0	2725675.0	3090878.0	2267542.0	2978314.0	1894330.0	2135196.0	2718287.0	2958531.0	2548597.0	2846007.0	2907215.0	2874480.0	3026457.0	977603.0	2821782.0	1888971.0	2872097.0	2861307.0	1682292.0	2680275.0	2189271.0	1532551.0	1021461.0	2876869.0	2879786.0	2586254.0	2619545.0
QinN_2014__LD-51__bin.51	2711500.0	2725675.0	3166228.0	2826201.0	2215013.0	2769158.0	1659475.0	2017353.0	2496440.0	2770539.0	2384083.0	2734175.0	2739295.0	2658766.0	2760440.0	949595.0	2741544.0	1775429.0	2709366.0	2775453.0	1634914.0	2503301.0	1951268.0	1480892.0	981134.0	2619013.0	2728216.0	2376625.0	2445441.0
QinJ_2012__DLF008__bin.8	2892238.0	3090878.0	2826201.0	3604940.0	2360941.0	3036025.0	1805573.0	2164445.0	2852958.0	3046716.0	2553759.0	2964631.0	2941754.0	2901042.0	3161592.0	1043873.0	2934967.0	1901644.0	2975635.0	3019852.0	1722550.0	2720971.0	2394487.0	1547839.0	1043794.0	2872566.0	3085895.0	2596402.0	2792374.0
NielsenHB_2014__O2_UC26_2__bin.20	2591311.0	2267542.0	2215013.0	2360941.0	2621250.0	2359098.0	1218246.0	2067829.0	2318592.0	2342239.0	1901007.0	2303497.0	2350095.0	2222964.0	2342678.0	432060.0	2652896.0	1269745.0	2286018.0	2468480.0	1280044.0	2064156.0	2012317.0	1019327.0	754397.0	2342932.0	2327700.0	2269810.0	2008385.0
HeQ_2017__SZAXPI029473-40__bin.22	2885039.0	2978314.0	2769158.0	3036025.0	2359098.0	3458762.0	1783769.0	2169767.0	2750478.0	3047122.0	2573424.0	2898550.0	3072676.0	2898358.0	3060438.0	1014630.0	2931102.0	1986462.0	3019616.0	2933259.0	1689566.0	2707011.0	2118143.0	1516837.0	1030358.0	3248540.0	2929994.0	2734143.0	2594467.0
ZellerG_2014__CCIS29210128ST-4-0__bin.40	1688084.0	1894330.0	1659475.0	1805573.0	1218246.0	1783769.0	2161039.0	1081535.0	1549366.0	1784948.0	1601321.0	1720179.0	1730839.0	1730186.0	1801899.0	837910.0	1700787.0	1400922.0	1761784.0	1707312.0	1150563.0	1685943.0	1038215.0	1156662.0	747085.0	1632909.0	1740984.0	1404860.0	1629305.0
QinN_2014__LD-69__bin.31	2066853.0	2135196.0	2017353.0	2164445.0	2067829.0	2169767.0	1081535.0	2354118.0	2149630.0	2153114.0	1748343.0	2069209.0	2167213.0	2010093.0	2175696.0	233661.0	2115815.0	1092370.0	2072506.0	2085405.0	1056988.0	1879096.0	2027158.0	856559.0	652364.0	2170741.0	2094751.0	2156624.0	1864889.0
CosteaPI_2017__donald4-11-30-0__bin.24	2578020.0	2718287.0	2496440.0	2852958.0	2318592.0	2750478.0	1549366.0	2149630.0	3087389.0	2701300.0	2271359.0	2618059.0	2655781.0	2591544.0	3084427.0	783954.0	2624553.0	1626467.0	2640461.0	2628220.0	1475256.0	2416537.0	2203638.0	1308565.0	898515.0	2712956.0	2687341.0	2486725.0	2394787.0
QinJ_2012__DOF006__bin.1	2863489.0	2958531.0	2770539.0	3046716.0	2342239.0	3047122.0	1784948.0	2153114.0	2701300.0	3380757.0	2528502.0	2925544.0	2972394.0	2904460.0	3011578.0	1014797.0	2913062.0	1920539.0	2997216.0	2944358.0	1714370.0	2832591.0	2124874.0	1546003.0	1030824.0	2883187.0	2933408.0	2612719.0	2600077.0
