	NielsenHB_2014__O2_UC26_0__bin.16	LiJ_2017__H3M518116__bin.17	QinN_2014__LD-51__bin.51	QinJ_2012__DLF008__bin.8	NielsenHB_2014__O2_UC26_2__bin.20	HeQ_2017__SZAXPI029473-40__bin.22	ZellerG_2014__CCIS29210128ST-4-0__bin.40	QinN_2014__LD-69__bin.31	CosteaPI_2017__donald4-11-30-0__bin.24	QinJ_2012__DOF006__bin.1	QinN_2014__LD-94__bin.44	HeQ_2017__SZAXPI029574-89__bin.17	HeQ_2017__SZAXPI029471-33__bin.12	HeQ_2017__SZAXPI029541-107__bin.12	CosteaPI_2017__donald4-11-7-0__bin.5	CosteaPI_2017__donald5-11-0-0__bin.9	LiJ_2014__O2.UC26-1__bin.16	FengQ_2015__SID531403__bin.8	LiJ_2014__V1.FI18__bin.6	HeQ_2017__SZAXPI029495-96__bin.3	HeQ_2017__SZAXPI029483-78__bin.27	QinN_2014__LD-89__bin.13	YuJ_2015__SZAXPI015232-18__bin.37	HeQ_2017__SZAXPI029546-133__bin.22	LoombaR_2017__SID1052_baz__bin.25	HeQ_2017__SZAXPI029496-97__bin.11	YuJ_2015__SZAXPI003428-6__bin.14	QinJ_2012__T2D-020__bin.28	QinN_2014__HD-10__bin.29
NielsenHB_2014__O2_UC26_0__bin.16	0.0	36355.0	27159.0	33497.0	540.0	29333.0	19075.0	23486.0	33169.0	30620.0	23687.0	22296.0	30014.0	28998.0	36084.0	11679.0	708.0	20553.0	30102.0	13465.0	6272.0	27228.0	27271.0	17861.0	2985.0	28224.0	25316.0	27562.0	30091.0
LiJ_2017__H3M518116__bin.17	36355.0	0.0	34279.0	37773.0	31637.0	37302.0	3230.0	29227.0	35183.0	36918.0	31321.0	32863.0	37112.0	36832.0	37674.0	10901.0	36540.0	24331.0	35337.0	39518.0	22986.0	33611.0	34040.0	20654.0	11315.0	38430.0	35578.0	35996.0	36454.0
QinN_2014__LD-51__bin.51	27159.0	34279.0	0.0	30514.0	23547.0	25220.0	18813.0	9155.0	28914.0	28502.0	22260.0	25238.0	25816.0	28132.0	32030.0	11129.0	27981.0	16458.0	25334.0	30932.0	16950.0	24737.0	21096.0	19346.0	8948.0	24556.0	29074.0	24331.0	26745.0
QinJ_2012__DLF008__bin.8	33497.0	37773.0	30514.0	0.0	28923.0	36225.0	21247.0	22194.0	29065.0	33694.0	30687.0	27575.0	37679.0	27765.0	30249.0	6086.0	34309.0	22422.0	36229.0	38424.0	20482.0	30782.0	9805.0	18185.0	9546.0	37460.0	23170.0	35300.0	12442.0
NielsenHB_2014__O2_UC26_2__bin.20	540.0	31637.0	23547.0	28923.0	0.0	25749.0	15311.0	23048.0	30400.0	26161.0	20200.0	19346.0	26620.0	24278.0	30861.0	7341.0	595.0	16276.0	24622.0	12111.0	6595.0	24032.0	25993.0	12877.0	2760.0	25407.0	21122.0	25416.0	26004.0
HeQ_2017__SZAXPI029473-40__bin.22	29333.0	37302.0	25220.0	36225.0	25749.0	0.0	19630.0	20754.0	33430.0	26997.0	7165.0	29324.0	22208.0	27387.0	36814.0	11512.0	30603.0	7621.0	17991.0	34698.0	18071.0	23057.0	29946.0	19824.0	9109.0	1253.0	32545.0	8607.0	32659.0
ZellerG_2014__CCIS29210128ST-4-0__bin.40	19075.0	3230.0	18813.0	21247.0	15311.0	19630.0	0.0	12402.0	18680.0	20357.0	18052.0	19085.0	20698.0	18649.0	20607.0	9209.0	19605.0	16066.0	19686.0	21468.0	15017.0	19185.0	14453.0	13938.0	8086.0	19104.0	19812.0	17445.0	18898.0
QinN_2014__LD-69__bin.31	23486.0	29227.0	9155.0	22194.0	23048.0	20754.0	12402.0	0.0	25070.0	21722.0	16259.0	20388.0	19331.0	21151.0	26154.0	3644.0	24138.0	10494.0	17262.0	25200.0	12168.0	18008.0	23286.0	11145.0	6840.0	21356.0	22444.0	20374.0	21614.0
CosteaPI_2017__donald4-11-30-0__bin.24	33169.0	35183.0	28914.0	29065.0	30400.0	33430.0	18680.0	25070.0	0.0	32732.0	28294.0	31061.0	32800.0	25246.0	740.0	723.0	33885.0	21098.0	32833.0	35243.0	19467.0	28661.0	26605.0	18121.0	10201.0	32779.0	29281.0	30673.0	25775.0
QinJ_2012__DOF006__bin.1	30620.0	36918.0	28502.0	33694.0	26161.0	26997.0	20357.0	21722.0	32732.0	0.0	21750.0	31461.0	25811.0	26793.0	36166.0	10671.0	31823.0	16449.0	24571.0	35986.0	19886.0	5673.0	27503.0	19210.0	9483.0	26575.0	31589.0	25073.0	30807.0
QinN_2014__LD-94__bin.44	23687.0	31321.0	22260.0	30687.0	20200.0	7165.0	18052.0	16259.0	28294.0	21750.0	0.0	24883.0	19624.0	25623.0	30660.0	11596.0	24438.0	6772.0	16275.0	27107.0	18100.0	20265.0	23572.0	17531.0	9177.0	9222.0	26961.0	6848.0	28188.0
HeQ_2017__SZAXPI029574-89__bin.17	22296.0	32863.0	25238.0	27575.0	19346.0	29324.0	19085.0	20388.0	31061.0	31461.0	24883.0	0.0	29573.0	30334.0	32210.0	9698.0	22067.0	19126.0	29492.0	26475.0	15175.0	27795.0	23537.0	17490.0	7832.0	28350.0	22847.0	27268.0	27587.0
HeQ_2017__SZAXPI029471-33__bin.12	30014.0	37112.0	25816.0	37679.0	26620.0	22208.0	20698.0	19331.0	32800.0	25811.0	19624.0	29573.0	0.0	27844.0	37041.0	11062.0	31035.0	14852.0	19679.0	34897.0	19448.0	21801.0	29378.0	19757.0	9259.0	24228.0	32044.0	22035.0	32482.0
HeQ_2017__SZAXPI029541-107__bin.12	28998.0	36832.0	28132.0	27765.0	24278.0	27387.0	18649.0	21151.0	25246.0	26793.0	25623.0	30334.0	27844.0	0.0	27361.0	8124.0	29177.0	18211.0	26078.0	33945.0	19736.0	23541.0	24260.0	18493.0	9627.0	29250.0	27867.0	26860.0	25419.0
CosteaPI_2017__donald4-11-7-0__bin.5	36084.0	37674.0	32030.0	30249.0	30861.0	36814.0	20607.0	26154.0	740.0	36166.0	30660.0	32210.0	37041.0	27361.0	0.0	35.0	37344.0	23304.0	35686.0	38176.0	21970.0	32821.0	27587.0	20991.0	11237.0	36100.0	32025.0	33575.0	26567.0
CosteaPI_2017__donald5-11-0-0__bin.9	11679.0	10901.0	11129.0	6086.0	7341.0	11512.0	9209.0	3644.0	723.0	10671.0	11596.0	9698.0	11062.0	8124.0	35.0	0.0	12024.0	10392.0	11486.0	12740.0	9494.0	11249.0	4492.0	10961.0	4936.0	10455.0	9467.0	9620.0	7391.0
LiJ_2014__O2.UC26-1__bin.16	708.0	36540.0	27981.0	34309.0	595.0	30603.0	19605.0	24138.0	33885.0	31823.0	24438.0	22067.0	31035.0	29177.0	37344.0	12024.0	0.0	21019.0	30122.0	13285.0	6576.0	28067.0	28140.0	17727.0	3032.0	29421.0	25721.0	27210.0	30769.0
FengQ_2015__SID531403__bin.8	20553.0	24331.0	16458.0	22422.0	16276.0	7621.0	16066.0	10494.0	21098.0	16449.0	6772.0	19126.0	14852.0	18211.0	23304.0	10392.0	21019.0	0.0	10647.0	23188.0	14563.0	14552.0	15602.0	17334.0	7607.0	10687.0	18821.0	8077.0	20794.0
LiJ_2014__V1.FI18__bin.6	30102.0	35337.0	25334.0	36229.0	24622.0	17991.0	19686.0	17262.0	32833.0	24571.0	16275.0	29492.0	19679.0	26078.0	35686.0	11486.0	30122.0	10647.0	0.0	34192.0	19388.0	21088.0	27494.0	19631.0	8988.0	17937.0	30021.0	16987.0	31597.0
HeQ_2017__SZAXPI029495-96__bin.3	13465.0	39518.0	30932.0	38424.0	12111.0	34698.0	21468.0	25200.0	35243.0	35986.0	27107.0	26475.0	34897.0	33945.0	38176.0	12740.0	13285.0	23188.0	34192.0	0.0	9110.0	32226.0	27500.0	20248.0	4125.0	34070.0	29604.0	32467.0	32162.0
HeQ_2017__SZAXPI029483-78__bin.27	6272.0	22986.0	16950.0	20482.0	6595.0	18071.0	15017.0	12168.0	19467.0	19886.0	18100.0	15175.0	19448.0	19736.0	21970.0	9494.0	6576.0	14563.0	19388.0	9110.0	0.0	19118.0	14102.0	14116.0	2627.0	17391.0	16845.0	17600.0	19510.0
