	QinJ_2012__T2D-085__bin.44	ZeeviD_2015__PNP_Main_698__bin.21	ZeeviD_2015__PNP_Main_499__bin.29	LiuW_2016__SRR3992966__bin.54	YuJ_2015__SZAXPI017462-33__bin.25	LiJ_2017__nHM512811__bin.32	QinJ_2012__T2D-099__bin.60	WenC_2017__N237__bin.59	LiJ_2017__H2M514911__bin.38	CosteaPI_2017__SID713B072-11-90-0__bin.31	LiuW_2016__SRR3993011__bin.14	QinJ_2012__T2D-024__bin.69	CosteaPI_2017__SID713B032-11-90-0__bin.64	LiJ_2017__H1M513730__bin.22	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	CosteaPI_2017__SID713B065-11-0-0__bin.29	LiJ_2017__H2M614904__bin.70	BritoIL_2016__WL.15.ST__bin.69	CosteaPI_2017__SID713B007-11-0-0__bin.28	LiuW_2016__SRR3993012__bin.63	ZeeviD_2015__PNP_Main_589__bin.39	LiJ_2014__MH0360__bin.37	LiJ_2014__MH0372__bin.22	LiJ_2014__MH0367__bin.74	BritoIL_2016__M1.35.ST__bin.76	LeChatelierE_2013__MH0040__bin.22	CosteaPI_2017__SID713A055-11-0-0__bin.73	CosteaPI_2017__SID713A014-11-90-0__bin.30	LiJ_2014__MH0309__bin.74	LiJ_2017__H2F514910__bin.5	CosteaPI_2017__SID713A062-11-0-0__bin.42	XieH_2016__YSZC12003_37753__bin.69	XieH_2016__YSZC12003_37652__bin.106	CosteaPI_2017__SID713B033-11-90-0__bin.34	ZeeviD_2015__PNP_Main_714__bin.43	ZeeviD_2015__PNP_Main_635__bin.40	BritoIL_2016__W3.18.ST__bin.24	NielsenHB_2014__MH0040__bin.23	CosteaPI_2017__SID713B055-11-90-0__bin.21	ZeeviD_2015__PNP_Main_317__bin.30	QinJ_2012__T2D-104__bin.69	BritoIL_2016__W2.9.ST__bin.19	QinN_2014__HD-60__bin.3	LiJ_2017__nHM511717__bin.27
QinJ_2012__T2D-085__bin.44	1.0	0.7933618508577902	0.7498807883032245	0.6659881572614929	0.6908685129045051	0.616218608660495	0.6021006297691582	0.7340395329920902	0.7200390167456072	0.665666331707881	0.6985606591458661	0.767649314721457	0.7002717842575753	0.7025433424271759	0.6982439886926555	0.721144785781644	0.7466949362553423	0.6519765943712932	0.6543807122654935	0.6212614015171462	0.6644836043872849	0.7079039104014092	0.7070374853125666	0.6299127646545697	0.7038409548424251	0.7813066485698095	0.6916627665877322	0.5500683603135332	0.42502882253456403	0.7035228115033856	0.6891850044020875	0.6599629495569744	0.4752129884963935	0.635629034556479	0.7374905044891719	0.597233478547602	0.5994737378933388	0.6659631182024017	0.5919642294947597	0.7369352265316815	0.6903231769263598	0.5616997397042519	0.566540010759431	0.6958041533171047
ZeeviD_2015__PNP_Main_698__bin.21	0.6948805812984072	1.0	0.6988194391812026	0.5745594868164527	0.6227452675169198	0.5325891870884929	0.5487106714893192	0.6614788213420111	0.6234344789551851	0.6046038808054454	0.6285576065625056	0.6692775212899251	0.6214558583778536	0.6199890667909419	0.6157644619103444	0.6558693433140524	0.7564006843737351	0.5867808149594681	0.5846477103957403	0.5626913110014207	0.5947610900312676	0.6628553091372924	0.6298486282692795	0.5598983437317074	0.6206260310354782	0.7314897384253922	0.6031328965424936	0.49044763266997676	0.3874780892362718	0.6171796513306103	0.6216961309662989	0.6054666045290577	0.41297181715417275	0.5649453581432251	0.662290265412519	0.5346110244803903	0.5260302291942484	0.5935516642505028	0.527769544723759	0.6685186469266878	0.555599883250098	0.5236358886618752	0.4941629886684867	0.6014958178056501
ZeeviD_2015__PNP_Main_499__bin.29	0.751941336218276	0.8000513234243433	1.0	0.6413917878828718	0.6654709662650025	0.5948248265065178	0.597632476281378	0.7306011302230353	0.6871623130987348	0.658879413952956	0.6956690783752998	0.6906641214186681	0.6721681192918845	0.681758214978686	0.6993916881898893	0.6955490775629866	0.7575407587374438	0.6426449655966902	0.6627397477767542	0.6107265956877247	0.6626581472243812	0.7173556251765397	0.6850008215440229	0.6358913198797038	0.6837956441551296	0.7539411036013167	0.694752272169227	0.5634429525369095	0.45033830998240604	0.7105030249435534	0.712793748142295	0.6504073566036447	0.4847013733631428	0.6432586312891964	0.7158236763448861	0.6226779381275812	0.5832807483619888	0.6444870703740149	0.6073038032872838	0.7926312116574328	0.5951589826146515	0.5642120654355198	0.5538303336207199	0.666613373998224
LiuW_2016__SRR3992966__bin.54	0.9047711711747765	0.8911860620191723	0.8689682530551114	1.0	0.8402652890631293	0.7848798440441275	0.687035242645547	0.8429946168811127	0.8683259405700874	0.7869623571867713	0.843496861222985	0.786692225767836	0.8524752291990053	0.8514892495198915	0.8338456659164684	0.85267682727647	0.8767270276989756	0.7973684197362017	0.8009561651743573	0.7756178380782252	0.8370322161731683	0.8083207480439233	0.8487974399545379	0.7809239194868303	0.8341873321370847	0.9058316871157818	0.8400827002336636	0.6929446175564412	0.5174752517099569	0.865650639035891	0.8345420046852794	0.810406762890146	0.6096450923374223	0.8088014819209546	0.8597187531734188	0.7352471977617111	0.7386738648352424	0.8057755097855106	0.7300976925274145	0.8636261541239812	0.6944783637239517	0.7001661308226452	0.689230810789449	0.8633935409576758
YuJ_2015__SZAXPI017462-33__bin.25	0.9178157110116988	0.9445645926226681	0.8816525497313176	0.8216829278434231	1.0	0.7740269587400666	0.7201168163151497	0.8540109136180527	0.8864010253224311	0.7926236464985679	0.8570007851347815	0.7987770486269925	0.9015284446259847	0.8715798330426786	0.8581219869535547	0.8818741485201066	0.9121612730434613	0.8106939759861268	0.8393692505998577	0.7736742595640912	0.8554515503354555	0.818337911247973	0.8721565769101889	0.7948870848997303	0.8635792851604633	0.9245957534236523	0.8510636008091047	0.6879487925801094	0.5205424033929563	0.8555361785704677	0.8408998965383139	0.8479289318498118	0.596809564458098	0.7968345126661074	0.8809505756432112	0.7296181701223196	0.7560994699728749	0.8209246979921584	0.7188327173734917	0.8737547297644352	0.7092398868036209	0.7142358877526312	0.6937475388103618	0.8558062062336278
LiJ_2017__nHM512811__bin.32	0.9225087165635378	0.9103096619489272	0.8880410126372945	0.8649013960282789	0.8722313024544189	1.0	0.7018188332896931	0.8833300717996775	0.9564532888662267	0.788948637735485	0.8743883246282541	0.7954048206386175	0.8788660887780274	0.8912156333117429	0.8815914446756611	0.8686895525267699	0.8919272907680222	0.8378755012885354	0.8547369871697696	0.7955305045271006	0.8759433871256702	0.8440511004230806	0.8632785303804968	0.8278042528561387	0.8777415487231784	0.9060264873282526	0.8965941319956452	0.7118123561594751	0.5268277221173324	0.9035128095585905	0.875891570083927	0.8546658765486542	0.6358314843653101	0.8462219037250389	0.8754864049171065	0.7872044981602194	0.801123437564599	0.8113446246709756	0.7768427435469868	0.8914862946680815	0.7099342640188526	0.7250207405978254	0.7363256756198063	0.9042917189201108
QinJ_2012__T2D-099__bin.60	0.8344125209922368	0.8681929913101963	0.8259508188439484	0.700839383298982	0.7511982988825062	0.6496823672354238	1.0	0.788794750907431	0.7748902484266348	0.7446900037914875	0.7806183033424795	0.8332220040997054	0.7661386990451882	0.8084625186193678	0.7523071686671058	0.7883839638956489	0.8450353200285969	0.7255998893681688	0.7216864414261096	0.6779373695240942	0.727438990474334	0.7724500204883211	0.7891693070150686	0.6999361621674858	0.7892346247014139	0.8381672673682534	0.7617037302012142	0.6194550769957742	0.49706044896724066	0.774365155463748	0.7543636551981396	0.7412271458263274	0.5375252659526968	0.6973846900446151	0.8130464934353173	0.6308004529373312	0.6477473307774386	0.747184322938806	0.6639359111026288	0.8069244912237014	0.7692601700403082	0.6315587504522484	0.6401301659018204	0.7409444427151134
WenC_2017__N237__bin.59	0.7314804690051364	0.7525933324477903	0.7260589639586417	0.6183520973060166	0.6405995322277743	0.5879909351701748	0.5671991422463488	1.0	0.6993330539714039	0.620094317675611	0.6650728114549154	0.6683220451054542	0.6531407301620618	0.6578606502577005	0.656224841831489	0.6715987990861783	0.7094825517437248	0.6113267074163253	0.6098343716448131	0.5882246745078814	0.6187348133644595	0.6775831866193952	0.6580951234708786	0.5899070840265398	0.6486490453380928	0.7231080506873111	0.6493961305681885	0.5185604445524057	0.40102221514440106	0.665592762226549	0.6525488595942108	0.6174079665117944	0.4521762710172762	0.6015074536062274	0.6895897562726171	0.5587445298757034	0.5629202813091458	0.6139304975895861	0.5617548870602342	0.6961751878170801	0.5827928952047843	0.5309761497810482	0.5522277156878358	0.6483265070683215
LiJ_2017__H2M514911__bin.38	0.9137395195352639	0.9032715544895383	0.8696289297508052	0.8111046782486229	0.8467136094292992	0.8107640324795695	0.7095693424415189	0.8905681307892842	1.0	0.7791914499313802	0.855048917012803	0.7949686292816113	0.8567273801162868	0.8678953278259931	0.8491387830114487	0.8481729190819105	0.87616194552191	0.8095949025561515	0.8129074373391687	0.7664768115556017	0.8235398842925853	0.823546893464788	0.8446108577684759	0.7793358388787568	0.8461094187854227	0.8937414166845401	0.8496256868404661	0.6763687628297056	0.5167058946670947	0.8585091116902245	0.836981140186715	0.813512562539339	0.5965866265928929	0.7993797349878717	0.863280956125853	0.7346079746623098	0.75327760574154	0.7964770031396419	0.7326916669820794	0.8687766144109514	0.7159481564241633	0.7001733134646665	0.7252455897120306	0.8693635157633947
CosteaPI_2017__SID713B072-11-90-0__bin.31	0.7577294957322419	0.7857595536248699	0.7479486930148261	0.659385379135517	0.6791481752840561	0.5998886744717487	0.6116759354110746	0.7083241819501751	0.6989327670932469	1.0	0.7156064474917386	0.6962363923822489	0.699208566029954	0.7035635066870763	0.7004664271379447	0.7166601838547805	0.7746601134380308	0.6558607693197575	0.6788673465795064	0.6427167285048679	0.6803662173966256	0.6841854877785024	0.7182391118100625	0.6456323172643428	0.6898775083871378	0.7858039832408136	0.6854047873330327	0.5793927896601386	0.46047650343952296	0.7071748799981222	0.7081397571292767	0.6694503637360445	0.4879541251640962	0.6487658626303339	0.7417369297291135	0.5939589973325465	0.5951426693648576	0.6696452672399484	0.6028629438560547	0.7421632025537808	0.6132850419734126	0.5846250056584887	0.5518103811055094	0.6839796864442726
