	QinJ_2012__T2D-085__bin.44	ZeeviD_2015__PNP_Main_698__bin.21	ZeeviD_2015__PNP_Main_499__bin.29	LiuW_2016__SRR3992966__bin.54	YuJ_2015__SZAXPI017462-33__bin.25	LiJ_2017__nHM512811__bin.32	QinJ_2012__T2D-099__bin.60	WenC_2017__N237__bin.59	LiJ_2017__H2M514911__bin.38	CosteaPI_2017__SID713B072-11-90-0__bin.31	LiuW_2016__SRR3993011__bin.14	QinJ_2012__T2D-024__bin.69	CosteaPI_2017__SID713B032-11-90-0__bin.64	LiJ_2017__H1M513730__bin.22	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	CosteaPI_2017__SID713B065-11-0-0__bin.29	LiJ_2017__H2M614904__bin.70	BritoIL_2016__WL.15.ST__bin.69	CosteaPI_2017__SID713B007-11-0-0__bin.28	LiuW_2016__SRR3993012__bin.63	ZeeviD_2015__PNP_Main_589__bin.39	LiJ_2014__MH0360__bin.37	LiJ_2014__MH0372__bin.22	LiJ_2014__MH0367__bin.74	BritoIL_2016__M1.35.ST__bin.76	LeChatelierE_2013__MH0040__bin.22	CosteaPI_2017__SID713A055-11-0-0__bin.73	CosteaPI_2017__SID713A014-11-90-0__bin.30	LiJ_2014__MH0309__bin.74	LiJ_2017__H2F514910__bin.5	CosteaPI_2017__SID713A062-11-0-0__bin.42	XieH_2016__YSZC12003_37753__bin.69	XieH_2016__YSZC12003_37652__bin.106	CosteaPI_2017__SID713B033-11-90-0__bin.34	ZeeviD_2015__PNP_Main_714__bin.43	ZeeviD_2015__PNP_Main_635__bin.40	BritoIL_2016__W3.18.ST__bin.24	NielsenHB_2014__MH0040__bin.23	CosteaPI_2017__SID713B055-11-90-0__bin.21	ZeeviD_2015__PNP_Main_317__bin.30	QinJ_2012__T2D-104__bin.69	BritoIL_2016__W2.9.ST__bin.19	QinN_2014__HD-60__bin.3	LiJ_2017__nHM511717__bin.27
QinJ_2012__T2D-085__bin.44	2715757.0	2198919.0	2077939.0	1839574.0	1904864.0	1699801.0	1662226.0	2030226.0	1986337.0	1841331.0	1931562.0	2099087.0	1935914.0	1937106.0	1931143.0	1996237.0	2062772.0	1795762.0	1809285.0	1718461.0	1835289.0	1975763.0	1954261.0	1739815.0	1938749.0	2164412.0	1912155.0	1520609.0	1175729.0	1941419.0	1906023.0	1825361.0	1311916.0	1754518.0	2038843.0	1651219.0	1656065.0	1839688.0	1635528.0	2038528.0	1876637.0	1548648.0	1562720.0	1919734.0
ZeeviD_2015__PNP_Main_698__bin.21	2198919.0	3100645.0	2216114.0	1811933.0	1959879.0	1676844.0	1730512.0	2097011.0	1963861.0	1913315.0	1984476.0	2124701.0	1960786.0	1952686.0	1944927.0	2071893.0	2374144.0	1848451.0	1846661.0	1778261.0	1875248.0	2121069.0	1989785.0	1765991.0	1954807.0	2318481.0	1903376.0	1547445.0	1224014.0	1947112.0	1965058.0	1912435.0	1301114.0	1780020.0	2092945.0	1689978.0	1659288.0	1872393.0	1664927.0	2115702.0	1757648.0	1638851.0	1556485.0	1896089.0
ZeeviD_2015__PNP_Main_499__bin.29	2077939.0	2216114.0	2708315.0	1764721.0	1833670.0	1637275.0	1648301.0	2021811.0	1892941.0	1817936.0	1915328.0	1914362.0	1849997.0	1877591.0	1924846.0	1914966.0	2094970.0	1769963.0	1825831.0	1682244.0	1822751.0	1998740.0	1886662.0	1748342.0	1884578.0	2080846.0	1912522.0	1550928.0	1241630.0	1954845.0	1963007.0	1791193.0	1330789.0	1767493.0	1971565.0	1713782.0	1607000.0	1773331.0	1669886.0	2182899.0	1645584.0	1552213.0	1525024.0	1837508.0
LiuW_2016__SRR3992966__bin.54	1839574.0	1811933.0	1764721.0	1999027.0	1707611.0	1594458.0	1396878.0	1714337.0	1764647.0	1597736.0	1711569.0	1599915.0	1729459.0	1729610.0	1691377.0	1729831.0	1782014.0	1620927.0	1626193.0	1574801.0	1698277.0	1653611.0	1722030.0	1583779.0	1695784.0	1837897.0	1704833.0	1408095.0	1051917.0	1756793.0	1693062.0	1644716.0	1236768.0	1639927.0	1744479.0	1492019.0	1500520.0	1634099.0	1481976.0	1752944.0	1411911.0	1420550.0	1399868.0	1755146.0
YuJ_2015__SZAXPI017462-33__bin.25	1904864.0	1959879.0	1833670.0	1707611.0	2044235.0	1606744.0	1493863.0	1774569.0	1839764.0	1648200.0	1780615.0	1658200.0	1873908.0	1807211.0	1783307.0	1831972.0	1892323.0	1682485.0	1743035.0	1608550.0	1777403.0	1713183.0	1812182.0	1651829.0	1791515.0	1921516.0	1768314.0	1430330.0	1083443.0	1777071.0	1747145.0	1762004.0	1239816.0	1655031.0	1831379.0	1516846.0	1572092.0	1705314.0	1493058.0	1817446.0	1472523.0	1481422.0	1439282.0	1777461.0
LiJ_2017__nHM512811__bin.32	1699801.0	1676844.0	1637275.0	1594458.0	1606744.0	1814075.0	1292541.0	1606684.0	1744335.0	1455401.0	1612109.0	1466061.0	1620534.0	1640749.0	1624860.0	1600978.0	1642797.0	1543856.0	1576498.0	1467494.0	1615005.0	1566687.0	1591256.0	1526090.0	1617214.0	1670308.0	1652692.0	1314097.0	972454.0	1664765.0	1613733.0	1576001.0	1171595.0	1559655.0	1613877.0	1450756.0	1477149.0	1495038.0	1432305.0	1642795.0	1308621.0	1333749.0	1345387.0	1666135.0
QinJ_2012__T2D-099__bin.60	1662226.0	1730512.0	1648301.0	1396878.0	1493863.0	1292541.0	1959653.0	1572342.0	1542604.0	1486375.0	1555067.0	1661699.0	1526621.0	1595228.0	1500039.0	1571972.0	1683562.0	1442980.0	1437562.0	1353399.0	1449884.0	1555431.0	1573333.0	1394994.0	1568797.0	1671816.0	1518826.0	1234573.0	992294.0	1542571.0	1502839.0	1477686.0	1070371.0	1388491.0	1620521.0	1257873.0	1291368.0	1489212.0	1322955.0	1608616.0	1533894.0	1256749.0	1273670.0	1476281.0
WenC_2017__N237__bin.59	2030226.0	2097011.0	2021811.0	1714337.0	1774569.0	1606684.0	1572342.0	2725258.0	1915784.0	1723191.0	1846140.0	1862689.0	1812318.0	1822120.0	1822365.0	1866118.0	1968771.0	1693622.0	1692930.0	1633027.0	1715327.0	1902508.0	1827548.0	1636438.0	1798122.0	2013075.0	1802146.0	1439045.0	1114225.0	1845079.0	1812005.0	1713326.0	1252600.0	1666152.0	1914287.0	1550544.0	1561100.0	1702411.0	1557307.0	1935281.0	1618896.0	1469117.0	1516180.0	1796531.0
LiJ_2017__H2M514911__bin.38	1986337.0	1963861.0	1892941.0	1764647.0	1839764.0	1744335.0	1542604.0	1915784.0	2140053.0	1696114.0	1860358.0	1729744.0	1863654.0	1885746.0	1847356.0	1845202.0	1903674.0	1759862.0	1768637.0	1668491.0	1791426.0	1805815.0	1837794.0	1695589.0	1839109.0	1945282.0	1848434.0	1472186.0	1125889.0	1866985.0	1820888.0	1770036.0	1297101.0	1738335.0	1877624.0	1598036.0	1639087.0	1732675.0	1594067.0	1890371.0	1557493.0	1519814.0	1561596.0	1889800.0
CosteaPI_2017__SID713B072-11-90-0__bin.31	1841331.0	1913315.0	1817936.0	1597736.0	1648200.0	1455401.0	1486375.0	1723191.0	1696114.0	2385796.0	1734411.0	1694886.0	1694381.0	1707205.0	1699754.0	1738182.0	1886246.0	1592229.0	1643290.0	1560025.0	1648696.0	1678475.0	1741775.0	1564893.0	1675403.0	1907196.0	1661230.0	1403557.0	1118334.0	1714877.0	1718144.0	1624003.0	1181661.0	1570860.0	1798811.0	1441546.0	1443542.0	1623780.0	1462010.0	1804140.0	1491756.0	1415774.0	1338155.0	1660458.0
