	QinJ_2012__T2D-085__bin.44	ZeeviD_2015__PNP_Main_698__bin.21	ZeeviD_2015__PNP_Main_499__bin.29	LiuW_2016__SRR3992966__bin.54	YuJ_2015__SZAXPI017462-33__bin.25	LiJ_2017__nHM512811__bin.32	QinJ_2012__T2D-099__bin.60	WenC_2017__N237__bin.59	LiJ_2017__H2M514911__bin.38	CosteaPI_2017__SID713B072-11-90-0__bin.31	LiuW_2016__SRR3993011__bin.14	QinJ_2012__T2D-024__bin.69	CosteaPI_2017__SID713B032-11-90-0__bin.64	LiJ_2017__H1M513730__bin.22	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	CosteaPI_2017__SID713B065-11-0-0__bin.29	LiJ_2017__H2M614904__bin.70	BritoIL_2016__WL.15.ST__bin.69	CosteaPI_2017__SID713B007-11-0-0__bin.28	LiuW_2016__SRR3993012__bin.63	ZeeviD_2015__PNP_Main_589__bin.39	LiJ_2014__MH0360__bin.37	LiJ_2014__MH0372__bin.22	LiJ_2014__MH0367__bin.74	BritoIL_2016__M1.35.ST__bin.76	LeChatelierE_2013__MH0040__bin.22	CosteaPI_2017__SID713A055-11-0-0__bin.73	CosteaPI_2017__SID713A014-11-90-0__bin.30	LiJ_2014__MH0309__bin.74	LiJ_2017__H2F514910__bin.5	CosteaPI_2017__SID713A062-11-0-0__bin.42	XieH_2016__YSZC12003_37753__bin.69	XieH_2016__YSZC12003_37652__bin.106	CosteaPI_2017__SID713B033-11-90-0__bin.34	ZeeviD_2015__PNP_Main_714__bin.43	ZeeviD_2015__PNP_Main_635__bin.40	BritoIL_2016__W3.18.ST__bin.24	NielsenHB_2014__MH0040__bin.23	CosteaPI_2017__SID713B055-11-90-0__bin.21	ZeeviD_2015__PNP_Main_317__bin.30	QinJ_2012__T2D-104__bin.69	BritoIL_2016__W2.9.ST__bin.19	QinN_2014__HD-60__bin.3	LiJ_2017__nHM511717__bin.27
QinJ_2012__T2D-085__bin.44	0.0	44341.0	41445.0	30912.0	28633.0	26301.0	27067.0	36753.0	30886.0	33543.0	34441.0	14338.0	34146.0	29169.0	34882.0	37783.0	34930.0	25152.0	32146.0	31266.0	30713.0	53268.0	34119.0	29125.0	27288.0	42573.0	33767.0	26757.0	21454.0	30822.0	34364.0	33062.0	21353.0	28304.0	35998.0	29278.0	28040.0	31094.0	27897.0	37191.0	1887.0	23208.0	24135.0	30099.0
ZeeviD_2015__PNP_Main_698__bin.21	44341.0	0.0	49323.0	30428.0	28967.0	25474.0	29155.0	46000.0	30812.0	38653.0	35542.0	49509.0	33872.0	30320.0	35660.0	38275.0	28814.0	29052.0	33876.0	33555.0	31105.0	65790.0	36848.0	29945.0	30466.0	50391.0	33275.0	26741.0	22582.0	33457.0	37399.0	35098.0	20635.0	28325.0	39418.0	32339.0	28255.0	32000.0	28501.0	42863.0	34930.0	15242.0	24261.0	31064.0
ZeeviD_2015__PNP_Main_499__bin.29	41445.0	49323.0	0.0	27630.0	31365.0	26302.0	29724.0	43113.0	31889.0	33483.0	31237.0	43826.0	29554.0	31175.0	30673.0	31200.0	43311.0	29478.0	30923.0	28204.0	28064.0	55915.0	31464.0	26148.0	32644.0	38936.0	30914.0	24947.0	21972.0	30579.0	32537.0	29685.0	18065.0	25346.0	32889.0	27374.0	27292.0	27857.0	25116.0	36204.0	33706.0	24149.0	25077.0	32109.0
LiuW_2016__SRR3992966__bin.54	30912.0	30428.0	27630.0	0.0	27898.0	25462.0	23476.0	29168.0	28840.0	24577.0	25396.0	27296.0	25338.0	27460.0	24497.0	25307.0	29413.0	26966.0	25060.0	24320.0	25027.0	37756.0	25261.0	22691.0	28221.0	27115.0	25485.0	22880.0	17470.0	26334.0	24790.0	24691.0	18071.0	23111.0	25878.0	22240.0	23891.0	23332.0	22491.0	26532.0	23630.0	20899.0	22077.0	29199.0
YuJ_2015__SZAXPI017462-33__bin.25	28633.0	28967.0	31365.0	27898.0	0.0	24451.0	21775.0	28770.0	27752.0	27891.0	28704.0	25312.0	30972.0	25497.0	29104.0	29214.0	27651.0	25236.0	27167.0	26978.0	28659.0	40308.0	29289.0	26893.0	26156.0	31425.0	28540.0	24001.0	19332.0	28154.0	28148.0	28638.0	19797.0	26114.0	30509.0	25335.0	26447.0	27151.0	23595.0	31286.0	22670.0	21356.0	21099.0	27992.0
LiJ_2017__nHM512811__bin.32	26301.0	25474.0	26302.0	25462.0	24451.0	0.0	19389.0	4257.0	9257.0	24189.0	25903.0	23137.0	26205.0	24017.0	25587.0	25110.0	24774.0	23887.0	25941.0	24342.0	25978.0	35515.0	25204.0	24391.0	24925.0	26708.0	26203.0	22816.0	16749.0	25725.0	24800.0	25573.0	18149.0	24545.0	25679.0	22708.0	23851.0	23198.0	23054.0	25572.0	20747.0	18507.0	9637.0	25682.0
QinJ_2012__T2D-099__bin.60	27067.0	29155.0	29724.0	23476.0	21775.0	19389.0	0.0	26578.0	24088.0	27041.0	25326.0	28873.0	25255.0	10922.0	25778.0	27013.0	27586.0	21056.0	23307.0	24877.0	24356.0	41697.0	26835.0	23362.0	22171.0	29299.0	26151.0	20656.0	18228.0	25084.0	24548.0	25138.0	17008.0	21859.0	27232.0	21723.0	22008.0	24990.0	21871.0	27324.0	26411.0	19113.0	19237.0	24287.0
WenC_2017__N237__bin.59	36753.0	46000.0	43113.0	29168.0	28770.0	4257.0	26578.0	0.0	9921.0	33274.0	33645.0	41339.0	32341.0	29280.0	33983.0	35838.0	35248.0	27599.0	30974.0	29963.0	29115.0	55919.0	34069.0	28789.0	30386.0	42419.0	32374.0	25834.0	21336.0	31167.0	33641.0	30730.0	20303.0	26889.0	34977.0	27821.0	26997.0	29292.0	26380.0	38024.0	30635.0	22070.0	11217.0	29674.0
LiJ_2017__H2M514911__bin.38	30886.0	30812.0	31889.0	28840.0	27752.0	9257.0	24088.0	9921.0	0.0	28603.0	30508.0	28469.0	30212.0	28404.0	30154.0	30067.0	28641.0	27286.0	28972.0	28190.0	29007.0	43381.0	30282.0	27769.0	28390.0	32628.0	30190.0	24721.0	20111.0	29730.0	29704.0	29076.0	20374.0	27620.0	30157.0	25936.0	27033.0	28172.0	26068.0	31143.0	25326.0	21406.0	9532.0	29316.0
CosteaPI_2017__SID713B072-11-90-0__bin.31	33543.0	38653.0	33483.0	24577.0	27891.0	24189.0	27041.0	33274.0	28603.0	0.0	27120.0	33808.0	26212.0	28646.0	28584.0	28377.0	38065.0	27479.0	23651.0	26634.0	25481.0	46148.0	28203.0	24546.0	29496.0	32428.0	25994.0	21244.0	19731.0	27702.0	28667.0	26831.0	17502.0	23037.0	29178.0	24481.0	23653.0	26143.0	23702.0	33490.0	28583.0	20978.0	21648.0	28622.0
LiuW_2016__SRR3993011__bin.14	34441.0	35542.0	31237.0	25396.0	28704.0	25903.0	25326.0	33645.0	30508.0	27120.0	0.0	32620.0	27145.0	28972.0	28927.0	28779.0	32906.0	29120.0	26677.0	26193.0	26729.0	46078.0	27407.0	24689.0	30097.0	31207.0	28284.0	23053.0	18840.0	28016.0	28389.0	26647.0	18590.0	24758.0	27759.0	24062.0	24766.0	24955.0	24565.0	28980.0	27466.0	21911.0	23561.0	30239.0
QinJ_2012__T2D-024__bin.69	14338.0	49509.0	43826.0	27296.0	25312.0	23137.0	28873.0	41339.0	28469.0	33808.0	32620.0	0.0	30578.0	26406.0	31818.0	33691.0	37168.0	24037.0	30446.0	29292.0	27533.0	58674.0	33364.0	26369.0	24879.0	45883.0	32981.0	23388.0	20347.0	29380.0	33438.0	29796.0	19734.0	25125.0	35620.0	28112.0	24980.0	29557.0	25747.0	38169.0	12285.0	21343.0	22464.0	27517.0
CosteaPI_2017__SID713B032-11-90-0__bin.64	34146.0	33872.0	29554.0	25338.0	30972.0	26205.0	25255.0	32341.0	30212.0	26212.0	27145.0	30578.0	0.0	29402.0	25309.0	6169.0	33162.0	28224.0	27001.0	20368.0	25817.0	44370.0	27309.0	24180.0	29587.0	30538.0	27620.0	22927.0	17813.0	26393.0	26175.0	27113.0	18114.0	22977.0	26276.0	22819.0	25580.0	24601.0	21655.0	28487.0	26463.0	22445.0	22843.0	30917.0
LiJ_2017__H1M513730__bin.22	29169.0	30320.0	31175.0	27460.0	25497.0	24017.0	10922.0	29280.0	28404.0	28646.0	28972.0	26406.0	29402.0	0.0	29374.0	29983.0	29207.0	24153.0	27199.0	27392.0	27915.0	42464.0	29229.0	26978.0	25648.0	31112.0	28833.0	24214.0	19717.0	30060.0	28615.0	28907.0	19894.0	26984.0	30039.0	24882.0	25848.0	26847.0	25746.0	29621.0	23089.0	21382.0	20650.0	29069.0
FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	34882.0	35660.0	30673.0	24497.0	29104.0	25587.0	25778.0	33983.0	30154.0	28584.0	28927.0	31818.0	25309.0	29374.0	0.0	27919.0	34518.0	28950.0	27274.0	23904.0	26134.0	45213.0	28002.0	26430.0	31203.0	30676.0	29037.0	23607.0	18729.0	12284.0	22807.0	26018.0	18142.0	21738.0	27665.0	24067.0	26285.0	24432.0	19062.0	28497.0	27002.0	22608.0	23079.0	30328.0
CosteaPI_2017__SID713B065-11-0-0__bin.29	37783.0	38275.0	31200.0	25307.0	29214.0	25110.0	27013.0	35838.0	30067.0	28377.0	28779.0	33691.0	6169.0	29983.0	27919.0	0.0	35911.0	28434.0	27391.0	21797.0	25756.0	51273.0	28564.0	24904.0	30605.0	32369.0	29556.0	22313.0	18716.0	26855.0	27742.0	28357.0	17654.0	23065.0	27985.0	23568.0	25231.0	25730.0	22514.0	29779.0	30071.0	22514.0	23366.0	30264.0
LiJ_2017__H2M614904__bin.70	34930.0	28814.0	43311.0	29413.0	27651.0	24774.0	27586.0	35248.0	28641.0	38065.0	32906.0	37168.0	33162.0	29207.0	34518.0	35911.0	0.0	26590.0	31564.0	32111.0	30787.0	54092.0	34738.0	29862.0	30126.0	40736.0	32608.0	26414.0	24166.0	30585.0	35480.0	32161.0	21592.0	28275.0	36273.0	30470.0	27214.0	30616.0	27866.0	41088.0	27484.0	19794.0	22856.0	29783.0
BritoIL_2016__WL.15.ST__bin.69	25152.0	29052.0	29478.0	26966.0	25236.0	23887.0	21056.0	27599.0	27286.0	27479.0	29120.0	24037.0	28224.0	24153.0	28950.0	28434.0	26590.0	0.0	26124.0	27182.0	27545.0	39287.0	28784.0	25693.0	2474.0	31528.0	27782.0	23220.0	19246.0	27478.0	28347.0	26333.0	19095.0	26735.0	28322.0	24007.0	24136.0	26489.0	25661.0	28737.0	19902.0	19979.0	21523.0	26892.0
CosteaPI_2017__SID713B007-11-0-0__bin.28	32146.0	33876.0	30923.0	25060.0	27167.0	25941.0	23307.0	30974.0	28972.0	23651.0	26677.0	30446.0	27001.0	27199.0	27274.0	27391.0	31564.0	26124.0	0.0	25207.0	25918.0	41452.0	26825.0	25110.0	27714.0	31550.0	27281.0	22694.0	18184.0	26752.0	27041.0	27636.0	18229.0	23855.0	27849.0	24304.0	25274.0	24155.0	22208.0	28743.0	25311.0	20663.0	21456.0	29513.0
LiuW_2016__SRR3993012__bin.63	31266.0	33555.0	28204.0	24320.0	26978.0	24342.0	24877.0	29963.0	28190.0	26634.0	26193.0	29292.0	20368.0	27392.0	23904.0	21797.0	32111.0	27182.0	25207.0	0.0	24005.0	41745.0	25239.0	22939.0	27649.0	27854.0	25103.0	22051.0	17959.0	25196.0	24355.0	24699.0	17790.0	23505.0	25826.0	22926.0	23451.0	23062.0	22395.0	26455.0	24871.0	21041.0	22356.0	27804.0
ZeeviD_2015__PNP_Main_589__bin.39	30713.0	31105.0	28064.0	25027.0	28659.0	25978.0	24356.0	29115.0	29007.0	25481.0	26729.0	27533.0	25817.0	27915.0	26134.0	25756.0	30787.0	27545.0	25918.0	24005.0	0.0	41754.0	25829.0	24120.0	29831.0	28732.0	26806.0	22819.0	17125.0	26601.0	26756.0	25898.0	18383.0	18848.0	25894.0	23214.0	24137.0	23905.0	23138.0	25914.0	24050.0	21941.0	22174.0	29795.0
LiJ_2014__MH0360__bin.37	53268.0	65790.0	55915.0	37756.0	40308.0	35515.0	41697.0	55919.0	43381.0	46148.0	46078.0	58674.0	44370.0	42464.0	45213.0	51273.0	54092.0	39287.0	41452.0	41745.0	41754.0	0.0	45536.0	40771.0	45059.0	54360.0	41754.0	35219.0	28814.0	44506.0	46305.0	42452.0	28065.0	37324.0	49521.0	39934.0	37656.0	39556.0	36056.0	50789.0	47569.0	32646.0	36361.0	42737.0
LiJ_2014__MH0372__bin.22	34119.0	36848.0	31464.0	25261.0	29289.0	25204.0	26835.0	34069.0	30282.0	28203.0	27407.0	33364.0	27309.0	29229.0	28002.0	28564.0	34738.0	28784.0	26825.0	25239.0	25829.0	45536.0	0.0	22634.0	29171.0	1804.0	27805.0	22887.0	17642.0	27244.0	27392.0	26512.0	18161.0	23813.0	28095.0	23647.0	25655.0	1690.0	22949.0	28368.0	28081.0	21272.0	23402.0	29439.0
LiJ_2014__MH0367__bin.74	29125.0	29945.0	26148.0	22691.0	26893.0	24391.0	23362.0	28789.0	27769.0	24546.0	24689.0	26369.0	24180.0	26978.0	26430.0	24904.0	29862.0	25693.0	25110.0	22939.0	24120.0	40771.0	22634.0	0.0	27431.0	23723.0	25964.0	22662.0	17795.0	25853.0	24487.0	22939.0	16697.0	21458.0	24987.0	22608.0	24230.0	21392.0	20789.0	25874.0	24128.0	20056.0	21788.0	28697.0
BritoIL_2016__M1.35.ST__bin.76	27288.0	30466.0	32644.0	28221.0	26156.0	24925.0	22171.0	30386.0	28390.0	29496.0	30097.0	24879.0	29587.0	25648.0	31203.0	30605.0	30126.0	2474.0	27714.0	27649.0	29831.0	45059.0	29171.0	27431.0	0.0	32635.0	29948.0	25218.0	20512.0	29454.0	30030.0	27923.0	20516.0	28294.0	31591.0	26015.0	26358.0	28125.0	26825.0	31267.0	21678.0	21725.0	22040.0	28273.0
LeChatelierE_2013__MH0040__bin.22	42573.0	50391.0	38936.0	27115.0	31425.0	26708.0	29299.0	42419.0	32628.0	32428.0	31207.0	45883.0	30538.0	31112.0	30676.0	32369.0	40736.0	31528.0	31550.0	27854.0	28732.0	54360.0	1804.0	23723.0	32635.0	0.0	30461.0	24671.0	19026.0	30364.0	31862.0	31338.0	18776.0	25780.0	32109.0	28068.0	27163.0	1386.0	25212.0	32576.0	34418.0	23782.0	25258.0	31736.0
