	QinJ_2012__T2D-085__bin.44	ZeeviD_2015__PNP_Main_698__bin.21	ZeeviD_2015__PNP_Main_499__bin.29	LiuW_2016__SRR3992966__bin.54	YuJ_2015__SZAXPI017462-33__bin.25	LiJ_2017__nHM512811__bin.32	QinJ_2012__T2D-099__bin.60	WenC_2017__N237__bin.59	LiJ_2017__H2M514911__bin.38	CosteaPI_2017__SID713B072-11-90-0__bin.31	LiuW_2016__SRR3993011__bin.14	QinJ_2012__T2D-024__bin.69	CosteaPI_2017__SID713B032-11-90-0__bin.64	LiJ_2017__H1M513730__bin.22	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.75	CosteaPI_2017__SID713B065-11-0-0__bin.29	LiJ_2017__H2M614904__bin.70	BritoIL_2016__WL.15.ST__bin.69	CosteaPI_2017__SID713B007-11-0-0__bin.28	LiuW_2016__SRR3993012__bin.63	ZeeviD_2015__PNP_Main_589__bin.39	LiJ_2014__MH0360__bin.37	LiJ_2014__MH0372__bin.22	LiJ_2014__MH0367__bin.74	BritoIL_2016__M1.35.ST__bin.76	LeChatelierE_2013__MH0040__bin.22	CosteaPI_2017__SID713A055-11-0-0__bin.73	CosteaPI_2017__SID713A014-11-90-0__bin.30	LiJ_2014__MH0309__bin.74	LiJ_2017__H2F514910__bin.5	CosteaPI_2017__SID713A062-11-0-0__bin.42	XieH_2016__YSZC12003_37753__bin.69	XieH_2016__YSZC12003_37652__bin.106	CosteaPI_2017__SID713B033-11-90-0__bin.34	ZeeviD_2015__PNP_Main_714__bin.43	ZeeviD_2015__PNP_Main_635__bin.40	BritoIL_2016__W3.18.ST__bin.24	NielsenHB_2014__MH0040__bin.23	CosteaPI_2017__SID713B055-11-90-0__bin.21	ZeeviD_2015__PNP_Main_317__bin.30	QinJ_2012__T2D-104__bin.69	BritoIL_2016__W2.9.ST__bin.19	QinN_2014__HD-60__bin.3	LiJ_2017__nHM511717__bin.27
QinJ_2012__T2D-085__bin.44	1.0	0.9798350916973294	0.9800547561790793	0.9831961095340551	0.9849684806894351	0.9845270122796728	0.9837164140134975	0.9818970892895668	0.9844507754726414	0.981783286112057	0.9821693530935067	0.9931694112726152	0.9823618197915817	0.98494197013483	0.9819371222120785	0.9810728886399761	0.9830664755969152	0.9859936895869275	0.9822327604550969	0.9818058134575065	0.9832653059000517	0.973039276471925	0.982541226581301	0.9832597143949213	0.9859249443842395	0.9803304546454187	0.9823408667184407	0.9824037605985496	0.9817525977499917	0.9841239835398747	0.9819708366583194	0.9818874184339427	0.9837238054875465	0.9838679340992796	0.982343907794764	0.9822688571291875	0.9830682974400159	0.9830982210026917	0.9829431229547889	0.9817559533153334	0.9989944778878387	0.9850140251367645	0.9845557745469438	0.9843212653419693
ZeeviD_2015__PNP_Main_698__bin.21	0.9798350916973294	1.0	0.9777434734855698	0.9832068845812731	0.9852200059289374	0.984808366192681	0.9831523849589023	0.9780640158778375	0.9843104985536145	0.9797978900494692	0.9820899824437282	0.9766983683821865	0.9827252948562464	0.98447266995308	0.9816651216215313	0.9815265556667261	0.9878634151930127	0.98428305646187	0.9816555393762039	0.9811304414818747	0.9834128605923057	0.9689826214988763	0.9814814163339255	0.9830435149443004	0.9844148296993003	0.978265510909945	0.9825179050276982	0.9827192565810093	0.9815508646142936	0.9828171158104927	0.9809679917844664	0.9816474808294138	0.9841405134369471	0.9840872574465456	0.9811662513826211	0.9808642479369554	0.9829716119202935	0.9829095708005745	0.9828815317428332	0.9797405305662139	0.9801268513376967	0.9906995815971068	0.9844129561158637	0.983616802797759
ZeeviD_2015__PNP_Main_499__bin.29	0.9800547561790793	0.9777434734855698	1.0	0.984343134127151	0.9828949592892942	0.9839355025881419	0.9819668859025141	0.9786760483546681	0.9831537274537346	0.981581859867454	0.9836910440404986	0.9771067332092885	0.9840248389591983	0.9833962774640483	0.9840646992019102	0.983707282531387	0.9793261956018463	0.9833454145651632	0.9830636022720614	0.9832342989483095	0.984603492193942	0.9720248756716732	0.9833229269471692	0.9850441160825514	0.9826783502725809	0.9812883798224377	0.9838360029322538	0.9839147916602189	0.9823039069610109	0.9843573275630548	0.9834249190145526	0.9834272465334556	0.9864253461668229	0.9856599149190407	0.9833183283330755	0.9840271399746292	0.983016801493466	0.9842911447439875	0.9849594523218951	0.9834147159350937	0.9795173020641912	0.984442212505629	0.9835563243594855	0.9825257903639059
LiuW_2016__SRR3992966__bin.54	0.9831961095340551	0.9832068845812731	0.984343134127151	1.0	0.9836625554649157	0.984030937158583	0.9831939510823422	0.9829858423402167	0.9836567880148268	0.984617608916617	0.985162152387663	0.9829390936393496	0.9853491756670728	0.9841235885546453	0.9855165347524532	0.9853702471513113	0.9834945180004198	0.9833638405677738	0.9845897750144048	0.9845567789200033	0.9852632992144391	0.9771675442410579	0.9853306852958427	0.9856728748139734	0.9833581399517863	0.9852467249252814	0.9850513217423642	0.9837510963393805	0.9833922258124929	0.9850101861744668	0.9853578900241101	0.9849876817639033	0.9853885288105773	0.9859072995322353	0.9851657715570092	0.9850940236015762	0.9840781862287741	0.985721795313503	0.984823640868678	0.9848643196816327	0.9832638176202324	0.9852880926401746	0.984229227327148	0.9833637771444654
YuJ_2015__SZAXPI017462-33__bin.25	0.9849684806894351	0.9852200059289374	0.9828949592892942	0.9836625554649157	1.0	0.9847822677414697	0.985423696818249	0.9837876126541149	0.9849154565476876	0.9830779031670913	0.9838797269482735	0.9847352550958871	0.9834719740777028	0.9858915201379364	0.9836797590095255	0.9840532497221574	0.9853878011312023	0.9850007578076476	0.9844139675910122	0.983228373379752	0.9838759133409812	0.9764718655275005	0.98383771607929	0.9837192590758487	0.9854000664242275	0.9836457255625246	0.9838603324975089	0.9832199562338761	0.9821568831955165	0.9841570764477052	0.9838891448620464	0.9837469154440058	0.9840323080198997	0.9842214435862531	0.9833409687454099	0.9832975793191926	0.9831771931922559	0.9840785919777824	0.9841968630823451	0.9827857333863015	0.9846046547320483	0.9855841212024663	0.9853406073305996	0.9842516938486977
LiJ_2017__nHM512811__bin.32	0.9845270122796728	0.984808366192681	0.9839355025881419	0.984030937158583	0.9847822677414697	1.0	0.9849993153021839	0.997350443522186	0.9946931065420347	0.9833798382713768	0.9839322279076663	0.984218255584181	0.9838294043815187	0.9853621730075716	0.9842527971640633	0.9843158369446676	0.9849196218400691	0.9845277020654776	0.9835451741771952	0.9834125386543318	0.9839146008835886	0.9773311452766251	0.9841609395345563	0.9840173253215734	0.9845876921668993	0.9840101346577996	0.9841452611859923	0.9826375069724685	0.9827765632101878	0.9845473685475127	0.9846319062695006	0.9837734874533709	0.9845091520533973	0.9842625452423773	0.9840886263327379	0.9843474712494726	0.9838533553487157	0.984483337547273	0.9839042662002856	0.984433845975913	0.9841459062631579	0.9861240758193633	0.9928370052631696	0.9845858828966441
QinJ_2012__T2D-099__bin.60	0.9837164140134975	0.9831523849589023	0.9819668859025141	0.9831939510823422	0.985423696818249	0.9849993153021839	1.0	0.9830965527855899	0.9843848453653692	0.9818074173744848	0.983713884996595	0.982624410317392	0.9834569287334578	0.9931533298061468	0.9828151134737163	0.9828158516818366	0.9836145030595844	0.9854079751625109	0.9837871340505662	0.9816188721877288	0.9832014147338684	0.973192639210611	0.9829438523186128	0.9832529745647651	0.9858675150449676	0.9824747460246821	0.9827820961716484	0.9832687091002315	0.9816304442030286	0.9837388360081967	0.9836655822746149	0.9829882667901029	0.9841101823573322	0.98425700994821	0.983195527858016	0.9827303710310977	0.982957607746204	0.9832193133012627	0.983468069586645	0.9830139697727737	0.9827817306802165	0.9847917125854089	0.9848964017367136	0.9835485249759361
WenC_2017__N237__bin.59	0.9818970892895668	0.9780640158778375	0.9786760483546681	0.9829858423402167	0.9837876126541149	0.997350443522186	0.9830965527855899	1.0	0.9948214412480739	0.9806904748225821	0.9817754883161623	0.9778068158452645	0.9821548977607683	0.9839308058744759	0.9813522538020649	0.9807954266557635	0.982096444939508	0.9837041559450692	0.9817039097895365	0.9816518649109904	0.9830265599503768	0.9706077451448298	0.9813580819765062	0.9824075217026248	0.9831012578679311	0.978928256522981	0.9820358616893415	0.9820478164338154	0.9808512643317104	0.9831080403603315	0.9814343779404582	0.9820641255662962	0.9837913140667411	0.9838616164671651	0.9817284451077608	0.9820572650631004	0.9827064249567613	0.9827938141847062	0.9830605012370714	0.9803522072505233	0.9810766102331465	0.9849773707608039	0.9926018018968724	0.9834826117667883
LiJ_2017__H2M514911__bin.38	0.9844507754726414	0.9843104985536145	0.9831537274537346	0.9836567880148268	0.9849154565476876	0.9946931065420347	0.9843848453653692	0.9948214412480739	1.0	0.9831361571215143	0.9836010058279105	0.983541495157665	0.9837888363397926	0.9849375260506983	0.9836772121886631	0.9837053070612323	0.9849548819808434	0.9844953752055559	0.983619024141189	0.9831044938210635	0.9838078714945524	0.9759770519128482	0.9835226363781795	0.983622800100732	0.984563177060196	0.9832271105166244	0.9836672556336877	0.983207964211044	0.9821376707650576	0.9840759299083817	0.9836870801499049	0.9835732154600245	0.984292664950532	0.9841112328751362	0.9839387438592604	0.9837700777704632	0.9835072817977325	0.9837407476878237	0.9836468605146459	0.9835254561141702	0.9837392527606865	0.9859153817506616	0.9938959884630852	0.9844872473277595
CosteaPI_2017__SID713B072-11-90-0__bin.31	0.981783286112057	0.9797978900494692	0.981581859867454	0.984617608916617	0.9830779031670913	0.9833798382713768	0.9818074173744848	0.9806904748225821	0.9831361571215143	1.0	0.9843635678048629	0.9800529357136705	0.9845300437150795	0.9832205271188873	0.9831834488990759	0.9836743217913889	0.9798197053830731	0.9827418040997872	0.9856075312330751	0.9829271966795404	0.9845447553703047	0.9725059950252462	0.9838078971164473	0.9843145825305628	0.9823946835477793	0.9829970280977939	0.9843525580443406	0.9848641701049548	0.9823567914415551	0.9838460717590825	0.9833151354019221	0.9834784787959135	0.9851886454744635	0.9853347847675795	0.9837792853168009	0.983017538115329	0.9836146090657563	0.9838999125497296	0.9837880725850028	0.9814371390246877	0.9808393597880618	0.9851826633346847	0.9838225018775851	0.9827625871897995
