	WenC_2017__RA017__bin.25	WenC_2017__RA007__bin.39	BritoIL_2016__WL.8.ST__bin.39	WenC_2017__N035__bin.74	ChengpingW_2017__AS18raw__bin.2	QinJ_2012__T2D-003__bin.38	ChengpingW_2017__AS101raw__bin.22	WenC_2017__RA047__bin.66	BritoIL_2016__W3.21.ST__bin.63	CosteaPI_2017__SID713A029-11-0-0__bin.63	BritoIL_2016__W2.53.ST__bin.27	HeQ_2017__SZAXPI029588-107__bin.7	QinJ_2012__CON-010__bin.9	QinJ_2012__CON-077__bin.4	QinN_2014__HD-30__bin.8	BritoIL_2016__WL.2.ST__bin.81	BritoIL_2016__W1.27.ST__bin.48	BritoIL_2016__WL.30.ST__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.1	BritoIL_2016__WL.13.ST__bin.14	BritoIL_2016__WL.36.ST__bin.40	QinJ_2012__CON-029__bin.31	BritoIL_2016__M2.33.ST__bin.49	HeQ_2017__SZAXPI029593-133__bin.43	QinJ_2012__CON-017__bin.41	QinN_2014__HD-77__bin.19
WenC_2017__RA017__bin.25	0.0	9631.0	17531.0	5638.0	6012.0	7899.0	11000.0	8496.0	12887.0	9701.0	14161.0	10243.0	5995.0	7657.0	13987.0	15728.0	16479.0	11254.0	17326.0	14097.0	5326.0	4519.0	15036.0	12986.0	6716.0	8176.0
WenC_2017__RA007__bin.39	9631.0	0.0	11549.0	7433.0	9505.0	9540.0	11007.0	9760.0	8768.0	5990.0	9076.0	3485.0	4822.0	10566.0	10606.0	10621.0	10104.0	6783.0	11530.0	10368.0	3255.0	6311.0	9902.0	9777.0	8725.0	10822.0
BritoIL_2016__WL.8.ST__bin.39	17531.0	11549.0	0.0	14312.0	14655.0	16903.0	16963.0	13390.0	2261.0	7315.0	2102.0	8185.0	7027.0	18570.0	15702.0	1152.0	1850.0	5085.0	9990.0	6678.0	1976.0	11112.0	9344.0	12678.0	14108.0	17681.0
WenC_2017__N035__bin.74	5638.0	7433.0	14312.0	0.0	6174.0	4973.0	8720.0	6009.0	12215.0	7529.0	11952.0	6420.0	3638.0	7077.0	10709.0	13966.0	14634.0	7802.0	14140.0	11635.0	2090.0	4292.0	12789.0	11007.0	2059.0	6589.0
ChengpingW_2017__AS18raw__bin.2	6012.0	9505.0	14655.0	6174.0	0.0	7768.0	10996.0	7384.0	11005.0	7389.0	11045.0	7528.0	3993.0	2552.0	11202.0	13202.0	13524.0	8169.0	14479.0	12188.0	3070.0	1670.0	13229.0	11298.0	7399.0	5762.0
QinJ_2012__T2D-003__bin.38	7899.0	9540.0	16903.0	4973.0	7768.0	0.0	12189.0	8446.0	13397.0	9224.0	14493.0	9703.0	5536.0	9176.0	12866.0	15509.0	16365.0	10354.0	16401.0	13582.0	4417.0	6013.0	15409.0	12956.0	5643.0	8548.0
ChengpingW_2017__AS101raw__bin.22	11000.0	11007.0	16963.0	8720.0	10996.0	12189.0	0.0	9488.0	13864.0	9231.0	14600.0	9222.0	4635.0	11689.0	9985.0	16000.0	15721.0	10537.0	16851.0	13903.0	4160.0	7406.0	14447.0	12473.0	8817.0	11690.0
WenC_2017__RA047__bin.66	8496.0	9760.0	13390.0	6009.0	7384.0	8446.0	9488.0	0.0	10088.0	6494.0	10082.0	7248.0	3898.0	8323.0	9936.0	11912.0	11954.0	7037.0	13094.0	11672.0	2858.0	5132.0	12105.0	10526.0	6701.0	7735.0
BritoIL_2016__W3.21.ST__bin.63	12887.0	8768.0	2261.0	12215.0	11005.0	13397.0	13864.0	10088.0	0.0	9228.0	147.0	9074.0	7934.0	14541.0	12309.0	2903.0	1680.0	6132.0	7489.0	4939.0	2418.0	11886.0	7134.0	10583.0	9832.0	13323.0
CosteaPI_2017__SID713A029-11-0-0__bin.63	9701.0	5990.0	7315.0	7529.0	7389.0	9224.0	9231.0	6494.0	9228.0	0.0	11199.0	8547.0	9050.0	10533.0	9962.0	11331.0	11299.0	8310.0	7560.0	6075.0	4421.0	10513.0	7402.0	8939.0	5848.0	9885.0
BritoIL_2016__W2.53.ST__bin.27	14161.0	9076.0	2102.0	11952.0	11045.0	14493.0	14600.0	10082.0	147.0	11199.0	0.0	11712.0	10564.0	16126.0	12626.0	2910.0	1652.0	7227.0	7353.0	5066.0	3567.0	14393.0	7179.0	11584.0	9457.0	16166.0
HeQ_2017__SZAXPI029588-107__bin.7	10243.0	3485.0	8185.0	6420.0	7528.0	9703.0	9222.0	7248.0	9074.0	8547.0	11712.0	0.0	9813.0	10581.0	8851.0	11129.0	11079.0	10413.0	8085.0	6342.0	4591.0	10629.0	7631.0	8247.0	5551.0	10079.0
QinJ_2012__CON-010__bin.9	5995.0	4822.0	7027.0	3638.0	3993.0	5536.0	4635.0	3898.0	7934.0	9050.0	10564.0	9813.0	0.0	6269.0	6614.0	10457.0	10271.0	10398.0	6388.0	5687.0	5759.0	6239.0	6763.0	6588.0	3094.0	5345.0
QinJ_2012__CON-077__bin.4	7657.0	10566.0	18570.0	7077.0	2552.0	9176.0	11689.0	8323.0	14541.0	10533.0	16126.0	10581.0	6269.0	0.0	13405.0	18232.0	17941.0	11929.0	17997.0	14475.0	5899.0	1409.0	16152.0	14228.0	7672.0	6632.0
QinN_2014__HD-30__bin.8	13987.0	10606.0	15702.0	10709.0	11202.0	12866.0	9985.0	9936.0	12309.0	9962.0	12626.0	8851.0	6614.0	13405.0	0.0	14176.0	14250.0	9471.0	15388.0	13402.0	4239.0	8764.0	13911.0	12703.0	10387.0	12970.0
BritoIL_2016__WL.2.ST__bin.81	15728.0	10621.0	1152.0	13966.0	13202.0	15509.0	16000.0	11912.0	2903.0	11331.0	2910.0	11129.0	10457.0	18232.0	14176.0	0.0	2732.0	7541.0	8316.0	5650.0	3816.0	14479.0	8462.0	13365.0	11429.0	17564.0
BritoIL_2016__W1.27.ST__bin.48	16479.0	10104.0	1850.0	14634.0	13524.0	16365.0	15721.0	11954.0	1680.0	11299.0	1652.0	11079.0	10271.0	17941.0	14250.0	2732.0	0.0	7022.0	8271.0	5919.0	3392.0	14601.0	8023.0	13721.0	11844.0	17793.0
BritoIL_2016__WL.30.ST__bin.45	11254.0	6783.0	5085.0	7802.0	8169.0	10354.0	10537.0	7037.0	6132.0	8310.0	7227.0	10413.0	10398.0	11929.0	9471.0	7541.0	7022.0	0.0	6535.0	3769.0	2756.0	11947.0	5958.0	9350.0	6222.0	13034.0
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.1	17326.0	11530.0	9990.0	14140.0	14479.0	16401.0	16851.0	13094.0	7489.0	7560.0	7353.0	8085.0	6388.0	17997.0	15388.0	8316.0	8271.0	6535.0	0.0	9526.0	2328.0	10906.0	10643.0	12289.0	13832.0	17135.0
BritoIL_2016__WL.13.ST__bin.14	14097.0	10368.0	6678.0	11635.0	12188.0	13582.0	13903.0	11672.0	4939.0	6075.0	5066.0	6342.0	5687.0	14475.0	13402.0	5650.0	5919.0	3769.0	9526.0	0.0	1511.0	8144.0	7519.0	10801.0	12537.0	14829.0
BritoIL_2016__WL.36.ST__bin.40	5326.0	3255.0	1976.0	2090.0	3070.0	4417.0	4160.0	2858.0	2418.0	4421.0	3567.0	4591.0	5759.0	5899.0	4239.0	3816.0	3392.0	2756.0	2328.0	1511.0	0.0	5862.0	2289.0	4688.0	2283.0	5150.0
QinJ_2012__CON-029__bin.31	4519.0	6311.0	11112.0	4292.0	1670.0	6013.0	7406.0	5132.0	11886.0	10513.0	14393.0	10629.0	6239.0	1409.0	8764.0	14479.0	14601.0	11947.0	10906.0	8144.0	5862.0	0.0	9846.0	9351.0	4232.0	4521.0
BritoIL_2016__M2.33.ST__bin.49	15036.0	9902.0	9344.0	12789.0	13229.0	15409.0	14447.0	12105.0	7134.0	7402.0	7179.0	7631.0	6763.0	16152.0	13911.0	8462.0	8023.0	5958.0	10643.0	7519.0	2289.0	9846.0	0.0	11253.0	12950.0	15600.0
HeQ_2017__SZAXPI029593-133__bin.43	12986.0	9777.0	12678.0	11007.0	11298.0	12956.0	12473.0	10526.0	10583.0	8939.0	11584.0	8247.0	6588.0	14228.0	12703.0	13365.0	13721.0	9350.0	12289.0	10801.0	4688.0	9351.0	11253.0	0.0	10604.0	13368.0
QinJ_2012__CON-017__bin.41	6716.0	8725.0	14108.0	2059.0	7399.0	5643.0	8817.0	6701.0	9832.0	5848.0	9457.0	5551.0	3094.0	7672.0	10387.0	11429.0	11844.0	6222.0	13832.0	12537.0	2283.0	4232.0	12950.0	10604.0	0.0	7606.0
QinN_2014__HD-77__bin.19	8176.0	10822.0	17681.0	6589.0	5762.0	8548.0	11690.0	7735.0	13323.0	9885.0	16166.0	10079.0	5345.0	6632.0	12970.0	17564.0	17793.0	13034.0	17135.0	14829.0	5150.0	4521.0	15600.0	13368.0	7606.0	0.0
