	WenC_2017__RA017__bin.25	WenC_2017__RA007__bin.39	BritoIL_2016__WL.8.ST__bin.39	WenC_2017__N035__bin.74	ChengpingW_2017__AS18raw__bin.2	QinJ_2012__T2D-003__bin.38	ChengpingW_2017__AS101raw__bin.22	WenC_2017__RA047__bin.66	BritoIL_2016__W3.21.ST__bin.63	CosteaPI_2017__SID713A029-11-0-0__bin.63	BritoIL_2016__W2.53.ST__bin.27	HeQ_2017__SZAXPI029588-107__bin.7	QinJ_2012__CON-010__bin.9	QinJ_2012__CON-077__bin.4	QinN_2014__HD-30__bin.8	BritoIL_2016__WL.2.ST__bin.81	BritoIL_2016__W1.27.ST__bin.48	BritoIL_2016__WL.30.ST__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.1	BritoIL_2016__WL.13.ST__bin.14	BritoIL_2016__WL.36.ST__bin.40	QinJ_2012__CON-029__bin.31	BritoIL_2016__M2.33.ST__bin.49	HeQ_2017__SZAXPI029593-133__bin.43	QinJ_2012__CON-017__bin.41	QinN_2014__HD-77__bin.19
WenC_2017__RA017__bin.25	1.0	0.6172476835958907	0.7515869179070163	0.6301406534432694	0.6674101940677378	0.7661199522546753	0.844116317815053	0.6306815676591564	0.5564483745803388	0.5168565246694675	0.6329381326412991	0.5540095364672238	0.4435618610598454	0.8987025932388085	0.7586617136666267	0.6906494277489781	0.6921930410244458	0.5435656403731443	0.6695998337102148	0.6237953438860159	0.2809970615839102	0.6073017907646181	0.6879905233719034	0.7493917667659785	0.5661797126462121	0.8695955819827538
WenC_2017__RA007__bin.39	0.863027331343691	1.0	0.809468267921367	0.6781205036268221	0.7575384947339798	0.8238984952183633	0.8983845807494955	0.7343078984247626	0.5697633455933754	0.4904725051768496	0.6054431504308262	0.49548422395695146	0.3702754711456002	0.9255827189551405	0.8158538746833618	0.6960795754157718	0.6902510097746405	0.47130412573717123	0.7147123807343035	0.7007136951752092	0.22874739506214972	0.5633210439346918	0.7488949999504608	0.8054985242813785	0.6594733869751457	0.9253542880607153
BritoIL_2016__WL.8.ST__bin.39	0.8456026107685344	0.6513611483412955	1.0	0.6769094212495227	0.7025772835144743	0.8013855534285382	0.8833233084971338	0.6665144486089101	0.6039098632872191	0.49358691001476707	0.6472906809772311	0.5039212021299307	0.37507917258338697	0.9006239021032667	0.7907195115793502	0.7291194768541445	0.7323869238339816	0.4900674395387217	0.7468328752027482	0.6803522659525558	0.21221662859000603	0.5757408117725533	0.7593029446443014	0.7834834696504358	0.6164330835539831	0.8816517150442524
WenC_2017__N035__bin.74	0.8731194620270427	0.6720134493239336	0.8336420743029327	1.0	0.7544778350166808	0.8570480217667839	0.9223085533249111	0.6941784326431937	0.6926778206160418	0.5197043287011278	0.6722463687479954	0.5300487876189416	0.36459581115962236	0.9323191792508613	0.8178919210234054	0.7792212963629659	0.7840766026711004	0.5091307687104664	0.761991804727337	0.6974387591013128	0.1458533796772075	0.6337966629792304	0.7742236201024191	0.8598997846449915	0.6635683473957754	0.9186478454680534
ChengpingW_2017__AS18raw__bin.2	0.7712809734060339	0.6261226402433061	0.7216502771768677	0.629259959373173	1.0	0.7540516502089347	0.8032346779311709	0.6392465156695352	0.5077648193516541	0.4058997613799473	0.5251997788954325	0.41651869493711485	0.30160209821865236	0.8461544410854142	0.7243781434040548	0.6066335919710835	0.6019963103743992	0.4050676620921679	0.6588588547602312	0.6022788328772483	0.1657137787725967	0.4947492214708003	0.674660097222317	0.6942337657610933	0.5957776306780312	0.8323126582364865
QinJ_2012__T2D-003__bin.38	0.8434309593691003	0.648726134525603	0.7841644895263225	0.6809602359112872	0.7183466619974447	1.0	0.8681394074826594	0.6749202967267482	0.5675852551978322	0.4943258550657303	0.613729939825979	0.5072482737458546	0.37899838253063745	0.9078324176919597	0.7821027795162154	0.6927930731397802	0.6892872559710277	0.4852347410922166	0.7176540799927881	0.6548761587096305	0.22067751682913594	0.5831774518183095	0.7336870500167294	0.7638447056049734	0.6264252540189693	0.8913140334970451
ChengpingW_2017__AS101raw__bin.22	0.8524717453196445	0.6488957148144894	0.7928851520347703	0.6722298048660827	0.701940604640419	0.7963691041078669	1.0	0.6631122112460526	0.6133990021655925	0.5264469056120532	0.6453656440103099	0.5294788146054841	0.41302703074489305	0.9127783474147867	0.7970322596548172	0.7141167447968332	0.7050102832843057	0.5185586147205423	0.7120926891076701	0.6471587084687905	0.2484837473218336	0.60687439444317	0.7227898492672886	0.7754979928412598	0.5924881333721896	0.8957382714302015
WenC_2017__RA047__bin.66	0.8461291443649734	0.7045951258982737	0.7947837541209938	0.6721426632314929	0.7421216528974508	0.8224816912209761	0.8809187294082352	1.0	0.5487700662422347	0.4497579427830189	0.5690869219385281	0.46516816189682436	0.3499414266956945	0.9013100561226268	0.7972978111858638	0.6622728765988822	0.6564477641265183	0.44333125237013254	0.7239628722362538	0.6762042386157052	0.1996208844199236	0.5455704532802634	0.7310730058932455	0.7688044602330045	0.6551093984537493	0.8943705191950369
BritoIL_2016__W3.21.ST__bin.63	0.7525191622437913	0.5510894674607877	0.7259015185515861	0.6760639790278778	0.5942039170463977	0.6972219072215718	0.8214063439178875	0.5531674069625615	1.0	0.6679774243026817	0.9022143924595766	0.6793685576821205	0.5168591010076649	0.8186299015654024	0.6958499241070264	0.8906161572440655	0.8614014884712423	0.6746573902080761	0.6268216576345775	0.5738488412146496	0.2829889533264867	0.7547051780250578	0.6537369103919868	0.7686688462937024	0.46045659299910613	0.8040869870303141
CosteaPI_2017__SID713A029-11-0-0__bin.63	0.8071485044061828	0.5478138767400027	0.6851094752295924	0.5857382799964096	0.5485073571633208	0.701203385266492	0.8140673241615218	0.5235230035079781	0.7713518810656482	1.0	0.9183371470658033	0.8694271040183748	0.7476653440535898	0.8789212690691748	0.6884619120632395	0.9087513786612139	0.8856095434710171	0.8337552825625331	0.5669190164873742	0.5253747437872639	0.47455640000049176	0.8999008962373769	0.6231450320857653	0.7949947681574446	0.40733490800933003	0.8457307304045673
