	HMP_2012__SRS022532__bin.7	HMP_2012__SRS052874__bin.11	HMP_2012__SRS023987__bin.2	HMP_2012__SRS019329__bin.12	HMP_2012__SRS043676__bin.6	HMP_2012__SRS045262__bin.3	HMP_2012__SRS011343__bin.24	HMP_2012__SRS046686__bin.6	HMP_2012__SRS017687__bin.7	HMP_2012__SRS019976__bin.6	HMP_2012__SRS024289__bin.15	HMP_2012__SRS017215__bin.13	HMP_2012__SRS022625__bin.1	HMP_2012__SRS014472__bin.1	HMP_2012__SRS019391__bin.4	HMP_2012__SRS045049__bin.14	HMP_2012__SRS063272__bin.1	HMP_2012__SRS011098__bin.13	HMP_2012__SRS015745__bin.9	QinN_2014__LD-57__bin.29	HMP_2012__SRS021473__bin.7	HMP_2012__SRS011310__bin.15	HMP_2012__SRS019387__bin.27	HMP_2012__SRS017013__bin.8	HMP_2012__SRS024347__bin.8	HMP_2012__SRS013881__bin.7	HMP_2012__SRS011144__bin.2	HMP_2012__SRS015650__bin.18	HMP_2012__SRS015060__bin.15	HMP_2012__SRS024281__bin.7	BackhedF_2015__SID536_B__bin.13	HMP_2012__SRS011090__bin.2	HMP_2012__SRS015985__bin.1	HMP_2012__SRS018978__bin.5
HMP_2012__SRS022532__bin.7	1.0	0.5868535804142374	0.7389198225797553	0.7971737050789199	0.7851439171317129	0.6144118035885857	0.7374557204080124	0.4698185720813985	0.7033951764261334	0.6053976601430063	0.7331508540509255	0.7850648046076799	0.7721533283992101	0.8319436593914372	0.5509495064315358	0.5696903265161238	0.8267451337990562	0.775722240091937	0.4680905880038349	0.7821928117944282	0.6189160126871506	0.6870605221218395	0.7394361358944972	0.6994811883950255	0.7697601745472109	0.6600097641509924	0.8171808460251683	0.5781694194702167	0.5429565391185407	0.6922928787277874	0.5910829775872137	0.8333270876077518	0.7506263942281168	0.4283464337427407
HMP_2012__SRS052874__bin.11	0.8666880866803387	1.0	0.8087172281477428	0.8429011102536274	0.8507214650059495	0.6700439059036223	0.7505003981662829	0.542951995597111	0.7309764144126971	0.6609867759599805	0.8196275992264197	0.8091492155048102	0.8325103538606756	0.8351922113140717	0.5965368757321494	0.6142568126404727	0.8329561771117419	0.8163646342250822	0.49672396776544164	0.8260290061831073	0.6372743596287062	0.6911920698804886	0.7496694758655889	0.7603377187992905	0.7898327701612035	0.7312269978262274	0.8332820892814866	0.6317907336405927	0.6248013011889645	0.761253962446309	0.655800621692837	0.8441832364308313	0.7959090336089238	0.4364963211895179
HMP_2012__SRS023987__bin.2	0.7683719324186312	0.5694266667893437	1.0	0.7828794010182559	0.7480198022481299	0.5964493640365238	0.6711494320681897	0.4683317195883029	0.6405200282085157	0.6439659917441922	0.7128825563453194	0.7641081817143656	0.8707696021311176	0.7294602009342582	0.5253836049638761	0.5225670831734472	0.7453347975205515	0.7340665454689124	0.4696658330036386	0.7366037964592143	0.5994488190254856	0.602867180214638	0.6634916751864106	0.7099734855106624	0.7077761222383446	0.6821394957646635	0.7395967567784058	0.5556227874148454	0.5480970888183977	0.6721176790864598	0.5995132245007088	0.7881341300849881	0.7314573118886554	0.39076641974293014
HMP_2012__SRS019329__bin.12	0.7962946499361819	0.5701175241170094	0.7520410099639447	1.0	0.7499811535092166	0.5918702737550268	0.6543647172896406	0.4908078515780362	0.6581542916708909	0.6028230743435572	0.6869132567515928	0.7732301845396387	0.7770483535965603	0.7612110625001625	0.5249166205252582	0.5433487484630362	0.7726322958665096	0.7277053812580098	0.4780806213882975	0.745463714656331	0.6983376095371042	0.6008188475305898	0.6667524506936808	0.7814659710361931	0.7263822276292154	0.6832921310052068	0.7489122325423005	0.5604540834496616	0.5536558292845872	0.6528965106697133	0.5609656681925826	0.8994699586936913	0.7125720390863222	0.39687590170710213
HMP_2012__SRS043676__bin.6	0.866998980987046	0.636097427523925	0.7943432998892477	0.8290845723277922	1.0	0.6404608490395243	0.731928325399056	0.500164088098354	0.7223962724701553	0.6344841340315268	0.8146189563996945	0.7877458663305591	0.8024919550852654	0.8343043555475858	0.5610847401516967	0.5843295003962828	0.8349940428261315	0.8147448243280291	0.4899779817336324	0.8284224725403884	0.6227284143687147	0.6593847184840214	0.726864296556334	0.7370969568123573	0.7937559162236862	0.7000050002327695	0.8253412946234854	0.6186063834006066	0.5721266334812138	0.7615325770912325	0.6564891813929269	0.839815531642565	0.793995582552981	0.43634387577812533
HMP_2012__SRS045262__bin.3	0.7349892535781973	0.5427397522968452	0.6861528058994494	0.7088055906298175	0.6938166359092369	1.0	0.6117023926042702	0.43227326046188447	0.6143578670531892	0.5749802629448931	0.6536364745759335	0.6838167355284426	0.69226444416219	0.7068051124576307	0.4817796472982026	0.5160866338421384	0.7138513033927811	0.6886781527610708	0.4189491917146707	0.7006249859910492	0.5361144525052985	0.5678749231064257	0.6032627780309766	0.6450922598367739	0.6886993218422579	0.6028325475868493	0.6949006173900266	0.5219984110736708	0.5116766161348246	0.6281308448455778	0.5269227129298257	0.7104536658622416	0.7172881659855204	0.3624321032851924
HMP_2012__SRS011343__bin.24	0.8482085291147318	0.5845000398097989	0.7423551716520708	0.7534695886061362	0.7623702215520074	0.5881463779368706	1.0	0.47069011034797353	0.6674989808092824	0.6125764243377355	0.7905124568752122	0.7338454529726545	0.7549153128840673	0.7574487725711083	0.5536124249675086	0.5541506055579268	0.7739557710140365	0.7700005327927981	0.46318132375663223	0.7627994490084367	0.583507488732031	0.660690607222156	0.7303128571283187	0.6915399088744723	0.7349188209355242	0.6669775622394777	0.7613160101841248	0.5954348636858605	0.5420975154494945	0.7093100452993606	0.6073071634291024	0.7573194655549456	0.7366387239792078	0.4172102849363911
HMP_2012__SRS046686__bin.6	0.8354905470721192	0.6537921855302543	0.8009229863588319	0.8737798568315984	0.8054796067404291	0.6426112035660668	0.727745865905965	1.0	0.7127403957401199	0.6756645187087077	0.7688628163856921	0.8180804253215921	0.8177583241855377	0.8016014350160957	0.5967506659533546	0.6091728479849242	0.827786035990174	0.7913515844969391	0.5190632040177489	0.8153823655181478	0.7065566092746616	0.6518743879615626	0.7054884922890099	0.7854130761954302	0.7760776967177154	0.7291277538258766	0.8010812601929275	0.6324002273219512	0.6206000336910383	0.7121415467888924	0.603027935794507	0.888848266299891	0.7745134699363018	0.4410490130562029
HMP_2012__SRS017687__bin.7	0.8724154047364826	0.6138951972845853	0.7639808609227917	0.8172046412004013	0.8113908753700578	0.6369772549161374	0.7197934002202596	0.49710021806463445	1.0	0.6427232386665135	0.7638975857959747	0.7904436304856683	0.7893255489380162	0.9193709564761581	0.5594552128292757	0.6052449127935127	0.8260737649782258	0.8002165153297243	0.4785072707577779	0.8050083856116074	0.6325249405777098	0.6620385492827364	0.7214795601523999	0.72807185158694	0.7902351198968164	0.6857622772713129	0.8611493775022885	0.6490695779823147	0.5748075311700737	0.7130184199416171	0.6262250804024577	0.841111703576699	0.7693330630657382	0.43618672220063237
HMP_2012__SRS019976__bin.6	0.7890242264481669	0.5833232712013642	0.8071204620350108	0.7865360534102488	0.7488607179342466	0.6264423331302817	0.6941337996735799	0.49518713530424496	0.6753822818744598	1.0	0.7284404690355413	0.7742084719985565	0.802892331570086	0.7454913734742303	0.5488266649662794	0.5531002446115587	0.7622600859871358	0.7473201942240197	0.4645923751198977	0.7487325105448882	0.6105005243614391	0.6243401389523896	0.6782001310564425	0.7267323938693804	0.7276305239408646	0.693689483059666	0.7470271487626291	0.5706544817640251	0.592353412826437	0.6916327380621284	0.6071949444231143	0.796183489872973	0.7380044689432862	0.39528034004127055
