	HMP_2012__SRS022532__bin.7	HMP_2012__SRS052874__bin.11	HMP_2012__SRS023987__bin.2	HMP_2012__SRS019329__bin.12	HMP_2012__SRS043676__bin.6	HMP_2012__SRS045262__bin.3	HMP_2012__SRS011343__bin.24	HMP_2012__SRS046686__bin.6	HMP_2012__SRS017687__bin.7	HMP_2012__SRS019976__bin.6	HMP_2012__SRS024289__bin.15	HMP_2012__SRS017215__bin.13	HMP_2012__SRS022625__bin.1	HMP_2012__SRS014472__bin.1	HMP_2012__SRS019391__bin.4	HMP_2012__SRS045049__bin.14	HMP_2012__SRS063272__bin.1	HMP_2012__SRS011098__bin.13	HMP_2012__SRS015745__bin.9	QinN_2014__LD-57__bin.29	HMP_2012__SRS021473__bin.7	HMP_2012__SRS011310__bin.15	HMP_2012__SRS019387__bin.27	HMP_2012__SRS017013__bin.8	HMP_2012__SRS024347__bin.8	HMP_2012__SRS013881__bin.7	HMP_2012__SRS011144__bin.2	HMP_2012__SRS015650__bin.18	HMP_2012__SRS015060__bin.15	HMP_2012__SRS024281__bin.7	BackhedF_2015__SID536_B__bin.13	HMP_2012__SRS011090__bin.2	HMP_2012__SRS015985__bin.1	HMP_2012__SRS018978__bin.5
HMP_2012__SRS022532__bin.7	1921314.0	1161498.0	1476722.0	1594328.0	1558179.0	1218577.0	1420609.0	934612.0	1394155.0	1206695.0	1452979.0	1566976.0	1543541.0	1644459.0	1070532.0	1121939.0	1646038.0	1541720.0	937279.0	1555803.0	1236421.0	1324617.0	1424147.0	1398936.0	1527915.0	1318003.0	1623405.0	1144450.0	1082661.0	1371124.0	1174277.0	1666952.0	1489334.0	849802.0
HMP_2012__SRS052874__bin.11	1161498.0	1300964.0	1087552.0	1133690.0	1128203.0	895505.0	1005402.0	725019.0	975854.0	887203.0	1082155.0	1087831.0	1119749.0	1116743.0	796587.0	816897.0	1117471.0	1093826.0	668647.0	1107884.0	857321.0	924348.0	1004158.0	1023117.0	1059968.0	979668.0	1114335.0	843395.0	836668.0	1004660.0	868639.0	1135379.0	1065584.0	583201.0
HMP_2012__SRS023987__bin.2	1476722.0	1087552.0	1847669.0	1503604.0	1435563.0	1142491.0	1289473.0	896027.0	1225905.0	1232889.0	1367028.0	1463485.0	1610739.0	1401152.0	1004935.0	996623.0	1433360.0	1410130.0	902115.0	1413482.0	1151374.0	1155646.0	1274831.0	1362952.0	1357694.0	1306970.0	1421554.0	1065509.0	1049947.0	1288890.0	1150956.0	1513978.0	1404108.0	749169.0
HMP_2012__SRS019329__bin.12	1594328.0	1133690.0	1503604.0	1923435.0	1501183.0	1182977.0	1309173.0	964856.0	1316327.0	1204708.0	1373906.0	1543310.0	1552305.0	1523820.0	1039055.0	1080162.0	1546247.0	1454308.0	949718.0	1490994.0	1349002.0	1198793.0	1335277.0	1518159.0	1452724.0	1353017.0	1499364.0	1120228.0	1096668.0	1305573.0	1123867.0	1746589.0	1426224.0	793933.0
HMP_2012__SRS043676__bin.6	1558179.0	1128203.0	1435563.0	1501183.0	1739919.0	1149609.0	1314507.0	896310.0	1292771.0	1143385.0	1435866.0	1423692.0	1448978.0	1494622.0	1005415.0	1040278.0	1505641.0	1464958.0	886687.0	1490856.0	1127509.0	1183158.0	1305860.0	1333207.0	1428530.0	1264275.0	1476971.0	1105826.0	1030444.0	1342029.0	1153831.0	1520445.0	1425730.0	782863.0
HMP_2012__SRS045262__bin.3	1218577.0	895505.0	1142491.0	1182977.0	1149609.0	1606116.0	1013329.0	716885.0	1019207.0	955567.0	1083131.0	1140557.0	1153369.0	1172806.0	796397.0	850942.0	1186901.0	1140054.0	698475.0	1163449.0	893638.0	939836.0	999910.0	1076077.0	1142397.0	1004046.0	1153728.0	863996.0	850352.0	1039898.0	874621.0	1185434.0	1176062.0	599503.0
HMP_2012__SRS011343__bin.24	1420609.0	1005402.0	1289473.0	1309173.0	1314507.0	1013329.0	1670443.0	812297.0	1150143.0	1060763.0	1359089.0	1272712.0	1310681.0	1302021.0	935797.0	948746.0	1340195.0	1329758.0	805121.0	1318155.0	1013459.0	1106210.0	1223251.0	1200924.0	1267090.0	1157605.0	1314219.0	1024360.0	938513.0	1220502.0	1048047.0	1316034.0	1269930.0	719513.0
HMP_2012__SRS046686__bin.6	934612.0	725019.0	896027.0	964856.0	896310.0	716885.0	812297.0	1080406.0	794516.0	754730.0	855315.0	914372.0	915264.0	895793.0	662163.0	676961.0	926476.0	884267.0	577951.0	912621.0	779582.0	726421.0	789406.0	861661.0	867466.0	811538.0	895434.0	705285.0	689444.0	791006.0	670687.0	977610.0	865537.0	493225.0
HMP_2012__SRS017687__bin.7	1394155.0	975854.0	1225905.0	1316327.0	1292771.0	1019207.0	1150143.0	794516.0	1549082.0	1030378.0	1215412.0	1270812.0	1266449.0	1435601.0	891890.0	954406.0	1325692.0	1279099.0	771472.0	1288959.0	1017992.0	1056108.0	1153518.0	1171180.0	1266125.0	1103069.0	1359005.0	1014927.0	923692.0	1133501.0	998238.0	1353608.0	1232366.0	697194.0
HMP_2012__SRS019976__bin.6	1206695.0	887203.0	1232889.0	1204708.0	1143385.0	955567.0	1060763.0	754730.0	1030378.0	1474174.0	1111827.0	1184310.0	1225652.0	1138984.0	835739.0	839098.0	1167744.0	1142809.0	711656.0	1143441.0	934324.0	952918.0	1037502.0	1112778.0	1110888.0	1062181.0	1141780.0	871546.0	905705.0	1055888.0	928871.0	1219349.0	1127664.0	602934.0
HMP_2012__SRS024289__bin.15	1452979.0	1082155.0	1367028.0	1373906.0	1435866.0	1083131.0	1359089.0	855315.0	1215412.0	1111827.0	1923213.0	1338634.0	1385744.0	1368236.0	946291.0	996188.0	1399481.0	1393147.0	824388.0	1372449.0	1066492.0	1152433.0	1243484.0	1252412.0	1330510.0	1193186.0	1386917.0	1076100.0	984244.0	1339170.0	1136757.0	1379625.0	1321497.0	750713.0
HMP_2012__SRS017215__bin.13	1566976.0	1087831.0	1463485.0	1543310.0	1423692.0	1140557.0	1272712.0	914372.0	1270812.0	1184310.0	1338634.0	1798357.0	1551589.0	1490528.0	987066.0	1038156.0	1519377.0	1425907.0	928105.0	1446920.0	1200589.0	1171094.0	1263444.0	1340583.0	1412531.0	1278884.0	1489773.0	1064597.0	1053586.0	1273115.0	1094788.0	1577171.0	1377835.0	785274.0
HMP_2012__SRS022625__bin.1	1543541.0	1119749.0	1610739.0	1552305.0	1448978.0	1153369.0	1310681.0	915264.0	1266449.0	1225652.0	1385744.0	1551589.0	1767171.0	1457308.0	1014901.0	1028477.0	1499428.0	1451552.0	932351.0	1461734.0	1188937.0	1185347.0	1302248.0	1371780.0	1400889.0	1318719.0	1484753.0	1079471.0	1072424.0	1308731.0	1128138.0	1572987.0	1433138.0	784317.0
HMP_2012__SRS014472__bin.1	1644459.0	1116743.0	1401152.0	1523820.0	1494622.0	1172806.0	1302021.0	895793.0	1435601.0	1138984.0	1368236.0	1490528.0	1457308.0	1765528.0	1005164.0	1098092.0	1563049.0	1463022.0	906583.0	1496586.0	1188398.0	1202234.0	1318279.0	1338758.0	1469464.0	1251886.0	1589045.0	1160246.0	1025115.0	1295424.0	1117889.0	1590286.0	1418772.0	813086.0
