	ZellerG_2014__CCMD72895164ST-21-0__bin.5	RampelliS_2015__H14__bin.32	LeChatelierE_2013__MH0189__bin.65	NielsenHB_2014__MH0096__bin.53	CosteaPI_2017__SID713A056-11-90-0__bin.38	XieH_2016__YSZC12003_37315__bin.45	LeChatelierE_2013__MH0096__bin.48	BritoIL_2016__M1.27.ST__bin.20	LiuW_2016__SRR3992998__bin.96	BritoIL_2016__M1.29.ST__bin.46	LiuW_2016__SRR3993048__bin.88	XieH_2016__YSZC12003_36244__bin.60	RampelliS_2015__H17__bin.38	ZeeviD_2015__PNP_Validation_57__bin.29	RampelliS_2015__H21__bin.15	BritoIL_2016__W2.35.ST__bin.80	BritoIL_2016__M2.38.ST__bin.58	XieH_2016__YSZC12003_35520__bin.11	LiuW_2016__SRR3993043__bin.1	BritoIL_2016__M2.39.ST__bin.80	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.63	CosteaPI_2017__SID713A084-11-90-0__bin.49	LiuW_2016__SRR3992961__bin.125	CosteaPI_2017__SID713A056-11-0-0__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.64	CosteaPI_2017__SID713A084-11-0-0__bin.5	LiuW_2016__SRR3992980__bin.94	LiuW_2016__SRR3992981__bin.61
ZellerG_2014__CCMD72895164ST-21-0__bin.5	1.0	0.8039747197692073	0.8296084932524771	0.6684007399969917	0.9153978769440027	0.9394638492956787	0.7545995904047228	0.9273206220808623	0.8702581890129216	0.9325697668289534	0.7804634880393294	0.901794197014557	0.9150443342534014	0.9219692713549427	0.7927037787928382	0.9404775526103664	0.6979884063709678	0.8684981892186192	0.5208333065497962	0.9223928797787723	0.8772827608727234	0.9437526435351183	0.8920492748518013	0.655080537024919	0.9185868320132263	0.9421212047192163	0.7737416772836608	0.9236495633426368
RampelliS_2015__H14__bin.32	0.8702703154039214	1.0	0.850638719207778	0.657090691238981	0.9261383285102072	0.9434640088562755	0.7530081625524554	0.9492795926447268	0.8794703212487293	0.9545440945522912	0.7981022465632182	0.9114629901897684	0.950121523296082	0.9266407036591976	0.8724342859210408	0.9632688618558796	0.7307171787947588	0.8717795282822597	0.5763648496040491	0.9312713222416508	0.89560129504242	0.9172215175208552	0.8889110775111974	0.6732988999932507	0.9333775404909499	0.9173328471937616	0.8024601074470505	0.9040150350723261
LeChatelierE_2013__MH0189__bin.65	0.8516851144647762	0.8067504884987498	1.0	0.6999492528823241	0.8923045856520939	0.9232781450179727	0.7914742202662475	0.9041717562264205	0.853031331890769	0.9133392329332296	0.7613341278655789	0.9290286051405708	0.8937372513539714	0.8976525003679001	0.7856841655134731	0.9120689052150748	0.6875435953376003	0.9260926633130014	0.5249574852658483	0.8942288846786599	0.8942836572504037	0.9036623053181527	0.8646437770109617	0.6433025353101612	0.8979105253745487	0.9051273066346742	0.7548696445788022	0.8904284600922423
NielsenHB_2014__MH0096__bin.53	0.9014429933116892	0.8186813234446318	0.9195218052804279	1.0	0.9350848067411931	0.9600487210718636	0.9706295161269348	0.9436803481562716	0.877874824989922	0.9577383713117845	0.7870733113423869	0.9620331077888695	0.9286583066393297	0.9447874088105384	0.7985817139934374	0.9588220250454051	0.715544362616547	0.9357428012882476	0.5185291784604315	0.9423834313678744	0.9226375264953338	0.9458519902384471	0.9077082457379899	0.7007737287658051	0.9259604423041079	0.9463045240376071	0.7998084100198959	0.9281884343804319
CosteaPI_2017__SID713A056-11-90-0__bin.38	0.8453348529638731	0.7901016252923508	0.8026498557538199	0.6402779261791977	1.0	0.9381486626064038	0.7239430850874381	0.9267389678384442	0.8269538530944665	0.9321847063432703	0.7365720459213354	0.8884092554997566	0.8883534565658724	0.9217894836817798	0.7669266659543399	0.9251047714024527	0.6702876613123434	0.8409035865655162	0.5034797164939274	0.9236166019636476	0.8560820837933777	0.9065528130973157	0.8456666785387803	0.6574307558974725	0.9143569469672685	0.9071036791680023	0.7314041148745711	0.8897187496289964
XieH_2016__YSZC12003_37315__bin.45	0.7810024143359614	0.7245792012277951	0.7476511257816667	0.5917853795338269	0.8445494682368935	1.0	0.6673036495055368	0.8549570838156128	0.7598857919695274	0.8771243003609214	0.6834222009894609	0.8361361647006769	0.8254442581234015	0.8633949689043361	0.7092387093188666	0.8790737243510203	0.6276471927332655	0.7785971628613355	0.4655756732406288	0.8693212605847631	0.7906453298790909	0.8635579552850873	0.7835904243096592	0.5922144879395422	0.8474677260247034	0.8618019774255847	0.6727944202013336	0.8308484590038486
LeChatelierE_2013__MH0096__bin.48	0.8868311373771361	0.8175461445425434	0.9060564877341978	0.8458172077046447	0.9213187673233257	0.9433558884387269	1.0	0.9236591396525401	0.867464518580577	0.9389614578902956	0.7841123620460807	0.9503437657935472	0.9186263570646684	0.9263795014206165	0.7975222875515309	0.9396270059929547	0.7033944464128015	0.9245422562609492	0.5310288195171037	0.9240489498920089	0.9093744074468865	0.9291489671917269	0.8941536773987873	0.6828040047713982	0.9105090876400692	0.9294345258555239	0.7874604996067902	0.9130549413358253
BritoIL_2016__M1.27.ST__bin.20	0.8221828467409127	0.7775366362003787	0.7808786760871461	0.6203861013543126	0.8897685363814439	0.9118229220393966	0.6968284246647559	1.0	0.8031399445007087	0.93194697190327	0.7165244608937449	0.8710271244379828	0.8795697294623271	0.893204043959451	0.7643941669321567	0.9307506994403907	0.6614434945062084	0.8137747440039621	0.4947136611579621	0.902812408633907	0.8308975690991254	0.8809386891840214	0.820834974242242	0.6241943398473855	0.9005805825430849	0.8818004157032561	0.7140378783517999	0.8521597590813266
LiuW_2016__SRR3992998__bin.96	0.9096287228331527	0.8492302544631669	0.8685106786109978	0.6803733532928097	0.9360056008369004	0.9554150269862781	0.7715132673855393	0.9468229561749294	1.0	0.9485449985184926	0.8271373179274485	0.9168555224614657	0.9344528736203672	0.9406718451115968	0.8264768545549465	0.9544730436208174	0.7236515091554467	0.8973426259566809	0.5642151135251208	0.9348049415829217	0.9059991977688029	0.961739484489189	0.9274793747971746	0.6718652681595513	0.9332804335542269	0.9618933462514504	0.8278078595813213	0.9462417752825446
BritoIL_2016__M1.29.ST__bin.46	0.7672153618432012	0.7254711997169708	0.7319176232739688	0.5842268337272227	0.8304606469374729	0.8680101387065164	0.6572935280340101	0.8647462071073538	0.7465825758300894	1.0	0.6699975832522022	0.8154974349157126	0.8234716449908539	0.835343323615222	0.7108950904059343	0.8763122226623253	0.6137518766813452	0.762516188772858	0.4598203779962781	0.8509633410559971	0.7753117313803332	0.8378007912337101	0.7703592492957322	0.5818317679118294	0.8411990453581785	0.8398203885728549	0.6633903957279091	0.8124048438606409
