	ZellerG_2014__CCMD72895164ST-21-0__bin.5	RampelliS_2015__H14__bin.32	LeChatelierE_2013__MH0189__bin.65	NielsenHB_2014__MH0096__bin.53	CosteaPI_2017__SID713A056-11-90-0__bin.38	XieH_2016__YSZC12003_37315__bin.45	LeChatelierE_2013__MH0096__bin.48	BritoIL_2016__M1.27.ST__bin.20	LiuW_2016__SRR3992998__bin.96	BritoIL_2016__M1.29.ST__bin.46	LiuW_2016__SRR3993048__bin.88	XieH_2016__YSZC12003_36244__bin.60	RampelliS_2015__H17__bin.38	ZeeviD_2015__PNP_Validation_57__bin.29	RampelliS_2015__H21__bin.15	BritoIL_2016__W2.35.ST__bin.80	BritoIL_2016__M2.38.ST__bin.58	XieH_2016__YSZC12003_35520__bin.11	LiuW_2016__SRR3993043__bin.1	BritoIL_2016__M2.39.ST__bin.80	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.63	CosteaPI_2017__SID713A084-11-90-0__bin.49	LiuW_2016__SRR3992961__bin.125	CosteaPI_2017__SID713A056-11-0-0__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.64	CosteaPI_2017__SID713A084-11-0-0__bin.5	LiuW_2016__SRR3992980__bin.94	LiuW_2016__SRR3992981__bin.61
ZellerG_2014__CCMD72895164ST-21-0__bin.5	1.0	0.7813582724489966	0.8039952895257514	0.6476632113761038	0.8925609475458351	0.9140364161827418	0.731145568310233	0.9012034593188069	0.8517113394639778	0.9050525750121168	0.7635654330383717	0.8735769906703298	0.8828764490429277	0.8986431674339614	0.7702506039151961	0.9132322672628468	0.6779200376426544	0.8417407927841294	0.5073774717455111	0.89550949358545	0.8507130634666983	0.9233262324819597	0.8696275974138673	0.6379697136047084	0.8951887339443408	0.9218625657428703	0.7546715845526272	0.9017376301840607
RampelliS_2015__H14__bin.32	0.8457889203317902	1.0	0.8241812224415571	0.6364842645944504	0.9038974431053186	0.9196366756124696	0.7293568693539331	0.9230496258975085	0.8541970938780509	0.9265377237117591	0.7746534342072944	0.882897883553337	0.9200833859250069	0.90523757404293	0.8514493383886282	0.9355985674654339	0.7112017829447115	0.8447298968182676	0.5606332710119102	0.9060711549688172	0.8684118056768391	0.8915976016805215	0.8616513112895943	0.6564519372406802	0.9102940286242505	0.8917465051180338	0.7778186759701162	0.8772256367187528
LeChatelierE_2013__MH0189__bin.65	0.8253903205647249	0.7816580515350507	1.0	0.69323598333594	0.8656963342631473	0.8948914348236092	0.7839070265290622	0.8749337614832676	0.8262581028760879	0.8824758786213414	0.7372665319129419	0.919150404822098	0.8598713042537172	0.8713728844094164	0.7615169230748926	0.8821069886501993	0.6658048235498302	0.9166387854479175	0.5088596284571887	0.8653696785641931	0.8848231802802904	0.8753970186563298	0.8355041089327465	0.6238239569949523	0.8710402895159359	0.876737956798299	0.7297950251986826	0.8614135150990823
NielsenHB_2014__MH0096__bin.53	0.8734751908314224	0.7930073991876933	0.9107025977347303	1.0	0.9075279257567154	0.9306045487449123	0.9699732554258541	0.9127034559884873	0.8500812740300215	0.9250605762437094	0.7618207116570799	0.9517748080849238	0.8939770525485369	0.9171837139847682	0.7732233497037291	0.9266080337753196	0.6924807434731536	0.926354025340159	0.5022154216930139	0.9117429053190059	0.9128265590526266	0.9164979779021329	0.8777647257705863	0.6796234086544922	0.8985604743802584	0.9170094624644021	0.7730170220328477	0.8982327774912116
CosteaPI_2017__SID713A056-11-90-0__bin.38	0.8242458239840439	0.7711276133490046	0.7787150811458964	0.621408982441144	1.0	0.9169664375348744	0.7025489427882846	0.9036037800809678	0.8057573814866261	0.9076195225035913	0.7170038346926904	0.8622674549750092	0.8588067338628296	0.9040727285678669	0.7487463048046444	0.901634790041671	0.6543475679975306	0.8159810521067066	0.49158207785732094	0.9013397680189004	0.8313684985337939	0.8844689009984448	0.8223652811910104	0.656713086630813	0.8945079602521637	0.8850708171575785	0.7113610191022308	0.8659199107217057
XieH_2016__YSZC12003_37315__bin.45	0.7598638823249019	0.7062798385312629	0.7246641678984163	0.5736356436786401	0.8254805960705853	1.0	0.6471232636606635	0.8334300563986315	0.7387061125770978	0.8536740336510766	0.6637142084579778	0.8105152400281727	0.7973438029371749	0.8445462619474361	0.6917125967631439	0.8560669943494492	0.6122153215748011	0.7549978036917218	0.4533864294867479	0.8476232310633873	0.7671581908404861	0.8397785095242829	0.760539875018837	0.5786374552321835	0.827962798492189	0.8381091014801302	0.6530052016702631	0.8063748515755172
LeChatelierE_2013__MH0096__bin.48	0.8592671718587225	0.7918677727406305	0.8973937861528223	0.8452453349308502	0.8940917308103445	0.9148272181222478	1.0	0.8935772719477897	0.8401913998493641	0.907244049161417	0.759015683818569	0.9402547817855879	0.8839883933245751	0.8993163967331484	0.7722775418687171	0.9083205599971595	0.6808413555424444	0.9154036235732453	0.5142322286947174	0.8941748298924017	0.8998625843361252	0.9003551352588649	0.8641609523456982	0.6620843818297059	0.8837088782303825	0.9006127424132426	0.7607955150669967	0.8835759196990907
BritoIL_2016__M1.27.ST__bin.20	0.7990267961612135	0.7560521754890097	0.7556275814038049	0.6000215431629808	0.8675562815132876	0.8888640654912154	0.6741340132917897	1.0	0.7795313735134219	0.9055862333489302	0.6953346513797598	0.8424339898678743	0.8484096529328053	0.8713536914323753	0.7431581934974982	0.9052995611007987	0.6436823534708713	0.7876528040022409	0.4810998639589153	0.8787478976893532	0.8044957959486315	0.8559338020776045	0.7956642389763692	0.6083105315860954	0.8783523697764242	0.856842262442459	0.6921898055245106	0.826542202657332
LiuW_2016__SRR3992998__bin.96	0.8902428126736404	0.8248260320664038	0.8412516150445897	0.658832706576213	0.9120139160909169	0.9287855200628347	0.747256859782215	0.9189907743412331	1.0	0.9204904226092133	0.8117497979304585	0.8881512333464799	0.9011837949298181	0.9157153328957119	0.8020397097723719	0.9262619184075778	0.7023487098792017	0.8691194068057962	0.5499912990837498	0.9071131838029923	0.8779069962757391	0.94265995408335	0.9068921334982588	0.6541664623015166	0.9090851675245524	0.9428480820022723	0.8094976379867894	0.9265515010256331
BritoIL_2016__M1.29.ST__bin.46	0.7445772568696187	0.7041858389155624	0.707184827265992	0.5642931594403088	0.8085761230605863	0.8448035427301636	0.6350906491955721	0.8402862867807068	0.7245013276248022	1.0	0.6493637395814108	0.7880739577709017	0.7927345263359405	0.8133033240594383	0.6901623557421029	0.8530701951537067	0.5976659610327182	0.7374264332980252	0.44615068131663577	0.8283358126592105	0.7500278957212987	0.8129701618903727	0.7459781244662134	0.5662101639845349	0.8182008079447015	0.8149511547242131	0.6423361331294875	0.7872310046002822
