	ZellerG_2014__CCMD72895164ST-21-0__bin.5	RampelliS_2015__H14__bin.32	LeChatelierE_2013__MH0189__bin.65	NielsenHB_2014__MH0096__bin.53	CosteaPI_2017__SID713A056-11-90-0__bin.38	XieH_2016__YSZC12003_37315__bin.45	LeChatelierE_2013__MH0096__bin.48	BritoIL_2016__M1.27.ST__bin.20	LiuW_2016__SRR3992998__bin.96	BritoIL_2016__M1.29.ST__bin.46	LiuW_2016__SRR3993048__bin.88	XieH_2016__YSZC12003_36244__bin.60	RampelliS_2015__H17__bin.38	ZeeviD_2015__PNP_Validation_57__bin.29	RampelliS_2015__H21__bin.15	BritoIL_2016__W2.35.ST__bin.80	BritoIL_2016__M2.38.ST__bin.58	XieH_2016__YSZC12003_35520__bin.11	LiuW_2016__SRR3993043__bin.1	BritoIL_2016__M2.39.ST__bin.80	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.63	CosteaPI_2017__SID713A084-11-90-0__bin.49	LiuW_2016__SRR3992961__bin.125	CosteaPI_2017__SID713A056-11-0-0__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.64	CosteaPI_2017__SID713A084-11-0-0__bin.5	LiuW_2016__SRR3992980__bin.94	LiuW_2016__SRR3992981__bin.61
ZellerG_2014__CCMD72895164ST-21-0__bin.5	1555682.0	1250729.0	1290607.0	1039819.0	1424068.0	1461507.0	1173917.0	1442616.0	1353845.0	1450782.0	1214153.0	1402905.0	1423518.0	1434291.0	1233195.0	1463084.0	1085848.0	1351107.0	810251.0	1434950.0	1364773.0	1468179.0	1387745.0	1019097.0	1429029.0	1465641.0	1203696.0	1436905.0
RampelliS_2015__H14__bin.32	1250729.0	1437173.0	1222515.0	944353.0	1331021.0	1355921.0	1082203.0	1364279.0	1263951.0	1371845.0	1147011.0	1309930.0	1365489.0	1331743.0	1253839.0	1384384.0	1050167.0	1252898.0	828336.0	1338398.0	1287134.0	1318206.0	1277519.0	967647.0	1341425.0	1318366.0	1153274.0	1299226.0
LeChatelierE_2013__MH0189__bin.65	1290607.0	1222515.0	1515357.0	1060673.0	1352160.0	1399096.0	1199366.0	1370143.0	1292647.0	1384035.0	1153693.0	1407810.0	1354331.0	1360264.0	1190592.0	1382110.0	1041874.0	1403361.0	795498.0	1355076.0	1355159.0	1369371.0	1310244.0	974833.0	1360655.0	1371591.0	1143897.0	1349317.0
NielsenHB_2014__MH0096__bin.53	1039819.0	944353.0	1060673.0	1153505.0	1078625.0	1107421.0	1119626.0	1088540.0	1012633.0	1104756.0	907893.0	1109710.0	1071212.0	1089817.0	921168.0	1106006.0	825384.0	1079384.0	598126.0	1087044.0	1064267.0	1091045.0	1047046.0	808346.0	1068100.0	1091567.0	922583.0	1070670.0
CosteaPI_2017__SID713A056-11-90-0__bin.38	1424068.0	1331021.0	1352160.0	1078625.0	1684620.0	1580424.0	1219569.0	1561203.0	1393103.0	1570377.0	1240844.0	1496632.0	1496538.0	1552865.0	1291980.0	1558450.0	1129180.0	1416603.0	848172.0	1555943.0	1442173.0	1527197.0	1424627.0	1107521.0	1540344.0	1528125.0	1232138.0	1498838.0
XieH_2016__YSZC12003_37315__bin.45	1461507.0	1355921.0	1399096.0	1107421.0	1580424.0	1871322.0	1248740.0	1599900.0	1421991.0	1641382.0	1278903.0	1564680.0	1544672.0	1615690.0	1327214.0	1645030.0	1174530.0	1457006.0	871242.0	1626780.0	1479552.0	1615995.0	1466350.0	1108224.0	1585885.0	1612709.0	1259015.0	1554785.0
LeChatelierE_2013__MH0096__bin.48	1173917.0	1082203.0	1199366.0	1119626.0	1219569.0	1248740.0	1323721.0	1222667.0	1148281.0	1242923.0	1037946.0	1257990.0	1216005.0	1226268.0	1055697.0	1243804.0	931098.0	1223836.0	702934.0	1223183.0	1203758.0	1229934.0	1183610.0	903842.0	1205260.0	1230312.0	1042378.0	1208630.0
BritoIL_2016__M1.27.ST__bin.20	1442616.0	1364279.0	1370143.0	1088540.0	1561203.0	1599900.0	1222667.0	1754617.0	1409203.0	1635210.0	1257226.0	1528319.0	1543308.0	1567231.0	1341219.0	1633111.0	1160580.0	1427863.0	868033.0	1584090.0	1457907.0	1545710.0	1440251.0	1095222.0	1580174.0	1547222.0	1252863.0	1495214.0
LiuW_2016__SRR3992998__bin.96	1353845.0	1263951.0	1292647.0	1012633.0	1393103.0	1421991.0	1148281.0	1409203.0	1488349.0	1411766.0	1231069.0	1364601.0	1390792.0	1400048.0	1230086.0	1420589.0	1077046.0	1335559.0	839749.0	1391316.0	1348443.0	1431404.0	1380413.0	999970.0	1389047.0	1431633.0	1232067.0	1408338.0
BritoIL_2016__M1.29.ST__bin.46	1450782.0	1371845.0	1384035.0	1104756.0	1570377.0	1641382.0	1242923.0	1635210.0	1411766.0	1890971.0	1266946.0	1542082.0	1557161.0	1579610.0	1344282.0	1657081.0	1160587.0	1441896.0	869507.0	1609147.0	1466092.0	1584257.0	1456727.0	1100227.0	1590683.0	1588076.0	1254452.0	1536234.0
