	XieH_2016__YSZC12003_35561__bin.47	LiJ_2017__H2M614904__bin.16	CosteaPI_2017__SID713A087-11-0-0__bin.36	CosteaPI_2017__SID713A028-11-0-0__bin.59	ZeeviD_2015__PNP_Main_325__bin.53	BritoIL_2016__W3.22.ST__bin.120	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	KarlssonFH_2013__S577__bin.19	SchirmerM_2016__G88966__bin.7	LiuW_2016__SRR3992982__bin.9	ZeeviD_2015__PNP_Main_531__bin.33	CosteaPI_2017__mickey1-11-0-0__bin.41	LiuW_2016__SRR3992961__bin.76	ZeeviD_2015__PNP_Main_127__bin.13	ZeeviD_2015__PNP_Main_226__bin.36	LiJ_2014__MH0392__bin.10	XieH_2016__YSZC12003_35520__bin.42	CosteaPI_2017__mickey1-11-30-0__bin.16	XieH_2016__YSZC12003_36058__bin.60	XieH_2016__YSZC12003_36588__bin.70	CosteaPI_2017__SID713B063-11-0-0__bin.57	ZeeviD_2015__PNP_Main_82__bin.26	LeChatelierE_2013__MH0250__bin.95	LiJ_2014__MH0262__bin.26	CosteaPI_2017__SID713A014-11-90-0__bin.68	LiJ_2014__MH0309__bin.67	ZeeviD_2015__PNP_Main_456__bin.43	ZeeviD_2015__PNP_Main_393__bin.68	FengQ_2015__SID31223__bin.2	CosteaPI_2017__SID713A076-11-90-0__bin.51	BackhedF_2015__SID566_M__bin.4	XieH_2016__YSZC12003_37316__bin.86	XieH_2016__YSZC12003_35515__bin.33	FengQ_2015__SID530295__bin.12	LiJ_2014__MH0338__bin.65	ZeeviD_2015__PNP_Main_172__bin.64	Obregon-TitoAJ_2015__SM20__bin.14	FengQ_2015__SID530451__bin.2	KarlssonFH_2013__S126__bin.31	XieH_2016__YSZC12003_37798__bin.92	ZeeviD_2015__PNP_Main_45__bin.37	LeChatelierE_2013__MH0412__bin.12	LeChatelierE_2013__MH0415__bin.49	LiuW_2016__SRR3993036__bin.1
XieH_2016__YSZC12003_35561__bin.47	1.0	0.9879276874165727	0.9897148260702125	0.9898769590910389	0.9894733994727585	0.9889565964953991	0.9891781000836207	0.9897076704574482	0.9880946450499279	0.9900123708143528	0.989545100588759	0.9894198808334586	0.9898398448411734	0.9897792206716177	0.9875726529532478	0.9867983205497797	0.9875151920502423	0.9896181131949082	0.9874434909310041	0.9891726590293131	0.9897933377108213	0.9893113140625139	0.9895801994391984	0.9899759799251218	0.9898037747408908	0.98765598786115	0.9898175444393389	0.9896489731179561	0.9895847507222904	0.9896528246986065	0.9881378083534516	0.9894409558069999	0.9895556032747862	0.9873385518851652	0.9873328791010556	0.9898414756985483	0.9821107163812628	0.9868880696817631	0.9893989033447126	0.9874768560801049	0.9900356422614304	0.9884894533432864	0.9881860201238132	0.9898572728221802
LiJ_2017__H2M614904__bin.16	0.9879276874165727	1.0	0.9933053977681174	0.9886573771189581	0.9883534226891383	0.9877621892122312	0.9872234077450904	0.988068881516524	0.9967835034176638	0.9878313023055697	0.9879021460265539	0.9880038406993609	0.987942678306704	0.988068685239088	0.9982811577296974	0.9974583538599084	0.9965141262639365	0.9880151867468013	0.9964687481279091	0.9880964734981592	0.9881357467581486	0.9878559597431686	0.9882371892154721	0.9882804660612846	0.9880082069910783	0.9977165381676738	0.9878119277459918	0.9879087032014195	0.9881220428746665	0.9881957099211768	0.9922783623577146	0.9927586890772968	0.9879404414732708	0.9980787447403039	0.9961145215161946	0.9882563988397717	0.9834066800623337	0.9980013074591775	0.9881165212819848	0.9988718852734125	0.9881198532702251	0.987050523240377	0.9994682066777405	0.9876930339434288
CosteaPI_2017__SID713A087-11-0-0__bin.36	0.9897148260702125	0.9933053977681174	1.0	0.9903020114866351	0.9897549174139466	0.9893185001561917	0.9888759505194115	0.990092050209205	0.9939494978658984	0.9897079495297493	0.9893288810900233	0.9897631862132328	0.9898164517450517	0.9897823702145021	0.9931853458511186	0.9925174316402143	0.9937701464153683	0.9896992597960557	0.9936165739877098	0.989637353998552	0.9900467802901985	0.9892047729638824	0.9896169881636717	0.9893559914321651	0.9896075579646376	0.9930678102770705	0.9892250773434261	0.989857425805184	0.9896841570131857	0.9899486886339199	0.9950264609023616	0.9962918008658836	0.9895519811570463	0.9929239666053127	0.9934769959719107	0.9898923049154684	0.9828327255449011	0.9928668033849781	0.9897180543621155	0.9932125203998293	0.9896278276254266	0.9887128942730813	0.9937179930978182	0.9896557976918365
CosteaPI_2017__SID713A028-11-0-0__bin.59	0.9898769590910389	0.9886573771189581	0.9903020114866351	1.0	0.9896919639366161	0.9896081296917947	0.989562519217845	0.9899459431068147	0.9887638290340056	0.9898428435386064	0.9896927704114463	0.9900147188384609	0.9899229447394817	0.9900078301859985	0.9882591564447637	0.9872190658152747	0.9884832374380769	0.9898712561528495	0.9884689279179512	0.990014172098753	0.989769839852003	0.9897673647151983	0.9897851299651789	0.9898788969114487	0.9895809194820032	0.9879963902980577	0.9899932081286456	0.9898299035733946	0.9900238337878214	0.9901218539560912	0.988327318793238	0.9894537608847317	0.9897473426839054	0.988223097041855	0.9881334267587053	0.9899208377249187	0.9819435691219695	0.987590453586318	0.989749768004407	0.9881204953715477	0.9898581450928996	0.9891699557192498	0.9884507531195156	0.9896531103675865
ZeeviD_2015__PNP_Main_325__bin.53	0.9894733994727585	0.9883534226891383	0.9897549174139466	0.9896919639366161	1.0	0.9942960163844579	0.9893785825394059	0.9945610991112213	0.9884690865066628	0.9898832477229008	0.9899719027549587	0.9894334184344186	0.9933043485644897	0.9928309200056722	0.9877711910024054	0.9870113704490261	0.9878604629615331	0.9892139466939521	0.9880622062898599	0.9891438591141267	0.9900648737166972	0.990069965301761	0.9943692153242354	0.9888517956045206	0.9895026122876031	0.9879500477767295	0.9899506911440153	0.9898452013106429	0.9893820633043082	0.9896410865163048	0.9882304007765972	0.9892295204611447	0.9939952684877116	0.9877761653202086	0.9877430695238413	0.9903446455540984	0.9823198750401865	0.9871252572488924	0.9893881693766994	0.9878013375803665	0.9904088508391349	0.9884166757352513	0.9881964088431328	0.9897044166972945
BritoIL_2016__W3.22.ST__bin.120	0.9889565964953991	0.9877621892122312	0.9893185001561917	0.9896081296917947	0.9942960163844579	1.0	0.98921863138894	0.9952850266854393	0.9880919617251599	0.9895546869067031	0.989476819462563	0.9893574726311092	0.9940485755925103	0.9928029350671119	0.9872918450009394	0.9866728804706377	0.9870109101885924	0.9893099369244217	0.9871876962290006	0.9891474234103717	0.9895564966086093	0.989631785716676	0.9949517695816955	0.9887979851063862	0.9892412310687588	0.9874889475749076	0.9895273538737491	0.9896364442473953	0.9894941944344927	0.9894699066478208	0.98781264611844	0.9888546485347723	0.9950625515971296	0.9868941487726517	0.987373479576211	0.9900543956445742	0.9819327079098762	0.9868654699215099	0.9889082025401509	0.9874257333640714	0.9898982139656418	0.9885102589752524	0.9875804149382891	0.9894107681351701
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	0.9891781000836207	0.9872234077450904	0.9888759505194115	0.989562519217845	0.9893785825394059	0.98921863138894	1.0	0.9898221485229161	0.9874225907491893	0.9894702316994259	0.9893333683633223	0.9892826529884047	0.989508994910208	0.9899598631320965	0.9874788230049042	0.9861258772223157	0.9871628717539848	0.9896211405840967	0.98731142087731	0.9886709035645206	0.9895114568597607	0.9890839131307906	0.989503821857736	0.9893829033532087	0.9888540114641483	0.9877330867622129	0.9895941889507573	0.9901808222824107	0.9895492491423229	0.9898448052731359	0.9873441809156095	0.9891147420421426	0.9895065206255167	0.9872593936619292	0.9872112855154671	0.9897321760233774	0.9828506879409945	0.986974948931739	0.988592435504793	0.9872956134134032	0.989845624409277	0.987819221690627	0.9876687630245056	0.9891664077066501
KarlssonFH_2013__S577__bin.19	0.9897076704574482	0.988068881516524	0.990092050209205	0.9899459431068147	0.9945610991112213	0.9952850266854393	0.9898221485229161	1.0	0.9883020508706148	0.9899880413010554	0.9898081500021447	0.9899139449165002	0.9941940659835604	0.993098135939637	0.9877728084734382	0.9867588629699123	0.9876731852307106	0.9896388766323307	0.9877919578709716	0.9896434191839711	0.9900033167043771	0.9899973197051225	0.9954753073454431	0.9895539199384464	0.9895248568014203	0.9878214460003805	0.9899614371115805	0.9900379323880953	0.9901601436146042	0.9900165900336159	0.988278188099257	0.9895766557521791	0.9953905047001624	0.987725608785612	0.9876103238809096	0.990611441688048	0.9825836208934868	0.9870726718112972	0.9895698509076499	0.9877340206280537	0.9903887506851625	0.9886631683027549	0.9881972270820399	0.9899254869083618
SchirmerM_2016__G88966__bin.7	0.9880946450499279	0.9967835034176638	0.9939494978658984	0.9887638290340056	0.9884690865066628	0.9880919617251599	0.9874225907491893	0.9883020508706148	1.0	0.9882281462221162	0.9880265884526076	0.9880657261575196	0.9881465531626323	0.9883182780005021	0.9968239474243737	0.9959487346015252	0.9996582873898502	0.9881952557777265	0.999501617790293	0.9882677977490036	0.9883804342080785	0.9880434835021841	0.9881646795389156	0.9880859675315335	0.9878614500697994	0.9960878272820541	0.9878184518295853	0.9882363891469134	0.9883119779258531	0.9883347208025544	0.9931044787926465	0.9938078637841369	0.9882151947506447	0.9961359833964331	0.9991455762241819	0.988513844861904	0.983128223013876	0.9964630915915829	0.9884146824652061	0.9964687956405125	0.9882420420540008	0.9871243641375427	0.9972004557560168	0.9880343469817643
LiuW_2016__SRR3992982__bin.9	0.9900123708143528	0.9878313023055697	0.9897079495297493	0.9898428435386064	0.9898832477229008	0.9895546869067031	0.9894702316994259	0.9899880413010554	0.9882281462221162	1.0	0.9896376758063266	0.9896747905870558	0.9901852228989788	0.9901979128983657	0.9873306363717127	0.9864677722899416	0.9877222445119505	0.9898925759820628	0.98774594651678	0.9894785515024138	0.9900042251135897	0.9894965754440601	0.9896356043298451	0.9895282041486189	0.9989638084935969	0.987838053026885	0.9894097432527633	0.9899298912936919	0.9901481915042396	0.9899302139904463	0.9878513635647315	0.9895659642294792	0.9899126749145254	0.9873931286283594	0.9875016074426699	0.9902962472036679	0.9825679415277689	0.9870771016181364	0.989116787696077	0.9874391522926476	0.9903308862084043	0.9885484931631102	0.9880424531117558	0.9992404449210435
