	XieH_2016__YSZC12003_35561__bin.47	LiJ_2017__H2M614904__bin.16	CosteaPI_2017__SID713A087-11-0-0__bin.36	CosteaPI_2017__SID713A028-11-0-0__bin.59	ZeeviD_2015__PNP_Main_325__bin.53	BritoIL_2016__W3.22.ST__bin.120	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	KarlssonFH_2013__S577__bin.19	SchirmerM_2016__G88966__bin.7	LiuW_2016__SRR3992982__bin.9	ZeeviD_2015__PNP_Main_531__bin.33	CosteaPI_2017__mickey1-11-0-0__bin.41	LiuW_2016__SRR3992961__bin.76	ZeeviD_2015__PNP_Main_127__bin.13	ZeeviD_2015__PNP_Main_226__bin.36	LiJ_2014__MH0392__bin.10	XieH_2016__YSZC12003_35520__bin.42	CosteaPI_2017__mickey1-11-30-0__bin.16	XieH_2016__YSZC12003_36058__bin.60	XieH_2016__YSZC12003_36588__bin.70	CosteaPI_2017__SID713B063-11-0-0__bin.57	ZeeviD_2015__PNP_Main_82__bin.26	LeChatelierE_2013__MH0250__bin.95	LiJ_2014__MH0262__bin.26	CosteaPI_2017__SID713A014-11-90-0__bin.68	LiJ_2014__MH0309__bin.67	ZeeviD_2015__PNP_Main_456__bin.43	ZeeviD_2015__PNP_Main_393__bin.68	FengQ_2015__SID31223__bin.2	CosteaPI_2017__SID713A076-11-90-0__bin.51	BackhedF_2015__SID566_M__bin.4	XieH_2016__YSZC12003_37316__bin.86	XieH_2016__YSZC12003_35515__bin.33	FengQ_2015__SID530295__bin.12	LiJ_2014__MH0338__bin.65	ZeeviD_2015__PNP_Main_172__bin.64	Obregon-TitoAJ_2015__SM20__bin.14	FengQ_2015__SID530451__bin.2	KarlssonFH_2013__S126__bin.31	XieH_2016__YSZC12003_37798__bin.92	ZeeviD_2015__PNP_Main_45__bin.37	LeChatelierE_2013__MH0412__bin.12	LeChatelierE_2013__MH0415__bin.49	LiuW_2016__SRR3993036__bin.1
XieH_2016__YSZC12003_35561__bin.47	2096603.0	1599445.0	1311305.0	1576305.0	1700549.0	1741311.0	1332206.0	1957380.0	1605916.0	1857598.0	1648892.0	1809904.0	1761292.0	1448324.0	1946755.0	1285897.0	1848006.0	1910828.0	1778918.0	1253401.0	1723972.0	1684585.0	1598783.0	1415899.0	1468975.0	1896061.0	1549528.0	1861168.0	1513934.0	1931445.0	1542548.0	1896952.0	1853434.0	1501566.0	1745069.0	1878324.0	1716223.0	1781126.0	1395516.0	1927072.0	1848087.0	1193601.0	1258509.0	1676275.0
LiJ_2017__H2M614904__bin.16	1599445.0	1768665.0	1147641.0	1268666.0	1422478.0	1440372.0	1182788.0	1634633.0	1376964.0	1545605.0	1389172.0	1493478.0	1517750.0	1234734.0	1649366.0	1096140.0	1545667.0	1582169.0	1535716.0	1050361.0	1490275.0	1412133.0	1340921.0	1205850.0	1189230.0	1612464.0	1299139.0	1571709.0	1283975.0	1589761.0	1324978.0	1613520.0	1543423.0	1347036.0	1468545.0	1549695.0	1436783.0	1546511.0	1148906.0	1641677.0	1530705.0	1020659.0	1111334.0	1440485.0
CosteaPI_2017__SID713A087-11-0-0__bin.36	1311305.0	1147641.0	1575441.0	1282534.0	1373537.0	1290081.0	979859.0	1374250.0	1181059.0	1311109.0	1373989.0	1264749.0	1276667.0	1291689.0	1381288.0	951144.0	1267285.0	1333011.0	1317631.0	965487.0	1269338.0	1311135.0	1310795.0	1140078.0	1246579.0	1335653.0	1128732.0	1328361.0	1152693.0	1322514.0	1170595.0	1360229.0	1303405.0	1221871.0	1247738.0	1296438.0	1197511.0	1291707.0	1225449.0	1363982.0	1266080.0	947630.0	1233523.0	1196709.0
CosteaPI_2017__SID713A028-11-0-0__bin.59	1576305.0	1268666.0	1282534.0	1838482.0	1560142.0	1532063.0	998421.0	1637349.0	1353041.0	1461728.0	1459267.0	1513027.0	1414699.0	1266892.0	1606273.0	1193340.0	1500248.0	1579959.0	1420423.0	1208713.0	1354622.0	1495216.0	1559687.0	1325152.0	1484488.0	1554699.0	1314807.0	1518668.0	1210886.0	1603641.0	1356158.0	1548040.0	1542722.0	1145887.0	1461416.0	1582572.0	1434392.0	1465807.0	1484942.0	1580874.0	1556520.0	1080605.0	1296275.0	1309379.0
ZeeviD_2015__PNP_Main_325__bin.53	1700549.0	1422478.0	1373537.0	1560142.0	1896041.0	1733350.0	1216316.0	1835665.0	1471089.0	1686905.0	1679880.0	1627868.0	1648682.0	1523208.0	1720282.0	1180956.0	1618925.0	1709337.0	1655331.0	1311700.0	1587700.0	1722854.0	1703315.0	1335372.0	1471890.0	1663990.0	1402385.0	1713968.0	1403380.0	1718520.0	1425707.0	1698903.0	1776599.0	1390562.0	1561076.0	1689736.0	1539695.0	1605935.0	1454226.0	1701580.0	1654442.0	1185411.0	1317904.0	1510065.0
BritoIL_2016__W3.22.ST__bin.120	1741311.0	1440372.0	1290081.0	1532063.0	1733350.0	1900276.0	1202723.0	1863001.0	1504278.0	1672329.0	1635057.0	1642467.0	1624149.0	1443783.0	1751159.0	1208063.0	1669632.0	1735537.0	1616415.0	1225884.0	1555704.0	1643581.0	1647508.0	1320566.0	1421724.0	1707770.0	1416070.0	1714180.0	1342591.0	1724866.0	1452161.0	1721166.0	1763664.0	1362979.0	1606460.0	1695724.0	1565979.0	1633709.0	1369210.0	1730757.0	1679307.0	1156597.0	1253343.0	1496898.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	1332206.0	1182788.0	979859.0	998421.0	1216316.0	1202723.0	1433293.0	1370132.0	1156677.0	1347608.0	1218004.0	1247137.0	1335811.0	1097993.0	1345800.0	867226.0	1269287.0	1320569.0	1297466.0	890274.0	1340987.0	1210049.0	1130602.0	990007.0	961781.0	1330245.0	1091025.0	1322514.0	1185178.0	1342958.0	1087800.0	1327116.0	1329397.0	1188248.0	1223657.0	1292192.0	1203955.0	1276233.0	928945.0	1350321.0	1279153.0	866365.0	911263.0	1287200.0
KarlssonFH_2013__S577__bin.19	1957380.0	1634633.0	1374250.0	1637349.0	1835665.0	1863001.0	1370132.0	2280427.0	1649007.0	1883148.0	1725202.0	1843238.0	1847248.0	1561752.0	1973225.0	1310537.0	1887430.0	1955869.0	1830187.0	1302650.0	1760784.0	1775924.0	1747301.0	1476439.0	1488667.0	1934384.0	1572237.0	1920786.0	1560287.0	1973474.0	1588321.0	1939013.0	1996314.0	1570750.0	1766390.0	1923405.0	1750938.0	1835182.0	1440919.0	1953941.0	1897360.0	1237912.0	1328925.0	1702117.0
SchirmerM_2016__G88966__bin.7	1605916.0	1376964.0	1181059.0	1353041.0	1471089.0	1504278.0	1156677.0	1649007.0	1818093.0	1530685.0	1417307.0	1534488.0	1498214.0	1282602.0	1660237.0	1145568.0	1571496.0	1612572.0	1536973.0	1104311.0	1456767.0	1451677.0	1395146.0	1209666.0	1250726.0	1607291.0	1338664.0	1590073.0	1273526.0	1613249.0	1365234.0	1616728.0	1554629.0	1307189.0	1523834.0	1559965.0	1445076.0	1540611.0	1198845.0	1645331.0	1556903.0	1079636.0	1144472.0	1398085.0
LiuW_2016__SRR3992982__bin.9	1857598.0	1545605.0	1311109.0	1461728.0	1686905.0	1672329.0	1347608.0	1883148.0	1530685.0	2002767.0	1637953.0	1715510.0	1752969.0	1442958.0	1846028.0	1210961.0	1744700.0	1800063.0	1770761.0	1241369.0	1730131.0	1651747.0	1577516.0	1371589.0	1449539.0	1808592.0	1477679.0	1785085.0	1544488.0	1834895.0	1484858.0	1809367.0	1815744.0	1499817.0	1664134.0	1768388.0	1627576.0	1730262.0	1377902.0	1818269.0	1745041.0	1190673.0	1256445.0	1694413.0
