query	target	avg_jacc_sim	jacc_SD	num_shared_SCPs	poss_shared_SCPs	AAI_estimate
e_coli_K12	GCF_000005845.2_ASM584v2_genomic.fna	1.0	N/A	80	80	>90%
e_coli_K12	GCF_000006605.1_ASM660v1_genomic.fna	0.038	N/A	76	77	38.83
e_coli_K12	GCF_000006685.1_ASM668v1_genomic.fna	0.0317	N/A	71	73	37.8
e_coli_K12	GCF_000006765.1_ASM676v1_genomic.fna	0.1547	N/A	77	78	49.62
e_coli_K12	GCF_000006825.1_ASM682v1_genomic.fna	0.3045	N/A	78	78	58.06
e_coli_K12	GCF_000006925.2_ASM692v2_genomic.fna	0.9646	N/A	80	80	>90%
e_coli_K12	GCF_000006945.2_ASM694v2_genomic.fna	0.8156	N/A	77	77	87.45
e_coli_K12	GCF_000006985.1_ASM698v1_genomic.fna	0.0372	N/A	76	79	38.71
e_coli_K12	GCF_000007025.1_ASM702v1_genomic.fna	0.0337	N/A	70	71	38.14
e_coli_K12	GCF_000007085.1_ASM708v1_genomic.fna	0.0452	N/A	77	78	39.9
e_coli_K12	GCF_000007105.1_ASM710v1_genomic.fna	0.05	N/A	75	76	40.53
e_coli_K12	GCF_000007125.1_ASM712v1_genomic.fna	0.0539	N/A	77	78	41.02
e_coli_K12	GCF_000007205.1_ASM720v1_genomic.fna	0.0307	N/A	70	73	37.61
e_coli_K12	GCF_000007245.1_ASM724v1_genomic.fna	0.0812	N/A	77	78	43.94
e_coli_K12	GCF_000007505.1_ASM750v1_genomic.fna	0.0555	N/A	77	78	41.22
e_coli_K12	GCF_000007605.1_ASM760v1_genomic.fna	0.0301	N/A	71	73	37.5
e_coli_K12	GCF_000007625.1_ASM762v1_genomic.fna	0.0454	N/A	71	77	39.92
e_coli_K12	GCF_000007725.1_ASM772v1_genomic.fna	0.1302	N/A	68	68	47.93
e_coli_K12	GCF_000007745.1_ASM774v1_genomic.fna	0.2996	N/A	78	78	57.81
e_coli_K12	GCF_000007765.2_ASM776v2_genomic.fna	0.0903	N/A	78	80	44.77
e_coli_K12	GCF_000007805.1_ASM780v1_genomic.fna	0.1459	N/A	78	79	49.03
e_coli_K12	GCF_000007905.1_ASM790v1_genomic.fna	0.0311	N/A	76	78	37.68
e_coli_K12	GCF_000007925.1_ASM792v1_genomic.fna	0.0337	N/A	76	78	38.13
e_coli_K12	GCF_000007985.2_ASM798v2_genomic.fna	0.0577	N/A	77	79	41.48
e_coli_K12	GCF_000008185.1_ASM818v1_genomic.fna	0.0351	N/A	70	74	38.37
e_coli_K12	GCF_000008305.1_ASM830v1_genomic.fna	0.0284	N/A	63	63	37.18
e_coli_K12	GCF_000008325.1_ASM832v1_genomic.fna	0.1145	N/A	78	80	46.77
e_coli_K12	GCF_000008365.1_ASM836v1_genomic.fna	0.0249	N/A	61	62	36.47
e_coli_K12	GCF_000008385.1_ASM838v1_genomic.fna	0.0308	N/A	71	72	37.63
e_coli_K12	GCF_000008445.1_ASM844v1_genomic.fna	0.0499	N/A	78	79	40.53
e_coli_K12	GCF_000008465.1_ASM846v1_genomic.fna	0.2061	N/A	78	79	52.77
e_coli_K12	GCF_000008625.1_ASM862v1_genomic.fna	0.0325	N/A	76	79	37.93
e_coli_K12	GCF_000008725.1_ASM872v1_genomic.fna	0.0312	N/A	71	73	37.71
e_coli_K12	GCF_000008865.2_ASM886v2_genomic.fna	0.9844	N/A	80	80	>90%
e_coli_K12	GCF_000009045.1_ASM904v1_genomic.fna	0.0481	N/A	76	77	40.29
e_coli_K12	GCF_000009085.1_ASM908v1_genomic.fna	0.0356	N/A	76	78	38.45
e_coli_K12	GCF_000009145.1_ASM914v1_genomic.fna	0.0937	N/A	76	77	45.07
e_coli_K12	GCF_000009305.1_ASM930v1_genomic.fna	0.0305	N/A	74	75	37.57
e_coli_K12	GCF_000009365.1_ASM936v1_genomic.fna	0.1379	N/A	78	79	48.48
e_coli_K12	GCF_000009765.2_ASM976v2_genomic.fna	0.0415	N/A	76	78	39.36
e_coli_K12	GCF_000009785.1_ASM978v1_genomic.fna	0.0503	N/A	76	77	40.57
e_coli_K12	GCF_000009805.1_ASM980v1_genomic.fna	0.0302	N/A	41	42	37.52
e_coli_K12	GCF_000009905.1_ASM990v1_genomic.fna	0.0468	N/A	77	80	40.11
e_coli_K12	GCF_000009945.1_ASM994v1_genomic.fna	0.031	N/A	71	75	37.66
e_coli_K12	GCF_000009985.1_ASM998v1_genomic.fna	0.0572	N/A	76	77	41.43
e_coli_K12	GCF_000010085.1_ASM1008v1_genomic.fna	0.4583	N/A	79	79	65.66
e_coli_K12	GCF_000010205.1_ASM1020v1_genomic.fna	0.0278	N/A	70	70	37.07
e_coli_K12	GCF_000010265.1_ASM1026v1_genomic.fna	0.0429	N/A	76	77	39.57
e_coli_K12	GCF_000010305.1_ASM1030v1_genomic.fna	0.0394	N/A	76	78	39.05
e_coli_K12	GCF_000010405.1_ASM1040v1_genomic.fna	0.0874	N/A	74	75	44.51
e_coli_K12	GCF_000010505.1_ASM1050v1_genomic.fna	0.0355	N/A	72	74	38.44
e_coli_K12	GCF_000010525.1_ASM1052v1_genomic.fna	0.0535	N/A	77	78	40.97
e_coli_K12	GCF_000010605.1_ASM1060v1_genomic.fna	0.0409	N/A	76	78	39.28
e_coli_K12	GCF_000010665.1_ASM1066v1_genomic.fna	0.0478	N/A	78	80	40.24
e_coli_K12	GCF_000010985.1_ASM1098v1_genomic.fna	0.0485	N/A	75	80	40.34
e_coli_K12	GCF_000011145.1_ASM1114v1_genomic.fna	0.0495	N/A	77	78	40.46
e_coli_K12	GCF_000011225.1_ASM1122v1_genomic.fna	0.0229	N/A	60	60	36.05
e_coli_K12	GCF_000011245.1_ASM1124v1_genomic.fna	0.044	N/A	77	79	39.73
e_coli_K12	GCF_000011305.1_ASM1130v1_genomic.fna	0.0406	N/A	77	79	39.23
e_coli_K12	GCF_000011345.1_ASM1134v1_genomic.fna	0.0415	N/A	75	78	39.36
e_coli_K12	GCF_000011385.1_ASM1138v1_genomic.fna	0.0384	N/A	75	77	38.9
e_coli_K12	GCF_000011565.2_ASM1156v2_genomic.fna	0.0339	N/A	74	77	38.17
e_coli_K12	GCF_000011745.1_ASM1174v1_genomic.fna	0.1357	N/A	74	74	48.32
e_coli_K12	GCF_000011965.2_ASM1196v2_genomic.fna	0.0511	N/A	78	80	40.67
e_coli_K12	GCF_000012085.2_ASM1208v2_genomic.fna	0.0327	N/A	68	71	37.97
