Ref_file	Query_file	AAI	Align_fraction_query	Align_fraction_reference	AAI_95_percentile	AAI_5_percentile	Ref_name	Query_name
references/refseq_all/GCF_013374815.1_ASM1337481v1_genomic.fna.gz	data/e.coli-K12.fasta	1.0000	0.9454	0.9223	0.9954	1.0000	NZ_CP055292.1 Shigella sonnei strain SE6-1 chromosome, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_022354085.1_ASM2235408v1_genomic.fna.gz	data/e.coli-K12.fasta	1.0000	0.9424	0.8433	0.9922	1.0000	NZ_CP055055.1 Shigella dysenteriae strain SWHEFF_49 chromosome, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_016904755.1_ASM1690475v2_genomic.fna.gz	data/e.coli-K12.fasta	0.9655	0.8345	0.8371	0.9562	0.9747	NZ_CP070290.1 Escherichia albertii strain Sample 167 chromosome, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_020097475.1_ASM2009747v1_genomic.fna.gz	data/e.coli-K12.fasta	0.9555	0.8204	0.8205	0.9444	0.9667	NZ_CP083638.1 Escherichia fergusonii strain FDAARGOS_1499 chromosome, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_000018045.1_ASM1804v1_genomic.fna.gz	data/e.coli-K12.fasta	0.8993	0.7681	0.7537	0.8892	0.9094	NC_009792.1 Citrobacter koseri ATCC BAA-895, complete sequence	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_009648935.1_ASM964893v1_genomic.fna.gz	data/e.coli-K12.fasta	0.8984	0.8129	0.7680	0.8885	0.9083	NZ_CP045771.1 Citrobacter braakii strain MiY-A chromosome, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_016893685.1_ASM1689368v1_genomic.fna.gz	data/e.coli-K12.fasta	0.8951	0.7846	0.7178	0.8843	0.9060	NZ_CP069763.1 Citrobacter cronae strain Colony478 chromosome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_900638065.1_55685_A01_genomic.fna.gz	data/e.coli-K12.fasta	0.8944	0.7847	0.7491	0.8836	0.9051	NZ_LR134485.1 Citrobacter youngae strain NCTC13709 chromosome 1, complete sequence	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_000439255.1_ASM43925v1_genomic.fna.gz	data/e.coli-K12.fasta	0.8920	0.7438	0.7240	0.8810	0.9030	NC_021870.1 Salmonella bongori N268-08, complete sequence	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
references/refseq_all/GCF_008693605.1_ASM869360v1_genomic.fna.gz	data/e.coli-K12.fasta	0.8912	0.8058	0.7595	0.8798	0.9027	NZ_CP044098.1 Citrobacter portucalensis strain FDAARGOS_617 chromosome, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
