Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_003812345.1_ASM381234v1_genomic.fna	82.97	15.13	13.76	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP033744.1 Citrobacter freundii strain FDAARGOS_549 chromosome, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_008693605.1_ASM869360v1_genomic.fna	82.86	15.06	14.18	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP044098.1 Citrobacter portucalensis strain FDAARGOS_617 chromosome, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_016904755.1_ASM1690475v2_genomic.fna	90.02	60.29	60.42	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP070290.1 Escherichia albertii strain Sample 167 chromosome, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_000008865.2_ASM886v2_genomic.fna	98.08	88.25	73.22	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NC_002695.2 Escherichia coli O157:H7 str. Sakai DNA, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_001558935.2_ASM155893v2_genomic.fna	82.92	15.61	14.26	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP014070.2 Citrobacter amalonaticus strain FDAARGOS_165 chromosome, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_013374815.1_ASM1337481v1_genomic.fna	98.47	91.47	89.14	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP055292.1 Shigella sonnei strain SE6-1 chromosome, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_013892435.1_ASM1389243v1_genomic.fna	92.05	49.68	48.19	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP057657.1 Escherichia fergusonii strain RHB19-C05 chromosome, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_000006925.2_ASM692v2_genomic.fna	97.91	81.77	78.61	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NC_004337.2 Shigella flexneri 2a str. 301 chromosome, complete genome
./references/refseq/GCF_000005845.2_ASM584v2_genomic.fna	./references/refseq/GCF_000018045.1_ASM1804v1_genomic.fna	83.57	16.47	16.15	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NC_009792.1 Citrobacter koseri ATCC BAA-895, complete sequence
./references/refseq/GCF_000021045.1_ASM2104v1_genomic.fna	./references/refseq/GCF_009363155.1_ASM936315v1_genomic.fna	89.92	50.71	51.40	NC_012560.1 Azotobacter vinelandii DJ, complete sequence	NZ_CP045302.1 Azotobacter salinestris strain KACC 13899 chromosome, complete genome
