Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name	ANI_5_percentile	ANI_95_percentile	Standard_deviation	Ref_mean_ctg_len	Query_mean_ctg_len
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_018128425.1_ASM1812842v1_genomic.fna	82.71	20.67	19.32	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP071070.1 Citrobacter sedlakii strain 3347689II chromosome, complete genome	82.01	83.27	5.13	4641652	1655747.6
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_004684345.1_ASM468434v1_genomic.fna	83.07	18.58	17.44	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP038469.1 Citrobacter tructae strain SNU WT2 chromosome, complete genome	82.41	83.74	4.72	4641652	2473286
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_003812345.1_ASM381234v1_genomic.fna	82.95	19.66	17.88	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP033744.1 Citrobacter freundii strain FDAARGOS_549 chromosome, complete genome	82.31	83.55	5.20	4641652	2551080.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_019047765.1_ASM1904776v1_genomic.fna	82.85	17.60	16.27	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP077262.1 Citrobacter pasteurii strain FDAARGOS 1424 chromosome, complete genome	82.20	83.40	5.35	4641652	1673773
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_016893685.1_ASM1689368v1_genomic.fna	82.87	18.73	17.12	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP069763.1 Citrobacter cronae strain Colony478 chromosome	82.14	83.45	5.20	4641652	5079087
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_008693605.1_ASM869360v1_genomic.fna	82.84	19.39	18.26	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP044098.1 Citrobacter portucalensis strain FDAARGOS_617 chromosome, complete genome	82.20	83.55	5.59	4641652	2464670
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_009648935.1_ASM964893v1_genomic.fna	82.64	18.62	17.57	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP045771.1 Citrobacter braakii strain MiY-A chromosome, complete genome	81.94	83.30	5.32	4641652	4917491
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_016904755.1_ASM1690475v2_genomic.fna	90.31	70.35	70.50	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP070290.1 Escherichia albertii strain Sample 167 chromosome, complete genome	89.63	90.53	3.72	4641652	2315951.5
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_004353845.1_ASM435384v1_genomic.fna	83.15	19.84	17.15	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP037864.1 Citrobacter arsenatis strain LY-1 chromosome, complete genome	82.41	83.72	4.90	4641652	1790076
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000005845.2_ASM584v2_genomic.fna	/home/jshaw/scratch/DATABASES/refseq_all/GCF_008693645.1_ASM869364v1_genomic.fna	82.89	18.87	17.35	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome	NZ_CP044101.1 Citrobacter werkmanii strain FDAARGOS_616 chromosome, complete genome	82.17	83.46	5.20	4641652	2524651.5
