Ref_file	Query_file	AAI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000006765.1_ASM676v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	1.0000	0.9898	0.9898	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_900682675.2_P_marincola_YSy11_v2_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7222	0.4974	0.3788	NZ_LR215729.2 Pseudomonas marincola strain YSy11 chromosome PMYSY11, complete sequence	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_011040435.1_ASM1104043v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7162	0.4187	0.3552	NZ_CP049044.1 Pseudomonas psychrophila strain KM02 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001267255.1_ASM126725v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7147	0.4199	0.1538	NZ_CP012362.1 Thiopseudomonas alkaliphila strain D3318 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001294575.1_ASM129457v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7141	0.4045	0.3325	NZ_CP012676.1 Pseudomonas versuta strain L10.10 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_001874645.1_ASM187464v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7073	0.3855	0.3765	NZ_CP017886.1 Pseudomonas frederiksbergensis strain ERDD5:01 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_012971725.1_ASM1297172v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7069	0.3993	0.4155	NZ_CP048833.1 Pseudomonas multiresinivorans strain populi chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_015377145.2_2T-2-5-2v4_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7059	0.4313	0.3397	NZ_CP062158.2 Pseudomonas lundensis strain 2T.2.5.2 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_015476275.1_ASM1547627v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7057	0.4025	0.3262	NZ_CP064354.1 Pseudomonas fragi strain NL20W chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_008807375.1_ASM880737v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7043	0.3688	0.3566	NZ_CP043311.1 Pseudomonas lalkuanensis strain PE08 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009911755.1_ASM991175v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7025	0.3797	0.3694	NZ_CP047698.1 Pseudomonas knackmussii strain N1-2 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_009755645.1_ASM975564v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.7001	0.3902	0.3496	NZ_CP046621.1 Pseudomonas alkylphenolica strain Neo chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_021029445.1_ASM2102944v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6997	0.4177	0.2969	NZ_CP072610.1 Pseudomonas wenzhouensis strain A20 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_023278125.1_ASM2327812v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6985	0.3289	0.3091	NZ_CP066270.1 Pseudomonas tremae strain PA-1-10F chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000156995.2_ASM15699v2_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6984	0.3382	0.3085	NZ_CP046035.1 Pseudomonas coronafaciens pv. oryzae str. 1_6 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_900184295.1_Chr_1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6983	0.3352	0.3261	NZ_LT855380.1 Pseudomonas viridiflava strain CFBP 1590 isolate E12-5 chromosome I, complete sequence	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000517305.1_ASM51730v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6980	0.3524	0.3367	NZ_CP007039.1 Pseudomonas cichorii JBC1 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_022557255.1_ASM2255725v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6980	0.3371	0.3273	NZ_CP092923.1 Pseudomonas syringae pv. tagetis strain ICMP 4091 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_000297075.2_Ppseudo_final_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6979	0.3747	0.2803	NZ_HG916826.1 Pseudomonas pseudoalcaligenes CECT 5344 strain CECT5344 chromosome I, complete sequence	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_021391435.1_ASM2139143v1_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6979	0.3696	0.3600	NZ_CP090029.1 Pseudomonas sivasensis strain BsEB-1 chromosome, complete genome	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
/home/jshaw/scratch/DATABASES/refseq_all/GCF_900108535.1_IMG-taxon_2675902960_annotated_assembly_genomic.fna	./references/refseq_subset_aai/GCF_000006765.1_ASM676v1_genomic.fna	0.6978	0.3988	0.2758	NZ_LT629970.1 Stutzerimonas xanthomarina strain LMG 23572 chromosome I	NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
